paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
accuracy_00001,https://pubmed.ncbi.nlm.nih.gov/18584891/,Error processing during online motor control depends on the response accuracy.,"Gallea C, Graaf JB, Pailhous J, Bonnard M",Behavioural brain research,0.502,18584891,10.1016/j.bbr.2008.05.014,-1
accuracy_00002,https://pubmed.ncbi.nlm.nih.gov/18612380/,fMRI evidence for a dual process account of the speed-accuracy tradeoff in decision-making.,"Ivanoff J, Branning P, Marois R",PloS one,0.409,18612380,10.1371/journal.pone.0002635,-1
accuracy_00003,https://pubmed.ncbi.nlm.nih.gov/19948224/,Your mind's hand: motor imagery of pointing movements with different accuracy.,"Lorey B, Pilgramm S, Walter B, Stark R, Munzert J, Zentgraf K",NeuroImage,0.402,19948224,10.1016/j.neuroimage.2009.11.038,-1
accuracy_00004,https://pubmed.ncbi.nlm.nih.gov/22956676/,Compassion meditation enhances empathic accuracy and related neural activity.,"Mascaro JS, Rilling JK, Tenzin Negi L, Raison CL",Social cognitive and affective neuroscience,0.389,22956676,-1,-1
accuracy_00005,https://pubmed.ncbi.nlm.nih.gov/28824403/,Individual Differences in the Accuracy of Judgments of Learning Are Related to the Gray Matter Volume and Functional Connectivity of the Left Mid-Insula.,"Hu X, Liu Z, Chen W, Zheng J, Su N, Wang W, Lin C, Luo L",Frontiers in human neuroscience,0.388,28824403,-1,-1
accuracy_00006,https://pubmed.ncbi.nlm.nih.gov/22887826/,Diagnosing different binge-eating disorders based on reward-related brain activation patterns.,"Weygandt M, Schaefer A, Schienle A, Haynes JD",Human brain mapping,0.352,22887826,-1,-1
accuracy_00007,https://pubmed.ncbi.nlm.nih.gov/21618664/,fMRI investigation of speed-accuracy strategy switching.,"Vallesi A, McIntosh AR, Crescentini C, Stuss DT",Human brain mapping,0.351,21618664,-1,-1
accuracy_00008,https://pubmed.ncbi.nlm.nih.gov/16161128/,Telling truth from lie in individual subjects with fast event-related fMRI.,"Langleben DD, Loughead JW, Bilker WB, Ruparel K, Childress AR, Busch SI, Gur RC",Human brain mapping,0.347,16161128,-1,-1
accuracy_00009,https://pubmed.ncbi.nlm.nih.gov/25799236/,Diagnostic classification of schizophrenia patients on the basis of regional reward-related FMRI signal patterns.,"Koch SP, Hagele C, Haynes JD, Heinz A, Schlagenhauf F, Sterzer P",PloS one,0.337,25799236,-1,-1
accuracy_00010,https://pubmed.ncbi.nlm.nih.gov/16565951/,Exploring predictive and reproducible modeling with the single-subject FIAC dataset.,"Chen X, Pereira F, Lee W, Strother S, Mitchell T",Human brain mapping,0.317,16565951,-1,-1
