paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
adult_00001,https://pubmed.ncbi.nlm.nih.gov/23851324/,The stimuli drive the response: an fMRI study of youth processing adult or child  emotional face stimuli.,"Marusak HA, Carre JM, Thomason ME",NeuroImage,0.447,23851324,-1,-1
adult_00002,https://pubmed.ncbi.nlm.nih.gov/27977692/,Regional Brain Responses Are Biased Toward Infant Facial Expressions Compared to  Adult Facial Expressions in Nulliparous Women.,"Li B, Cheng G, Zhang D, Wei D, Qiao L, Wang X, Che X",PloS one,0.416,27977692,-1,-1
adult_00003,https://pubmed.ncbi.nlm.nih.gov/27668175/,Changes of grey matter volume in first-episode drug-naive adult major depressive  disorder patients with different age-onset.,"Shen Z, Cheng Y, Yang S, Dai N, Ye J, Liu X, Lu J, Li N, Liu F, Lu Y, Sun X, Xu X",NeuroImage. Clinical,0.384,27668175,-1,-1
adult_00004,https://pubmed.ncbi.nlm.nih.gov/29020645/,Neural correlates of the lexicality effect in children.,"Weiss Y, Booth JR",Brain and language,0.349,29020645,-1,-1
adult_00005,https://pubmed.ncbi.nlm.nih.gov/16436599/,Goal representation in human anterior intraparietal sulcus.,"Hamilton AF, Grafton ST",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.293,16436599,-1,-1
adult_00006,https://pubmed.ncbi.nlm.nih.gov/22230948/,Species-specific response to human infant faces in the premotor cortex.,"Caria A, Falco Sd, Venuti P, Lee S, Esposito G, Rigo P, Birbaumer N, Bornstein MH",NeuroImage,0.286,22230948,-1,-1
adult_00007,https://pubmed.ncbi.nlm.nih.gov/18682729/,Individual attachment style modulates human amygdala and striatum activation during social appraisal.,"Vrticka P, Andersson F, Grandjean D, Sander D, Vuilleumier P",PloS one,0.285,18682729,-1,-1
adult_00008,https://pubmed.ncbi.nlm.nih.gov/22359374/,Attachment models affect brain responses in areas related to emotions and empathy in nulliparous women.,"Lenzi D, Trentini C, Pantano P, Macaluso E, Lenzi GL, Ammaniti M",Human brain mapping,0.256,22359374,-1,-1
adult_00009,https://pubmed.ncbi.nlm.nih.gov/23239964/,Laminar thickness alterations in the fronto-parietal cortical mantle of patients  with attention-deficit/hyperactivity disorder.,"Hoekzema E, Carmona S, Ramos-Quiroga JA, Richarte Fernandez V, Picado M, Bosch R, Soliva JC, Rovira M, Vives Y, Bulbena A, Tobena A, Casas M, Vilarroya O",PloS one,0.249,23239964,-1,-1
adult_00010,https://pubmed.ncbi.nlm.nih.gov/24380677/,Spontaneous brain activity in adult patients with moyamoya disease: a resting-state fMRI study.,"Lei Y, Li Y, Ni W, Jiang H, Yang Z, Guo Q, Gu Y, Mao Y",Brain research,0.238,24380677,-1,-1
adult_00011,https://pubmed.ncbi.nlm.nih.gov/25887154/,FDA cigarette warning labels lower craving and elicit frontoinsular activation in adolescent smokers.,"Do KT, Galvan A",Social cognitive and affective neuroscience,0.235,25887154,-1,-1
adult_00012,https://pubmed.ncbi.nlm.nih.gov/28910390/,Identify changes of brain regional homogeneity in early and later adult onset patients with first-episode depression using resting-state fMRI.,"Shen Z, Jiang L, Yang S, Ye J, Dai N, Liu X, Li N, Lu J, Liu F, Lu Y, Sun X, Cheng Y, Xu X",PloS one,0.231,28910390,-1,-1
adult_00013,https://pubmed.ncbi.nlm.nih.gov/25476566/,"fMRI subsequent source memory effects in young, middle-aged and old adults.","Cansino S, Estrada-Manilla C, Trejo-Morales P, Pasaye-Alcaraz EH, Aguilar-Castaneda E, Salgado-Lujambio P, Sosa-Ortiz AL",Behavioural brain research,0.228,25476566,-1,-1
adult_00014,https://pubmed.ncbi.nlm.nih.gov/29403367/,Decoding Pedophilia: Increased Anterior Insula Response to Infant Animal Pictures.,"Ponseti J, Bruhn D, Nolting J, Gerwinn H, Pohl A, Stirn A, Granert O, Laufs H, Deuschl G, Wolff S, Jansen O, Siebner H, Briken P, Mohnke S, Amelung T, Kneer J, Schiffer B, Walter H, Kruger THC",Frontiers in human neuroscience,0.216,29403367,-1,-1
adult_00015,https://pubmed.ncbi.nlm.nih.gov/12203688/,Assessment of spatial normalization of whole-brain magnetic resonance images in children.,"Wilke M, Schmithorst VJ, Holland SK",Human brain mapping,0.215,12203688,-1,-1
adult_00016,https://pubmed.ncbi.nlm.nih.gov/14741309/,A functional MRI study of simple arithmetic--a comparison between children and adults.,"Kawashima R, Taira M, Okita K, Inoue K, Tajima N, Yoshida H, Sasaki T, Sugiura M, Watanabe J, Fukuda H",Brain research. Cognitive brain research,0.213,14741309,-1,-1
adult_00017,https://pubmed.ncbi.nlm.nih.gov/27720744/,"The association of serotonin receptor 3A methylation with maternal violence exposure, neural activity, and child aggression.","Schechter DS, Moser DA, Pointet VC, Aue T, Stenz L, Paoloni-Giacobino A, Adouan W, Manini A, Suardi F, Vital M, Sancho Rossignol A, Cordero MI, Rothenberg M, Ansermet F, Rusconi Serpa S, Dayer AG",Behavioural brain research,0.212,27720744,-1,-1
adult_00018,https://pubmed.ncbi.nlm.nih.gov/28095312/,Neural correlates of babyish adult face processing in men.,"Doi H, Morikawa M, Inadomi N, Aikawa K, Uetani M, Shinohara K",Neuropsychologia,0.209,28095312,-1,-1
adult_00019,https://pubmed.ncbi.nlm.nih.gov/15158422/,A developmental examination of gender differences in brain engagement during evaluation of threat.,"McClure EB, Monk CS, Nelson EE, Zarahn E, Leibenluft E, Bilder RM, Charney DS, Ernst M, Pine DS",Biological psychiatry,0.208,15158422,-1,-1
adult_00020,https://pubmed.ncbi.nlm.nih.gov/26843005/,"Aberrant regional homogeneity of resting-state executive control, default mode, and salience networks in adult patients with moyamoya disease.","Lei Y, Su J, Jiang H, Guo Q, Ni W, Yang H, Gu Y, Mao Y",Brain imaging and behavior,0.208,26843005,10.1007/s11682-016-9518-5,-1
adult_00021,https://pubmed.ncbi.nlm.nih.gov/19796695/,Regional sex differences in grey matter volume are associated with sex hormones in the young adult human brain.,"Witte AV, Savli M, Holik A, Kasper S, Lanzenberger R",NeuroImage,0.206,19796695,-1,-1
adult_00022,https://pubmed.ncbi.nlm.nih.gov/20374289/,Disturbed structural connectivity is related to inattention and impulsivity in adult attention deficit hyperactivity disorder.,"Konrad A, Dielentheis TF, El Masri D, Bayerl M, Fehr C, Gesierich T, Vucurevic G, Stoeter P, Winterer G",The European journal of neuroscience,0.204,20374289,-1,-1
adult_00023,https://pubmed.ncbi.nlm.nih.gov/25728012/,Neural correlates of single word reading in bilingual children and adults.,"Hernandez AE, Woods EA, Bradley KA",Brain and language,0.2,25728012,-1,-1
adult_00024,https://pubmed.ncbi.nlm.nih.gov/22749356/,The dopamine transporter haplotype and reward-related striatal responses in adult ADHD.,"Hoogman M, Onnink M, Cools R, Aarts E, Kan C, Arias Vasquez A, Buitelaar J, Franke B",European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,0.189,22749356,-1,-1
adult_00025,https://pubmed.ncbi.nlm.nih.gov/24819224/,Hypoactivation in right inferior frontal cortex is specifically associated with motor response inhibition in adult ADHD.,"Morein-Zamir S, Dodds C, van Hartevelt TJ, Schwarzkopf W, Sahakian B, Muller U, Robbins T",Human brain mapping,0.183,24819224,-1,-1
adult_00026,https://pubmed.ncbi.nlm.nih.gov/24145409/,Effects of childhood poverty and chronic stress on emotion regulatory brain function in adulthood.,"Kim P, Evans GW, Angstadt M, Ho SS, Sripada CS, Swain JE, Liberzon I, Phan KL",Proceedings of the National Academy of Sciences of the United States of America,0.181,24145409,-1,-1
adult_00027,https://pubmed.ncbi.nlm.nih.gov/19631255/,Cortical areas related to performance of WAIS Digit Symbol Test: a functional imaging study.,"Usui N, Haji T, Maruyama M, Katsuyama N, Uchida S, Hozawa A, Omori K, Tsuji I, Kawashima R, Taira M",Neuroscience letters,0.179,19631255,-1,-1
adult_00028,https://pubmed.ncbi.nlm.nih.gov/27531977/,Neural Response during the Activation of the Attachment System in Patients with Borderline Personality Disorder: An fMRI Study.,"Buchheim A, Erk S, George C, Kachele H, Martius P, Pokorny D, Spitzer M, Walter H",Frontiers in human neuroscience,0.174,27531977,-1,-1
adult_00029,https://pubmed.ncbi.nlm.nih.gov/27298763/,Increased frontal functional networks in adult survivors of childhood brain tumors.,"Chen H, Wang L, King TZ, Mao H",NeuroImage. Clinical,0.167,27298763,-1,-1
adult_00030,https://pubmed.ncbi.nlm.nih.gov/22197790/,Orbitofrontal reward sensitivity and impulsivity in adult attention deficit hyperactivity disorder.,"Wilbertz G, van Elst LT, Delgado MR, Maier S, Feige B, Philipsen A, Blechert J",NeuroImage,0.164,22197790,-1,-1
adult_00031,https://pubmed.ncbi.nlm.nih.gov/19344776/,Genotype-phenotype interactions in primary dystonias revealed by differential changes in brain structure.,"Draganski B, Schneider SA, Fiorio M, Kloppel S, Gambarin M, Tinazzi M, Ashburner J, Bhatia KP, Frackowiak RS",NeuroImage,0.163,19344776,-1,-1
adult_00032,https://pubmed.ncbi.nlm.nih.gov/29107746/,How many deficits in the same dyslexic brains? A behavioural and fMRI assessment  of comorbidity in adult dyslexics.,"Danelli L, Berlingeri M, Bottini G, Borghese NA, Lucchese M, Sberna M, Price CJ, Paulesu E",Cortex; a journal devoted to the study of the nervous system and behavior,0.162,29107746,-1,-1
