paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
affective_00001,https://pubmed.ncbi.nlm.nih.gov/25552571/,Emotional task management: neural correlates of switching between affective and non-affective task-sets.,"Reeck C, Egner T",Social cognitive and affective neuroscience,0.709,25552571,10.1093/scan/nsu153,-1
affective_00002,https://pubmed.ncbi.nlm.nih.gov/16525130/,FMRI study of emotional speech comprehension.,"Beaucousin V, Lacheret A, Turbelin MR, Morel M, Mazoyer B, Tzourio-Mazoyer N","Cerebral cortex (New York, N.Y. : 1991)",0.595,16525130,10.1093/cercor/bhj151,-1
affective_00003,https://pubmed.ncbi.nlm.nih.gov/11704074/,Limbic abnormalities in affective processing by criminal psychopaths as revealed  by functional magnetic resonance imaging.,"Kiehl KA, Smith AM, Hare RD, Mendrek A, Forster BB, Brink J, Liddle PF",Biological psychiatry,0.496,11704074,10.1016/s0006-3223(01)01222-7,-1
affective_00004,https://pubmed.ncbi.nlm.nih.gov/19683582/,Alterations in the processing of non-drug-related affective stimuli in abstinent  heroin addicts.,"Wang ZX, Zhang JX, Wu QL, Liu N, Hu XP, Chan RC, Xiao ZW",NeuroImage,0.437,19683582,10.1016/j.neuroimage.2009.08.020,-1
affective_00005,https://pubmed.ncbi.nlm.nih.gov/23716712/,Ongoing neural development of affective theory of mind in adolescence.,"Vetter NC, Weigelt S, Dohnel K, Smolka MN, Kliegel M",Social cognitive and affective neuroscience,0.421,23716712,-1,-1
affective_00006,https://pubmed.ncbi.nlm.nih.gov/25131828/,Shared and nonshared neural networks of cognitive and affective theory-of-mind: a neuroimaging study using cartoon picture stories.,"Schlaffke L, Lissek S, Lenz M, Juckel G, Schultz T, Tegenthoff M, Schmidt-Wilcke T, Brune M",Human brain mapping,0.417,25131828,-1,-1
affective_00007,https://pubmed.ncbi.nlm.nih.gov/16372256/,Affective judgment and beneficial decision making: ventromedial prefrontal activity correlates with performance in the Iowa Gambling Task.,"Northoff G, Grimm S, Boeker H, Schmidt C, Bermpohl F, Heinzel A, Hell D, Boesiger P",Human brain mapping,0.415,16372256,-1,-1
affective_00008,https://pubmed.ncbi.nlm.nih.gov/22451481/,Does context matter in evaluations of stigmatized individuals? An fMRI study.,"Krendl AC, Moran JM, Ambady N",Social cognitive and affective neuroscience,0.414,22451481,-1,-1
affective_00009,https://pubmed.ncbi.nlm.nih.gov/28866131/,Increased emotional reactivity to affective pictures in patients with skin-picking disorder: Evidence from functional magnetic resonance imaging.,"Wabnegger A, Ubel S, Suchar G, Schienle A",Behavioural brain research,0.395,28866131,-1,-1
affective_00010,https://pubmed.ncbi.nlm.nih.gov/28013067/,Lost emotion: Disrupted brain-based tracking of dynamic affective episodes in anxiety and depression.,"Carlson JM, Rubin D, Mujica-Parodi LR",Psychiatry research. Neuroimaging,0.391,28013067,-1,-1
affective_00011,https://pubmed.ncbi.nlm.nih.gov/20728556/,Functional relations of empathy and mentalizing: an fMRI study on the neural basis of cognitive empathy.,"Schnell K, Bluschke S, Konradt B, Walter H",NeuroImage,0.387,20728556,-1,-1
affective_00012,https://pubmed.ncbi.nlm.nih.gov/26029069/,Aggressive vocal expressions-an investigation of their underlying neural network.,"Klaas HS, Fruhholz S, Grandjean D",Frontiers in behavioral neuroscience,0.368,26029069,-1,-1
