paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
angular gyrus_00001,https://pubmed.ncbi.nlm.nih.gov/18155926/,A hippocampal-parietal network for learning an ordered sequence.,"Van Opstal F, Verguts T, Orban GA, Fias W",NeuroImage,0.367,18155926,-1,-1
angular gyrus_00002,https://pubmed.ncbi.nlm.nih.gov/25698762/,Converging evidence for the neuroanatomic basis of combinatorial semantics in the angular gyrus.,"Price AR, Bonner MF, Peelle JE, Grossman M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.363,25698762,-1,-1
angular gyrus_00003,https://pubmed.ncbi.nlm.nih.gov/23773118/,Functional activation during reading in relation to the sulci of the angular gyrus region.,"Segal E, Petrides M",The European journal of neuroscience,0.342,23773118,-1,-1
angular gyrus_00004,https://pubmed.ncbi.nlm.nih.gov/19007800/,To retrieve or to calculate? Left angular gyrus mediates the retrieval of arithmetic facts during problem solving.,"Grabner RH, Ansari D, Koschutnig K, Reishofer G, Ebner F, Neuper C",Neuropsychologia,0.327,19007800,-1,-1
angular gyrus_00005,https://pubmed.ncbi.nlm.nih.gov/28439662/,The angular gyrus is a supramodal comparator area in action-outcome monitoring.,"van Kemenade BM, Arikan BE, Kircher T, Straube B",Brain structure & function,0.308,28439662,-1,-1
angular gyrus_00006,https://pubmed.ncbi.nlm.nih.gov/25914635/,Neural mechanisms of goal-directed behavior: outcome-based response selection is  associated with increased functional coupling of the angular gyrus.,"Zwosta K, Ruge H, Wolfensteller U",Frontiers in human neuroscience,0.296,25914635,-1,-1
angular gyrus_00007,https://pubmed.ncbi.nlm.nih.gov/25776218/,The neural correlates of sex differences in left-right confusion.,"Hjelmervik H, Westerhausen R, Hirnstein M, Specht K, Hausmann M",NeuroImage,0.275,25776218,-1,-1
angular gyrus_00008,https://pubmed.ncbi.nlm.nih.gov/19027075/,Flexible transfer of knowledge in mental arithmetic--an fMRI study.,"Ischebeck A, Zamarian L, Schocke M, Delazer M",NeuroImage,0.259,19027075,-1,-1
angular gyrus_00009,https://pubmed.ncbi.nlm.nih.gov/17851092/,Individual differences in mathematical competence predict parietal brain activation during mental calculation.,"Grabner RH, Ansari D, Reishofer G, Stern E, Ebner F, Neuper C",NeuroImage,0.258,17851092,-1,-1
angular gyrus_00010,https://pubmed.ncbi.nlm.nih.gov/21826481/,Effects of the brief viewing of emotional stimuli on understanding of insight solutions.,"Sakaki M, Niki K","Cognitive, affective & behavioral neuroscience",0.255,21826481,-1,-1
