paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
angular_00001,https://pubmed.ncbi.nlm.nih.gov/18155926/,A hippocampal-parietal network for learning an ordered sequence.,"Van Opstal F, Verguts T, Orban GA, Fias W",NeuroImage,0.35,18155926,-1,-1
angular_00002,https://pubmed.ncbi.nlm.nih.gov/25698762/,Converging evidence for the neuroanatomic basis of combinatorial semantics in the angular gyrus.,"Price AR, Bonner MF, Peelle JE, Grossman M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.346,25698762,-1,-1
angular_00003,https://pubmed.ncbi.nlm.nih.gov/23773118/,Functional activation during reading in relation to the sulci of the angular gyrus region.,"Segal E, Petrides M",The European journal of neuroscience,0.326,23773118,-1,-1
angular_00004,https://pubmed.ncbi.nlm.nih.gov/19007800/,To retrieve or to calculate? Left angular gyrus mediates the retrieval of arithmetic facts during problem solving.,"Grabner RH, Ansari D, Koschutnig K, Reishofer G, Ebner F, Neuper C",Neuropsychologia,0.312,19007800,-1,-1
angular_00005,https://pubmed.ncbi.nlm.nih.gov/28439662/,The angular gyrus is a supramodal comparator area in action-outcome monitoring.,"van Kemenade BM, Arikan BE, Kircher T, Straube B",Brain structure & function,0.294,28439662,-1,-1
angular_00006,https://pubmed.ncbi.nlm.nih.gov/25914635/,Neural mechanisms of goal-directed behavior: outcome-based response selection is  associated with increased functional coupling of the angular gyrus.,"Zwosta K, Ruge H, Wolfensteller U",Frontiers in human neuroscience,0.283,25914635,-1,-1
angular_00007,https://pubmed.ncbi.nlm.nih.gov/25776218/,The neural correlates of sex differences in left-right confusion.,"Hjelmervik H, Westerhausen R, Hirnstein M, Specht K, Hausmann M",NeuroImage,0.262,25776218,-1,-1
angular_00008,https://pubmed.ncbi.nlm.nih.gov/19027075/,Flexible transfer of knowledge in mental arithmetic--an fMRI study.,"Ischebeck A, Zamarian L, Schocke M, Delazer M",NeuroImage,0.247,19027075,-1,-1
angular_00009,https://pubmed.ncbi.nlm.nih.gov/17851092/,Individual differences in mathematical competence predict parietal brain activation during mental calculation.,"Grabner RH, Ansari D, Reishofer G, Stern E, Ebner F, Neuper C",NeuroImage,0.246,17851092,-1,-1
angular_00010,https://pubmed.ncbi.nlm.nih.gov/21826481/,Effects of the brief viewing of emotional stimuli on understanding of insight solutions.,"Sakaki M, Niki K","Cognitive, affective & behavioral neuroscience",0.243,21826481,-1,-1
angular_00011,https://pubmed.ncbi.nlm.nih.gov/27305834/,On neural correlates of individual differences in novel grammar learning: An fMRI study.,"Kepinska O, de Rover M, Caspers J, Schiller NO",Neuropsychologia,0.243,27305834,-1,-1
angular_00012,https://pubmed.ncbi.nlm.nih.gov/16055350/,When meaningless symbols become letters: neural activity change in learning new phonograms.,"Callan AM, Callan DE, Masaki S",NeuroImage,0.241,16055350,-1,-1
angular_00013,https://pubmed.ncbi.nlm.nih.gov/22814662/,Increased gray matter volume in the right angular and posterior parahippocampal gyri in loving-kindness meditators.,"Leung MK, Chan CC, Yin J, Lee CF, So KF, Lee TM",Social cognitive and affective neuroscience,0.222,22814662,-1,-1
angular_00014,https://pubmed.ncbi.nlm.nih.gov/24505303/,Neural correlates of receiving an apology and active forgiveness: an FMRI study.,"Strang S, Utikal V, Fischbacher U, Weber B, Falk A",PloS one,0.22,24505303,-1,-1
angular_00015,https://pubmed.ncbi.nlm.nih.gov/22609578/,Motor familiarity: brain activation when watching kinematic displays of one's own movements.,"Bischoff M, Zentgraf K, Lorey B, Pilgramm S, Balser N, Baumgartner E, Hohmann T, Stark R, Vaitl D, Munzert J",Neuropsychologia,0.21,22609578,10.1016/j.neuropsychologia.2012.05.009,-1
angular_00016,https://pubmed.ncbi.nlm.nih.gov/16413795/,How specifically do we learn? Imaging the learning of multiplication and subtraction.,"Ischebeck A, Zamarian L, Siedentopf C, Koppelstatter F, Benke T, Felber S, Delazer M",NeuroImage,0.208,16413795,10.1016/j.neuroimage.2005.11.016,-1
angular_00017,https://pubmed.ncbi.nlm.nih.gov/22264194/,Where the mass counts: common cortical activation for different kinds of nonsingularity.,"Domahs F, Nagels A, Domahs U, Whitney C, Wiese R, Kircher T",Journal of cognitive neuroscience,0.202,22264194,-1,-1
angular_00018,https://pubmed.ncbi.nlm.nih.gov/19552900/,Sustained activity within the default mode network during an implicit memory task.,"Yang J, Weng X, Zang Y, Xu M, Xu X",Cortex; a journal devoted to the study of the nervous system and behavior,0.2,19552900,-1,-1
angular_00019,https://pubmed.ncbi.nlm.nih.gov/23587493/,"Good, bad and ugly word stress--fMRI evidence for foot structure driven processing of prosodic violations.","Domahs U, Klein E, Huber W, Domahs F",Brain and language,0.2,23587493,-1,-1
angular_00020,https://pubmed.ncbi.nlm.nih.gov/17329425/,Functional integration across brain regions improves speech perception under adverse listening conditions.,"Obleser J, Wise RJ, Alex Dresner M, Scott SK",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.199,17329425,-1,-1
angular_00021,https://pubmed.ncbi.nlm.nih.gov/12427682/,Neural basis of mental scanning of a topographic representation built from a text.,"Mellet E, Bricogne S, Crivello F, Mazoyer B, Denis M, Tzourio-Mazoyer N","Cerebral cortex (New York, N.Y. : 1991)",0.187,12427682,-1,-1
angular_00022,https://pubmed.ncbi.nlm.nih.gov/25138697/,Frequency-dependent changes in the amplitude of low-frequency fluctuations in subcortical ischemic vascular disease (SIVD): a resting-state fMRI study.,"Li C, Liu C, Yin X, Yang J, Gui L, Wei L, Wang J",Behavioural brain research,0.178,25138697,-1,-1
angular_00023,https://pubmed.ncbi.nlm.nih.gov/11208666/,The role of the inferior parietal cortex in linking the tactile perception and manual construction of object shapes.,"Jancke L, Kleinschmidt A, Mirzazade S, Shah NJ, Freund HJ","Cerebral cortex (New York, N.Y. : 1991)",0.176,11208666,-1,-1
angular_00024,https://pubmed.ncbi.nlm.nih.gov/25379447/,Functional neuroimaging of conversion disorder: The role of ancillary activation.,"Burke MJ, Ghaffar O, Staines WR, Downar J, Feinstein A",NeuroImage. Clinical,0.175,25379447,-1,-1
angular_00025,https://pubmed.ncbi.nlm.nih.gov/10678698/,The calculating brain: an fMRI study.,"Rickard TC, Romero SG, Basso G, Wharton C, Flitman S, Grafman J",Neuropsychologia,0.174,10678698,-1,-1
angular_00026,https://pubmed.ncbi.nlm.nih.gov/12595178/,Differential cortical activation during voluntary and reflexive saccades in man.,"Mort DJ, Perry RJ, Mannan SK, Hodgson TL, Anderson E, Quest R, McRobbie D, McBride A, Husain M, Kennard C",NeuroImage,0.173,12595178,-1,-1
angular_00027,https://pubmed.ncbi.nlm.nih.gov/22912754/,Abnormalities of resting state functional connectivity are related to sustained attention deficits in MS.,"Loitfelder M, Filippi M, Rocca M, Valsasina P, Ropele S, Jehna M, Fuchs S, Schmidt R, Neuper C, Fazekas F, Enzinger C",PloS one,0.173,22912754,-1,-1
angular_00028,https://pubmed.ncbi.nlm.nih.gov/12112763/,Functional brain activation during arithmetic processing in females with fragile  X Syndrome is related to FMR1 protein expression.,"Rivera SM, Menon V, White CD, Glaser B, Reiss AL",Human brain mapping,0.172,12112763,10.1002/hbm.10048,-1
