paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
animal_00001,https://pubmed.ncbi.nlm.nih.gov/21316468/,How specific is specific phobia? Different neural response patterns in two subtypes of specific phobia.,"Lueken U, Kruschwitz JD, Muehlhan M, Siegert J, Hoyer J, Wittchen HU",NeuroImage,0.37,21316468,-1,-1
animal_00002,https://pubmed.ncbi.nlm.nih.gov/22446299/,Common representation of pain and negative emotion in the midbrain periaqueductal gray.,"Buhle JT, Kober H, Ochsner KN, Mende-Siedlecki P, Weber J, Hughes BL, Kross E, Atlas LY, McRae K, Wager TD",Social cognitive and affective neuroscience,0.33,22446299,-1,-1
animal_00003,https://pubmed.ncbi.nlm.nih.gov/18378168/,Effects of feature-selective attention on auditory pattern and location processing.,"Altmann CF, Henning M, Doring MK, Kaiser J",NeuroImage,0.322,18378168,-1,-1
animal_00004,https://pubmed.ncbi.nlm.nih.gov/20520767/,"The brain functional networks associated to human and animal suffering differ among omnivores, vegetarians and vegans.","Filippi M, Riccitelli G, Falini A, Di Salle F, Vuilleumier P, Comi G, Rocca MA",PloS one,0.289,20520767,-1,-1
animal_00005,https://pubmed.ncbi.nlm.nih.gov/22078639/,The question shapes the answer: the neural correlates of task differences reveal  dynamic semantic processing.,"Hargreaves IS, White M, Pexman PM, Pittman D, Goodyear BG",Brain and language,0.287,22078639,-1,-1
animal_00006,https://pubmed.ncbi.nlm.nih.gov/15766766/,Generating animal and tool names: an fMRI study of effective connectivity.,"Vitali P, Abutalebi J, Tettamanti M, Rowe J, Scifo P, Fazio F, Cappa SF, Perani D",Brain and language,0.263,15766766,10.1016/j.bandl.2004.08.005,-1
animal_00007,https://pubmed.ncbi.nlm.nih.gov/18597794/,Probing category selectivity for environmental sounds in the human auditory brain.,"Doehrmann O, Naumer MJ, Volz S, Kaiser J, Altmann CF",Neuropsychologia,0.261,18597794,10.1016/j.neuropsychologia.2008.05.011,-1
animal_00008,https://pubmed.ncbi.nlm.nih.gov/19153155/,Social conceptual impairments in frontotemporal lobar degeneration with right anterior temporal hypometabolism.,"Zahn R, Moll J, Iyengar V, Huey ED, Tierney M, Krueger F, Grafman J",Brain : a journal of neurology,0.252,19153155,10.1093/brain/awn343,-1
animal_00009,https://pubmed.ncbi.nlm.nih.gov/15993766/,Task-independent semantic activation for numbers and animals.,"Thioux M, Pesenti M, Costes N, De Volder A, Seron X",Brain research. Cognitive brain research,0.247,15993766,-1,-1
animal_00010,https://pubmed.ncbi.nlm.nih.gov/23019128/,"Dissociated neural correlates of quantity processing of quantifiers, numbers, and numerosities.","Wei W, Chen C, Yang T, Zhang H, Zhou X",Human brain mapping,0.237,23019128,-1,-1
animal_00011,https://pubmed.ncbi.nlm.nih.gov/25789862/,"Default mode network, motor network, dorsal and ventral basal ganglia networks in the rat brain: comparison to human networks using resting state-fMRI.","Sierakowiak A, Monnot C, Aski SN, Uppman M, Li TQ, Damberg P, Brene S",PloS one,0.231,25789862,-1,-1
animal_00012,https://pubmed.ncbi.nlm.nih.gov/25985955/,"Stress, trauma and PTSD: translational insights into the core synaptic circuitry  and its modulation.","Bennett MR, Hatton SN, Lagopoulos J",Brain structure & function,0.23,25985955,-1,-1
animal_00013,https://pubmed.ncbi.nlm.nih.gov/20452443/,Prior auditory information shapes visual category-selectivity in ventral occipito-temporal cortex.,"Adam R, Noppeney U",NeuroImage,0.216,20452443,-1,-1
animal_00014,https://pubmed.ncbi.nlm.nih.gov/22197740/,Neuroimaging of the periaqueductal gray: state of the field.,"Linnman C, Moulton EA, Barmettler G, Becerra L, Borsook D",NeuroImage,0.213,22197740,-1,-1
animal_00015,https://pubmed.ncbi.nlm.nih.gov/17626211/,Direct instrumental conditioning of neural activity using functional magnetic resonance imaging-derived reward feedback.,"Bray S, Shimojo S, O'Doherty JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.208,17626211,10.1523/JNEUROSCI.2118-07.2007,-1
animal_00016,https://pubmed.ncbi.nlm.nih.gov/12893418/,Brain activation to phobia-related pictures in spider phobic humans: an event-related functional magnetic resonance imaging study.,"Dilger S, Straube T, Mentzel HJ, Fitzek C, Reichenbach JR, Hecht H, Krieschel S, Gutberlet I, Miltner WH",Neuroscience letters,0.206,12893418,10.1016/s0304-3940(03)00647-5,-1
animal_00017,https://pubmed.ncbi.nlm.nih.gov/17728454/,"Differential recruitment of the hippocampus, medial prefrontal cortex, and the human motion complex during path integration in humans.","Wolbers T, Wiener JM, Mallot HA, Buchel C",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.204,17728454,10.1523/JNEUROSCI.2146-07.2007,-1
animal_00018,https://pubmed.ncbi.nlm.nih.gov/27683905/,Multivariate Pattern Analysis Reveals Category-Related Organization of Semantic Representations in Anterior Temporal Cortex.,"Malone PS, Glezer LS, Kim J, Jiang X, Riesenhuber M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.201,27683905,-1,-1
animal_00019,https://pubmed.ncbi.nlm.nih.gov/16616863/,The neural mechanism associated with the processing of onomatopoeic sounds.,"Hashimoto T, Usui N, Taira M, Nose I, Haji T, Kojima S",NeuroImage,0.193,16616863,-1,-1
animal_00020,https://pubmed.ncbi.nlm.nih.gov/18632890/,Specificity of inferior olive response to stimulus timing.,"Liu T, Xu D, Ashe J, Bushara K",Journal of neurophysiology,0.193,18632890,-1,-1
animal_00021,https://pubmed.ncbi.nlm.nih.gov/22623666/,From animal model to human brain networking: dynamic causal modeling of motivational systems.,"Gonen T, Admon R, Podlipsky I, Hendler T",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.186,22623666,-1,-1
animal_00022,https://pubmed.ncbi.nlm.nih.gov/20610743/,Cortical and subcortical connectivity changes during decreasing levels of consciousness in humans: a functional magnetic resonance imaging study using propofol.,"Mhuircheartaigh RN, Rosenorn-Lanng D, Wise R, Jbabdi S, Rogers R, Tracey I",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.184,20610743,-1,-1
animal_00023,https://pubmed.ncbi.nlm.nih.gov/12764119/,"Error monitoring using external feedback: specific roles of the habenular complex, the reward system, and the cingulate motor area revealed by functional magnetic resonance imaging.","Ullsperger M, von Cramon DY",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.179,12764119,-1,-1
animal_00024,https://pubmed.ncbi.nlm.nih.gov/16636788/,Brainstem and cerebellar fMRI-activation during horizontal and vertical optokinetic stimulation.,"Bense S, Janusch B, Vucurevic G, Bauermann T, Schlindwein P, Brandt T, Stoeter P, Dieterich M",Experimental brain research,0.176,16636788,-1,-1
animal_00025,https://pubmed.ncbi.nlm.nih.gov/20493891/,Processing of spectral and amplitude envelope of animal vocalizations in the human auditory cortex.,"Altmann CF, Gomes de Oliveira Junior C, Heinemann L, Kaiser J",Neuropsychologia,0.174,20493891,-1,-1
animal_00026,https://pubmed.ncbi.nlm.nih.gov/24068813/,Distinct regions of right temporal cortex are associated with biological and human-agent motion: functional magnetic resonance imaging and neuropsychological  evidence.,"Han Z, Bi Y, Chen J, Chen Q, He Y, Caramazza A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.174,24068813,-1,-1
animal_00027,https://pubmed.ncbi.nlm.nih.gov/20335485/,Scaling of neural responses to visual and auditory motion in the human cerebellum.,"Baumann O, Mattingley JB",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.171,20335485,-1,-1
animal_00028,https://pubmed.ncbi.nlm.nih.gov/26476705/,Effects of haloperidol and aripiprazole on the human mesolimbic motivational system: A pharmacological fMRI study.,"Bolstad I, Andreassen OA, Groote I, Server A, Sjaastad I, Kapur S, Jensen J",European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,0.171,26476705,-1,-1
animal_00029,https://pubmed.ncbi.nlm.nih.gov/25064668/,Differentiating BOLD and non-BOLD signals in fMRI time series from anesthetized rats using multi-echo EPI at 11.7T.,"Kundu P, Santin MD, Bandettini PA, Bullmore ET, Petiet A",NeuroImage,0.164,25064668,-1,-1
animal_00030,https://pubmed.ncbi.nlm.nih.gov/11950765/,Recruitment of anterior dorsolateral prefrontal cortex in human reasoning: a parametric study of relational complexity.,"Kroger JK, Sabb FW, Fales CL, Bookheimer SY, Cohen MS, Holyoak KJ","Cerebral cortex (New York, N.Y. : 1991)",0.162,11950765,-1,-1
animal_00031,https://pubmed.ncbi.nlm.nih.gov/14625149/,Amygdala and insular responses to emotionally valenced human faces in small animal specific phobia.,"Wright CI, Martis B, McMullin K, Shin LM, Rauch SL",Biological psychiatry,0.161,14625149,-1,-1
animal_00032,https://pubmed.ncbi.nlm.nih.gov/19100847/,Domain-specific reorganization of semantic processing after extensive damage to the left temporal lobe.,"Leonard B, de Partz MP, Grandin C, Pillon A",NeuroImage,0.158,19100847,-1,-1
animal_00033,https://pubmed.ncbi.nlm.nih.gov/21183458/,How does your own knowledge influence the perception of another person's action in the human brain?,"Ramsey R, Hamilton AF",Social cognitive and affective neuroscience,0.156,21183458,-1,-1
animal_00034,https://pubmed.ncbi.nlm.nih.gov/21338692/,Reduced striatal volume in cocaine-dependent patients.,"Barros-Loscertales A, Garavan H, Bustamante JC, Ventura-Campos N, Llopis JJ, Belloch V, Parcet MA, Avila C",NeuroImage,0.155,21338692,10.1016/j.neuroimage.2011.02.035,-1
animal_00035,https://pubmed.ncbi.nlm.nih.gov/22610479/,Learning-dependent plasticity in human auditory cortex during appetitive operant  conditioning.,"Puschmann S, Brechmann A, Thiel CM",Human brain mapping,0.15,22610479,10.1002/hbm.22107,-1
animal_00036,https://pubmed.ncbi.nlm.nih.gov/28040541/,Cognitive emotion regulation modulates the balance of competing influences on ventral striatal aversive prediction error signals.,"Mulej Bratec S, Xie X, Wang Y, Schilbach L, Zimmer C, Wohlschlager AM, Riedl V, Sorg C",NeuroImage,0.145,28040541,10.1016/j.neuroimage.2016.12.078,-1
animal_00037,https://pubmed.ncbi.nlm.nih.gov/18793731/,Dissociable roles of medial orbitofrontal cortex in human operant extinction learning.,"Finger EC, Mitchell DG, Jones M, Blair RJ",NeuroImage,0.144,18793731,10.1016/j.neuroimage.2008.08.021,-1
animal_00038,https://pubmed.ncbi.nlm.nih.gov/25731997/,Functional brain networks underlying detection and integration of disconfirmatory evidence.,"Lavigne KM, Metzak PD, Woodward TS",NeuroImage,0.144,25731997,-1,-1
animal_00039,https://pubmed.ncbi.nlm.nih.gov/27551971/,The BDNF Val66Met Polymorphism Influences Reading Ability and Patterns of Neural  Activation in Children.,"Jasinska KK, Molfese PJ, Kornilov SA, Mencl WE, Frost SJ, Lee M, Pugh KR, Grigorenko EL, Landi N",PloS one,0.139,27551971,-1,-1
animal_00040,https://pubmed.ncbi.nlm.nih.gov/15351631/,Selective rotation of egocentric spatial representation following right putaminal hemorrhage.,"Mijovic-Prelec D, Bentley P, Caviness VS Jr",Neuropsychologia,0.135,15351631,-1,-1
animal_00041,https://pubmed.ncbi.nlm.nih.gov/15917455/,Distinct cortical pathways for processing tool versus animal sounds.,"Lewis JW, Brefczynski JA, Phinney RE, Janik JJ, DeYoe EA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.135,15917455,-1,-1
animal_00042,https://pubmed.ncbi.nlm.nih.gov/19465134/,Different categories of living and non-living sound-sources activate distinct cortical networks.,"Engel LR, Frum C, Puce A, Walker NA, Lewis JW",NeuroImage,0.134,19465134,-1,-1
animal_00043,https://pubmed.ncbi.nlm.nih.gov/19129383/,Personality predicts the brain's response to viewing appetizing foods: the neural basis of a risk factor for overeating.,"Passamonti L, Rowe JB, Schwarzbauer C, Ewbank MP, von dem Hagen E, Calder AJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.133,19129383,-1,-1
animal_00044,https://pubmed.ncbi.nlm.nih.gov/19291231/,Deficient responses from the lateral geniculate nucleus in humans with amblyopia.,"Hess RF, Thompson B, Gole G, Mullen KT",The European journal of neuroscience,0.13,19291231,-1,-1
animal_00045,https://pubmed.ncbi.nlm.nih.gov/21126593/,Stress-induced reduction in reward-related prefrontal cortex function.,"Ossewaarde L, Qin S, Van Marle HJ, van Wingen GA, Fernandez G, Hermans EJ",NeuroImage,0.129,21126593,-1,-1
animal_00046,https://pubmed.ncbi.nlm.nih.gov/24741043/,Cannabis use is quantitatively associated with nucleus accumbens and amygdala abnormalities in young adult recreational users.,"Gilman JM, Kuster JK, Lee S, Lee MJ, Kim BW, Makris N, van der Kouwe A, Blood AJ, Breiter HC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.126,24741043,-1,-1
animal_00047,https://pubmed.ncbi.nlm.nih.gov/20497902/,Human bed nucleus of the stria terminalis indexes hypervigilant threat monitoring.,"Somerville LH, Whalen PJ, Kelley WM",Biological psychiatry,0.125,20497902,-1,-1
animal_00048,https://pubmed.ncbi.nlm.nih.gov/15504333/,Tuning curves for approximate numerosity in the human intraparietal sulcus.,"Piazza M, Izard V, Pinel P, Le Bihan D, Dehaene S",Neuron,0.124,15504333,-1,-1
animal_00049,https://pubmed.ncbi.nlm.nih.gov/18579347/,Cannabinoid receptor 1 (CNR1) gene: impact on antidepressant treatment response and emotion processing in major depression.,"Domschke K, Dannlowski U, Ohrmann P, Lawford B, Bauer J, Kugel H, Heindel W, Young R, Morris P, Arolt V, Deckert J, Suslow T, Baune BT",European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,0.122,18579347,-1,-1
animal_00050,https://pubmed.ncbi.nlm.nih.gov/18718326/,Supraspinal locomotor control in quadrupeds and humans.,"Jahn K, Deutschlander A, Stephan T, Kalla R, Hufner K, Wagner J, Strupp M, Brandt T",Progress in brain research,0.122,18718326,-1,-1
animal_00051,https://pubmed.ncbi.nlm.nih.gov/16648455/,Intracortically distributed neurovascular coupling relationships within and between human somatosensory cortices.,"Arthurs OJ, Donovan T, Spiegelhalter DJ, Pickard JD, Boniface SJ","Cerebral cortex (New York, N.Y. : 1991)",0.12,16648455,-1,-1
animal_00052,https://pubmed.ncbi.nlm.nih.gov/15582114/,Disruption of learned irrelevance in acute schizophrenia in a novel continuous within-subject paradigm suitable for fMRI.,"Young AM, Kumari V, Mehrotra R, Hemsley DR, Andrew C, Sharma T, Williams SC, Gray JA",Behavioural brain research,0.119,15582114,-1,-1
animal_00053,https://pubmed.ncbi.nlm.nih.gov/17360900/,Erythropoietin enhances hippocampal response during memory retrieval in humans.,"Miskowiak K, O'Sullivan U, Harmer CJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.119,17360900,-1,-1
animal_00054,https://pubmed.ncbi.nlm.nih.gov/15887056/,"Tryptophan depletion reduces right inferior prefrontal activation during response inhibition in fast, event-related fMRI.","Rubia K, Lee F, Cleare AJ, Tunstall N, Fu CH, Brammer M, McGuire P",Psychopharmacology,0.116,15887056,10.1007/s00213-004-2116-z,-1
animal_00055,https://pubmed.ncbi.nlm.nih.gov/15883379/,Brain response to putative pheromones in homosexual men.,"Savic I, Berglund H, Lindstrom P",Proceedings of the National Academy of Sciences of the United States of America,0.115,15883379,10.1073/pnas.0407998102,-1
animal_00056,https://pubmed.ncbi.nlm.nih.gov/18057110/,Vestibular nuclei and cerebellum put visual gravitational motion in context.,"Miller WL, Maffei V, Bosco G, Iosa M, Zago M, Macaluso E, Lacquaniti F",Journal of neurophysiology,0.113,18057110,10.1152/jn.00889.2007,-1
animal_00057,https://pubmed.ncbi.nlm.nih.gov/15130584/,Blindness and brain plasticity: contribution of mental imagery? An fMRI study.,"Lambert S, Sampaio E, Mauss Y, Scheiber C",Brain research. Cognitive brain research,0.111,15130584,10.1016/j.cogbrainres.2003.12.012,-1
