paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
appraisal_00001,https://pubmed.ncbi.nlm.nih.gov/21699987/,Naturalizing aesthetics: brain areas for aesthetic appraisal across sensory modalities.,"Brown S, Gao X, Tisdelle L, Eickhoff SB, Liotti M",NeuroImage,0.568,21699987,-1,-1
appraisal_00002,https://pubmed.ncbi.nlm.nih.gov/22230228/,Medial prefrontal functional connectivity--relation to memory self-appraisal accuracy in older adults with and without memory disorders.,"Ries ML, McLaren DG, Bendlin BB, Guofanxu, Rowley HA, Birn R, Kastman EK, Sager MA, Asthana S, Johnson SC",Neuropsychologia,0.395,22230228,-1,-1
appraisal_00003,https://pubmed.ncbi.nlm.nih.gov/16326117/,Self-appraisal decisions evoke dissociated dorsal-ventral aMPFC networks.,"Schmitz TW, Johnson SC",NeuroImage,0.347,16326117,-1,-1
appraisal_00004,https://pubmed.ncbi.nlm.nih.gov/22936905/,Emotional and cognitive processing of narratives and individual appraisal styles: recruitment of cognitive control networks vs. modulation of deactivations.,"Benelli E, Mergenthaler E, Walter S, Messina I, Sambin M, Buchheim A, Sim EJ, Viviani R",Frontiers in human neuroscience,0.312,22936905,-1,-1
appraisal_00005,https://pubmed.ncbi.nlm.nih.gov/21320516/,Gender differences in the neural correlates of humor processing: implications for different processing modes.,"Kohn N, Kellermann T, Gur RC, Schneider F, Habel U",Neuropsychologia,0.31,21320516,-1,-1
appraisal_00006,https://pubmed.ncbi.nlm.nih.gov/17913515/,Imaging brain and immune association accompanying cognitive appraisal of an acute stressor.,"Ohira H, Isowa T, Nomura M, Ichikawa N, Kimura K, Miyakoshi M, Iidaka T, Fukuyama S, Nakajima T, Yamada J",NeuroImage,0.307,17913515,-1,-1
appraisal_00007,https://pubmed.ncbi.nlm.nih.gov/23460073/,Responses of medial and ventrolateral prefrontal cortex to interpersonal conflict for resources.,"Koban L, Pichon S, Vuilleumier P",Social cognitive and affective neuroscience,0.265,23460073,-1,-1
appraisal_00008,https://pubmed.ncbi.nlm.nih.gov/26757433/,Cerebral Correlates of Emotional and Action Appraisals During Visual Processing of Emotional Scenes Depending on Spatial Frequency: A Pilot Study.,"Campagne A, Fradcourt B, Pichat C, Baciu M, Kauffmann L, Peyrin C",PloS one,0.242,26757433,-1,-1
appraisal_00009,https://pubmed.ncbi.nlm.nih.gov/26117067/,BDNF Val66Met polymorphism in patterns of neural activation in individuals with MDD and healthy controls.,"Lisiecka DM, O'Hanlon E, Fagan AJ, Carballedo A, Morris D, Suckling J, Frodl T",Journal of affective disorders,0.241,26117067,-1,-1
appraisal_00010,https://pubmed.ncbi.nlm.nih.gov/16102979/,Task-dependent posterior cingulate activation in mild cognitive impairment.,"Ries ML, Schmitz TW, Kawahara TN, Torgerson BM, Trivedi MA, Johnson SC",NeuroImage,0.24,16102979,-1,-1
appraisal_00011,https://pubmed.ncbi.nlm.nih.gov/14980580/,Neural correlates of individual ratings of emotional salience: a trial-related fMRI study.,"Phan KL, Taylor SF, Welsh RC, Ho SH, Britton JC, Liberzon I",NeuroImage,0.238,14980580,-1,-1
appraisal_00012,https://pubmed.ncbi.nlm.nih.gov/16125977/,Affective ambiguity for a group recruits ventromedial prefrontal cortex.,"Simmons A, Stein MB, Matthews SC, Feinstein JS, Paulus MP",NeuroImage,0.236,16125977,-1,-1
appraisal_00013,https://pubmed.ncbi.nlm.nih.gov/25165065/,Dissociating Bottom-Up and Top-Down Mechanisms in the Cortico-Limbic System during Emotion Processing.,"Comte M, Schon D, Coull JT, Reynaud E, Khalfa S, Belzeaux R, Ibrahim EC, Guedj E, Blin O, Weinberger DR, Fakra E","Cerebral cortex (New York, N.Y. : 1991)",0.224,25165065,-1,-1
appraisal_00014,https://pubmed.ncbi.nlm.nih.gov/25609611/,Sex-Dependent Dissociation between Emotional Appraisal and Memory: A Large-Scale  Behavioral and fMRI Study.,"Spalek K, Fastenrath M, Ackermann S, Auschra B, Coynel D, Frey J, Gschwind L, Hartmann F, van der Maarel N, Papassotiropoulos A, de Quervain D, Milnik A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.214,25609611,-1,-1
appraisal_00015,https://pubmed.ncbi.nlm.nih.gov/16055351/,Emotion and attention interactions in social cognition: brain regions involved in processing anger prosody.,"Sander D, Grandjean D, Pourtois G, Schwartz S, Seghier ML, Scherer KR, Vuilleumier P",NeuroImage,0.207,16055351,-1,-1
appraisal_00016,https://pubmed.ncbi.nlm.nih.gov/23348009/,Allopregnanolone elevations following pregnenolone administration are associated  with enhanced activation of emotion regulation neurocircuits.,"Sripada RK, Marx CE, King AP, Rampton JC, Ho SS, Liberzon I",Biological psychiatry,0.203,23348009,-1,-1
appraisal_00017,https://pubmed.ncbi.nlm.nih.gov/28111546/,The Role of Left Hemispheric Structures for Emotional Processing as a Monitor of  Bodily Reaction and Felt Chill - a Case-Control Functional Imaging Study.,"Grunkina V, Holtz K, Klepzig K, Neubert J, Horn U, Domin M, Hamm AO, Lotze M",Frontiers in human neuroscience,0.196,28111546,-1,-1
appraisal_00018,https://pubmed.ncbi.nlm.nih.gov/16154166/,Neural correlates of self-evaluative accuracy after traumatic brain injury.,"Schmitz TW, Rowley HA, Kawahara TN, Johnson SC",Neuropsychologia,0.185,16154166,-1,-1
appraisal_00019,https://pubmed.ncbi.nlm.nih.gov/18938199/,Enter feelings: somatosensory responses following early stages of visual induction of emotion.,"Rudrauf D, Lachaux JP, Damasio A, Baillet S, Hugueville L, Martinerie J, Damasio H, Renault B",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.181,18938199,-1,-1
appraisal_00020,https://pubmed.ncbi.nlm.nih.gov/18091986/,What are you feeling? Using functional magnetic resonance imaging to assess the modulation of sensory and affective responses during empathy for pain.,"Lamm C, Nusbaum HC, Meltzoff AN, Decety J",PloS one,0.179,18091986,-1,-1
appraisal_00021,https://pubmed.ncbi.nlm.nih.gov/26955513/,"Characterizing ""fibrofog"": Subjective appraisal, objective performance, and task-related brain activity during a working memory task.","Walitt B, Ceko M, Khatiwada M, Gracely JL, Rayhan R, VanMeter JW, Gracely RH",NeuroImage. Clinical,0.168,26955513,-1,-1
appraisal_00022,https://pubmed.ncbi.nlm.nih.gov/27814457/,Functional connectivity during masked and unmasked face emotion processing in bipolar disorder.,"Tseng WL, Thomas LA, Harkins E, Stoddard J, Zarate CA Jr, Pine DS, Leibenluft E, Brotman MA",Psychiatry research. Neuroimaging,0.134,27814457,-1,-1
appraisal_00023,https://pubmed.ncbi.nlm.nih.gov/26260311/,Sensations of skin infestation linked to abnormal frontolimbic brain reactivity and differences in self-representation.,"Eccles JA, Garfinkel SN, Harrison NA, Ward J, Taylor RE, Bewley AP, Critchley HD",Neuropsychologia,0.133,26260311,-1,-1
appraisal_00024,https://pubmed.ncbi.nlm.nih.gov/25675509/,Epigenetic modification of the oxytocin receptor gene influences the perception of anger and fear in the human brain.,"Puglia MH, Lillard TS, Morris JP, Connelly JJ",Proceedings of the National Academy of Sciences of the United States of America,0.127,25675509,-1,-1
appraisal_00025,https://pubmed.ncbi.nlm.nih.gov/23386740/,Sex differences in the neural bases of social appraisals.,"Veroude K, Jolles J, Croiset G, Krabbendam L",Social cognitive and affective neuroscience,0.126,23386740,-1,-1
appraisal_00026,https://pubmed.ncbi.nlm.nih.gov/28366831/,Functional magnetic resonance imaging investigation of brain regions associated with astringency.,"Kishi M, Sadachi H, Nakamura J, Tonoike M",Neuroscience research,0.124,28366831,-1,-1
appraisal_00027,https://pubmed.ncbi.nlm.nih.gov/18158315/,Reduced error-related activation in two anterior cingulate circuits is related to impaired performance in schizophrenia.,"Polli FE, Barton JJ, Thakkar KN, Greve DN, Goff DC, Rauch SL, Manoach DS",Brain : a journal of neurology,0.122,18158315,-1,-1
appraisal_00028,https://pubmed.ncbi.nlm.nih.gov/17728263/,Decomposing the neural correlates of antisaccade eye movements using event-related FMRI.,"Ettinger U, Ffytche DH, Kumari V, Kathmann N, Reuter B, Zelaya F, Williams SC","Cerebral cortex (New York, N.Y. : 1991)",0.121,17728263,-1,-1
appraisal_00029,https://pubmed.ncbi.nlm.nih.gov/25879953/,Neural mechanisms underlying urgent and evaluative behaviors: An fMRI study on the interaction of automatic and controlled processes.,"Megias A, Navas JF, Petrova D, Candido A, Maldonado A, Garcia-Retamero R, Catena A",Human brain mapping,0.119,25879953,-1,-1
