paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
arterial spin_00001,https://pubmed.ncbi.nlm.nih.gov/18201906/,Narrative speech production: an fMRI study using continuous arterial spin labeling.,"Troiani V, Fernandez-Seara MA, Wang Z, Detre JA, Ash S, Grossman M",NeuroImage,0.172,18201906,10.1016/j.neuroimage.2007.12.002,-1
arterial spin_00002,https://pubmed.ncbi.nlm.nih.gov/28887087/,A systematic study of the sensitivity of partial volume correction methods for the quantification of perfusion from pseudo-continuous arterial spin labeling MRI.,"Zhao MY, Mezue M, Segerdahl AR, Okell TW, Tracey I, Xiao Y, Chappell MA",NeuroImage,0.149,28887087,10.1016/j.neuroimage.2017.08.072,-1
arterial spin_00003,https://pubmed.ncbi.nlm.nih.gov/28712063/,Resisting Sleep Pressure: Impact on Resting State Functional Network Connectivity.,"Tushaus L, Balsters JH, Schlapfer A, Brandeis D, O'Gorman Tuura R, Achermann P",Brain topography,0.147,28712063,-1,-1
arterial spin_00004,https://pubmed.ncbi.nlm.nih.gov/15978840/,Towards quantification of blood-flow changes during cognitive task activation using perfusion-based fMRI.,"Mildner T, Zysset S, Trampel R, Driesel W, Moller HE",NeuroImage,0.14,15978840,-1,-1
arterial spin_00005,https://pubmed.ncbi.nlm.nih.gov/18499348/,Nicotine abstinence-induced cerebral blood flow changes by genotype.,"Wang Z, Ray R, Faith M, Tang K, Wileyto EP, Detre JA, Lerman C",Neuroscience letters,0.139,18499348,-1,-1
arterial spin_00006,https://pubmed.ncbi.nlm.nih.gov/16084114/,Concurrent CBF and CMRGlc changes during human brain activation by combined fMRI-PET scanning.,"Newberg AB, Wang J, Rao H, Swanson RL, Wintering N, Karp JS, Alavi A, Greenberg JH, Detre JA",NeuroImage,0.137,16084114,-1,-1
arterial spin_00007,https://pubmed.ncbi.nlm.nih.gov/23907764/,Intranasal insulin increases regional cerebral blood flow in the insular cortex in men independently of cortisol manipulation.,"Schilling TM, Ferreira de Sa DS, Westerhausen R, Strelzyk F, Larra MF, Hallschmid M, Savaskan E, Oitzl MS, Busch HP, Naumann E, Schachinger H",Human brain mapping,0.135,23907764,-1,-1
arterial spin_00008,https://pubmed.ncbi.nlm.nih.gov/24912164/,Impact of puberty on the evolution of cerebral perfusion during adolescence.,"Satterthwaite TD, Shinohara RT, Wolf DH, Hopson RD, Elliott MA, Vandekar SN, Ruparel K, Calkins ME, Roalf DR, Gennatas ED, Jackson C, Erus G, Prabhakaran K, Davatzikos C, Detre JA, Hakonarson H, Gur RC, Gur RE",Proceedings of the National Academy of Sciences of the United States of America,0.132,24912164,-1,-1
arterial spin_00009,https://pubmed.ncbi.nlm.nih.gov/24324781/,Brain's reward circuits mediate itch relief. a functional MRI study of active scratching.,"Papoiu AD, Nattkemper LA, Sanders KM, Kraft RA, Chan YH, Coghill RC, Yosipovitch G",PloS one,0.13,24324781,-1,-1
arterial spin_00010,https://pubmed.ncbi.nlm.nih.gov/28024236/,Cerebral blood flow and its connectivity features of auditory verbal hallucinations in schizophrenia: A perfusion study.,"Cui LB, Chen G, Xu ZL, Liu L, Wang HN, Guo L, Liu WM, Liu TT, Qi S, Liu K, Qin W, Sun JB, Xi YB, Yin H",Psychiatry research. Neuroimaging,0.129,28024236,-1,-1
arterial spin_00011,https://pubmed.ncbi.nlm.nih.gov/16423439/,Using perfusion fMRI to measure continuous changes in neural activity with learning.,"Olson IR, Rao H, Moore KS, Wang J, Detre JA, Aguirre GK",Brain and cognition,0.125,16423439,10.1016/j.bandc.2005.11.010,-1
arterial spin_00012,https://pubmed.ncbi.nlm.nih.gov/26085964/,Using arterial spin labeling to examine mood states in youth.,"Mikita N, Mehta MA, Zelaya FO, Stringaris A",Brain and behavior,0.121,26085964,10.1002/brb3.339,-1
arterial spin_00013,https://pubmed.ncbi.nlm.nih.gov/27792964/,Increased cerebral blood flow among adolescents with bipolar disorder at rest is  reduced following acute aerobic exercise.,"MacIntosh BJ, Shirzadi Z, Scavone A, Metcalfe AW, Islam AH, Korczak D, Goldstein BI",Journal of affective disorders,0.121,27792964,10.1016/j.jad.2016.08.060,-1
arterial spin_00014,https://pubmed.ncbi.nlm.nih.gov/22446490/,Effect of paroxetine and bupropion on human resting brain perfusion: an arterial  spin labeling study.,"Viviani R, Abler B, Seeringer A, Stingl JC",NeuroImage,0.116,22446490,10.1016/j.neuroimage.2012.03.014,-1
