paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
asymmetry_00001,https://pubmed.ncbi.nlm.nih.gov/20227250/,Bilateral functional asymmetry disparity in positive and negative schizophrenia revealed by resting-state fMRI.,"Ke M, Zou R, Shen H, Huang X, Zhou Z, Liu Z, Xue Z, Hu D",Psychiatry research,0.615,20227250,-1,-1
asymmetry_00002,https://pubmed.ncbi.nlm.nih.gov/12880818/,Gender and age effects in structural brain asymmetry as measured by MRI texture analysis.,"Kovalev VA, Kruggel F, von Cramon DY",NeuroImage,0.577,12880818,-1,-1
asymmetry_00003,https://pubmed.ncbi.nlm.nih.gov/26958462/,Correlation between amygdala BOLD activity and frontal EEG asymmetry during real-time fMRI neurofeedback training in patients with depression.,"Zotev V, Yuan H, Misaki M, Phillips R, Young KD, Feldner MT, Bodurka J",NeuroImage. Clinical,0.49,26958462,-1,-1
asymmetry_00004,https://pubmed.ncbi.nlm.nih.gov/22108343/,Network asymmetry of motor areas revealed by resting-state functional magnetic resonance imaging.,"Yan LR, Wu YB, Hu DW, Qin SZ, Xu GZ, Zeng XH, Song H",Behavioural brain research,0.487,22108343,-1,-1
asymmetry_00005,https://pubmed.ncbi.nlm.nih.gov/17942721/,Bihemispheric leftward bias in a visuospatial attention-related network.,"Siman-Tov T, Mendelsohn A, Schonberg T, Avidan G, Podlipsky I, Pessoa L, Gadoth N, Ungerleider LG, Hendler T",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.466,17942721,-1,-1
asymmetry_00006,https://pubmed.ncbi.nlm.nih.gov/15993759/,Cerebral asymmetry in children when reading Chinese characters.,"Xue G, Dong Q, Chen K, Jin Z, Chen C, Zeng Y, Reiman EM",Brain research. Cognitive brain research,0.465,15993759,-1,-1
asymmetry_00007,https://pubmed.ncbi.nlm.nih.gov/20147555/,Reduced laterality as a trait marker of schizophrenia--evidence from structural and functional neuroimaging.,"Oertel V, Knochel C, Rotarska-Jagiela A, Schonmeyer R, Lindner M, van de Ven V, Haenschel C, Uhlhaas P, Maurer K, Linden DE",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.454,20147555,-1,-1
asymmetry_00008,https://pubmed.ncbi.nlm.nih.gov/15325368/,White matter hemisphere asymmetries in healthy subjects and in schizophrenia: a diffusion tensor MRI study.,"Park HJ, Westin CF, Kubicki M, Maier SE, Niznikiewicz M, Baer A, Frumin M, Kikinis R, Jolesz FA, McCarley RW, Shenton ME",NeuroImage,0.436,15325368,-1,-1
asymmetry_00009,https://pubmed.ncbi.nlm.nih.gov/23701459/,A surface-based analysis of language lateralization and cortical asymmetry.,"Greve DN, Van der Haegen L, Cai Q, Stufflebeam S, Sabuncu MR, Fischl B, Brysbaert M",Journal of cognitive neuroscience,0.412,23701459,-1,-1
asymmetry_00010,https://pubmed.ncbi.nlm.nih.gov/20647004/,Sexual dimorphism and asymmetry in human cerebellum: an MRI-based morphometric study.,"Fan L, Tang Y, Sun B, Gong G, Chen ZJ, Lin X, Yu T, Li Z, Evans AC, Liu S",Brain research,0.396,20647004,-1,-1
asymmetry_00011,https://pubmed.ncbi.nlm.nih.gov/24475058/,Temporal reliability and lateralization of the resting-state language network.,"Zhu L, Fan Y, Zou Q, Wang J, Gao JH, Niu Z",PloS one,0.358,24475058,-1,-1
asymmetry_00012,https://pubmed.ncbi.nlm.nih.gov/12614998/,Reversed cerebellar asymmetry in men with first-episode schizophrenia.,"Szeszko PR, Gunning-Dixon F, Ashtari M, Snyder PJ, Lieberman JA, Bilder RM",Biological psychiatry,0.344,12614998,-1,-1
asymmetry_00013,https://pubmed.ncbi.nlm.nih.gov/27020136/,Regional correlations between cortical thickness and surface area asymmetries: A  surface-based morphometry study of 250 adults.,"Maingault S, Tzourio-Mazoyer N, Mazoyer B, Crivello F",Neuropsychologia,0.339,27020136,-1,-1
asymmetry_00014,https://pubmed.ncbi.nlm.nih.gov/19199416/,Beyond hemispheric dominance: brain regions underlying the joint lateralization of language and arithmetic to the left hemisphere.,"Pinel P, Dehaene S",Journal of cognitive neuroscience,0.337,19199416,-1,-1
asymmetry_00015,https://pubmed.ncbi.nlm.nih.gov/25636911/,Unmasking Language Lateralization in Human Brain Intrinsic Activity.,"McAvoy M, Mitra A, Coalson RS, d'Avossa G, Keidel JL, Petersen SE, Raichle ME","Cerebral cortex (New York, N.Y. : 1991)",0.305,25636911,10.1093/cercor/bhv007,-1
asymmetry_00016,https://pubmed.ncbi.nlm.nih.gov/20177767/,Quantitative analysis of asymmetrical cortical activity based on power spectrum changes.,"Zhang J, Chen H, Fang F, Liao W",Brain topography,0.302,20177767,10.1007/s10548-010-0136-z,-1
asymmetry_00017,https://pubmed.ncbi.nlm.nih.gov/17350756/,Depressed mood and lateralized prefrontal activity during a Stroop task in adolescent children.,"Killgore WD, Gruber SA, Yurgelun-Todd DA",Neuroscience letters,0.293,17350756,10.1016/j.neulet.2007.01.081,-1
asymmetry_00018,https://pubmed.ncbi.nlm.nih.gov/28229041/,Hemispheric asymmetry in myelin after stroke is related to motor impairment and function.,"Lakhani B, Hayward KS, Boyd LA",NeuroImage. Clinical,0.293,28229041,-1,-1
asymmetry_00019,https://pubmed.ncbi.nlm.nih.gov/21677180/,Asymmetry of parietal interhemispheric connections in humans.,"Koch G, Cercignani M, Bonni S, Giacobbe V, Bucchi G, Versace V, Caltagirone C, Bozzali M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.291,21677180,-1,-1
asymmetry_00020,https://pubmed.ncbi.nlm.nih.gov/21126527/,Language lateralization in left-handed patients with schizophrenia.,"Razafimandimby A, Tzourio-Mazoyer N, Mazoyer B, Maiza O, Dollfus S",Neuropsychologia,0.286,21126527,-1,-1
asymmetry_00021,https://pubmed.ncbi.nlm.nih.gov/23672819/,Reduced functional connectivity and asymmetry of the planum temporale in patients with schizophrenia and first-degree relatives.,"Oertel-Knochel V, Knochel C, Matura S, Prvulovic D, Linden DE, van de Ven V",Schizophrenia research,0.286,23672819,10.1016/j.schres.2013.04.024,-1
asymmetry_00022,https://pubmed.ncbi.nlm.nih.gov/19710382/,Functional asymmetries revealed in visually guided saccades: an FMRI study.,"Petit L, Zago L, Vigneau M, Andersson F, Crivello F, Mazoyer B, Mellet E, Tzourio-Mazoyer N",Journal of neurophysiology,0.271,19710382,10.1152/jn.00280.2009,-1
asymmetry_00023,https://pubmed.ncbi.nlm.nih.gov/21500314/,"Cerebral lateralization of praxis in right- and left-handedness: same pattern, different strength.","Vingerhoets G, Acke F, Alderweireldt AS, Nys J, Vandemaele P, Achten E",Human brain mapping,0.266,21500314,10.1002/hbm.21247,-1
asymmetry_00024,https://pubmed.ncbi.nlm.nih.gov/24638878/,Heschl's gyrification pattern is related to speech-listening hemispheric lateralization: FMRI investigation in 281 healthy volunteers.,"Tzourio-Mazoyer N, Marie D, Zago L, Jobard G, Perchey G, Leroux G, Mellet E, Joliot M, Crivello F, Petit L, Mazoyer B",Brain structure & function,0.266,24638878,10.1007/s00429-014-0746-4,-1
asymmetry_00025,https://pubmed.ncbi.nlm.nih.gov/25369523/,Asymmetrical Effect of Levodopa on the Neural Activity of Motor Regions in PD.,"Martinu K, Nagano-Saito A, Fogel S, Monchi O",PloS one,0.266,25369523,10.1371/journal.pone.0111600,-1
asymmetry_00026,https://pubmed.ncbi.nlm.nih.gov/12165364/,Correlation of cerebral blood flow and treatment effects of repetitive transcranial magnetic stimulation in depressed patients.,"Mottaghy FM, Keller CE, Gangitano M, Ly J, Thall M, Parker JA, Pascual-Leone A",Psychiatry research,0.264,12165364,10.1016/s0925-4927(02)00032-x,-1
asymmetry_00027,https://pubmed.ncbi.nlm.nih.gov/24619004/,Abnormal neural processing during emotional salience attribution of affective asymmetry in patients with schizophrenia.,"Lee SK, Chun JW, Lee JS, Park HJ, Jung YC, Seok JH, Kim JJ",PloS one,0.252,24619004,-1,-1
