paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
attention task_00001,https://pubmed.ncbi.nlm.nih.gov/18577390/,Cortical recruitment during selective attention in multiple sclerosis: an fMRI investigation of individual differences.,"Prakash RS, Erickson KI, Snook EM, Colcombe SJ, Motl RW, Kramer AF",Neuropsychologia,0.238,18577390,10.1016/j.neuropsychologia.2008.05.027,-1
attention task_00002,https://pubmed.ncbi.nlm.nih.gov/23062751/,The effect of distracting noise on the neuronal mechanisms of attention in schizophrenia.,"Tregellas JR, Smucny J, Eichman L, Rojas DC",Schizophrenia research,0.232,23062751,10.1016/j.schres.2012.09.008,-1
attention task_00003,https://pubmed.ncbi.nlm.nih.gov/20728549/,Variations of response time in a selective attention task are linked to variations of functional connectivity in the attentional network.,"Prado J, Carp J, Weissman DH",NeuroImage,0.223,20728549,10.1016/j.neuroimage.2010.08.022,-1
attention task_00004,https://pubmed.ncbi.nlm.nih.gov/22905090/,Distinct neural activity associated with focused-attention meditation and loving-kindness meditation.,"Lee TM, Leung MK, Hou WK, Tang JC, Yin J, So KF, Lee CF, Chan CC",PloS one,0.217,22905090,10.1371/journal.pone.0040054,-1
attention task_00005,https://pubmed.ncbi.nlm.nih.gov/26514295/,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study.,"Koike T, Tanabe HC, Okazaki S, Nakagawa E, Sasaki AT, Shimada K, Sugawara SK, Takahashi HK, Yoshihara K, Bosch-Bayard J, Sadato N",NeuroImage,0.215,26514295,10.1016/j.neuroimage.2015.09.076,-1
attention task_00006,https://pubmed.ncbi.nlm.nih.gov/10356062/,A large-scale distributed network for covert spatial attention: further anatomical delineation based on stringent behavioural and cognitive controls.,"Gitelman DR, Nobre AC, Parrish TB, LaBar KS, Kim YH, Meyer JR, Mesulam M",Brain : a journal of neurology,0.198,10356062,10.1093/brain/122.6.1093,-1
attention task_00007,https://pubmed.ncbi.nlm.nih.gov/22841389/,Executive functions in mild cognitive impairment: emergence and breakdown of neural plasticity.,"Clement F, Gauthier S, Belleville S",Cortex; a journal devoted to the study of the nervous system and behavior,0.198,22841389,10.1016/j.cortex.2012.06.004,-1
attention task_00008,https://pubmed.ncbi.nlm.nih.gov/23645721/,Functional Connectivity and Brain Activation: A Synergistic Approach.,"Tomasi D, Wang R, Wang GJ, Volkow ND","Cerebral cortex (New York, N.Y. : 1991)",0.194,23645721,10.1093/cercor/bht119,-1
attention task_00009,https://pubmed.ncbi.nlm.nih.gov/22203319/,Methylphenidate modulates sustained attention and cortical activation in survivors of traumatic brain injury: a perfusion fMRI study.,"Kim J, Whyte J, Patel S, Europa E, Wang J, Coslett HB, Detre JA",Psychopharmacology,0.19,22203319,10.1007/s00213-011-2622-8,-1
attention task_00010,https://pubmed.ncbi.nlm.nih.gov/24108799/,Neural Conflict-Control Mechanisms Improve Memory for Target Stimuli.,"Krebs RM, Boehler CN, De Belder M, Egner T","Cerebral cortex (New York, N.Y. : 1991)",0.187,24108799,10.1093/cercor/bht283,-1
