paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
autobiographical memory_00001,https://pubmed.ncbi.nlm.nih.gov/22386970/,Autobiographical memory in depression: an fMRI study.,"Whalley MG, Rugg MD, Brewin CR",Psychiatry research,0.508,22386970,10.1016/j.pscychresns.2011.08.008,-1
autobiographical memory_00002,https://pubmed.ncbi.nlm.nih.gov/19720072/,Autobiographical memory in semantic dementia: a longitudinal fMRI study.,"Maguire EA, Kumaran D, Hassabis D, Kopelman MD",Neuropsychologia,0.439,19720072,10.1016/j.neuropsychologia.2009.08.020,-1
autobiographical memory_00003,https://pubmed.ncbi.nlm.nih.gov/23036282/,The neural basis of autobiographical memory deficits in transient epileptic amnesia.,"Milton F, Butler CR, Benattayallah A, Zeman AZ",Neuropsychologia,0.401,23036282,10.1016/j.neuropsychologia.2012.09.027,-1
autobiographical memory_00004,https://pubmed.ncbi.nlm.nih.gov/16257547/,Ecphory of autobiographical memories: an fMRI study of recent and remote memory retrieval.,"Steinvorth S, Corkin S, Halgren E",NeuroImage,0.366,16257547,10.1016/j.neuroimage.2005.09.025,-1
autobiographical memory_00005,https://pubmed.ncbi.nlm.nih.gov/15704151/,Gender differences in the functional neuroanatomy of emotional episodic autobiographical memory.,"Piefke M, Weiss PH, Markowitsch HJ, Fink GR",Human brain mapping,0.355,15704151,10.1002/hbm.20092,-1
autobiographical memory_00006,https://pubmed.ncbi.nlm.nih.gov/22421385/,Neural correlates of autobiographical memory in amnestic Mild Cognitive Impairment.,"Matura S, Muth K, Magerkurth J, Walter H, Klein J, Haenschel C, Pantel J",Psychiatry research,0.353,22421385,10.1016/j.pscychresns.2011.06.007,-1
autobiographical memory_00007,https://pubmed.ncbi.nlm.nih.gov/18619985/,A case of persistent retrograde amnesia following a dissociative fugue: neuropsychological and neurofunctional underpinnings of loss of autobiographical  memory and self-awareness.,"Hennig-Fast K, Meister F, Frodl T, Beraldi A, Padberg F, Engel RR, Reiser M, Moller HJ, Meindl T",Neuropsychologia,0.341,18619985,10.1016/j.neuropsychologia.2008.06.014,-1
autobiographical memory_00008,https://pubmed.ncbi.nlm.nih.gov/23071546/,MRI-based volumetry correlates of autobiographical memory in Alzheimer's disease.,"Philippi N, Noblet V, Botzung A, Despres O, Renard F, Sfikas G, Cretin B, Kremer S, Manning L, Blanc F",PloS one,0.337,23071546,10.1371/journal.pone.0046200,-1
autobiographical memory_00009,https://pubmed.ncbi.nlm.nih.gov/12566286/,Differential remoteness and emotional tone modulate the neural correlates of autobiographical memory.,"Piefke M, Weiss PH, Zilles K, Markowitsch HJ, Fink GR",Brain : a journal of neurology,0.336,12566286,10.1093/brain/awg064,-1
autobiographical memory_00010,https://pubmed.ncbi.nlm.nih.gov/16959412/,Material-independent cerebral network of re-experiencing personal events: evidence from two parallel fMRI experiments.,"Denkova E, Botzung A, Scheiber C, Manning L",Neuroscience letters,0.316,16959412,10.1016/j.neulet.2006.07.075,-1
