paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
autonomic_00001,https://pubmed.ncbi.nlm.nih.gov/12725766/,Changes in cerebral morphology consequent to peripheral autonomic denervation.,"Critchley HD, Good CD, Ashburner J, Frackowiak RS, Mathias CJ, Dolan RJ",NeuroImage,0.616,12725766,10.1016/s1053-8119(03)00011-9,-1
autonomic_00002,https://pubmed.ncbi.nlm.nih.gov/25115821/,Brain Circuitry Supporting Multi-Organ Autonomic Outflow in Response to Nausea.,"Sclocco R, Kim J, Garcia RG, Sheehan JD, Beissner F, Bianchi AM, Cerutti S, Kuo B, Barbieri R, Napadow V","Cerebral cortex (New York, N.Y. : 1991)",0.584,25115821,10.1093/cercor/bhu172,-1
autonomic_00003,https://pubmed.ncbi.nlm.nih.gov/26682467/,Alterations in Amygdala-Prefrontal Functional Connectivity Account for Excessive  Worry and Autonomic Dysregulation in Generalized Anxiety Disorder.,"Makovac E, Meeten F, Watson DR, Herman A, Garfinkel SN, D Critchley H, Ottaviani C",Biological psychiatry,0.52,26682467,-1,-1
autonomic_00004,https://pubmed.ncbi.nlm.nih.gov/11856537/,Fear conditioning in humans: the influence of awareness and autonomic arousal on  functional neuroanatomy.,"Critchley HD, Mathias CJ, Dolan RJ",Neuron,0.493,11856537,-1,-1
autonomic_00005,https://pubmed.ncbi.nlm.nih.gov/16284946/,Human attachment security is mediated by the amygdala: evidence from combined fMRI and psychophysiological measures.,"Lemche E, Giampietro VP, Surguladze SA, Amaro EJ, Andrew CM, Williams SC, Brammer MJ, Lawrence N, Maier MA, Russell TA, Simmons A, Ecker C, Joraschky P, Phillips ML",Human brain mapping,0.481,16284946,-1,-1
autonomic_00006,https://pubmed.ncbi.nlm.nih.gov/27345596/,Neurobiological substrates of cognitive rigidity and autonomic inflexibility in generalized anxiety disorder.,"Ottaviani C, Watson DR, Meeten F, Makovac E, Garfinkel SN, Critchley HD",Biological psychology,0.435,27345596,-1,-1
autonomic_00007,https://pubmed.ncbi.nlm.nih.gov/29107022/,Error Blindness and Motivational Significance: Shifts in Networks Centering on Anterior Insula Co-Vary with Error Awareness and Pupil Dilation.,"Harsay HA, Cohen MX, Spaan M, Weeda WD, Nieuwenhuis S, Ridderinkhof KR",Behavioural brain research,0.435,29107022,-1,-1
autonomic_00008,https://pubmed.ncbi.nlm.nih.gov/12821513/,Human cingulate cortex and autonomic control: converging neuroimaging and clinical evidence.,"Critchley HD, Mathias CJ, Josephs O, O'Doherty J, Zanini S, Dewar BK, Cipolotti L, Shallice T, Dolan RJ",Brain : a journal of neurology,0.41,12821513,-1,-1
autonomic_00009,https://pubmed.ncbi.nlm.nih.gov/15996878/,Anterior cingulate activity during error and autonomic response.,"Critchley HD, Tang J, Glaser D, Butterworth B, Dolan RJ",NeuroImage,0.39,15996878,-1,-1
autonomic_00010,https://pubmed.ncbi.nlm.nih.gov/20417032/,"Dissection of perceptual, motor and autonomic components of brain activity evoked by noxious stimulation.","Piche M, Arsenault M, Rainville P",Pain,0.384,20417032,-1,-1
