paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
awareness_00001,https://pubmed.ncbi.nlm.nih.gov/16699081/,Similar frontal and distinct posterior cortical regions mediate visual and auditory perceptual awareness.,"Eriksson J, Larsson A, Ahlstrom KR, Nyberg L","Cerebral cortex (New York, N.Y. : 1991)",0.677,16699081,-1,-1
awareness_00002,https://pubmed.ncbi.nlm.nih.gov/28119346/,Dissociating the Neural Basis of Conceptual Self-Awareness from Perceptual Awareness and Unaware Self-Processing.,"Tacikowski P, Berger CC, Ehrsson HH","Cerebral cortex (New York, N.Y. : 1991)",0.64,28119346,-1,-1
awareness_00003,https://pubmed.ncbi.nlm.nih.gov/25481475/,Neuroanatomical correlates of awareness of illness in patients with amnestic mild cognitive impairment who will or will not convert to Alzheimer's disease.,"Spalletta G, Piras F, Piras F, Sancesario G, Iorio M, Fratangeli C, Cacciari C, Caltagirone C, Orfei MD",Cortex; a journal devoted to the study of the nervous system and behavior,0.632,25481475,-1,-1
awareness_00004,https://pubmed.ncbi.nlm.nih.gov/15050561/,Awareness of muscular force during movement production: an fMRI study.,"de Graaf JB, Gallea C, Pailhous J, Anton JL, Roth M, Bonnard M",NeuroImage,0.588,15050561,-1,-1
awareness_00005,https://pubmed.ncbi.nlm.nih.gov/23175832/,Purging of memories from conscious awareness tracked in the human brain.,"Levy BJ, Anderson MC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.568,23175832,-1,-1
awareness_00006,https://pubmed.ncbi.nlm.nih.gov/16957082/,Mode of functional connectivity in amygdala pathways dissociates level of awareness for signals of fear.,"Williams LM, Das P, Liddell BJ, Kemp AH, Rennie CJ, Gordon E",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.546,16957082,-1,-1
awareness_00007,https://pubmed.ncbi.nlm.nih.gov/19026710/,Conflict-related activity in the caudal anterior cingulate cortex in the absence  of awareness.,"Ursu S, Clark KA, Aizenstein HJ, Stenger VA, Carter CS",Biological psychology,0.519,19026710,-1,-1
awareness_00008,https://pubmed.ncbi.nlm.nih.gov/25140051/,Automatic emotion processing as a function of trait emotional awareness: an fMRI  study.,"Lichev V, Sacher J, Ihme K, Rosenberg N, Quirin M, Lepsien J, Pampel A, Rufer M, Grabe HJ, Kugel H, Kersting A, Villringer A, Lane RD, Suslow T",Social cognitive and affective neuroscience,0.512,25140051,-1,-1
awareness_00009,https://pubmed.ncbi.nlm.nih.gov/20668188/,Multiple mechanisms of consciousness: the neural correlates of emotional awareness.,"Amting JM, Greening SG, Mitchell DG",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.507,20668188,-1,-1
awareness_00010,https://pubmed.ncbi.nlm.nih.gov/17490989/,The angular gyrus computes action awareness representations.,"Farrer C, Frey SH, Van Horn JD, Tunik E, Turk D, Inati S, Grafton ST","Cerebral cortex (New York, N.Y. : 1991)",0.506,17490989,-1,-1
