paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
ba 44_00001,https://pubmed.ncbi.nlm.nih.gov/20143384/,Left cytoarchitectonic BA 44 processes syntactic gender violations in determiner  phrases.,"Heim S, van Ermingen M, Huber W, Amunts K",Human brain mapping,0.432,20143384,-1,-1
ba 44_00002,https://pubmed.ncbi.nlm.nih.gov/15319311/,Is Broca's area crucial for imitation?,Makuuchi M,"Cerebral cortex (New York, N.Y. : 1991)",0.408,15319311,-1,-1
ba 44_00003,https://pubmed.ncbi.nlm.nih.gov/16310346/,The role of the left Brodmann's areas 44 and 45 in reading words and pseudowords.,"Heim S, Alter K, Ischebeck AK, Amunts K, Eickhoff SB, Mohlberg H, Zilles K, von Cramon DY, Friederici AD",Brain research. Cognitive brain research,0.397,16310346,-1,-1
ba 44_00004,https://pubmed.ncbi.nlm.nih.gov/25871627/,The language skeleton after dissecting meaning: A functional segregation within Broca's Area.,"Goucha T, Friederici AD",NeuroImage,0.345,25871627,-1,-1
ba 44_00005,https://pubmed.ncbi.nlm.nih.gov/11958964/,Neural activation during an explicit categorization task: category- or feature-specific effects?,"Kraut MA, Moo LR, Segal JB, Hart J Jr",Brain research. Cognitive brain research,0.333,11958964,-1,-1
ba 44_00006,https://pubmed.ncbi.nlm.nih.gov/18423328/,Differences in effective connectivity between dyslexic children and normal readers during a pseudoword reading task: an fMRI study.,"Quaglino V, Bourdin B, Czternasty G, Vrignaud P, Fall S, Meyer ME, Berquin P, Devauchelle B, de Marco G",Neurophysiologie clinique = Clinical neurophysiology,0.291,18423328,-1,-1
ba 44_00007,https://pubmed.ncbi.nlm.nih.gov/20943261/,What artificial grammar learning reveals about the neurobiology of syntax.,"Petersson KM, Folia V, Hagoort P",Brain and language,0.274,20943261,-1,-1
ba 44_00008,https://pubmed.ncbi.nlm.nih.gov/25218167/,Fronto-parietal network supports context-dependent speech comprehension.,"Smirnov D, Glerean E, Lahnakoski JM, Salmi J, Jaaskelainen IP, Sams M, Nummenmaa L",Neuropsychologia,0.259,25218167,-1,-1
ba 44_00009,https://pubmed.ncbi.nlm.nih.gov/20112243/,Conditional and syllogistic deductive tasks dissociate functionally during premise integration.,"Reverberi C, Cherubini P, Frackowiak RS, Caltagirone C, Paulesu E, Macaluso E",Human brain mapping,0.25,20112243,-1,-1
ba 44_00010,https://pubmed.ncbi.nlm.nih.gov/18344173/,The determiner congruency effect in language production investigated with functional MRI.,"Heim S, Friederici AD, Schiller NO, Ruschemeyer SA, Amunts K",Human brain mapping,0.249,18344173,-1,-1
ba 44_00011,https://pubmed.ncbi.nlm.nih.gov/28970145/,Connectivity of the hippocampus and Broca's area during acquisition of a novel grammar.,"Kepinska O, de Rover M, Caspers J, Schiller NO",NeuroImage,0.241,28970145,10.1016/j.neuroimage.2017.09.058,-1
ba 44_00012,https://pubmed.ncbi.nlm.nih.gov/12744952/,Distributed cortical networks for syntax processing: Broca's area as the common denominator.,"Heim S, Opitz B, Friederici AD",Brain and language,0.236,12744952,10.1016/s0093-934x(03)00068-3,-1
ba 44_00013,https://pubmed.ncbi.nlm.nih.gov/17717701/,Modality-independent involvement of the left BA 44 during lexical decision making.,"Heim S, Eickhoff SB, Ischebeck AK, Supp G, Amunts K",Brain structure & function,0.226,17717701,10.1007/s00429-007-0140-6,-1
ba 44_00014,https://pubmed.ncbi.nlm.nih.gov/18296070/,"Specialisation in Broca's region for semantic, phonological, and syntactic fluency?","Heim S, Eickhoff SB, Amunts K",NeuroImage,0.224,18296070,10.1016/j.neuroimage.2008.01.009,-1
ba 44_00015,https://pubmed.ncbi.nlm.nih.gov/17455365/,Neural basis of processing sequential and hierarchical syntactic structures.,"Opitz B, Friederici AD",Human brain mapping,0.213,17455365,10.1002/hbm.20287,-1
ba 44_00016,https://pubmed.ncbi.nlm.nih.gov/17951077/,Imaging of odor perception delineates functional disintegration of the limbic circuits in mesial temporal lobe epilepsy.,"Ciumas C, Lindstrom P, Aoun B, Savic I",NeuroImage,0.207,17951077,-1,-1
ba 44_00017,https://pubmed.ncbi.nlm.nih.gov/12599282/,An fMRI study comparing brain activation between word generation and electrical stimulation of language-implicated acupoints.,"Li G, Liu HL, Cheung RT, Hung YC, Wong KK, Shen GG, Ma QY, Yang ES",Human brain mapping,0.204,12599282,-1,-1
