paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
balance_00001,https://pubmed.ncbi.nlm.nih.gov/29472847/,Balance Training Reduces Brain Activity during Motor Simulation of a Challenging  Balance Task in Older Adults: An fMRI Study.,"Ruffieux J, Mouthon A, Keller M, Mouthon M, Annoni JM, Taube W",Frontiers in behavioral neuroscience,0.672,29472847,-1,-1
balance_00002,https://pubmed.ncbi.nlm.nih.gov/24480476/,Functional MR imaging of a simulated balance task.,"Karim HT, Sparto PJ, Aizenstein HJ, Furman JM, Huppert TJ, Erickson KI, Loughlin PJ",Brain research,0.636,24480476,-1,-1
balance_00003,https://pubmed.ncbi.nlm.nih.gov/24663383/,Using motor imagery to study the neural substrates of dynamic balance.,"Ferraye MU, Debu B, Heil L, Carpenter M, Bloem BR, Toni I",PloS one,0.616,24663383,-1,-1
balance_00004,https://pubmed.ncbi.nlm.nih.gov/20614202/,Sustained cortical and subcortical neuromodulation induced by electrical tongue stimulation.,"Wildenberg JC, Tyler ME, Danilov YP, Kaczmarek KA, Meyerand ME",Brain imaging and behavior,0.593,20614202,-1,-1
balance_00005,https://pubmed.ncbi.nlm.nih.gov/25461711/,Brain activity during observation and motor imagery of different balance tasks: An fMRI study.,"Taube W, Mouthon M, Leukel C, Hoogewoud HM, Annoni JM, Keller M",Cortex; a journal devoted to the study of the nervous system and behavior,0.551,25461711,-1,-1
balance_00006,https://pubmed.ncbi.nlm.nih.gov/24647435/,Localizing evoked cortical activity associated with balance reactions: does the anterior cingulate play a role?,"Marlin A, Mochizuki G, Staines WR, McIlroy WE",Journal of neurophysiology,0.534,24647435,-1,-1
balance_00007,https://pubmed.ncbi.nlm.nih.gov/22072686/,Brain activity during ankle proprioceptive stimulation predicts balance performance in young and older adults.,"Goble DJ, Coxon JP, Van Impe A, Geurts M, Doumas M, Wenderoth N, Swinnen SP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.524,22072686,-1,-1
balance_00008,https://pubmed.ncbi.nlm.nih.gov/27779907/,The Neurocognitive Cost of Enhancing Cognition with Methylphenidate: Improved Distractor Resistance but Impaired Updating.,"Fallon SJ, van der Schaaf ME, Ter Huurne N, Cools R",Journal of cognitive neuroscience,0.364,27779907,-1,-1
balance_00009,https://pubmed.ncbi.nlm.nih.gov/25191858/,Interhemispheric cerebral blood flow balance during recovery of motor hand function after ischemic stroke--a longitudinal MRI study using arterial spin labeling perfusion.,"Wiest R, Abela E, Missimer J, Schroth G, Hess CW, Sturzenegger M, Wang DJ, Weder B, Federspiel A",PloS one,0.295,25191858,-1,-1
balance_00010,https://pubmed.ncbi.nlm.nih.gov/29230170/,The Dancing Brain: Structural and Functional Signatures of Expert Dance Training.,"Burzynska AZ, Finc K, Taylor BK, Knecht AM, Kramer AF",Frontiers in human neuroscience,0.286,29230170,-1,-1
balance_00011,https://pubmed.ncbi.nlm.nih.gov/23419940/,Functional brain imaging of multi-sensory vestibular processing during computerized dynamic posturography using near-infrared spectroscopy.,"Karim H, Fuhrman SI, Sparto P, Furman J, Huppert T",NeuroImage,0.284,23419940,10.1016/j.neuroimage.2013.02.010,-1
balance_00012,https://pubmed.ncbi.nlm.nih.gov/24825503/,Dorsomedial striatum involvement in regulating conflict between current and presumed outcomes.,"Mestres-Misse A, Bazin PL, Trampel R, Turner R, Kotz SA",NeuroImage,0.243,24825503,10.1016/j.neuroimage.2014.05.002,-1
balance_00013,https://pubmed.ncbi.nlm.nih.gov/16404736/,Common deactivation patterns during working memory and visual attention tasks: an intra-subject fMRI study at 4 Tesla.,"Tomasi D, Ernst T, Caparelli EC, Chang L",Human brain mapping,0.225,16404736,10.1002/hbm.20211,-1
balance_00014,https://pubmed.ncbi.nlm.nih.gov/28893930/,How Human Amygdala and Bed Nucleus of the Stria Terminalis May Drive Distinct Defensive Responses.,"Klumpers F, Kroes MCW, Baas JMP, Fernandez G",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.225,28893930,10.1523/JNEUROSCI.3830-16.2017,-1
balance_00015,https://pubmed.ncbi.nlm.nih.gov/21496490/,High-resolution fMRI detects neuromodulation of individual brainstem nuclei by electrical tongue stimulation in balance-impaired individuals.,"Wildenberg JC, Tyler ME, Danilov YP, Kaczmarek KA, Meyerand ME",NeuroImage,0.217,21496490,10.1016/j.neuroimage.2011.03.074,-1
balance_00016,https://pubmed.ncbi.nlm.nih.gov/26786152/,Altered balance of functional brain networks in Schizophrenia.,"Woodward TS, Leong K, Sanford N, Tipper CM, Lavigne KM",Psychiatry research. Neuroimaging,0.213,26786152,-1,-1
balance_00017,https://pubmed.ncbi.nlm.nih.gov/22390465/,Age-related neural reorganization during spoken word recognition: the interaction of form and meaning.,"Shafto M, Randall B, Stamatakis EA, Wright P, Tyler LK",Journal of cognitive neuroscience,0.199,22390465,-1,-1
balance_00018,https://pubmed.ncbi.nlm.nih.gov/28189743/,Glutamatergic metabolites are associated with visual plasticity in humans.,"Wijtenburg SA, West J, Korenic SA, Kuhney F, Gaston FE, Chen H, Roberts M, Kochunov P, Hong LE, Rowland LM",Neuroscience letters,0.195,28189743,-1,-1
balance_00019,https://pubmed.ncbi.nlm.nih.gov/19702469/,The unrested resting brain: sleep deprivation alters activity within the default-mode network.,"Gujar N, Yoo SS, Hu P, Walker MP",Journal of cognitive neuroscience,0.185,19702469,-1,-1
balance_00020,https://pubmed.ncbi.nlm.nih.gov/23201365/,"Caloric deprivation increases responsivity of attention and reward brain regions  to intake, anticipated intake, and images of palatable foods.","Stice E, Burger K, Yokum S",NeuroImage,0.181,23201365,-1,-1
balance_00021,https://pubmed.ncbi.nlm.nih.gov/25447301/,"The effects of energy balance, obesity-proneness and sex on the neuronal response to sweet taste.","Cornier MA, Shott ME, Thomas EA, Bechtell JL, Bessesen DH, Tregellas JR, Frank GK",Behavioural brain research,0.167,25447301,-1,-1
balance_00022,https://pubmed.ncbi.nlm.nih.gov/17315226/,Sex specificity of ventral anterior cingulate cortex suppression during a cognitive task.,"Butler T, Imperato-McGinley J, Pan H, Voyer D, Cunningham-Bussel AC, Chang L, Zhu YS, Cordero JJ, Stern E, Silbersweig D",Human brain mapping,0.165,17315226,-1,-1
balance_00023,https://pubmed.ncbi.nlm.nih.gov/24155301/,Affective modulation of cognitive control is determined by performance-contingency and mediated by ventromedial prefrontal and cingulate cortex.,"Braem S, King JA, Korb FM, Krebs RM, Notebaert W, Egner T",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.159,24155301,-1,-1
balance_00024,https://pubmed.ncbi.nlm.nih.gov/27071087/,Contrasting variability patterns in the default mode and sensorimotor networks balance in bipolar depression and mania.,"Martino M, Magioncalda P, Huang Z, Conio B, Piaggio N, Duncan NW, Rocchi G, Escelsior A, Marozzi V, Wolff A, Inglese M, Amore M, Northoff G",Proceedings of the National Academy of Sciences of the United States of America,0.155,27071087,-1,-1
balance_00025,https://pubmed.ncbi.nlm.nih.gov/27358453/,"Gain in Body Fat Is Associated with Increased Striatal Response to Palatable Food Cues, whereas Body Fat Stability Is Associated with Decreased Striatal Response.","Stice E, Yokum S",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.147,27358453,-1,-1
balance_00026,https://pubmed.ncbi.nlm.nih.gov/24893741/,Done that: short-term repetition related modulations of motor cortex activity as  a stable signature for overnight motor memory consolidation.,"Gabitov E, Manor D, Karni A",Journal of cognitive neuroscience,0.145,24893741,-1,-1
balance_00027,https://pubmed.ncbi.nlm.nih.gov/28066207/,Diurnal Variations in Neural Activity of Healthy Human Brain Decoded with Resting-State Blood Oxygen Level Dependent fMRI.,"Jiang C, Yi L, Su S, Shi C, Long X, Xie G, Zhang L",Frontiers in human neuroscience,0.137,28066207,-1,-1
balance_00028,https://pubmed.ncbi.nlm.nih.gov/25393934/,Effects of overnight fasting on working memory-related brain network: An fMRI study.,"Chechko N, Vocke S, Habel U, Toygar T, Kuckartz L, Berthold-Losleben M, Laoutidis ZG, Orfanos S, Wassenberg A, Karges W, Schneider F, Kohn N",Human brain mapping,0.135,25393934,-1,-1
balance_00029,https://pubmed.ncbi.nlm.nih.gov/24760850/,"Source-reconstruction of event-related fields reveals hyperfunction and hypofunction of cortical circuits in antipsychotic-naive, first-episode schizophrenia patients during Mooney face processing.","Rivolta D, Castellanos NP, Stawowsky C, Helbling S, Wibral M, Grutzner C, Koethe D, Birkner K, Kranaster L, Enning F, Singer W, Leweke FM, Uhlhaas PJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.133,24760850,-1,-1
balance_00030,https://pubmed.ncbi.nlm.nih.gov/27318136/,Effects of aging on task- and stimulus-related cerebral attention networks.,"Kurth S, Majerus S, Bastin C, Collette F, Jaspar M, Bahri MA, Salmon E",Neurobiology of aging,0.133,27318136,-1,-1
balance_00031,https://pubmed.ncbi.nlm.nih.gov/29751242/,"Local functional connectivity alterations in schizophrenia, bipolar disorder, and major depressive disorder.","Wei Y, Chang M, Womer FY, Zhou Q, Yin Z, Wei S, Zhou Y, Jiang X, Yao X, Duan J, Xu K, Zuo XN, Tang Y, Wang F",Journal of affective disorders,0.132,29751242,10.1016/j.jad.2018.04.069,-1
balance_00032,https://pubmed.ncbi.nlm.nih.gov/25107854/,Estimating time-varying brain connectivity networks from functional MRI time series.,"Monti RP, Hellyer P, Sharp D, Leech R, Anagnostopoulos C, Montana G",NeuroImage,0.129,25107854,10.1016/j.neuroimage.2014.07.033,-1
balance_00033,https://pubmed.ncbi.nlm.nih.gov/18358742/,Mapping the involvement of BA 4a and 4p during Motor Imagery.,"Sharma N, Jones PS, Carpenter TA, Baron JC",NeuroImage,0.128,18358742,-1,-1
balance_00034,https://pubmed.ncbi.nlm.nih.gov/15784428/,The many faces of the gamma band response to complex visual stimuli.,"Lachaux JP, George N, Tallon-Baudry C, Martinerie J, Hugueville L, Minotti L, Kahane P, Renault B",NeuroImage,0.126,15784428,-1,-1
balance_00035,https://pubmed.ncbi.nlm.nih.gov/23664619/,Social manipulation of preference in the human brain.,"Izuma K, Adolphs R",Neuron,0.124,23664619,-1,-1
balance_00036,https://pubmed.ncbi.nlm.nih.gov/20092563/,Physical and motor fitness are both related to cognition in old age.,"Voelcker-Rehage C, Godde B, Staudinger UM",The European journal of neuroscience,0.123,20092563,-1,-1
balance_00037,https://pubmed.ncbi.nlm.nih.gov/23220493/,The connectivity of functional cores reveals different degrees of segregation and integration in the brain at rest.,"de Pasquale F, Sabatini U, Della Penna S, Sestieri C, Caravasso CF, Formisano R, Peran P",NeuroImage,0.123,23220493,-1,-1
balance_00038,https://pubmed.ncbi.nlm.nih.gov/22847930/,Excitatory and inhibitory mechanisms underlying somatosensory habituation.,"Klingner CM, Hasler C, Brodoehl S, Witte OW",Human brain mapping,0.121,22847930,-1,-1
balance_00039,https://pubmed.ncbi.nlm.nih.gov/27791015/,"Overdrinking, swallowing inhibition, and regional brain responses prior to swallowing.","Saker P, Farrell MJ, Egan GF, McKinley MJ, Denton DA",Proceedings of the National Academy of Sciences of the United States of America,0.121,27791015,-1,-1
balance_00040,https://pubmed.ncbi.nlm.nih.gov/20107076/,When desire collides with reason: functional interactions between anteroventral prefrontal cortex and nucleus accumbens underlie the human ability to resist impulsive desires.,"Diekhof EK, Gruber O",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.118,20107076,-1,-1
balance_00041,https://pubmed.ncbi.nlm.nih.gov/22617829/,An anterior-posterior gradient of cognitive control within the dorsomedial striatum.,"Mestres-Misse A, Turner R, Friederici AD",NeuroImage,0.116,22617829,10.1016/j.neuroimage.2012.05.021,-1
balance_00042,https://pubmed.ncbi.nlm.nih.gov/24893740/,Reward acts on the pFC to enhance distractor resistance of working memory representations.,"Fallon SJ, Cools R",Journal of cognitive neuroscience,0.116,24893740,10.1162/jocn_a_00676,-1
balance_00043,https://pubmed.ncbi.nlm.nih.gov/24478664/,Frontopolar cortex and decision-making efficiency: comparing brain activity of experts with different professional background during an exploration-exploitation task.,"Laureiro-Martinez D, Canessa N, Brusoni S, Zollo M, Hare T, Alemanno F, Cappa SF",Frontiers in human neuroscience,0.114,24478664,10.3389/fnhum.2013.00927,-1
balance_00044,https://pubmed.ncbi.nlm.nih.gov/17662257/,Knowing when to stop: the brain mechanisms of chasing losses.,"Campbell-Meiklejohn DK, Woolrich MW, Passingham RE, Rogers RD",Biological psychiatry,0.113,17662257,-1,-1
balance_00045,https://pubmed.ncbi.nlm.nih.gov/24403145/,The control of global brain dynamics: opposing actions of frontoparietal control  and default mode networks on attention.,"Hellyer PJ, Shanahan M, Scott G, Wise RJ, Sharp DJ, Leech R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.113,24403145,-1,-1
balance_00046,https://pubmed.ncbi.nlm.nih.gov/18465748/,Differential cerebellar and cortical involvement according to various attentional load: role of educational level.,"Bonnet MC, Dilharreguy B, Allard M, Deloire MS, Petry KG, Brochet B",Human brain mapping,0.111,18465748,-1,-1
balance_00047,https://pubmed.ncbi.nlm.nih.gov/20682349/,The changes in brain metabolism in people with activated brown adipose tissue: a  PET study.,"Huang YC, Hsu CC, Huang P, Yin TK, Chiu NT, Wang PW, Huang SH, Huang YE",NeuroImage,0.111,20682349,-1,-1
balance_00048,https://pubmed.ncbi.nlm.nih.gov/17418591/,Neural mechanisms of auditory awareness underlying verbal transformations.,"Kondo HM, Kashino M",NeuroImage,0.109,17418591,-1,-1
balance_00049,https://pubmed.ncbi.nlm.nih.gov/24564471/,Activity in the nucleus accumbens and amygdala underlies individual differences in prosocial and individualistic economic choices.,"Haruno M, Kimura M, Frith CD",Journal of cognitive neuroscience,0.109,24564471,-1,-1
balance_00050,https://pubmed.ncbi.nlm.nih.gov/25184505/,GABA concentration in posterior cingulate cortex predicts putamen response during resting state fMRI.,"Arrubla J, Tse DH, Amkreutz C, Neuner I, Shah NJ",PloS one,0.106,25184505,-1,-1
balance_00051,https://pubmed.ncbi.nlm.nih.gov/29471098/,The role of effective connectivity between the task-positive and task-negative network for evidence gathering [Evidence gathering and connectivity].,"Andreou C, Steinmann S, Kolbeck K, Rauh J, Leicht G, Moritz S, Mulert C",NeuroImage,0.106,29471098,-1,-1
balance_00052,https://pubmed.ncbi.nlm.nih.gov/24302681/,The neurosteroids allopregnanolone and dehydroepiandrosterone modulate resting-state amygdala connectivity.,"Sripada RK, Welsh RC, Marx CE, Liberzon I",Human brain mapping,0.105,24302681,-1,-1
balance_00053,https://pubmed.ncbi.nlm.nih.gov/18486490/,Dynamic intra- and interhemispheric interactions during unilateral and bilateral  hand movements assessed with fMRI and DCM.,"Grefkes C, Eickhoff SB, Nowak DA, Dafotakis M, Fink GR",NeuroImage,0.104,18486490,-1,-1
balance_00054,https://pubmed.ncbi.nlm.nih.gov/21840340/,Human avoidance and approach learning: evidence for overlapping neural systems and experiential avoidance modulation of avoidance neurocircuitry.,"Schlund MW, Magee S, Hudgins CD",Behavioural brain research,0.104,21840340,-1,-1
balance_00055,https://pubmed.ncbi.nlm.nih.gov/11960021/,The neural system that bridges reward and cognition in humans: an fMRI study.,"Pochon JB, Levy R, Fossati P, Lehericy S, Poline JB, Pillon B, Le Bihan D, Dubois B",Proceedings of the National Academy of Sciences of the United States of America,0.102,11960021,-1,-1
balance_00056,https://pubmed.ncbi.nlm.nih.gov/17451973/,Central control of grasp: manipulation of objects with complex and simple dynamics.,"Milner TE, Franklin DW, Imamizu H, Kawato M",NeuroImage,0.102,17451973,-1,-1
balance_00057,https://pubmed.ncbi.nlm.nih.gov/19636426/,The effects of overfeeding on the neuronal response to visual food cues in thin and reduced-obese individuals.,"Cornier MA, Salzberg AK, Endly DC, Bessesen DH, Rojas DC, Tregellas JR",PloS one,0.1,19636426,-1,-1
balance_00058,https://pubmed.ncbi.nlm.nih.gov/24814210/,Audio-visual synchrony modulates the ventriloquist illusion and its neural/spatial representation in the auditory cortex.,"Bonath B, Noesselt T, Krauel K, Tyll S, Tempelmann C, Hillyard SA",NeuroImage,0.099,24814210,-1,-1
