paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
behavioral measures_00001,https://pubmed.ncbi.nlm.nih.gov/14755597/,"Behavioral conflict, anterior cingulate cortex, and experiment duration: implications of diverging data.","Erickson KI, Milham MP, Colcombe SJ, Kramer AF, Banich MT, Webb A, Cohen NJ",Human brain mapping,0.245,14755597,-1,-1
behavioral measures_00002,https://pubmed.ncbi.nlm.nih.gov/29555561/,"Chain free association, creativity, and the default mode network.","Marron TR, Lerner Y, Berant E, Kinreich S, Shapira-Lichter I, Hendler T, Faust M",Neuropsychologia,0.226,29555561,-1,-1
behavioral measures_00003,https://pubmed.ncbi.nlm.nih.gov/18704371/,Increased cortisol levels in cognitively challenging situations are beneficial in young but not older subjects.,"Kukolja J, Thiel CM, Wolf OT, Fink GR",Psychopharmacology,0.18,18704371,-1,-1
behavioral measures_00004,https://pubmed.ncbi.nlm.nih.gov/23087635/,Parallel ICA identifies sub-components of resting state networks that covary with behavioral indices.,"Meier TB, Wildenberg JC, Liu J, Chen J, Calhoun VD, Biswal BB, Meyerand ME, Birn RM, Prabhakaran V",Frontiers in human neuroscience,0.176,23087635,-1,-1
behavioral measures_00005,https://pubmed.ncbi.nlm.nih.gov/20824394/,The neuroanatomic correlates of semantic memory deficits in patients with Gulf War illnesses: a pilot study.,"Calley CS, Kraut MA, Spence JS, Briggs RW, Haley RW, Hart J Jr",Brain imaging and behavior,0.161,20824394,-1,-1
behavioral measures_00006,https://pubmed.ncbi.nlm.nih.gov/21930160/,Postmenopausal hormone use impact on emotion processing circuitry.,"Shafir T, Love T, Berent-Spillson A, Persad CC, Wang H, Reame NK, Frey KA, Zubieta JK, Smith YR",Behavioural brain research,0.157,21930160,-1,-1
behavioral measures_00007,https://pubmed.ncbi.nlm.nih.gov/26553580/,The reliability of individual differences in face-selective responses in the fusiform gyrus and their relation to face recognition ability.,"McGugin RW, Gauthier I",Brain imaging and behavior,0.146,26553580,-1,-1
behavioral measures_00008,https://pubmed.ncbi.nlm.nih.gov/12595201/,Practice-related effects demonstrate complementary roles of anterior cingulate and prefrontal cortices in attentional control.,"Milham MP, Banich MT, Claus ED, Cohen NJ",NeuroImage,0.144,12595201,-1,-1
behavioral measures_00009,https://pubmed.ncbi.nlm.nih.gov/23060774/,Altered negative priming in older subjects: first evidence from behavioral and neural level.,"Bauer E, Gebhardt H, Gruppe H, Gallhofer B, Sammer G",Frontiers in human neuroscience,0.144,23060774,-1,-1
behavioral measures_00010,https://pubmed.ncbi.nlm.nih.gov/17360900/,Erythropoietin enhances hippocampal response during memory retrieval in humans.,"Miskowiak K, O'Sullivan U, Harmer CJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.141,17360900,-1,-1
behavioral measures_00011,https://pubmed.ncbi.nlm.nih.gov/14607167/,Brain activation and the phonological loop: the impact of rehearsal.,"Logie RH, Venneri A, Della Sala S, Redpath TW, Marshall I",Brain and cognition,0.137,14607167,-1,-1
