paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
behavioral_00001,https://pubmed.ncbi.nlm.nih.gov/26454185/,Behavioral activation can normalize neural hypoactivation in subthreshold depression during a monetary incentive delay task.,"Mori A, Okamoto Y, Okada G, Takagaki K, Jinnin R, Takamura M, Kobayakawa M, Yamawaki S",Journal of affective disorders,0.327,26454185,-1,-1
behavioral_00002,https://pubmed.ncbi.nlm.nih.gov/20236805/,Temperament at 5 years of age predicts amygdala and orbitofrontal volume in the right hemisphere in adolescence.,"Hill SY, Tessner K, Wang S, Carter H, McDermott M",Psychiatry research,0.31,20236805,-1,-1
behavioral_00003,https://pubmed.ncbi.nlm.nih.gov/26851363/,When I am (almost) 64: The effect of normal ageing on implicit motor imagery in young elderlies.,"Zapparoli L, Saetta G, De Santis C, Gandola M, Zerbi A, Banfi G, Paulesu E",Behavioural brain research,0.278,26851363,-1,-1
behavioral_00004,https://pubmed.ncbi.nlm.nih.gov/23046903/,The neural correlates of emotion-based cognitive control in adults with early childhood behavioral inhibition.,"Jarcho JM, Fox NA, Pine DS, Etkin A, Leibenluft E, Shechner T, Ernst M",Biological psychology,0.273,23046903,-1,-1
behavioral_00005,https://pubmed.ncbi.nlm.nih.gov/22044532/,Dissociating behavioral disorders in early dementia-An FDG-PET study.,"Schroeter ML, Vogt B, Frisch S, Becker G, Seese A, Barthel H, Mueller K, Villringer A, Sabri O",Psychiatry research,0.261,22044532,-1,-1
behavioral_00006,https://pubmed.ncbi.nlm.nih.gov/16876434/,Anterior cingulate and prefrontal cortex activity in an FMRI study of trial-to-trial adjustments on the Simon task.,Kerns JG,NeuroImage,0.259,16876434,-1,-1
behavioral_00007,https://pubmed.ncbi.nlm.nih.gov/25788668/,"Neural and behavioral correlates of extended training during sleep deprivation in humans: evidence for local, task-specific effects.","Bernardi G, Siclari F, Yu X, Zennig C, Bellesi M, Ricciardi E, Cirelli C, Ghilardi MF, Pietrini P, Tononi G",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.257,25788668,-1,-1
behavioral_00008,https://pubmed.ncbi.nlm.nih.gov/17408585/,Learning-related human brain activations reflecting individual finances.,"Tobler PN, Fletcher PC, Bullmore ET, Schultz W",Neuron,0.249,17408585,-1,-1
behavioral_00009,https://pubmed.ncbi.nlm.nih.gov/21893386/,Similar hyporesponsiveness of the dorsomedial prefrontal cortex in problem gamblers and heavy smokers during an inhibitory control task.,"de Ruiter MB, Oosterlaan J, Veltman DJ, van den Brink W, Goudriaan AE",Drug and alcohol dependence,0.231,21893386,10.1016/j.drugalcdep.2011.08.010,-1
behavioral_00010,https://pubmed.ncbi.nlm.nih.gov/22326984/,Optimization of contrast detection power with probabilistic behavioral information.,"Cordes D, Herzmann G, Nandy R, Curran T",NeuroImage,0.229,22326984,10.1016/j.neuroimage.2012.01.127,-1
behavioral_00011,https://pubmed.ncbi.nlm.nih.gov/22277668/,Automated classification of fMRI during cognitive control identifies more severely disorganized subjects with schizophrenia.,"Yoon JH, Nguyen DV, McVay LM, Deramo P, Minzenberg MJ, Ragland JD, Niendham T, Solomon M, Carter CS",Schizophrenia research,0.226,22277668,-1,-1
behavioral_00012,https://pubmed.ncbi.nlm.nih.gov/25121595/,A neural network approach to fMRI binocular visual rivalry task analysis.,"Bertolino N, Ferraro S, Nigri A, Bruzzone MG, Ghielmetti F",PloS one,0.225,25121595,-1,-1
behavioral_00013,https://pubmed.ncbi.nlm.nih.gov/22763187/,Fetal programming effects of testosterone on the reward system and behavioral approach tendencies in humans.,"Lombardo MV, Ashwin E, Auyeung B, Chakrabarti B, Lai MC, Taylor K, Hackett G, Bullmore ET, Baron-Cohen S",Biological psychiatry,0.216,22763187,-1,-1
behavioral_00014,https://pubmed.ncbi.nlm.nih.gov/22490923/,The neural dynamics of updating person impressions.,"Mende-Siedlecki P, Cai Y, Todorov A",Social cognitive and affective neuroscience,0.215,22490923,-1,-1
behavioral_00015,https://pubmed.ncbi.nlm.nih.gov/22699900/,Priming of control: implicit contextual cuing of top-down attentional set.,"King JA, Korb FM, Egner T",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.213,22699900,-1,-1
behavioral_00016,https://pubmed.ncbi.nlm.nih.gov/19587291/,Congruence of BOLD response across intertemporal choice conditions: fictive and real money gains and losses.,"Bickel WK, Pitcock JA, Yi R, Angtuaco EJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.211,19587291,-1,-1
behavioral_00017,https://pubmed.ncbi.nlm.nih.gov/15800041/,Quantitative prediction of perceptual decisions during near-threshold fear detection.,"Pessoa L, Padmala S",Proceedings of the National Academy of Sciences of the United States of America,0.21,15800041,-1,-1
behavioral_00018,https://pubmed.ncbi.nlm.nih.gov/19889712/,Rapid formation of pragmatic rule representations in the human brain during instruction-based learning.,"Ruge H, Wolfensteller U","Cerebral cortex (New York, N.Y. : 1991)",0.21,19889712,-1,-1
behavioral_00019,https://pubmed.ncbi.nlm.nih.gov/22706694/,Increased functional connectivity within memory networks following memory rehabilitation in multiple sclerosis.,"Leavitt VM, Wylie GR, Girgis PA, DeLuca J, Chiaravalloti ND",Brain imaging and behavior,0.207,22706694,-1,-1
behavioral_00020,https://pubmed.ncbi.nlm.nih.gov/19817808/,An fMRI study of auditory hallucinations in patients with epilepsy.,"Korsnes MS, Hugdahl K, Nygard M, Bjornaes H",Epilepsia,0.206,19817808,-1,-1
behavioral_00021,https://pubmed.ncbi.nlm.nih.gov/29578031/,The UNC/UMN Baby Connectome Project (BCP): An overview of the study design and protocol development.,"Howell BR, Styner MA, Gao W, Yap PT, Wang L, Baluyot K, Yacoub E, Chen G, Potts T, Salzwedel A, Li G, Gilmore JH, Piven J, Smith JK, Shen D, Ugurbil K, Zhu H, Lin W, Elison JT",NeuroImage,0.206,29578031,-1,-1
behavioral_00022,https://pubmed.ncbi.nlm.nih.gov/27975158/,Compensatory increase of functional connectivity density in adolescents with internet gaming disorder.,"Du X, Yang Y, Gao P, Qi X, Du G, Zhang Y, Li X, Zhang Q",Brain imaging and behavior,0.205,27975158,-1,-1
behavioral_00023,https://pubmed.ncbi.nlm.nih.gov/23060774/,Altered negative priming in older subjects: first evidence from behavioral and neural level.,"Bauer E, Gebhardt H, Gruppe H, Gallhofer B, Sammer G",Frontiers in human neuroscience,0.204,23060774,-1,-1
behavioral_00024,https://pubmed.ncbi.nlm.nih.gov/15589103/,To act or not to act. Neural correlates of executive control of learned motor behavior.,"Hummel F, Saur R, Lasogga S, Plewnia C, Erb M, Wildgruber D, Grodd W, Gerloff C",NeuroImage,0.196,15589103,-1,-1
behavioral_00025,https://pubmed.ncbi.nlm.nih.gov/23326568/,Functional neural correlates of attentional deficits in amnestic mild cognitive impairment.,"Van Dam NT, Sano M, Mitsis EM, Grossman HT, Gu X, Park Y, Hof PR, Fan J",PloS one,0.196,23326568,-1,-1
behavioral_00026,https://pubmed.ncbi.nlm.nih.gov/24205088/,Is the brain's inertia for motor movements different for acceleration and deceleration?,"Adhikari BM, Quinn KM, Dhamala M",PloS one,0.195,24205088,-1,-1
behavioral_00027,https://pubmed.ncbi.nlm.nih.gov/22487549/,"Multimodal human communication--targeting facial expressions, speech content and  prosody.","Regenbogen C, Schneider DA, Gur RE, Schneider F, Habel U, Kellermann T",NeuroImage,0.192,22487549,-1,-1
behavioral_00028,https://pubmed.ncbi.nlm.nih.gov/23588273/,The endowment effect can extend from self to mother: evidence from an fMRI study.,"Feng T, Zhao W, Donnay GF",Behavioural brain research,0.192,23588273,10.1016/j.bbr.2013.04.005,-1
behavioral_00029,https://pubmed.ncbi.nlm.nih.gov/22590530/,Regional brain responses in nulliparous women to emotional infant stimuli.,"Montoya JL, Landi N, Kober H, Worhunsky PD, Rutherford HJ, Mencl WE, Mayes LC, Potenza MN",PloS one,0.191,22590530,10.1371/journal.pone.0036270,-1
behavioral_00030,https://pubmed.ncbi.nlm.nih.gov/11784775/,A cortical network sensitive to stimulus salience in a neutral behavioral context across multiple sensory modalities.,"Downar J, Crawley AP, Mikulis DJ, Davis KD",Journal of neurophysiology,0.19,11784775,10.1152/jn.00636.2001,-1
behavioral_00031,https://pubmed.ncbi.nlm.nih.gov/26039634/,The Anterior Insula Tracks Behavioral Entropy during an Interpersonal Competitive Game.,"Takahashi H, Izuma K, Matsumoto M, Matsumoto K, Omori T",PloS one,0.19,26039634,-1,-1
behavioral_00032,https://pubmed.ncbi.nlm.nih.gov/19369561/,Brain regions related to tool use and action knowledge reflect nicotine dependence.,"Yalachkov Y, Kaiser J, Naumer MJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.189,19369561,-1,-1
behavioral_00033,https://pubmed.ncbi.nlm.nih.gov/28917135/,Failing to learn from negative prediction errors: Obesity is associated with alterations in a fundamental neural learning mechanism.,"Mathar D, Neumann J, Villringer A, Horstmann A",Cortex; a journal devoted to the study of the nervous system and behavior,0.188,28917135,-1,-1
behavioral_00034,https://pubmed.ncbi.nlm.nih.gov/28926795/,Dissociable intrinsic functional networks support noun-object and verb-action processing.,"Yang H, Lin Q, Han Z, Li H, Song L, Chen L, He Y, Bi Y",Brain and language,0.188,28926795,-1,-1
behavioral_00035,https://pubmed.ncbi.nlm.nih.gov/11900744/,Mental rotation versus invariant features in object perception from different viewpoints: an fMRI study.,"Vanrie J, Beatse E, Wagemans J, Sunaert S, Van Hecke P",Neuropsychologia,0.187,11900744,-1,-1
behavioral_00036,https://pubmed.ncbi.nlm.nih.gov/20883800/,Error processing network dynamics in schizophrenia.,"Becerril KE, Repovs G, Barch DM",NeuroImage,0.186,20883800,-1,-1
behavioral_00037,https://pubmed.ncbi.nlm.nih.gov/23746615/,The influence of combined cognitive plus social-cognitive training on amygdala response during face emotion recognition in schizophrenia.,"Hooker CI, Bruce L, Fisher M, Verosky SC, Miyakawa A, D'Esposito M, Vinogradov S",Psychiatry research,0.186,23746615,-1,-1
behavioral_00038,https://pubmed.ncbi.nlm.nih.gov/28669911/,Active avoidance and attentive freezing in the face of approaching threat.,"Wendt J, Low A, Weymar M, Lotze M, Hamm AO",NeuroImage,0.184,28669911,-1,-1
behavioral_00039,https://pubmed.ncbi.nlm.nih.gov/21030486/,Motor learning with augmented feedback: modality-dependent behavioral and neural  consequences.,"Ronsse R, Puttemans V, Coxon JP, Goble DJ, Wagemans J, Wenderoth N, Swinnen SP","Cerebral cortex (New York, N.Y. : 1991)",0.183,21030486,-1,-1
behavioral_00040,https://pubmed.ncbi.nlm.nih.gov/23102512/,Neural correlates of conceptual object priming in young and older adults: an event-related functional magnetic resonance imaging study.,"Ballesteros S, Bischof GN, Goh JO, Park DC",Neurobiology of aging,0.18,23102512,-1,-1
behavioral_00041,https://pubmed.ncbi.nlm.nih.gov/15936179/,Correlations of cortical activation and behavior during the application of newly  learned categories.,"Little DM, Thulborn KR",Brain research. Cognitive brain research,0.179,15936179,-1,-1
behavioral_00042,https://pubmed.ncbi.nlm.nih.gov/25680993/,Interaction between oxytocin receptor polymorphism and interdependent culture values on human empathy.,"Luo S, Ma Y, Liu Y, Li B, Wang C, Shi Z, Li X, Zhang W, Rao Y, Han S",Social cognitive and affective neuroscience,0.179,25680993,-1,-1
behavioral_00043,https://pubmed.ncbi.nlm.nih.gov/23575842/,Top-down regulation of default mode activity in spatial visual attention.,"Wen X, Liu Y, Yao L, Ding M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.177,23575842,-1,-1
behavioral_00044,https://pubmed.ncbi.nlm.nih.gov/25361755/,Distinct fronto-striatal couplings reveal the double-faced nature of response-outcome relations in instruction-based learning.,"Ruge H, Wolfensteller U","Cognitive, affective & behavioral neuroscience",0.175,25361755,-1,-1
behavioral_00045,https://pubmed.ncbi.nlm.nih.gov/14755597/,"Behavioral conflict, anterior cingulate cortex, and experiment duration: implications of diverging data.","Erickson KI, Milham MP, Colcombe SJ, Kramer AF, Banich MT, Webb A, Cohen NJ",Human brain mapping,0.174,14755597,-1,-1
behavioral_00046,https://pubmed.ncbi.nlm.nih.gov/15930384/,The neural correlates of motor skill automaticity.,"Poldrack RA, Sabb FW, Foerde K, Tom SM, Asarnow RF, Bookheimer SY, Knowlton BJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.172,15930384,-1,-1
behavioral_00047,https://pubmed.ncbi.nlm.nih.gov/23066732/,Inversion effects in face-selective cortex with combinations of face parts.,"James TW, Arcurio LR, Gold JM",Journal of cognitive neuroscience,0.168,23066732,-1,-1
behavioral_00048,https://pubmed.ncbi.nlm.nih.gov/22427134/,Treatment-related changes in brain activation in patients with fibromyalgia syndrome.,"Diers M, Yilmaz P, Rance M, Thieme K, Gracely RH, Rolko C, Schley MT, Kiessling U, Wang H, Flor H",Experimental brain research,0.167,22427134,-1,-1
behavioral_00049,https://pubmed.ncbi.nlm.nih.gov/23087635/,Parallel ICA identifies sub-components of resting state networks that covary with behavioral indices.,"Meier TB, Wildenberg JC, Liu J, Chen J, Calhoun VD, Biswal BB, Meyerand ME, Birn RM, Prabhakaran V",Frontiers in human neuroscience,0.167,23087635,10.3389/fnhum.2012.00281,-1
behavioral_00050,https://pubmed.ncbi.nlm.nih.gov/14973239/,A neural correlate of reward-based behavioral learning in caudate nucleus: a functional magnetic resonance imaging study of a stochastic decision task.,"Haruno M, Kuroda T, Doya K, Toyama K, Kimura M, Samejima K, Imamizu H, Kawato M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.166,14973239,10.1523/JNEUROSCI.3417-03.2004,-1
behavioral_00051,https://pubmed.ncbi.nlm.nih.gov/20181737/,"An ""as soon as possible"" effect in human intertemporal decision making: behavioral evidence and neural mechanisms.","Kable JW, Glimcher PW",Journal of neurophysiology,0.166,20181737,-1,-1
behavioral_00052,https://pubmed.ncbi.nlm.nih.gov/24800630/,Feature diagnosticity affects representations of novel and familiar objects.,"Hsu NS, Schlichting ML, Thompson-Schill SL",Journal of cognitive neuroscience,0.166,24800630,-1,-1
behavioral_00053,https://pubmed.ncbi.nlm.nih.gov/28633048/,Affective traits and history of depression are related to ventral striatum connectivity.,"DelDonno SR, Jenkins LM, Crane NA, Nusslock R, Ryan KA, Shankman SA, Phan KL, Langenecker SA",Journal of affective disorders,0.164,28633048,-1,-1
behavioral_00054,https://pubmed.ncbi.nlm.nih.gov/29574232/,Individual differences in self-reported reward-approach tendencies relate to resting-state and reward-task-based fMRI measures.,"Dong G, Li H, Wang Y, Potenza MN",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.163,29574232,-1,-1
behavioral_00055,https://pubmed.ncbi.nlm.nih.gov/17098445/,Multisensory integration for timing engages different brain networks.,"Dhamala M, Assisi CG, Jirsa VK, Steinberg FL, Kelso JA",NeuroImage,0.162,17098445,-1,-1
behavioral_00056,https://pubmed.ncbi.nlm.nih.gov/23335893/,Neural correlates of the behavioral-autonomic interaction response to potentially threatening stimuli.,"Farrow TF, Johnson NK, Hunter MD, Barker AT, Wilkinson ID, Woodruff PW",Frontiers in human neuroscience,0.162,23335893,-1,-1
behavioral_00057,https://pubmed.ncbi.nlm.nih.gov/25183886/,Increased Moral Sensitivity for Outgroup Perpetrators Harming Ingroup Members.,"Molenberghs P, Gapp J, Wang B, Louis WR, Decety J","Cerebral cortex (New York, N.Y. : 1991)",0.162,25183886,-1,-1
behavioral_00058,https://pubmed.ncbi.nlm.nih.gov/18510438/,The attentional blink modulates activity in the early visual cortex.,"Hein G, Alink A, Kleinschmidt A, Muller NG",Journal of cognitive neuroscience,0.16,18510438,-1,-1
behavioral_00059,https://pubmed.ncbi.nlm.nih.gov/25249406/,Cortical Representations of Cognitive Control and Working Memory Are Dependent Yet Non-Interacting.,"Harding IH, Harrison BJ, Breakspear M, Pantelis C, Yucel M","Cerebral cortex (New York, N.Y. : 1991)",0.16,25249406,-1,-1
behavioral_00060,https://pubmed.ncbi.nlm.nih.gov/26106551/,"A greater involvement of posterior brain areas in interhemispheric transfer in autism: fMRI, DWI and behavioral evidences.","Barbeau EB, Lewis JD, Doyon J, Benali H, Zeffiro TA, Mottron L",NeuroImage. Clinical,0.159,26106551,-1,-1
behavioral_00061,https://pubmed.ncbi.nlm.nih.gov/22041256/,A preliminary study of the neural effects of behavioral therapy for substance use disorders.,"DeVito EE, Worhunsky PD, Carroll KM, Rounsaville BJ, Kober H, Potenza MN",Drug and alcohol dependence,0.158,22041256,-1,-1
behavioral_00062,https://pubmed.ncbi.nlm.nih.gov/21030482/,Amygdala and dorsomedial prefrontal cortex responses to appearance-based and behavior-based person impressions.,"Baron SG, Gobbini MI, Engell AD, Todorov A",Social cognitive and affective neuroscience,0.157,21030482,-1,-1
behavioral_00063,https://pubmed.ncbi.nlm.nih.gov/23806174/,Sleep-dependent neurophysiological processes in implicit sequence learning.,"Urbain C, Schmitz R, Schmidt C, Cleeremans A, Van Bogaert P, Maquet P, Peigneux P",Journal of cognitive neuroscience,0.157,23806174,-1,-1
behavioral_00064,https://pubmed.ncbi.nlm.nih.gov/25143543/,The organization and dynamics of corticostriatal pathways link the medial orbitofrontal cortex to future behavioral responses.,Verstynen TD,Journal of neurophysiology,0.157,25143543,-1,-1
behavioral_00065,https://pubmed.ncbi.nlm.nih.gov/27423254/,Effects of a spaceflight analog environment on brain connectivity and behavior.,"Cassady K, Koppelmans V, Reuter-Lorenz P, De Dios Y, Gadd N, Wood S, Castenada RR, Kofman I, Bloomberg J, Mulavara A, Seidler R",NeuroImage,0.157,27423254,-1,-1
behavioral_00066,https://pubmed.ncbi.nlm.nih.gov/16084839/,Anterior cingulate activation and error processing during interferon-alpha treatment.,"Capuron L, Pagnoni G, Demetrashvili M, Woolwine BJ, Nemeroff CB, Berns GS, Miller AH",Biological psychiatry,0.156,16084839,-1,-1
behavioral_00067,https://pubmed.ncbi.nlm.nih.gov/23638017/,Increased cortical activity in binge drinkers during working memory task: a preliminary assessment through a functional magnetic resonance imaging study.,"Campanella S, Peigneux P, Petit G, Lallemand F, Saeremans M, Noel X, Metens T, Nouali M, De Tiege X, De Witte P, Ward R, Verbanck P",PloS one,0.156,23638017,-1,-1
behavioral_00068,https://pubmed.ncbi.nlm.nih.gov/28676298/,Joint prediction of multiple scores captures better individual traits from brain  images.,"Rahim M, Thirion B, Bzdok D, Buvat I, Varoquaux G",NeuroImage,0.155,28676298,-1,-1
behavioral_00069,https://pubmed.ncbi.nlm.nih.gov/22396427/,Nucleus accumbens response to incentive stimuli anticipation in children of alcoholics: relationships with precursive behavioral risk and lifetime alcohol use.,"Yau WY, Zubieta JK, Weiland BJ, Samudra PG, Zucker RA, Heitzeg MM",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.154,22396427,-1,-1
behavioral_00070,https://pubmed.ncbi.nlm.nih.gov/24583223/,Seeing Jesus in toast: neural and behavioral correlates of face pareidolia.,"Liu J, Li J, Feng L, Li L, Tian J, Lee K",Cortex; a journal devoted to the study of the nervous system and behavior,0.154,24583223,-1,-1
behavioral_00071,https://pubmed.ncbi.nlm.nih.gov/28527791/,Neural substrates of male parochial altruism are modulated by testosterone and behavioral strategy.,"Reimers L, Buchel C, Diekhof EK",NeuroImage,0.154,28527791,-1,-1
behavioral_00072,https://pubmed.ncbi.nlm.nih.gov/17290371/,"Covariations among fMRI, skin conductance, and behavioral data during processing  of concealed information.","Gamer M, Bauermann T, Stoeter P, Vossel G",Human brain mapping,0.153,17290371,-1,-1
behavioral_00073,https://pubmed.ncbi.nlm.nih.gov/19162048/,Predicting judged similarity of natural categories from their neural representations.,"Weber M, Thompson-Schill SL, Osherson D, Haxby J, Parsons L",Neuropsychologia,0.153,19162048,-1,-1
behavioral_00074,https://pubmed.ncbi.nlm.nih.gov/20824394/,The neuroanatomic correlates of semantic memory deficits in patients with Gulf War illnesses: a pilot study.,"Calley CS, Kraut MA, Spence JS, Briggs RW, Haley RW, Hart J Jr",Brain imaging and behavior,0.153,20824394,-1,-1
behavioral_00075,https://pubmed.ncbi.nlm.nih.gov/27309348/,Distinct BOLD fMRI Responses of Capsaicin-Induced Thermal Sensation Reveal Pain-Related Brain Activation in Nonhuman Primates.,"Asad AB, Seah S, Baumgartner R, Feng D, Jensen A, Manigbas E, Henry B, Houghton A, Evelhoch JL, Derbyshire SW, Chin CL",PloS one,0.152,27309348,-1,-1
behavioral_00076,https://pubmed.ncbi.nlm.nih.gov/15163693/,An experiment of nature: brain anatomy parallels cognition and behavior in Williams syndrome.,"Reiss AL, Eckert MA, Rose FE, Karchemskiy A, Kesler S, Chang M, Reynolds MF, Kwon H, Galaburda A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.151,15163693,-1,-1
behavioral_00077,https://pubmed.ncbi.nlm.nih.gov/15563729/,Neural substrates of real and imagined sensorimotor coordination.,"Oullier O, Jantzen KJ, Steinberg FL, Kelso JA","Cerebral cortex (New York, N.Y. : 1991)",0.151,15563729,-1,-1
behavioral_00078,https://pubmed.ncbi.nlm.nih.gov/18661503/,Self-regulation of regional cortical activity using real-time fMRI: the right inferior frontal gyrus and linguistic processing.,"Rota G, Sitaram R, Veit R, Erb M, Weiskopf N, Dogil G, Birbaumer N",Human brain mapping,0.151,18661503,-1,-1
