paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
brainstem_00001,https://pubmed.ncbi.nlm.nih.gov/19030105/,Interictal dysfunction of a brainstem descending modulatory center in migraine patients.,"Moulton EA, Burstein R, Tully S, Hargreaves R, Becerra L, Borsook D",PloS one,0.564,19030105,-1,-1
brainstem_00002,https://pubmed.ncbi.nlm.nih.gov/23787950/,Temporal Sequencing of Brain Activations During Naturally Occurring Thermoregulatory Events.,"Diwadkar VA, Murphy ER, Freedman RR","Cerebral cortex (New York, N.Y. : 1991)",0.538,23787950,-1,-1
brainstem_00003,https://pubmed.ncbi.nlm.nih.gov/26388554/,Physiological brainstem mechanisms of trigeminal nociception: An fMRI study at 3T.,"Schulte LH, Sprenger C, May A",NeuroImage,0.503,26388554,-1,-1
brainstem_00004,https://pubmed.ncbi.nlm.nih.gov/16227541/,Possible structural abnormality of the brainstem in unipolar depressive illness:  a transcranial ultrasound and diffusion tensor magnetic resonance imaging study.,"Steele JD, Bastin ME, Wardlaw JM, Ebmeier KP","Journal of neurology, neurosurgery, and psychiatry",0.494,16227541,-1,-1
brainstem_00005,https://pubmed.ncbi.nlm.nih.gov/16636788/,Brainstem and cerebellar fMRI-activation during horizontal and vertical optokinetic stimulation.,"Bense S, Janusch B, Vucurevic G, Bauermann T, Schlindwein P, Brandt T, Stoeter P, Dieterich M",Experimental brain research,0.471,16636788,-1,-1
brainstem_00006,https://pubmed.ncbi.nlm.nih.gov/21640192/,Functional neuroimaging of the oculomotor brainstem network in humans.,"Linzenbold W, Lindig T, Himmelbach M",NeuroImage,0.452,21640192,-1,-1
brainstem_00007,https://pubmed.ncbi.nlm.nih.gov/26509113/,Resting-state functional magnetic resonance imaging of the subthalamic microlesion and stimulation effects in Parkinson's disease: Indications of a principal role of the brainstem.,"Holiga S, Mueller K, Moller HE, Urgosik D, Ruzicka E, Schroeter ML, Jech R",NeuroImage. Clinical,0.362,26509113,-1,-1
brainstem_00008,https://pubmed.ncbi.nlm.nih.gov/27013952/,Effects of 12 Months Continuous Positive Airway Pressure on Sympathetic Activity  Related Brainstem Function and Structure in Obstructive Sleep Apnea.,"Henderson LA, Fatouleh RH, Lundblad LC, McKenzie DK, Macefield VG",Frontiers in neuroscience,0.333,27013952,-1,-1
brainstem_00009,https://pubmed.ncbi.nlm.nih.gov/25268234/,The cerebral cost of breathing: an FMRI case-study in congenital central hypoventilation syndrome.,"Sharman M, Gallea C, Lehongre K, Galanaud D, Nicolas N, Similowski T, Cohen L, Straus C, Naccache L",PloS one,0.329,25268234,-1,-1
brainstem_00010,https://pubmed.ncbi.nlm.nih.gov/19345268/,Time-variant fMRI activity in the brainstem and higher structures in response to  acupuncture.,"Napadow V, Dhond R, Park K, Kim J, Makris N, Kwong KK, Harris RE, Purdon PL, Kettner N, Hui KK",NeuroImage,0.328,19345268,-1,-1
