paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
capacity_00001,https://pubmed.ncbi.nlm.nih.gov/10022492/,Physiological characteristics of capacity constraints in working memory as revealed by functional MRI.,"Callicott JH, Mattay VS, Bertolino A, Finn K, Coppola R, Frank JA, Goldberg TE, Weinberger DR","Cerebral cortex (New York, N.Y. : 1991)",0.623,10022492,10.1093/cercor/9.1.20,-1
capacity_00002,https://pubmed.ncbi.nlm.nih.gov/14691061/,Neurophysiological factors in human information processing capacity.,"Ramsey NF, Jansma JM, Jager G, Van Raalten T, Kahn RS",Brain : a journal of neurology,0.493,14691061,10.1093/brain/awh060,-1
capacity_00003,https://pubmed.ncbi.nlm.nih.gov/24047380/,Trade-off between capacity and precision in visuospatial working memory.,"Roggeman C, Klingberg T, Feenstra HE, Compte A, Almeida R",Journal of cognitive neuroscience,0.415,24047380,10.1162/jocn_a_00485,-1
capacity_00004,https://pubmed.ncbi.nlm.nih.gov/14642464/,Cortical capacity constraints for visual working memory: dissociation of fMRI load effects in a fronto-parietal network.,"Linden DE, Bittner RA, Muckli L, Waltz JA, Kriegeskorte N, Goebel R, Singer W, Munk MH",NeuroImage,0.377,14642464,10.1016/j.neuroimage.2003.07.021,-1
capacity_00005,https://pubmed.ncbi.nlm.nih.gov/18155446/,Automatization and working memory capacity in schizophrenia.,"van Raalten TR, Ramsey NF, Jansma JM, Jager G, Kahn RS",Schizophrenia research,0.359,18155446,-1,-1
capacity_00006,https://pubmed.ncbi.nlm.nih.gov/25562175/,"Resting-state anticorrelations between medial and lateral prefrontal cortex: Association with working memory, aging, and individual differences.","Keller JB, Hedden T, Thompson TW, Anteraper SA, Gabrieli JD, Whitfield-Gabrieli S",Cortex; a journal devoted to the study of the nervous system and behavior,0.347,25562175,-1,-1
capacity_00007,https://pubmed.ncbi.nlm.nih.gov/27807030/,Aging Affects Dopaminergic Neural Mechanisms of Cognitive Flexibility.,"Berry AS, Shah VD, Baker SL, Vogel JW, O'Neil JP, Janabi M, Schwimmer HD, Marks SM, Jagust WJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.342,27807030,-1,-1
capacity_00008,https://pubmed.ncbi.nlm.nih.gov/21148612/,Exploring the neural dynamics underpinning individual differences in sentence comprehension.,"Prat CS, Just MA","Cerebral cortex (New York, N.Y. : 1991)",0.336,21148612,-1,-1
capacity_00009,https://pubmed.ncbi.nlm.nih.gov/21168424/,Magnetic stimulation of the dorsolateral prefrontal cortex dissociates fragile visual short-term memory from visual working memory.,"Sligte IG, Wokke ME, Tesselaar JP, Scholte HS, Lamme VA",Neuropsychologia,0.317,21168424,-1,-1
capacity_00010,https://pubmed.ncbi.nlm.nih.gov/22276205/,Functional brain network modularity captures inter- and intra-individual variation in working memory capacity.,"Stevens AA, Tappon SC, Garg A, Fair DA",PloS one,0.293,22276205,-1,-1
capacity_00011,https://pubmed.ncbi.nlm.nih.gov/28105009/,A Reduction in Delay Discounting by Using Episodic Future Imagination and the Association with Episodic Memory Capacity.,"Hu X, Kleinschmidt H, Martin JA, Han Y, Thelen M, Meiberth D, Jessen F, Weber B",Frontiers in human neuroscience,0.282,28105009,10.3389/fnhum.2016.00663,-1
capacity_00012,https://pubmed.ncbi.nlm.nih.gov/25824980/,Processing of bilateral versus unilateral conditions: evidence for the functional contribution of the ventral attention network.,"Beume LA, Kaller CP, Hoeren M, Kloppel S, Kuemmerer D, Glauche V, Kostering L, Mader I, Rijntjes M, Weiller C, Umarova R",Cortex; a journal devoted to the study of the nervous system and behavior,0.252,25824980,10.1016/j.cortex.2015.02.018,-1
capacity_00013,https://pubmed.ncbi.nlm.nih.gov/26413478/,Neural signal during immediate reward anticipation in schizophrenia: Relationship to real-world motivation and function.,"Subramaniam K, Hooker CI, Biagianti B, Fisher M, Nagarajan S, Vinogradov S",NeuroImage. Clinical,0.243,26413478,10.1016/j.nicl.2015.08.001,-1
