paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
character_00001,https://pubmed.ncbi.nlm.nih.gov/20946059/,Dissociable neural systems supporting knowledge about human character and appearance in ourselves and others.,"Moran JM, Lee SM, Gabrieli JD",Journal of cognitive neuroscience,0.723,20946059,10.1162/jocn.2010.21580,-1
character_00002,https://pubmed.ncbi.nlm.nih.gov/20452399/,Inversion effect in the visual processing of Chinese character: an fMRI study.,"Zhao J, Liu J, Li J, Liang J, Feng L, Ai L, Tian J",Neuroscience letters,0.563,20452399,10.1016/j.neulet.2010.04.075,-1
character_00003,https://pubmed.ncbi.nlm.nih.gov/22378588/,Writing affects the brain network of reading in Chinese: a functional magnetic resonance imaging study.,"Cao F, Vu M, Chan DH, Lawrence JM, Harris LN, Guan Q, Xu Y, Perfetti CA",Human brain mapping,0.551,22378588,-1,-1
character_00004,https://pubmed.ncbi.nlm.nih.gov/22659111/,Pre-orthographic character string processing and parietal cortex: a role for visual attention in reading?,"Lobier M, Peyrin C, Le Bas JF, Valdois S",Neuropsychologia,0.496,22659111,-1,-1
character_00005,https://pubmed.ncbi.nlm.nih.gov/24513232/,The activation of theory of mind network differentiates between point-to-self and point-to-other verbal jokes: an fMRI study.,"Feng S, Ye X, Mao L, Yue X",Neuroscience letters,0.468,24513232,-1,-1
character_00006,https://pubmed.ncbi.nlm.nih.gov/22143093/,Different roles of the posterior inferior frontal gyrus in Chinese character form judgment differences between literate and illiterate individuals.,"Wu J, Wang B, Yan T, Li X, Bao X, Guo Q",Brain research,0.459,22143093,-1,-1
character_00007,https://pubmed.ncbi.nlm.nih.gov/19591947/,Hierarchical coding of characters in the ventral and dorsal visual streams of Chinese language processing.,"Chan ST, Tang SW, Tang KW, Lee WK, Lo SS, Kwong KK",NeuroImage,0.415,19591947,-1,-1
character_00008,https://pubmed.ncbi.nlm.nih.gov/20056159/,Neural substrates of phonological selection for Japanese character Kanji based on fMRI investigations.,"Matsuo K, Chen SH, Hue CW, Wu CY, Bagarinao E, Tseng WY, Nakai T",NeuroImage,0.401,20056159,-1,-1
character_00009,https://pubmed.ncbi.nlm.nih.gov/12880898/,Finger movements lighten neural loads in the recognition of ideographic characters.,"Matsuo K, Kato C, Okada T, Moriya T, Glover GH, Nakai T",Brain research. Cognitive brain research,0.383,12880898,-1,-1
character_00010,https://pubmed.ncbi.nlm.nih.gov/20138900/,Reading about the actions of others: biological motion imagery and action congruency influence brain activity.,"Deen B, McCarthy G",Neuropsychologia,0.349,20138900,-1,-1
character_00011,https://pubmed.ncbi.nlm.nih.gov/26901644/,"Functional Anatomy of Recognition of Chinese Multi-Character Words: Convergent Evidence from Effects of Transposable Nonwords, Lexicality, and Word Frequency.","Lin N, Yu X, Zhao Y, Zhang M",PloS one,0.311,26901644,-1,-1
character_00012,https://pubmed.ncbi.nlm.nih.gov/18346831/,Guided saccades modulate face- and body-sensitive activation in the occipitotemporal cortex during social perception.,"Morris JP, Green SR, Marion B, McCarthy G",Brain and cognition,0.31,18346831,-1,-1
character_00013,https://pubmed.ncbi.nlm.nih.gov/16219423/,An fMRI study of Chinese character reading and picture naming by native Korean speakers.,"Yoon HW, Chung JY, Kim KH, Song MS, Park HW",Neuroscience letters,0.302,16219423,-1,-1
character_00014,https://pubmed.ncbi.nlm.nih.gov/19929761/,Minds made for sharing: initiating joint attention recruits reward-related neurocircuitry.,"Schilbach L, Wilms M, Eickhoff SB, Romanzetti S, Tepest R, Bente G, Shah NJ, Fink GR, Vogeley K",Journal of cognitive neuroscience,0.282,19929761,-1,-1
