paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
characters_00001,https://pubmed.ncbi.nlm.nih.gov/18514678/,Item-specific and generalization effects on brain activation when learning Chinese characters.,"Deng Y, Booth JR, Chou TL, Ding GS, Peng DL",Neuropsychologia,0.739,18514678,-1,-1
characters_00002,https://pubmed.ncbi.nlm.nih.gov/18272399/,The Visual Word Form Area: evidence from an fMRI study of implicit processing of  Chinese characters.,"Liu C, Zhang WT, Tang YY, Mai XQ, Chen HC, Tardif T, Luo YJ",NeuroImage,0.737,18272399,-1,-1
characters_00003,https://pubmed.ncbi.nlm.nih.gov/20807053/,The involvement of occipital and inferior frontal cortex in the phonological learning of Chinese characters.,"Deng Y, Chou TL, Ding GS, Peng DL, Booth JR",Journal of cognitive neuroscience,0.709,20807053,-1,-1
characters_00004,https://pubmed.ncbi.nlm.nih.gov/18985142/,Anthropomorphism influences perception of computer-animated characters' actions.,"Chaminade T, Hodgins J, Kawato M",Social cognitive and affective neuroscience,0.69,18985142,-1,-1
characters_00005,https://pubmed.ncbi.nlm.nih.gov/21216293/,Left fusiform BOLD responses are inversely related to word-likeness in a one-back task.,"Wang X, Yang J, Shu H, Zevin JD",NeuroImage,0.586,21216293,-1,-1
characters_00006,https://pubmed.ncbi.nlm.nih.gov/19446799/,The inversion effect in visual word form processing.,"Kao CH, Chen DY, Chen CC",Cortex; a journal devoted to the study of the nervous system and behavior,0.558,19446799,-1,-1
characters_00007,https://pubmed.ncbi.nlm.nih.gov/12667849/,Frequency effects of Chinese character processing in the brain: an event-related  fMRI study.,"Kuo WJ, Yeh TC, Lee CY, Wu Yu, Chou CC, Ho LT, Hung DL, Tzeng OJ, Hsieh JC",NeuroImage,0.521,12667849,-1,-1
characters_00008,https://pubmed.ncbi.nlm.nih.gov/20949093/,Facilitating memory for novel characters by reducing neural repetition suppression in the left fusiform cortex.,"Xue G, Mei L, Chen C, Lu ZL, Poldrack RA, Dong Q",PloS one,0.519,20949093,-1,-1
characters_00009,https://pubmed.ncbi.nlm.nih.gov/22378588/,Writing affects the brain network of reading in Chinese: a functional magnetic resonance imaging study.,"Cao F, Vu M, Chan DH, Lawrence JM, Harris LN, Guan Q, Xu Y, Perfetti CA",Human brain mapping,0.495,22378588,-1,-1
characters_00010,https://pubmed.ncbi.nlm.nih.gov/21818386/,Chinese and Korean characters engage the same visual word form area in proficient early Chinese-Korean bilinguals.,"Bai J, Shi J, Jiang Y, He S, Weng X",PloS one,0.451,21818386,-1,-1
characters_00011,https://pubmed.ncbi.nlm.nih.gov/25463812/,Early MEG markers for reading Chinese phonograms: Evidence from radical combinability and consistency effects.,"Hsu CH, Lee CY, Tzeng OJ",Brain and language,0.436,25463812,-1,-1
characters_00012,https://pubmed.ncbi.nlm.nih.gov/15050593/,Orthographic and phonological processing of Chinese characters: an fMRI study.,"Kuo WJ, Yeh TC, Lee JR, Chen LF, Lee PL, Chen SS, Ho LT, Hung DL, Tzeng OJ, Hsieh JC",NeuroImage,0.423,15050593,-1,-1
characters_00013,https://pubmed.ncbi.nlm.nih.gov/16219423/,An fMRI study of Chinese character reading and picture naming by native Korean speakers.,"Yoon HW, Chung JY, Kim KH, Song MS, Park HW",Neuroscience letters,0.413,16219423,-1,-1
characters_00014,https://pubmed.ncbi.nlm.nih.gov/20452399/,Inversion effect in the visual processing of Chinese character: an fMRI study.,"Zhao J, Liu J, Li J, Liang J, Feng L, Ai L, Tian J",Neuroscience letters,0.413,20452399,-1,-1
characters_00015,https://pubmed.ncbi.nlm.nih.gov/12880898/,Finger movements lighten neural loads in the recognition of ideographic characters.,"Matsuo K, Kato C, Okada T, Moriya T, Glover GH, Nakai T",Brain research. Cognitive brain research,0.393,12880898,-1,-1
characters_00016,https://pubmed.ncbi.nlm.nih.gov/17274024/,Evidence for neural accommodation to a writing system following learning.,"Liu Y, Dunlap S, Fiez J, Perfetti C",Human brain mapping,0.392,17274024,-1,-1
characters_00017,https://pubmed.ncbi.nlm.nih.gov/15183388/,fMRI evidence for the automatic phonological activation of briefly presented words.,"Peng DL, Ding GS, Perry C, Xu D, Jin Z, Luo Q, Zhang L, Deng Y",Brain research. Cognitive brain research,0.355,15183388,-1,-1
characters_00018,https://pubmed.ncbi.nlm.nih.gov/18330872/,Developmental differences of neurocognitive networks for phonological and semantic processing in Chinese word reading.,"Cao F, Peng D, Liu L, Jin Z, Fan N, Deng Y, Booth JR",Human brain mapping,0.336,18330872,-1,-1
characters_00019,https://pubmed.ncbi.nlm.nih.gov/23625045/,The orthographic sensitivity to written Chinese in the occipital-temporal cortex.,"Liu H, Jiang Y, Zhang B, Ma L, He S, Weng X",Experimental brain research,0.321,23625045,-1,-1
characters_00020,https://pubmed.ncbi.nlm.nih.gov/18431500/,Cooperation and deception recruit different subsets of the theory-of-mind network.,"Lissek S, Peters S, Fuchs N, Witthaus H, Nicolas V, Tegenthoff M, Juckel G, Brune M",PloS one,0.32,18431500,-1,-1
characters_00021,https://pubmed.ncbi.nlm.nih.gov/15619544/,Neural mechanisms of Korean word reading: a functional magnetic resonance imaging study.,"Yoon HW, Cho KD, Chung JY, Park H",Neuroscience letters,0.318,15619544,-1,-1
characters_00022,https://pubmed.ncbi.nlm.nih.gov/22659025/,Gains of item-specific training in visual working memory and their neural correlates.,"Zimmer HD, Popp C, Reith W, Krick C",Brain research,0.318,22659025,-1,-1
characters_00023,https://pubmed.ncbi.nlm.nih.gov/26777478/,Functional and anatomical dissociation between the orthographic lexicon and the orthographic buffer revealed in reading and writing Chinese characters by fMRI.,"Chen HY, Chang EC, Chen SHY, Lin YC, Wu DH",NeuroImage,0.309,26777478,-1,-1
characters_00024,https://pubmed.ncbi.nlm.nih.gov/19591947/,Hierarchical coding of characters in the ventral and dorsal visual streams of Chinese language processing.,"Chan ST, Tang SW, Tang KW, Lee WK, Lo SS, Kwong KK",NeuroImage,0.304,19591947,-1,-1
characters_00025,https://pubmed.ncbi.nlm.nih.gov/27992505/,Neural Signatures of the Reading-Writing Connection: Greater Involvement of Writing in Chinese Reading than English Reading.,"Cao F, Perfetti CA",PloS one,0.303,27992505,-1,-1
characters_00026,https://pubmed.ncbi.nlm.nih.gov/19618170/,The role of inferior frontal gyrus and inferior parietal lobule in semantic processing of Chinese characters.,"Chou TL, Chen CW, Wu MY, Booth JR",Experimental brain research,0.296,19618170,-1,-1
characters_00027,https://pubmed.ncbi.nlm.nih.gov/21600637/,Brain networks associated with sublexical properties of Chinese characters.,"Yang J, Wang X, Shu H, Zevin JD",Brain and language,0.277,21600637,-1,-1
characters_00028,https://pubmed.ncbi.nlm.nih.gov/26226077/,Premotor Cortex Activation Elicited during Word Comprehension Relies on Access of Specific Action Concepts.,"Lin N, Wang X, Zhao Y, Liu Y, Li X, Bi Y",Journal of cognitive neuroscience,0.26,26226077,-1,-1
characters_00029,https://pubmed.ncbi.nlm.nih.gov/18635342/,Neural correlates of attachment trauma in borderline personality disorder: a functional magnetic resonance imaging study.,"Buchheim A, Erk S, George C, Kachele H, Kircher T, Martius P, Pokorny D, Ruchsow M, Spitzer M, Walter H",Psychiatry research,0.254,18635342,-1,-1
characters_00030,https://pubmed.ncbi.nlm.nih.gov/15993759/,Cerebral asymmetry in children when reading Chinese characters.,"Xue G, Dong Q, Chen K, Jin Z, Chen C, Zeng Y, Reiman EM",Brain research. Cognitive brain research,0.249,15993759,-1,-1
characters_00031,https://pubmed.ncbi.nlm.nih.gov/21504992/,Neural substrates of interpreting actions and emotions from body postures.,"Kana RK, Travers BG",Social cognitive and affective neuroscience,0.243,21504992,-1,-1
characters_00032,https://pubmed.ncbi.nlm.nih.gov/20817279/,"Task effects in the mid-fusiform gyrus: a comparison of orthographic, phonological, and semantic processing of Chinese characters.","Guo Y, Burgund ED",Brain and language,0.237,20817279,-1,-1
characters_00033,https://pubmed.ncbi.nlm.nih.gov/25820129/,How the brain predicts people's behavior in relation to rules and desires. Evidence of a medio-prefrontal dissociation.,"Corradi-Dell'Acqua C, Turri F, Kaufmann L, Clement F, Schwartz S",Cortex; a journal devoted to the study of the nervous system and behavior,0.235,25820129,-1,-1
characters_00034,https://pubmed.ncbi.nlm.nih.gov/23246777/,Design and evaluation of an innovative MRI-compatible Braille stimulator with high spatial and temporal resolution.,"Debowska W, Wolak T, Soluch P, Orzechowski M, Kossut M",Journal of neuroscience methods,0.232,23246777,-1,-1
characters_00035,https://pubmed.ncbi.nlm.nih.gov/21546073/,The role of the ventral and dorsal pathways in reading Chinese characters and English words.,"Sun Y, Yang Y, Desroches AS, Liu L, Peng D",Brain and language,0.225,21546073,-1,-1
characters_00036,https://pubmed.ncbi.nlm.nih.gov/20056159/,Neural substrates of phonological selection for Japanese character Kanji based on fMRI investigations.,"Matsuo K, Chen SH, Hue CW, Wu CY, Bagarinao E, Tseng WY, Nakai T",NeuroImage,0.206,20056159,-1,-1
characters_00037,https://pubmed.ncbi.nlm.nih.gov/27790087/,Functional and Structural Neuroplasticity Induced by Short-Term Tactile Training  Based on Braille Reading.,"Debowska W, Wolak T, Nowicka A, Kozak A, Szwed M, Kossut M",Frontiers in neuroscience,0.187,27790087,-1,-1
characters_00038,https://pubmed.ncbi.nlm.nih.gov/16171833/,Being with virtual others: Neural correlates of social interaction.,"Schilbach L, Wohlschlaeger AM, Kraemer NC, Newen A, Shah NJ, Fink GR, Vogeley K",Neuropsychologia,0.176,16171833,-1,-1
characters_00039,https://pubmed.ncbi.nlm.nih.gov/22659111/,Pre-orthographic character string processing and parietal cortex: a role for visual attention in reading?,"Lobier M, Peyrin C, Le Bas JF, Valdois S",Neuropsychologia,0.17,22659111,-1,-1
characters_00040,https://pubmed.ncbi.nlm.nih.gov/22820634/,Neural strategies for reading Japanese and Chinese sentences: a cross-linguistic  fMRI study of character-decoding and morphosyntax.,"Huang K, Itoh K, Kwee IL, Nakada T",Neuropsychologia,0.164,22820634,-1,-1
characters_00041,https://pubmed.ncbi.nlm.nih.gov/26004692/,Cognitive insight in first-episode schizophrenia: Further evidence for a role of  the ventrolateral prefrontal cortex.,"Buchy L, Hawco C, Joober R, Malla A, Lepage M",Schizophrenia research,0.158,26004692,-1,-1
characters_00042,https://pubmed.ncbi.nlm.nih.gov/29194453/,Neural correlates of processing sentences and compound words in Chinese.,"Bulut T, Hung YH, Tzeng O, Wu DH",PloS one,0.158,29194453,-1,-1
characters_00043,https://pubmed.ncbi.nlm.nih.gov/22143093/,Different roles of the posterior inferior frontal gyrus in Chinese character form judgment differences between literate and illiterate individuals.,"Wu J, Wang B, Yan T, Li X, Bao X, Guo Q",Brain research,0.157,22143093,-1,-1
characters_00044,https://pubmed.ncbi.nlm.nih.gov/24607883/,Neural division of labor in reading is constrained by culture: a training study of reading Chinese characters.,"Zhao J, Wang X, Frost SJ, Sun W, Fang SY, Mencl WE, Pugh KR, Shu H, Rueckl JG",Cortex; a journal devoted to the study of the nervous system and behavior,0.155,24607883,10.1016/j.cortex.2014.01.003,-1
characters_00045,https://pubmed.ncbi.nlm.nih.gov/19850055/,Greater superior than inferior parietal lobule activation with increasing rotation angle during mental rotation: an fMRI study.,"Gogos A, Gavrilescu M, Davison S, Searle K, Adams J, Rossell SL, Bell R, Davis SR, Egan GF",Neuropsychologia,0.153,19850055,10.1016/j.neuropsychologia.2009.10.013,-1
