paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
chosen_00001,https://pubmed.ncbi.nlm.nih.gov/18992349/,A parametric relief signal in human ventrolateral prefrontal cortex.,"Fujiwara J, Tobler PN, Taira M, Iijima T, Tsutsui K",NeuroImage,0.543,18992349,-1,-1
chosen_00002,https://pubmed.ncbi.nlm.nih.gov/21130888/,How choice modifies preference: neural correlates of choice justification.,"Qin J, Kimel S, Kitayama S, Wang X, Yang X, Han S",NeuroImage,0.332,21130888,-1,-1
chosen_00003,https://pubmed.ncbi.nlm.nih.gov/27107470/,Similar coding of freely chosen and externally cued intentions in a fronto-parietal network.,"Wisniewski D, Goschke T, Haynes JD",NeuroImage,0.332,27107470,-1,-1
chosen_00004,https://pubmed.ncbi.nlm.nih.gov/26163803/,Separate and overlapping brain areas encode subjective value during delay and effort discounting.,"Massar SA, Libedinsky C, Weiyan C, Huettel SA, Chee MW",NeuroImage,0.24,26163803,-1,-1
chosen_00005,https://pubmed.ncbi.nlm.nih.gov/23684860/,Distinct encoding of risk and value in economic choice between multiple risky options.,"Wright ND, Symmonds M, Dolan RJ",NeuroImage,0.235,23684860,-1,-1
chosen_00006,https://pubmed.ncbi.nlm.nih.gov/21298563/,The perception of harmonic triads: an fMRI study.,"Fujisawa TX, Cook ND",Brain imaging and behavior,0.193,21298563,-1,-1
chosen_00007,https://pubmed.ncbi.nlm.nih.gov/19826471/,Understanding others' regret: a FMRI study.,"Canessa N, Motterlini M, Di Dio C, Perani D, Scifo P, Cappa SF, Rizzolatti G",PloS one,0.156,19826471,-1,-1
chosen_00008,https://pubmed.ncbi.nlm.nih.gov/21722888/,Contribution of the right intraparietal sulcus to numerosity and length processing: an fMRI-guided TMS study.,"Dormal V, Andres M, Pesenti M",Cortex; a journal devoted to the study of the nervous system and behavior,0.147,21722888,-1,-1
chosen_00009,https://pubmed.ncbi.nlm.nih.gov/21452934/,The neural sociometer: brain mechanisms underlying state self-esteem.,"Eisenberger NI, Inagaki TK, Muscatell KA, Byrne Haltom KE, Leary MR",Journal of cognitive neuroscience,0.145,21452934,-1,-1
chosen_00010,https://pubmed.ncbi.nlm.nih.gov/23864675/,Choosing the rules: distinct and overlapping frontoparietal representations of task rules for perceptual decisions.,"Zhang J, Kriegeskorte N, Carlin JD, Rowe JB",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.142,23864675,-1,-1
chosen_00011,https://pubmed.ncbi.nlm.nih.gov/16631384/,Clustered functional MRI of overt speech production.,"Soros P, Sokoloff LG, Bose A, McIntosh AR, Graham SJ, Stuss DT",NeuroImage,0.132,16631384,-1,-1
chosen_00012,https://pubmed.ncbi.nlm.nih.gov/12880821/,Eye closure in darkness animates sensory systems.,"Marx E, Stephan T, Nolte A, Deutschlander A, Seelos KC, Dieterich M, Brandt T",NeuroImage,0.122,12880821,-1,-1
