paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
cognitive functions_00001,https://pubmed.ncbi.nlm.nih.gov/28213119/,The heterogeneity of the left dorsal premotor cortex evidenced by multimodal connectivity-based parcellation and functional characterization.,"Genon S, Reid A, Li H, Fan L, Muller VI, Cieslik EC, Hoffstaedter F, Langner R, Grefkes C, Laird AR, Fox PT, Jiang T, Amunts K, Eickhoff SB",NeuroImage,0.211,28213119,-1,-1
cognitive functions_00002,https://pubmed.ncbi.nlm.nih.gov/28293185/,Hypoconnectivity of Resting-State Networks in Persons with Aphasia Compared with  Healthy Age-Matched Adults.,Sandberg CW,Frontiers in human neuroscience,0.176,28293185,-1,-1
cognitive functions_00003,https://pubmed.ncbi.nlm.nih.gov/19818906/,Executive functions in the absence of behavior: functional imaging of the minimally conscious state.,"Monti MM, Coleman MR, Owen AM",Progress in brain research,0.167,19818906,-1,-1
cognitive functions_00004,https://pubmed.ncbi.nlm.nih.gov/22355129/,Rat brains also have a default mode network.,"Lu H, Zou Q, Gu H, Raichle ME, Stein EA, Yang Y",Proceedings of the National Academy of Sciences of the United States of America,0.167,22355129,-1,-1
cognitive functions_00005,https://pubmed.ncbi.nlm.nih.gov/23892066/,A comprehensive neuropsychological mapping battery for functional magnetic resonance imaging.,"Karakas S, Baran Z, Ceylan AO, Tileylioglu E, Tali T, Karakas HM",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.165,23892066,-1,-1
cognitive functions_00006,https://pubmed.ncbi.nlm.nih.gov/19913624/,Combining functional and anatomical connectivity reveals brain networks for auditory language comprehension.,"Saur D, Schelter B, Schnell S, Kratochvil D, Kupper H, Kellmeyer P, Kummerer D, Kloppel S, Glauche V, Lange R, Mader W, Feess D, Timmer J, Weiller C",NeuroImage,0.157,19913624,-1,-1
cognitive functions_00007,https://pubmed.ncbi.nlm.nih.gov/26058605/,A Neural Decomposition of Visual Search Using Voxel-based Morphometry.,"Humphreys GW, Chechlacz M",Journal of cognitive neuroscience,0.157,26058605,-1,-1
cognitive functions_00008,https://pubmed.ncbi.nlm.nih.gov/22776455/,The impact of aging on gray matter structural covariance networks.,"Montembeault M, Joubert S, Doyon J, Carrier J, Gagnon JF, Monchi O, Lungu O, Belleville S, Brambati SM",NeuroImage,0.154,22776455,-1,-1
cognitive functions_00009,https://pubmed.ncbi.nlm.nih.gov/21131121/,Correlation between gray/white matter volume and cognition in healthy elderly people.,"Taki Y, Kinomura S, Sato K, Goto R, Wu K, Kawashima R, Fukuda H",Brain and cognition,0.15,21131121,-1,-1
cognitive functions_00010,https://pubmed.ncbi.nlm.nih.gov/14527595/,Right inferior prefrontal cortex mediates response inhibition while mesial prefrontal cortex is responsible for error detection.,"Rubia K, Smith AB, Brammer MJ, Taylor E",NeuroImage,0.145,14527595,-1,-1
