paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
conceptual_00001,https://pubmed.ncbi.nlm.nih.gov/29733816/,Creative conceptual expansion: A combined fMRI replication and extension study to examine individual differences in creativity.,"Abraham A, Rutter B, Bantin T, Hermann C",Neuropsychologia,0.734,29733816,10.1016/j.neuropsychologia.2018.05.004,-1
conceptual_00002,https://pubmed.ncbi.nlm.nih.gov/22238084/,Predicting conceptual processing capacity from spontaneous neuronal activity of the left middle temporal gyrus.,"Wei T, Liang X, He Y, Zang Y, Han Z, Caramazza A, Bi Y",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.613,22238084,10.1523/JNEUROSCI.1953-11.2012,-1
conceptual_00003,https://pubmed.ncbi.nlm.nih.gov/20562319/,Broad and narrow conceptual tuning in the human frontal lobes.,"Gotts SJ, Milleville SC, Bellgowan PS, Martin A","Cerebral cortex (New York, N.Y. : 1991)",0.545,20562319,10.1093/cercor/bhq113,-1
conceptual_00004,https://pubmed.ncbi.nlm.nih.gov/19400672/,The role of right and left parietal lobes in the conceptual processing of numbers.,"Cappelletti M, Lee HL, Freeman ED, Price CJ",Journal of cognitive neuroscience,0.472,19400672,10.1162/jocn.2009.21246,-1
conceptual_00005,https://pubmed.ncbi.nlm.nih.gov/18056085/,Familiarity and conceptual priming engage distinct cortical networks.,"Voss JL, Reber PJ, Mesulam MM, Parrish TB, Paller KA","Cerebral cortex (New York, N.Y. : 1991)",0.458,18056085,10.1093/cercor/bhm200,-1
conceptual_00006,https://pubmed.ncbi.nlm.nih.gov/22079921/,The potato chip really does look like Elvis! Neural hallmarks of conceptual processing associated with finding novel shapes subjectively meaningful.,"Voss JL, Federmeier KD, Paller KA","Cerebral cortex (New York, N.Y. : 1991)",0.422,22079921,10.1093/cercor/bhr315,-1
conceptual_00007,https://pubmed.ncbi.nlm.nih.gov/22204876/,Can clouds dance? Neural correlates of passive conceptual expansion using a metaphor processing task: Implications for creative cognition.,"Rutter B, Kroger S, Stark R, Schweckendiek J, Windmann S, Hermann C, Abraham A",Brain and cognition,0.421,22204876,10.1016/j.bandc.2011.11.002,-1
conceptual_00008,https://pubmed.ncbi.nlm.nih.gov/19925182/,Dissociable neural substrates for agentic versus conceptual representations of self.,"Powell LJ, Macrae CN, Cloutier J, Metcalfe J, Mitchell JP",Journal of cognitive neuroscience,0.41,19925182,10.1162/jocn.2009.21368,-1
conceptual_00009,https://pubmed.ncbi.nlm.nih.gov/23785167/,Brain regions that represent amodal conceptual knowledge.,"Fairhall SL, Caramazza A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.407,23785167,10.1523/JNEUROSCI.0051-13.2013,-1
conceptual_00010,https://pubmed.ncbi.nlm.nih.gov/25698762/,Converging evidence for the neuroanatomic basis of combinatorial semantics in the angular gyrus.,"Price AR, Bonner MF, Peelle JE, Grossman M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.399,25698762,10.1523/JNEUROSCI.3446-14.2015,-1
