paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
conflict_00001,https://pubmed.ncbi.nlm.nih.gov/20399838/,Multiple cognitive control mechanisms associated with the nature of conflict.,"Kim C, Chung C, Kim J",Neuroscience letters,0.862,20399838,10.1016/j.neulet.2010.04.019,-1
conflict_00002,https://pubmed.ncbi.nlm.nih.gov/26640434/,Neural Correlates of Decision-Making Under Ambiguity and Conflict.,"Pushkarskaya H, Smithson M, Joseph JE, Corbly C, Levy I",Frontiers in behavioral neuroscience,0.796,26640434,10.3389/fnbeh.2015.00325,-1
conflict_00003,https://pubmed.ncbi.nlm.nih.gov/17276088/,Separate conflict-specific cognitive control mechanisms in the human brain.,"Egner T, Delano M, Hirsch J",NeuroImage,0.776,17276088,10.1016/j.neuroimage.2006.11.061,-1
conflict_00004,https://pubmed.ncbi.nlm.nih.gov/21684531/,Levels of conflict in reasoning modulate right lateral prefrontal cortex.,"Stollstorff M, Vartanian O, Goel V",Brain research,0.719,21684531,10.1016/j.brainres.2011.05.045,-1
conflict_00005,https://pubmed.ncbi.nlm.nih.gov/16876434/,Anterior cingulate and prefrontal cortex activity in an FMRI study of trial-to-trial adjustments on the Simon task.,Kerns JG,NeuroImage,0.706,16876434,-1,-1
conflict_00006,https://pubmed.ncbi.nlm.nih.gov/21229616/,A functional dissociation of conflict processing within anterior cingulate cortex.,"Kim C, Kroger JK, Kim J",Human brain mapping,0.704,21229616,-1,-1
conflict_00007,https://pubmed.ncbi.nlm.nih.gov/19467359/,Attentional control of task and response in lateral and medial frontal cortex: brain activity and reaction time distributions.,"Aarts E, Roelofs A, van Turennout M",Neuropsychologia,0.697,19467359,-1,-1
conflict_00008,https://pubmed.ncbi.nlm.nih.gov/20715084/,Emotion triggers executive attention: anterior cingulate cortex and amygdala responses to emotional words in a conflict task.,"Kanske P, Kotz SA",Human brain mapping,0.677,20715084,-1,-1
conflict_00009,https://pubmed.ncbi.nlm.nih.gov/20732901/,Emotion speeds up conflict resolution: a new role for the ventral anterior cingulate cortex?,"Kanske P, Kotz SA","Cerebral cortex (New York, N.Y. : 1991)",0.672,20732901,-1,-1
conflict_00010,https://pubmed.ncbi.nlm.nih.gov/24074459/,"Conflict adaptation in prefrontal cortex: now you see it, now you don't.","Kim C, Johnson NF, Gold BT",Cortex; a journal devoted to the study of the nervous system and behavior,0.661,24074459,-1,-1
conflict_00011,https://pubmed.ncbi.nlm.nih.gov/21568631/,Right ventrolateral prefrontal cortex mediates individual differences in conflict-driven cognitive control.,Egner T,Journal of cognitive neuroscience,0.645,21568631,10.1162/jocn_a_00064,-1
conflict_00012,https://pubmed.ncbi.nlm.nih.gov/20691791/,Spatio-temporal brain dynamics in a combined stimulus-stimulus and stimulus-response conflict task.,"Fruhholz S, Godde B, Finke M, Herrmann M",NeuroImage,0.637,20691791,10.1016/j.neuroimage.2010.07.071,-1
conflict_00013,https://pubmed.ncbi.nlm.nih.gov/24618674/,Successful contextual integration of loose mental associations as evidenced by emotional conflict-processing.,"Zimmer U, Koschutnig K, Ebner F, Ischebeck A",PloS one,0.622,24618674,-1,-1
conflict_00014,https://pubmed.ncbi.nlm.nih.gov/21408006/,Neural circuitry of emotional and cognitive conflict revealed through facial expressions.,"Chiew KS, Braver TS",PloS one,0.615,21408006,-1,-1
conflict_00015,https://pubmed.ncbi.nlm.nih.gov/17652463/,The functional integration of the anterior cingulate cortex during conflict processing.,"Fan J, Hof PR, Guise KG, Fossella JA, Posner MI","Cerebral cortex (New York, N.Y. : 1991)",0.604,17652463,-1,-1
conflict_00016,https://pubmed.ncbi.nlm.nih.gov/27142051/,Amplitude of low-frequency oscillations associated with emotional conflict control.,"Xue S, Wang X, Chang J, Liu J, Qiu J",Experimental brain research,0.585,27142051,-1,-1
conflict_00017,https://pubmed.ncbi.nlm.nih.gov/22244835/,Cognitive conflict in a syllable identification task causes transient activation  of speech perception area.,"Saetrevik B, Specht K",Brain and cognition,0.577,22244835,-1,-1
conflict_00018,https://pubmed.ncbi.nlm.nih.gov/26778366/,Amygdala alterations during an emotional conflict task in women recovered from anorexia nervosa.,"Bang L, Ro O, Endestad T",Psychiatry research. Neuroimaging,0.574,26778366,-1,-1
conflict_00019,https://pubmed.ncbi.nlm.nih.gov/15627596/,The neural correlates and functional integration of cognitive control in a Stroop task.,"Egner T, Hirsch J",NeuroImage,0.57,15627596,-1,-1
conflict_00020,https://pubmed.ncbi.nlm.nih.gov/18367612/,Functional imaging of decision conflict.,"Pochon JB, Riis J, Sanfey AG, Nystrom LE, Cohen JD",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.57,18367612,-1,-1
conflict_00021,https://pubmed.ncbi.nlm.nih.gov/23103691/,The neural mechanisms of semantic and response conflicts: An fMRI study of practice-related effects in the Stroop task.,"Chen Z, Lei X, Ding C, Li H, Chen A",NeuroImage,0.567,23103691,-1,-1
conflict_00022,https://pubmed.ncbi.nlm.nih.gov/21212836/,"Conditional Differences in Mean Reaction Time Explain Effects of Response Congruency, but not Accuracy, on Posterior Medial Frontal Cortex Activity.","Carp J, Kim K, Taylor SF, Fitzgerald KD, Weissman DH",Frontiers in human neuroscience,0.555,21212836,-1,-1
