paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
congruency_00001,https://pubmed.ncbi.nlm.nih.gov/19172625/,Syllable congruency and word frequency effects on brain activation.,"Carreiras M, Riba J, Vergara M, Heldmann M, Munte TF",Human brain mapping,0.438,19172625,10.1002/hbm.20730,-1
congruency_00002,https://pubmed.ncbi.nlm.nih.gov/26419391/,How prior expectations shape multisensory perception.,"Gau R, Noppeney U",NeuroImage,0.417,26419391,10.1016/j.neuroimage.2015.09.045,-1
congruency_00003,https://pubmed.ncbi.nlm.nih.gov/21425399/,Neural correlates of audio-visual object recognition: effects of implicit spatial congruency.,"Plank T, Rosengarth K, Song W, Ellermeier W, Greenlee MW",Human brain mapping,0.399,21425399,10.1002/hbm.21254,-1
congruency_00004,https://pubmed.ncbi.nlm.nih.gov/29501792/,Neural basis of the crossmodal correspondence between auditory pitch and visuospatial elevation.,"McCormick K, Lacey S, Stilla R, Nygaard LC, Sathian K",Neuropsychologia,0.393,29501792,-1,-1
congruency_00005,https://pubmed.ncbi.nlm.nih.gov/24351976/,Orthographic Dependency in the Neural Correlates of Reading: Evidence from Audiovisual Integration in English Readers.,"Holloway ID, van Atteveldt N, Blomert L, Ansari D","Cerebral cortex (New York, N.Y. : 1991)",0.388,24351976,-1,-1
congruency_00006,https://pubmed.ncbi.nlm.nih.gov/27014040/,"Higher Language Ability is Related to Angular Gyrus Activation Increase During Semantic Processing, Independent of Sentence Incongruency.","Van Ettinger-Veenstra H, McAllister A, Lundberg P, Karlsson T, Engstrom M",Frontiers in human neuroscience,0.371,27014040,-1,-1
congruency_00007,https://pubmed.ncbi.nlm.nih.gov/28801254/,The effect of visual parameters on neural activation during nonsymbolic number comparison and its relation to math competency.,"Wilkey ED, Barone JC, Mazzocco MMM, Vogel SE, Price GR",NeuroImage,0.354,28801254,-1,-1
congruency_00008,https://pubmed.ncbi.nlm.nih.gov/25066523/,Attenuation of the contingency detection effect in the extrastriate body area in  autism spectrum disorder.,"Okamoto Y, Kitada R, Tanabe HC, Hayashi MJ, Kochiyama T, Munesue T, Ishitobi M, Saito DN, Yanaka HT, Omori M, Wada Y, Okazawa H, Sasaki AT, Morita T, Itakura S, Kosaka H, Sadato N",Neuroscience research,0.344,25066523,-1,-1
congruency_00009,https://pubmed.ncbi.nlm.nih.gov/22905819/,The neural selection and integration of actions and objects: an fMRI study.,"Yoon EY, Humphreys GW, Kumar S, Rotshtein P",Journal of cognitive neuroscience,0.339,22905819,-1,-1
congruency_00010,https://pubmed.ncbi.nlm.nih.gov/27520472/,Functional brain and age-related changes associated with congruency in task switching.,"Eich TS, Parker D, Liu D, Oh H, Razlighi Q, Gazes Y, Habeck C, Stern Y",Neuropsychologia,0.339,27520472,-1,-1
congruency_00011,https://pubmed.ncbi.nlm.nih.gov/16731007/,Dissociating response conflict from numerical magnitude processing in the brain:  an event-related fMRI study.,"Ansari D, Fugelsang JA, Dhital B, Venkatraman V",NeuroImage,0.298,16731007,-1,-1
congruency_00012,https://pubmed.ncbi.nlm.nih.gov/21613471/,Motor planning is facilitated by adopting an action's goal posture: an fMRI study.,"Zimmermann M, Meulenbroek RG, de Lange FP","Cerebral cortex (New York, N.Y. : 1991)",0.28,21613471,-1,-1
congruency_00013,https://pubmed.ncbi.nlm.nih.gov/21777596/,Event congruency and episodic encoding: a developmental fMRI study.,"Maril A, Avital R, Reggev N, Zuckerman M, Sadeh T, Ben Sira L, Livneh N",Neuropsychologia,0.274,21777596,-1,-1
congruency_00014,https://pubmed.ncbi.nlm.nih.gov/23638070/,The congruency effect in the posterior medial frontal cortex is more consistent with time on task than with response conflict.,"Weissman DH, Carp J",PloS one,0.26,23638070,-1,-1
congruency_00015,https://pubmed.ncbi.nlm.nih.gov/17652467/,The relationship between study processing and the effects of cue congruency at retrieval: fMRI support for transfer appropriate processing.,"Park H, Rugg MD","Cerebral cortex (New York, N.Y. : 1991)",0.252,17652467,-1,-1
congruency_00016,https://pubmed.ncbi.nlm.nih.gov/18276163/,A selective representation of the meaning of actions in the auditory mirror system.,"Galati G, Committeri G, Spitoni G, Aprile T, Di Russo F, Pitzalis S, Pizzamiglio L",NeuroImage,0.249,18276163,-1,-1
