paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
congruent_00001,https://pubmed.ncbi.nlm.nih.gov/22020878/,A salty-congruent odor enhances saltiness: functional magnetic resonance imaging  study.,"Seo HS, Iannilli E, Hummel C, Okazaki Y, Buschhuter D, Gerber J, Krammer GE, van Lengerich B, Hummel T",Human brain mapping,0.505,22020878,-1,-1
congruent_00002,https://pubmed.ncbi.nlm.nih.gov/18344173/,The determiner congruency effect in language production investigated with functional MRI.,"Heim S, Friederici AD, Schiller NO, Ruschemeyer SA, Amunts K",Human brain mapping,0.405,18344173,-1,-1
congruent_00003,https://pubmed.ncbi.nlm.nih.gov/12738341/,Why are smiles contagious? An fMRI study of the interaction between perception of facial affect and facial movements.,"Wild B, Erb M, Eyb M, Bartels M, Grodd W",Psychiatry research,0.401,12738341,-1,-1
congruent_00004,https://pubmed.ncbi.nlm.nih.gov/24188808/,Drawing lines while imagining circles: Neural basis of the bimanual coupling effect during motor execution and motor imagery.,"Garbarini F, D'Agata F, Piedimonte A, Sacco K, Rabuffetti M, Tam F, Cauda F, Pia L, Geminiani G, Duca S, Graham SJ, Berti A",NeuroImage,0.393,24188808,-1,-1
congruent_00005,https://pubmed.ncbi.nlm.nih.gov/20452443/,Prior auditory information shapes visual category-selectivity in ventral occipito-temporal cortex.,"Adam R, Noppeney U",NeuroImage,0.354,20452443,-1,-1
congruent_00006,https://pubmed.ncbi.nlm.nih.gov/24391573/,Cross-modal integration of emotions in the chemical senses.,"Bensafi M, Iannilli E, Schriever VA, Poncelet J, Seo HS, Gerber J, Rouby C, Hummel T",Frontiers in human neuroscience,0.341,24391573,-1,-1
congruent_00007,https://pubmed.ncbi.nlm.nih.gov/19467359/,Attentional control of task and response in lateral and medial frontal cortex: brain activity and reaction time distributions.,"Aarts E, Roelofs A, van Turennout M",Neuropsychologia,0.337,19467359,-1,-1
congruent_00008,https://pubmed.ncbi.nlm.nih.gov/26048620/,Differences in the neural signature of remembering schema-congruent and schema-incongruent events.,"Brod G, Lindenberger U, Werkle-Bergner M, Shing YL",NeuroImage,0.331,26048620,-1,-1
congruent_00009,https://pubmed.ncbi.nlm.nih.gov/15850739/,Brain mechanisms for mood congruent memory facilitation.,"Lewis PA, Critchley HD, Smith AP, Dolan RJ",NeuroImage,0.311,15850739,-1,-1
congruent_00010,https://pubmed.ncbi.nlm.nih.gov/23872285/,Neural correlates of audiovisual speech processing in a second language.,"Barros-Loscertales A, Ventura-Campos N, Visser M, Alsius A, Pallier C, Avila Rivera C, Soto-Faraco S",Brain and language,0.309,23872285,-1,-1
congruent_00011,https://pubmed.ncbi.nlm.nih.gov/19302160/,Spatial attention can modulate audiovisual integration at multiple cortical and subcortical sites.,"Fairhall SL, Macaluso E",The European journal of neuroscience,0.306,19302160,10.1111/j.1460-9568.2009.06688.x,-1
congruent_00012,https://pubmed.ncbi.nlm.nih.gov/15834861/,Anterior cingulate cortex: an fMRI analysis of conflict specificity and functional differentiation.,"Milham MP, Banich MT",Human brain mapping,0.275,15834861,-1,-1
congruent_00013,https://pubmed.ncbi.nlm.nih.gov/17652467/,The relationship between study processing and the effects of cue congruency at retrieval: fMRI support for transfer appropriate processing.,"Park H, Rugg MD","Cerebral cortex (New York, N.Y. : 1991)",0.275,17652467,-1,-1
congruent_00014,https://pubmed.ncbi.nlm.nih.gov/25275449/,Fibromyalgia patients had normal distraction related pain inhibition but cognitive impairment reflected in caudate nucleus and hippocampus during the Stroop Color Word Test.,"Martinsen S, Flodin P, Berrebi J, Lofgren M, Bileviciute-Ljungar I, Ingvar M, Fransson P, Kosek E",PloS one,0.273,25275449,-1,-1
congruent_00015,https://pubmed.ncbi.nlm.nih.gov/26419391/,How prior expectations shape multisensory perception.,"Gau R, Noppeney U",NeuroImage,0.273,26419391,-1,-1
congruent_00016,https://pubmed.ncbi.nlm.nih.gov/25697049/,The neural basis of perceiving person interactions.,"Quadflieg S, Gentile F, Rossion B",Cortex; a journal devoted to the study of the nervous system and behavior,0.268,25697049,-1,-1
congruent_00017,https://pubmed.ncbi.nlm.nih.gov/21940454/,Supramodal representation of emotions.,"Klasen M, Kenworthy CA, Mathiak KA, Kircher TT, Mathiak K",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.262,21940454,-1,-1
congruent_00018,https://pubmed.ncbi.nlm.nih.gov/26351991/,Preference for Audiovisual Speech Congruency in Superior Temporal Cortex.,"Luttke CS, Ekman M, van Gerven MA, de Lange FP",Journal of cognitive neuroscience,0.262,26351991,-1,-1
