paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
consciousness_00001,https://pubmed.ncbi.nlm.nih.gov/20336686/,Anterior cingulate activity and the self in disorders of consciousness.,"Qin P, Di H, Liu Y, Yu S, Gong Q, Duncan N, Weng X, Laureys S, Northoff G",Human brain mapping,0.625,20336686,10.1002/hbm.20989,-1
consciousness_00002,https://pubmed.ncbi.nlm.nih.gov/23447611/,The thalamus and brainstem act as key hubs in alterations of human brain network  connectivity induced by mild propofol sedation.,"Gili T, Saxena N, Diukova A, Murphy K, Hall JE, Wise RG",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.481,23447611,-1,-1
consciousness_00003,https://pubmed.ncbi.nlm.nih.gov/25346407/,Increased functional connectivity between superior colliculus and brain regions implicated in bodily self-consciousness during the rubber hand illusion.,"Olive I, Tempelmann C, Berthoz A, Heinze HJ",Human brain mapping,0.467,25346407,-1,-1
consciousness_00004,https://pubmed.ncbi.nlm.nih.gov/24979748/,Posterior cingulate cortex-related co-activation patterns: a resting state FMRI study in propofol-induced loss of consciousness.,"Amico E, Gomez F, Di Perri C, Vanhaudenhuyse A, Lesenfants D, Boveroux P, Bonhomme V, Brichant JF, Marinazzo D, Laureys S",PloS one,0.441,24979748,-1,-1
consciousness_00005,https://pubmed.ncbi.nlm.nih.gov/26343319/,Decoupled temporal variability and signal synchronization of spontaneous brain activity in loss of consciousness: An fMRI study in anesthesia.,"Huang Z, Zhang J, Wu J, Qin P, Wu X, Wang Z, Dai R, Li Y, Liang W, Mao Y, Yang Z, Zhang J, Wolff A, Northoff G",NeuroImage,0.426,26343319,-1,-1
consciousness_00006,https://pubmed.ncbi.nlm.nih.gov/26796715/,Modulation of the default-mode network and the attentional network by self-referential processes in patients with disorder of consciousness.,"Maki-Marttunen V, Castro M, Olmos L, Leiguarda R, Villarreal M",Neuropsychologia,0.415,26796715,-1,-1
consciousness_00007,https://pubmed.ncbi.nlm.nih.gov/25344118/,A frontal but not parietal neural correlate of auditory consciousness.,"Brancucci A, Lugli V, Perrucci MG, Del Gratta C, Tommasi L",Brain structure & function,0.407,25344118,-1,-1
consciousness_00008,https://pubmed.ncbi.nlm.nih.gov/22287214/,Visual cognition in disorders of consciousness: from V1 to top-down attention.,"Monti MM, Pickard JD, Owen AM",Human brain mapping,0.39,22287214,-1,-1
consciousness_00009,https://pubmed.ncbi.nlm.nih.gov/15084494/,Positive and negative network correlations in temporal lobe epilepsy.,"Blumenfeld H, McNally KA, Vanderhill SD, Paige AL, Chung R, Davis K, Norden AD, Stokking R, Studholme C, Novotny EJ Jr, Zubal IG, Spencer SS","Cerebral cortex (New York, N.Y. : 1991)",0.38,15084494,-1,-1
consciousness_00010,https://pubmed.ncbi.nlm.nih.gov/18219620/,Persistent default-mode network connectivity during light sedation.,"Greicius MD, Kiviniemi V, Tervonen O, Vainionpaa V, Alahuhta S, Reiss AL, Menon V",Human brain mapping,0.374,18219620,-1,-1
consciousness_00011,https://pubmed.ncbi.nlm.nih.gov/21261453/,A neural region of abstract working memory.,"Cowan N, Li D, Moffitt A, Becker TM, Martin EA, Saults JS, Christ SE",Journal of cognitive neuroscience,0.368,21261453,10.1162/jocn.2011.21625,-1
consciousness_00012,https://pubmed.ncbi.nlm.nih.gov/17963799/,Neural correlates of primary and reflective consciousness of spatial orienting.,"Bartolomeo P, Zieren N, Vohn R, Dubois B, Sturm W",Neuropsychologia,0.347,17963799,10.1016/j.neuropsychologia.2007.07.005,-1
consciousness_00013,https://pubmed.ncbi.nlm.nih.gov/17598166/,Low frequency BOLD fluctuations during resting wakefulness and light sleep: a simultaneous EEG-fMRI study.,"Horovitz SG, Fukunaga M, de Zwart JA, van Gelderen P, Fulton SC, Balkin TJ, Duyn JH",Human brain mapping,0.338,17598166,10.1002/hbm.20428,-1
consciousness_00014,https://pubmed.ncbi.nlm.nih.gov/23175832/,Purging of memories from conscious awareness tracked in the human brain.,"Levy BJ, Anderson MC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.311,23175832,-1,-1
consciousness_00015,https://pubmed.ncbi.nlm.nih.gov/21861678/,Dissociable neural activations of conscious visibility and attention.,"Tsubomi H, Ikeda T, Hanakawa T, Hirose N, Fukuyama H, Osaka N",Journal of cognitive neuroscience,0.307,21861678,-1,-1
consciousness_00016,https://pubmed.ncbi.nlm.nih.gov/14683715/,"One brain, two selves.","Reinders AA, Nijenhuis ER, Paans AM, Korf J, Willemsen AT, den Boer JA",NeuroImage,0.304,14683715,-1,-1
consciousness_00017,https://pubmed.ncbi.nlm.nih.gov/20974213/,Default mode network gates the retrieval of task-irrelevant incidental memories.,Kompus K,Neuroscience letters,0.304,20974213,-1,-1
