paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
consistency_00001,https://pubmed.ncbi.nlm.nih.gov/18725239/,Differential effects of orthographic and phonological consistency in cortex for children with and without reading impairment.,"Bolger DJ, Minas J, Burman DD, Booth JR",Neuropsychologia,0.708,18725239,-1,-1
consistency_00002,https://pubmed.ncbi.nlm.nih.gov/28194095/,Altered Hippocampo-Cerebello-Cortical Circuit in Schizophrenia by a Spatiotemporal Consistency and Causal Connectivity Analysis.,"Chen X, Jiang Y, Chen L, He H, Dong L, Hou C, Duan M, Yang M, Yao D, Luo C",Frontiers in neuroscience,0.613,28194095,-1,-1
consistency_00003,https://pubmed.ncbi.nlm.nih.gov/17957704/,Neural correlates of orthographic and phonological consistency effects in children.,"Bolger DJ, Hornickel J, Cone NE, Burman DD, Booth JR",Human brain mapping,0.453,17957704,-1,-1
consistency_00004,https://pubmed.ncbi.nlm.nih.gov/19289173/,Consistency and variability in functional localisers.,"Duncan KJ, Pattamadilok C, Knierim I, Devlin JT",NeuroImage,0.441,19289173,-1,-1
consistency_00005,https://pubmed.ncbi.nlm.nih.gov/28980133/,Time is nothing: emotional consistency of autobiographical memory and its neural  basis.,"Xu R, Yang J, Feng C, Wu H, Huang R, Yang Q, Li Z, Xu P, Gu R, Luo YJ",Brain imaging and behavior,0.397,28980133,-1,-1
consistency_00006,https://pubmed.ncbi.nlm.nih.gov/25463812/,Early MEG markers for reading Chinese phonograms: Evidence from radical combinability and consistency effects.,"Hsu CH, Lee CY, Tzeng OJ",Brain and language,0.337,25463812,-1,-1
consistency_00007,https://pubmed.ncbi.nlm.nih.gov/27243613/,Integration Processes Compared: Cortical Differences for Consistency Evaluation and Passive Comprehension in Local and Global Coherence.,"Egidi G, Caramazza A",Journal of cognitive neuroscience,0.323,27243613,-1,-1
consistency_00008,https://pubmed.ncbi.nlm.nih.gov/24032009/,Neural networks underlying contributions from semantics in reading aloud.,"Boukrina O, Graves WW",Frontiers in human neuroscience,0.284,24032009,-1,-1
consistency_00009,https://pubmed.ncbi.nlm.nih.gov/23727315/,Groupwise spatial normalization of fMRI data based on multi-range functional connectivity patterns.,"Jiang D, Du Y, Cheng H, Jiang T, Fan Y",NeuroImage,0.283,23727315,-1,-1
consistency_00010,https://pubmed.ncbi.nlm.nih.gov/22940231/,Reward processing and intertemporal decision making in adults and adolescents: the role of impulsivity and decision consistency.,"Ripke S, Hubner T, Mennigen E, Muller KU, Rodehacke S, Schmidt D, Jacob MJ, Smolka MN",Brain research,0.246,22940231,-1,-1
consistency_00011,https://pubmed.ncbi.nlm.nih.gov/23319042/,Cortical systems for local and global integration in discourse comprehension.,"Egidi G, Caramazza A",NeuroImage,0.223,23319042,-1,-1
consistency_00012,https://pubmed.ncbi.nlm.nih.gov/25208743/,Common neural correlates of intertemporal choices and intelligence in adolescents.,"Ripke S, Hubner T, Mennigen E, Muller KU, Li SC, Smolka MN",Journal of cognitive neuroscience,0.219,25208743,-1,-1
consistency_00013,https://pubmed.ncbi.nlm.nih.gov/19221144/,The resting brain: unconstrained yet reliable.,"Shehzad Z, Kelly AM, Reiss PT, Gee DG, Gotimer K, Uddin LQ, Lee SH, Margulies DS, Roy AK, Biswal BB, Petkova E, Castellanos FX, Milham MP","Cerebral cortex (New York, N.Y. : 1991)",0.216,19221144,10.1093/cercor/bhn256,-1
consistency_00014,https://pubmed.ncbi.nlm.nih.gov/16046148/,"Attributions on the brain: neuro-imaging dispositional inferences, beyond theory  of mind.","Harris LT, Todorov A, Fiske ST",NeuroImage,0.21,16046148,10.1016/j.neuroimage.2005.05.021,-1
consistency_00015,https://pubmed.ncbi.nlm.nih.gov/27263507/,Cultural influences on neural basis of inhibitory control.,"Pornpattananangkul N, Hariri AR, Harada T, Mano Y, Komeda H, Parrish TB, Sadato N, Iidaka T, Chiao JY",NeuroImage,0.2,27263507,10.1016/j.neuroimage.2016.05.061,-1
consistency_00016,https://pubmed.ncbi.nlm.nih.gov/23616377/,Unsupervised classification of major depression using functional connectivity MRI.,"Zeng LL, Shen H, Liu L, Hu D",Human brain mapping,0.159,23616377,-1,-1
consistency_00017,https://pubmed.ncbi.nlm.nih.gov/12814585/,The impact of individual differences on the neural circuitry underlying sadness.,"Eugene F, Levesque J, Mensour B, Leroux JM, Beaudoin G, Bourgouin P, Beauregard M",NeuroImage,0.155,12814585,-1,-1
consistency_00018,https://pubmed.ncbi.nlm.nih.gov/15975942/,Brain abnormalities underlying altered activation in dyslexia: a voxel based morphometry study.,"Silani G, Frith U, Demonet JF, Fazio F, Perani D, Price C, Frith CD, Paulesu E",Brain : a journal of neurology,0.15,15975942,-1,-1
consistency_00019,https://pubmed.ncbi.nlm.nih.gov/20696386/,When giving is good: ventromedial prefrontal cortex activation for others' intentions.,"Cooper JC, Kreps TA, Wiebe T, Pirkl T, Knutson B",Neuron,0.15,20696386,-1,-1
consistency_00020,https://pubmed.ncbi.nlm.nih.gov/19166946/,Multiple neural networks supporting a semantic task: an fMRI study using independent component analysis.,"Wu X, Lu J, Chen K, Long Z, Wang X, Shu H, Li K, Liu Y, Yao L",NeuroImage,0.145,19166946,-1,-1
consistency_00021,https://pubmed.ncbi.nlm.nih.gov/14568484/,Functional brain maps of Tower of London performance: a positron emission tomography and functional magnetic resonance imaging study.,"Schall U, Johnston P, Lagopoulos J, Juptner M, Jentzen W, Thienel R, Dittmann-Balcar A, Bender S, Ward PB",NeuroImage,0.141,14568484,-1,-1
consistency_00022,https://pubmed.ncbi.nlm.nih.gov/24269572/,The dynamics of contour integration: A simultaneous EEG-fMRI study.,"Mijovic B, De Vos M, Vanderperren K, Machilsen B, Sunaert S, Van Huffel S, Wagemans J",NeuroImage,0.133,24269572,-1,-1
consistency_00023,https://pubmed.ncbi.nlm.nih.gov/25747965/,The influence of orthographic depth on reading networks in simultaneous biliterate children.,"Cherodath S, Singh NC",Brain and language,0.133,25747965,-1,-1
consistency_00024,https://pubmed.ncbi.nlm.nih.gov/19199419/,Cross-cultural reading the mind in the eyes: an fMRI investigation.,"Adams RB Jr, Rule NO, Franklin RG Jr, Wang E, Stevenson MT, Yoshikawa S, Nomura M, Sato W, Kveraga K, Ambady N",Journal of cognitive neuroscience,0.132,19199419,-1,-1
consistency_00025,https://pubmed.ncbi.nlm.nih.gov/29355770/,Incorporating spatial constraint in co-activation pattern analysis to explore the dynamics of resting-state networks: An application to Parkinson's disease.,"Zhuang X, Walsh RR, Sreenivasan K, Yang Z, Mishra V, Cordes D",NeuroImage,0.131,29355770,-1,-1
consistency_00026,https://pubmed.ncbi.nlm.nih.gov/16806978/,To modulate or not to modulate: differing results in uniquely shaped Williams syndrome brains.,"Eckert MA, Tenforde A, Galaburda AM, Bellugi U, Korenberg JR, Mills D, Reiss AL",NeuroImage,0.129,16806978,-1,-1
consistency_00027,https://pubmed.ncbi.nlm.nih.gov/19625521/,Somatotopic organization of gentle touch processing in the posterior insular cortex.,"Bjornsdotter M, Loken L, Olausson H, Vallbo A, Wessberg J",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.129,19625521,-1,-1
consistency_00028,https://pubmed.ncbi.nlm.nih.gov/17728454/,"Differential recruitment of the hippocampus, medial prefrontal cortex, and the human motion complex during path integration in humans.","Wolbers T, Wiener JM, Mallot HA, Buchel C",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.124,17728454,-1,-1
consistency_00029,https://pubmed.ncbi.nlm.nih.gov/15955476/,Differential activation of pre-SMA and SMA proper during action observation: effects of instructions.,"Zentgraf K, Stark R, Reiser M, Kunzell S, Schienle A, Kirsch P, Walter B, Vaitl D, Munzert J",NeuroImage,0.123,15955476,-1,-1
consistency_00030,https://pubmed.ncbi.nlm.nih.gov/25121595/,A neural network approach to fMRI binocular visual rivalry task analysis.,"Bertolino N, Ferraro S, Nigri A, Bruzzone MG, Ghielmetti F",PloS one,0.123,25121595,-1,-1
consistency_00031,https://pubmed.ncbi.nlm.nih.gov/29518563/,Distributed and opposing effects of incidental learning in the human brain.,"Hall MG, Naughtin CK, Mattingley JB, Dux PE",NeuroImage,0.12,29518563,-1,-1
consistency_00032,https://pubmed.ncbi.nlm.nih.gov/19920057/,Neural systems for reading aloud: a multiparametric approach.,"Graves WW, Desai R, Humphries C, Seidenberg MS, Binder JR","Cerebral cortex (New York, N.Y. : 1991)",0.118,19920057,-1,-1
consistency_00033,https://pubmed.ncbi.nlm.nih.gov/26589334/,Localizing Pain Matrix and Theory of Mind networks with both verbal and non-verbal stimuli.,"Jacoby N, Bruneau E, Koster-Hale J, Saxe R",NeuroImage,0.115,26589334,-1,-1
consistency_00034,https://pubmed.ncbi.nlm.nih.gov/27313505/,Neuroanatomical Alterations in High-Functioning Adults with Autism Spectrum Disorder.,"Eilam-Stock T, Wu T, Spagna A, Egan LJ, Fan J",Frontiers in neuroscience,0.115,27313505,-1,-1
consistency_00035,https://pubmed.ncbi.nlm.nih.gov/25793883/,The subcortical cocktail problem; mixed signals from the subthalamic nucleus and  substantia nigra.,"de Hollander G, Keuken MC, Forstmann BU",PloS one,0.114,25793883,10.1371/journal.pone.0120572,-1
consistency_00036,https://pubmed.ncbi.nlm.nih.gov/26806289/,Evaluating cognitive models of visual word recognition using fMRI: Effects of lexical and sublexical variables.,"Protopapas A, Orfanidou E, Taylor JSH, Karavasilis E, Kapnoula EC, Panagiotaropoulou G, Velonakis G, Poulou LS, Smyrnis N, Kelekis D",NeuroImage,0.114,26806289,10.1016/j.neuroimage.2016.01.013,-1
consistency_00037,https://pubmed.ncbi.nlm.nih.gov/29740302/,Improved Volitional Recall of Motor-Imagery-Related Brain Activation Patterns Using Real-Time Functional MRI-Based Neurofeedback.,"Bagarinao E, Yoshida A, Ueno M, Terabe K, Kato S, Isoda H, Nakai T",Frontiers in human neuroscience,0.114,29740302,10.3389/fnhum.2018.00158,-1
consistency_00038,https://pubmed.ncbi.nlm.nih.gov/11230094/,The neural bases of sentence comprehension: a fMRI examination of syntactic and lexical processing.,"Keller TA, Carpenter PA, Just MA","Cerebral cortex (New York, N.Y. : 1991)",0.113,11230094,-1,-1
consistency_00039,https://pubmed.ncbi.nlm.nih.gov/11375910/,Normal sexual dimorphism of the adult human brain assessed by in vivo magnetic resonance imaging.,"Goldstein JM, Seidman LJ, Horton NJ, Makris N, Kennedy DN, Caviness VS Jr, Faraone SV, Tsuang MT","Cerebral cortex (New York, N.Y. : 1991)",0.113,11375910,-1,-1
consistency_00040,https://pubmed.ncbi.nlm.nih.gov/16009569/,Left inferior prefrontal cortex activation during a semantic decision-making task predicts the degree of semantic organization.,"Simmons A, Miller D, Feinstein JS, Goldberg TE, Paulus MP",NeuroImage,0.113,16009569,-1,-1
consistency_00041,https://pubmed.ncbi.nlm.nih.gov/25662866/,Introducing co-activation pattern metrics to quantify spontaneous brain network dynamics.,"Chen JE, Chang C, Greicius MD, Glover GH",NeuroImage,0.113,25662866,-1,-1
