paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
consolidation_00001,https://pubmed.ncbi.nlm.nih.gov/27459940/,Resting-state fMRI evidence for early episodic memory consolidation: effects of age.,"Kukolja J, Goreci DY, Onur OA, Riedl V, Fink GR",Neurobiology of aging,0.616,27459940,-1,-1
consolidation_00002,https://pubmed.ncbi.nlm.nih.gov/19948227/,Imaging systems level consolidation of novel associate memories: a longitudinal neuroimaging study.,"Smith JF, Alexander GE, Chen K, Husain FT, Kim J, Pajor N, Horwitz B",NeuroImage,0.53,19948227,-1,-1
consolidation_00003,https://pubmed.ncbi.nlm.nih.gov/29366948/,"Neural representations for newly learned words are modulated by overnight consolidation, reading skill, and age.","Landi N, Malins JG, Frost SJ, Magnuson JS, Molfese P, Ryherd K, Rueckl JG, Mencl WE, Pugh KR",Neuropsychologia,0.524,29366948,-1,-1
consolidation_00004,https://pubmed.ncbi.nlm.nih.gov/24893741/,Done that: short-term repetition related modulations of motor cortex activity as  a stable signature for overnight motor memory consolidation.,"Gabitov E, Manor D, Karni A",Journal of cognitive neuroscience,0.519,24893741,-1,-1
consolidation_00005,https://pubmed.ncbi.nlm.nih.gov/23251595/,Effects of apolipoprotein E genotype on the off-line memory consolidation.,"Wang DY, Han XJ, Li SF, Liu DQ, Yan CG, Zuo XN, Zhu CZ, He Y, Kiviniemi V, Zang YF",PloS one,0.481,23251595,-1,-1
consolidation_00006,https://pubmed.ncbi.nlm.nih.gov/27815989/,Sleep spindles: a physiological marker of age-related changes in gray matter in brain regions supporting motor skill memory consolidation.,"Fogel S, Vien C, Karni A, Benali H, Carrier J, Doyon J",Neurobiology of aging,0.425,27815989,-1,-1
consolidation_00007,https://pubmed.ncbi.nlm.nih.gov/29755315/,Does Post-task Declarative Learning Have an Influence on Early Motor Memory Consolidation Over Day? An fMRI Study.,"Rothkirch I, Wolff S, Margraf NG, Pedersen A, Witt K",Frontiers in neuroscience,0.425,29755315,-1,-1
consolidation_00008,https://pubmed.ncbi.nlm.nih.gov/24394347/,Imaging early consolidation of perceptual learning with face stimuli during rest.,"Vilsten JS, Mundy ME",Brain and cognition,0.421,24394347,-1,-1
consolidation_00009,https://pubmed.ncbi.nlm.nih.gov/20876115/,Brain plasticity related to the consolidation of motor sequence learning and motor adaptation.,"Debas K, Carrier J, Orban P, Barakat M, Lungu O, Vandewalle G, Hadj Tahar A, Bellec P, Karni A, Ungerleider LG, Benali H, Doyon J",Proceedings of the National Academy of Sciences of the United States of America,0.418,20876115,-1,-1
consolidation_00010,https://pubmed.ncbi.nlm.nih.gov/29054542/,"Cortical-hippocampal functional connectivity during covert consolidation sub-serves associative learning: Evidence for an active ""rest"" state.","Ravishankar M, Morris A, Burgess A, Khatib D, Stanley JA, Diwadkar VA",Brain and cognition,0.403,29054542,-1,-1
consolidation_00011,https://pubmed.ncbi.nlm.nih.gov/18375529/,Role of amygdala connectivity in the persistence of emotional memories over time: an event-related FMRI investigation.,"Ritchey M, Dolcos F, Cabeza R","Cerebral cortex (New York, N.Y. : 1991)",0.402,18375529,10.1093/cercor/bhm262,-1
consolidation_00012,https://pubmed.ncbi.nlm.nih.gov/28422976/,Reactivation or transformation? Motor memory consolidation associated with cerebral activation time-locked to sleep spindles.,"Fogel S, Albouy G, King BR, Lungu O, Vien C, Bore A, Pinsard B, Benali H, Carrier J, Doyon J",PloS one,0.395,28422976,-1,-1
consolidation_00013,https://pubmed.ncbi.nlm.nih.gov/24844748/,Off-line consolidation of motor sequence learning results in greater integration  within a cortico-striatal functional network.,"Debas K, Carrier J, Barakat M, Marrelec G, Bellec P, Abdallah HT, Karni A, Ungerleider LG, Benali H, Doyon J",NeuroImage,0.389,24844748,-1,-1
consolidation_00014,https://pubmed.ncbi.nlm.nih.gov/12880918/,Category-specific medial temporal lobe activation and the consolidation of semantic memory: evidence from fMRI.,"Kounios J, Koenig P, Glosser G, DeVita C, Dennis K, Moore P, Grossman M",Brain research. Cognitive brain research,0.352,12880918,-1,-1
consolidation_00015,https://pubmed.ncbi.nlm.nih.gov/24194579/,Memory consolidation of fear conditioning: Bi-stable amygdala connectivity with dorsal anterior cingulate and medial prefrontal cortex.,"Feng P, Feng T, Chen Z, Lei X",Social cognitive and affective neuroscience,0.348,24194579,-1,-1
consolidation_00016,https://pubmed.ncbi.nlm.nih.gov/24302373/,fMRI and sleep correlates of the age-related impairment in motor memory consolidation.,"Fogel SM, Albouy G, Vien C, Popovicci R, King BR, Hoge R, Jbabdi S, Benali H, Karni A, Maquet P, Carrier J, Doyon J",Human brain mapping,0.33,24302373,-1,-1
consolidation_00017,https://pubmed.ncbi.nlm.nih.gov/24072888/,Sleep and Cortisol Interact to Support Memory Consolidation.,"Bennion KA, Mickley Steinmetz KR, Kensinger EA, Payne JD","Cerebral cortex (New York, N.Y. : 1991)",0.323,24072888,-1,-1
consolidation_00018,https://pubmed.ncbi.nlm.nih.gov/24193372/,No evidence for enhanced extinction memory consolidation through noradrenergic reuptake inhibition-delayed memory test and reinstatement in human fMRI.,"Lonsdorf TB, Haaker J, Fadai T, Kalisch R",Psychopharmacology,0.321,24193372,-1,-1
consolidation_00019,https://pubmed.ncbi.nlm.nih.gov/24408956/,Complementary Roles of Slow-Wave Sleep and Rapid Eye Movement Sleep in Emotional  Memory Consolidation.,"Cairney SA, Durrant SJ, Power R, Lewis PA","Cerebral cortex (New York, N.Y. : 1991)",0.32,24408956,-1,-1
consolidation_00020,https://pubmed.ncbi.nlm.nih.gov/21664278/,Differential roles of caudate nucleus and putamen during instrumental learning.,"Brovelli A, Nazarian B, Meunier M, Boussaoud D",NeuroImage,0.28,21664278,-1,-1
consolidation_00021,https://pubmed.ncbi.nlm.nih.gov/23501052/,The role of sleep and sleep deprivation in consolidating fear memories.,"Menz MM, Rihm JS, Salari N, Born J, Kalisch R, Pape HC, Marshall L, Buchel C",NeuroImage,0.272,23501052,-1,-1
consolidation_00022,https://pubmed.ncbi.nlm.nih.gov/29378319/,Alter spontaneous activity in amygdala and vmPFC during fear consolidation following 24h sleep deprivation.,"Feng P, Becker B, Feng T, Zheng Y",NeuroImage,0.265,29378319,-1,-1
consolidation_00023,https://pubmed.ncbi.nlm.nih.gov/23806174/,Sleep-dependent neurophysiological processes in implicit sequence learning.,"Urbain C, Schmitz R, Schmidt C, Cleeremans A, Van Bogaert P, Maquet P, Peigneux P",Journal of cognitive neuroscience,0.254,23806174,-1,-1
consolidation_00024,https://pubmed.ncbi.nlm.nih.gov/19837173/,Brain activation and lexical learning: the impact of learning phase and word type.,"Raboyeau G, Marcotte K, Adrover-Roig D, Ansaldo AI",NeuroImage,0.253,19837173,-1,-1
consolidation_00025,https://pubmed.ncbi.nlm.nih.gov/22674673/,Sleep spindles predict neural and behavioral changes in motor sequence consolidation.,"Barakat M, Carrier J, Debas K, Lungu O, Fogel S, Vandewalle G, Hoge RD, Bellec P, Karni A, Ungerleider LG, Benali H, Doyon J",Human brain mapping,0.253,22674673,-1,-1
consolidation_00026,https://pubmed.ncbi.nlm.nih.gov/20521852/,Sleep leads to changes in the emotional memory trace: evidence from FMRI.,"Payne JD, Kensinger EA",Journal of cognitive neuroscience,0.251,20521852,-1,-1
consolidation_00027,https://pubmed.ncbi.nlm.nih.gov/28871031/,Angular Gyrus Involvement at Encoding and Retrieval Is Associated with Durable But Less Specific Memories.,"van der Linden M, Berkers RMWJ, Morris RGM, Fernandez G",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.237,28871031,-1,-1
