paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
corpus callosum_00001,https://pubmed.ncbi.nlm.nih.gov/20643213/,Functional mapping in the corpus callosum: a 4T fMRI study of white matter.,"Gawryluk JR, D'Arcy RC, Mazerolle EL, Brewer KD, Beyea SD",NeuroImage,0.41,20643213,-1,-1
corpus callosum_00002,https://pubmed.ncbi.nlm.nih.gov/21447350/,Language lateralization in individuals with callosal agenesis: an fMRI study.,"Pelletier I, Paquette N, Lepore F, Rouleau I, Sauerwein CH, Rosa C, Leroux JM, Gravel P, Valois K, Andermann F, Saint-Amour D, Lassonde M",Neuropsychologia,0.384,21447350,-1,-1
corpus callosum_00003,https://pubmed.ncbi.nlm.nih.gov/11884359/,Mechanical noxious stimuli cause bilateral activation of parietal operculum in callosotomized subjects.,"Fabri M, Polonara G, Quattrini A, Salvolini U","Cerebral cortex (New York, N.Y. : 1991)",0.309,11884359,-1,-1
corpus callosum_00004,https://pubmed.ncbi.nlm.nih.gov/12679294/,The size of corpus callosum correlates with functional activation of medial motor cortical areas in bimanual and unimanual movements.,"Stancak A, Cohen ER, Seidler RD, Duong TQ, Kim SG","Cerebral cortex (New York, N.Y. : 1991)",0.309,12679294,-1,-1
corpus callosum_00005,https://pubmed.ncbi.nlm.nih.gov/26384774/,Cortical thickness in adults with agenesis of the corpus callosum.,"Beaule V, Tremblay S, Lafleur LP, Tremblay S, Lassonde M, Lepage JF, Theoret H",Neuropsychologia,0.272,26384774,-1,-1
corpus callosum_00006,https://pubmed.ncbi.nlm.nih.gov/16820004/,Contribution of the corpus callosum to bilateral representation of the trunk midline in the human brain: an fMRI study of callosotomized patients.,"Fabri M, Polonara G, Mascioli G, Paggi A, Salvolini U, Manzoni T",The European journal of neuroscience,0.268,16820004,-1,-1
corpus callosum_00007,https://pubmed.ncbi.nlm.nih.gov/12135969/,The functional significance of perinatal corpus callosum damage: an fMRI study in young adults.,"Santhouse AM, Ffytche DH, Howard RJ, Williams SC, Stewart AL, Rooney M, Wyatt JS, Rifkin L, Murray RM",Brain : a journal of neurology,0.258,12135969,-1,-1
corpus callosum_00008,https://pubmed.ncbi.nlm.nih.gov/16772313/,Functional and anatomical cortical underconnectivity in autism: evidence from an  FMRI study of an executive function task and corpus callosum morphometry.,"Just MA, Cherkassky VL, Keller TA, Kana RK, Minshew NJ","Cerebral cortex (New York, N.Y. : 1991)",0.24,16772313,-1,-1
corpus callosum_00009,https://pubmed.ncbi.nlm.nih.gov/12163553/,Interhemispheric transmission of visuomotor information in humans: fMRI evidence.,"Tettamanti M, Paulesu E, Scifo P, Maravita A, Fazio F, Perani D, Marzi CA",Journal of neurophysiology,0.22,12163553,-1,-1
corpus callosum_00010,https://pubmed.ncbi.nlm.nih.gov/16139817/,Influence of X chromosome and hormones on human brain development: a magnetic resonance imaging and proton magnetic resonance spectroscopy study of Turner syndrome.,"Cutter WJ, Daly EM, Robertson DM, Chitnis XA, van Amelsvoort TA, Simmons A, Ng VW, Williams BS, Shaw P, Conway GS, Skuse DH, Collier DA, Craig M, Murphy DG",Biological psychiatry,0.217,16139817,-1,-1
corpus callosum_00011,https://pubmed.ncbi.nlm.nih.gov/25498429/,The impact of gradient strength on in vivo diffusion MRI estimates of axon diameter.,"Huang SY, Nummenmaa A, Witzel T, Duval T, Cohen-Adad J, Wald LL, McNab JA",NeuroImage,0.198,25498429,-1,-1
corpus callosum_00012,https://pubmed.ncbi.nlm.nih.gov/23452665/,Brain effects of cognitive remediation therapy in schizophrenia: a structural and functional neuroimaging study.,"Penades R, Pujol N, Catalan R, Massana G, Rametti G, Garcia-Rizo C, Bargallo N, Gasto C, Bernardo M, Junque C",Biological psychiatry,0.189,23452665,10.1016/j.biopsych.2013.01.017,-1
corpus callosum_00013,https://pubmed.ncbi.nlm.nih.gov/22848453/,"Functional anatomy of the masking level difference, an fMRI study.","Wack DS, Cox JL, Schirda CV, Magnano CR, Sussman JE, Henderson D, Burkard RF",PloS one,0.172,22848453,10.1371/journal.pone.0041263,-1
corpus callosum_00014,https://pubmed.ncbi.nlm.nih.gov/10648437/,The visual word form area: spatial and temporal characterization of an initial stage of reading in normal subjects and posterior split-brain patients.,"Cohen L, Dehaene S, Naccache L, Lehericy S, Dehaene-Lambertz G, Henaff MA, Michel F",Brain : a journal of neurology,0.171,10648437,-1,-1
corpus callosum_00015,https://pubmed.ncbi.nlm.nih.gov/21081115/,Topographical organization of human corpus callosum: an fMRI mapping study.,"Fabri M, Polonara G, Mascioli G, Salvolini U, Manzoni T",Brain research,0.168,21081115,-1,-1
corpus callosum_00016,https://pubmed.ncbi.nlm.nih.gov/20024944/,Structural neuroplasticity in the sensorimotor network of professional female ballet dancers.,"Hanggi J, Koeneke S, Bezzola L, Jancke L",Human brain mapping,0.163,20024944,-1,-1
corpus callosum_00017,https://pubmed.ncbi.nlm.nih.gov/15734353/,"Volumetric, connective, and morphologic changes in the brains of children with chromosome 22q11.2 deletion syndrome: an integrative study.","Simon TJ, Ding L, Bish JP, McDonald-McGinn DM, Zackai EH, Gee J",NeuroImage,0.161,15734353,-1,-1
corpus callosum_00018,https://pubmed.ncbi.nlm.nih.gov/17370339/,Voxel-based morphometry study of brain volumetry and diffusivity in amyotrophic lateral sclerosis patients with mild disability.,"Agosta F, Pagani E, Rocca MA, Caputo D, Perini M, Salvi F, Prelle A, Filippi M",Human brain mapping,0.155,17370339,-1,-1
corpus callosum_00019,https://pubmed.ncbi.nlm.nih.gov/15325368/,White matter hemisphere asymmetries in healthy subjects and in schizophrenia: a diffusion tensor MRI study.,"Park HJ, Westin CF, Kubicki M, Maier SE, Niznikiewicz M, Baer A, Frumin M, Kikinis R, Jolesz FA, McCarley RW, Shenton ME",NeuroImage,0.154,15325368,-1,-1
corpus callosum_00020,https://pubmed.ncbi.nlm.nih.gov/21677180/,Asymmetry of parietal interhemispheric connections in humans.,"Koch G, Cercignani M, Bonni S, Giacobbe V, Bucchi G, Versace V, Caltagirone C, Bozzali M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.154,21677180,-1,-1
corpus callosum_00021,https://pubmed.ncbi.nlm.nih.gov/26019335/,Cross-hemispheric collaboration and segregation associated with task difficulty as revealed by structural and functional connectivity.,"Davis SW, Cabeza R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.154,26019335,-1,-1
corpus callosum_00022,https://pubmed.ncbi.nlm.nih.gov/15758200/,White matter development during childhood and adolescence: a cross-sectional diffusion tensor imaging study.,"Barnea-Goraly N, Menon V, Eckert M, Tamm L, Bammer R, Karchemskiy A, Dant CC, Reiss AL","Cerebral cortex (New York, N.Y. : 1991)",0.149,15758200,-1,-1
corpus callosum_00023,https://pubmed.ncbi.nlm.nih.gov/28893526/,Neural correlates of working memory in children and adolescents with agenesis of  the corpus callosum: An fMRI study.,"Siffredi V, Spencer-Smith MM, Barrouillet P, Vaessen MJ, Leventer RJ, Anderson V, Vuilleumier P",Neuropsychologia,0.149,28893526,-1,-1
corpus callosum_00024,https://pubmed.ncbi.nlm.nih.gov/18562616/,Loss of resting interhemispheric functional connectivity after complete section of the corpus callosum.,"Johnston JM, Vaishnavi SN, Smyth MD, Zhang D, He BJ, Zempel JM, Shimony JS, Snyder AZ, Raichle ME",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.144,18562616,-1,-1
