paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
cortex anterior_00001,https://pubmed.ncbi.nlm.nih.gov/25218167/,Fronto-parietal network supports context-dependent speech comprehension.,"Smirnov D, Glerean E, Lahnakoski JM, Salmi J, Jaaskelainen IP, Sams M, Nummenmaa L",Neuropsychologia,0.266,25218167,-1,-1
cortex anterior_00002,https://pubmed.ncbi.nlm.nih.gov/21533250/,Your flaws are my pain: linking empathy to vicarious embarrassment.,"Krach S, Cohrs JC, de Echeverria Loebell NC, Kircher T, Sommer J, Jansen A, Paulus FM",PloS one,0.235,21533250,-1,-1
cortex anterior_00003,https://pubmed.ncbi.nlm.nih.gov/17889565/,Common regions of dorsal anterior cingulate and prefrontal-parietal cortices provide attentional control of distracters varying in emotionality and visibility.,"Luo Q, Mitchell D, Jones M, Mondillo K, Vythilingam M, Blair RJ",NeuroImage,0.213,17889565,-1,-1
cortex anterior_00004,https://pubmed.ncbi.nlm.nih.gov/26978777/,Machine Learning Classification of Cirrhotic Patients with and without Minimal Hepatic Encephalopathy Based on Regional Homogeneity of Intrinsic Brain Activity.,"Chen QF, Chen HJ, Liu J, Sun T, Shen QT",PloS one,0.191,26978777,-1,-1
cortex anterior_00005,https://pubmed.ncbi.nlm.nih.gov/9084599/,Anatomy of motor learning. I. Frontal cortex and attention to action.,"Jueptner M, Stephan KM, Frith CD, Brooks DJ, Frackowiak RS, Passingham RE",Journal of neurophysiology,0.181,9084599,-1,-1
cortex anterior_00006,https://pubmed.ncbi.nlm.nih.gov/22684084/,Brain fMRI study of crave induced by cue pictures in online game addicts (male adolescents).,"Sun Y, Ying H, Seetohul RM, Xuemei W, Ya Z, Qian L, Guoqing X, Ye S",Behavioural brain research,0.173,22684084,-1,-1
cortex anterior_00007,https://pubmed.ncbi.nlm.nih.gov/12738340/,Brain activation patterns during a selective attention test-a functional MRI study in healthy volunteers and patients with schizophrenia.,"Weiss EM, Golaszewski S, Mottaghy FM, Hofer A, Hausmann A, Kemmler G, Kremser C, Brinkhoff C, Felber SR, Fleischhacker WW",Psychiatry research,0.169,12738340,-1,-1
cortex anterior_00008,https://pubmed.ncbi.nlm.nih.gov/22465168/,The facilitating effect of clinical hypnosis on motor imagery: an fMRI study.,"Muller K, Bacht K, Schramm S, Seitz RJ",Behavioural brain research,0.166,22465168,-1,-1
cortex anterior_00009,https://pubmed.ncbi.nlm.nih.gov/26727304/,"Overlapping neural response to the pain or harm of people, animals, and nature.","Mathur VA, Cheon BK, Harada T, Scimeca JM, Chiao JY",Neuropsychologia,0.164,26727304,-1,-1
cortex anterior_00010,https://pubmed.ncbi.nlm.nih.gov/25044884/,Evoked effective connectivity of the human neocortex.,"Entz L, Toth E, Keller CJ, Bickel S, Groppe DM, Fabo D, Kozak LR, Eross L, Ulbert I, Mehta AD",Human brain mapping,0.161,25044884,-1,-1
