paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
cortex ba_00001,https://pubmed.ncbi.nlm.nih.gov/12809980/,Rate dependency of the human cortical network subserving executive functions during generation of random number series--a functional magnetic resonance imaging study.,"Daniels C, Witt K, Wolff S, Jansen O, Deuschl G",Neuroscience letters,0.331,12809980,-1,-1
cortex ba_00002,https://pubmed.ncbi.nlm.nih.gov/12457760/,Switching attention and resolving interference: fMRI measures of executive functions.,"Sylvester CY, Wager TD, Lacey SC, Hernandez L, Nichols TE, Smith EE, Jonides J",Neuropsychologia,0.307,12457760,-1,-1
cortex ba_00003,https://pubmed.ncbi.nlm.nih.gov/11170305/,Error-related brain activation during a Go/NoGo response inhibition task.,"Menon V, Adleman NE, White CD, Glover GH, Reiss AL",Human brain mapping,0.306,11170305,-1,-1
cortex ba_00004,https://pubmed.ncbi.nlm.nih.gov/18423328/,Differences in effective connectivity between dyslexic children and normal readers during a pseudoword reading task: an fMRI study.,"Quaglino V, Bourdin B, Czternasty G, Vrignaud P, Fall S, Meyer ME, Berquin P, Devauchelle B, de Marco G",Neurophysiologie clinique = Clinical neurophysiology,0.29,18423328,-1,-1
cortex ba_00005,https://pubmed.ncbi.nlm.nih.gov/16421886/,A developmental fMRI study of self-regulatory control.,"Marsh R, Zhu H, Schultz RT, Quackenbush G, Royal J, Skudlarski P, Peterson BS",Human brain mapping,0.26,16421886,-1,-1
cortex ba_00006,https://pubmed.ncbi.nlm.nih.gov/17379262/,Impaired working-memory after cerebellar infarcts paralleled by changes in BOLD signal of a cortico-cerebellar circuit.,"Ziemus B, Baumann O, Luerding R, Schlosser R, Schuierer G, Bogdahn U, Greenlee MW",Neuropsychologia,0.26,17379262,-1,-1
cortex ba_00007,https://pubmed.ncbi.nlm.nih.gov/17936643/,Does caffeine modulate verbal working memory processes? An fMRI study.,"Koppelstaetter F, Poeppel TD, Siedentopf CM, Ischebeck A, Verius M, Haala I, Mottaghy FM, Rhomberg P, Golaszewski S, Gotwald T, Lorenz IH, Kolbitsch C, Felber S, Krause BJ",NeuroImage,0.249,17936643,-1,-1
cortex ba_00008,https://pubmed.ncbi.nlm.nih.gov/23056533/,Hemispheric asymmetry for affective stimulus processing in healthy subjects--a fMRI study.,"Beraha E, Eggers J, Hindi Attar C, Gutwinski S, Schlagenhauf F, Stoy M, Sterzer P, Kienast T, Heinz A, Bermpohl F",PloS one,0.249,23056533,-1,-1
cortex ba_00009,https://pubmed.ncbi.nlm.nih.gov/19523967/,A role for right ventrolateral prefrontal cortex in reasoning about indeterminate relations.,"Goel V, Stollstorff M, Nakic M, Knutson K, Grafman J",Neuropsychologia,0.243,19523967,-1,-1
cortex ba_00010,https://pubmed.ncbi.nlm.nih.gov/19784372/,Neuroanatomical variability of religiosity.,"Kapogiannis D, Barbey AK, Su M, Krueger F, Grafman J",PloS one,0.242,19784372,-1,-1
cortex ba_00011,https://pubmed.ncbi.nlm.nih.gov/11160520/,Multisensory cortical signal increases and decreases during vestibular galvanic stimulation (fMRI).,"Bense S, Stephan T, Yousry TA, Brandt T, Dieterich M",Journal of neurophysiology,0.235,11160520,-1,-1
cortex ba_00012,https://pubmed.ncbi.nlm.nih.gov/12763192/,Shared and dissociated cortical regions for object and letter processing.,"Joseph JE, Gathers AD, Piper GA",Brain research. Cognitive brain research,0.234,12763192,-1,-1
cortex ba_00013,https://pubmed.ncbi.nlm.nih.gov/23015531/,The influence of individual motor imagery ability on cerebral recruitment during  gait imagery.,"van der Meulen M, Allali G, Rieger SW, Assal F, Vuilleumier P",Human brain mapping,0.214,23015531,-1,-1
cortex ba_00014,https://pubmed.ncbi.nlm.nih.gov/29079342/,The neural correlates of visual imagery vividness - An fMRI study and literature  review.,"Fulford J, Milton F, Salas D, Smith A, Simler A, Winlove C, Zeman A",Cortex; a journal devoted to the study of the nervous system and behavior,0.213,29079342,-1,-1
cortex ba_00015,https://pubmed.ncbi.nlm.nih.gov/16202396/,Monoamine oxidase-a genetic variations influence brain activity associated with inhibitory control: new insight into the neural correlates of impulsivity.,"Passamonti L, Fera F, Magariello A, Cerasa A, Gioia MC, Muglia M, Nicoletti G, Gallo O, Provinciali L, Quattrone A",Biological psychiatry,0.207,16202396,-1,-1
