paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
decline_00001,https://pubmed.ncbi.nlm.nih.gov/17223576/,Reduced cortical activity during maximal bilateral contractions of the index finger.,"Post M, van Duinen H, Steens A, Renken R, Kuipers B, Maurits N, Zijdewind I",NeuroImage,0.509,17223576,-1,-1
decline_00002,https://pubmed.ncbi.nlm.nih.gov/22138253/,Mechanisms underlying muscle fatigue differ between multiple sclerosis patients and controls: a combined electrophysiological and neuroimaging study.,"Steens A, Heersema DJ, Maurits NM, Renken RJ, Zijdewind I",NeuroImage,0.441,22138253,-1,-1
decline_00003,https://pubmed.ncbi.nlm.nih.gov/18582581/,Functional imaging of sensory decline and gain induced by differential noxious stimulation.,"Stammler T, De Col R, Seifert F, Maihofner C",NeuroImage,0.316,18582581,-1,-1
decline_00004,https://pubmed.ncbi.nlm.nih.gov/28050343/,Brain insulin resistance deteriorates cognition by altering the topological features of brain networks.,"Su F, Shu H, Ye Q, Wang Z, Xie C, Yuan B, Zhang Z, Bai F",NeuroImage. Clinical,0.309,28050343,-1,-1
decline_00005,https://pubmed.ncbi.nlm.nih.gov/28131236/,Regional volumetric change in Parkinson's disease with cognitive decline.,"Gee M, Dukart J, Draganski B, Wayne Martin WR, Emery D, Camicioli R",Journal of the neurological sciences,0.294,28131236,-1,-1
decline_00006,https://pubmed.ncbi.nlm.nih.gov/22429073/,Imaging language networks before and after anterior temporal lobe resection: results of a longitudinal fMRI study.,"Bonelli SB, Thompson PJ, Yogarajah M, Vollmar C, Powell RH, Symms MR, McEvoy AW, Micallef C, Koepp MJ, Duncan JS",Epilepsia,0.282,22429073,-1,-1
decline_00007,https://pubmed.ncbi.nlm.nih.gov/26095953/,Persistency and flexibility of complex brain networks underlie dual-task interference.,"Alavash M, Hilgetag CC, Thiel CM, Giessing C",Human brain mapping,0.278,26095953,10.1002/hbm.22861,-1
decline_00008,https://pubmed.ncbi.nlm.nih.gov/22659476/,Neurophysiological correlates of age-related changes in working memory updating.,"Podell JE, Sambataro F, Murty VP, Emery MR, Tong Y, Das S, Goldberg TE, Weinberger DR, Mattay VS",NeuroImage,0.272,22659476,10.1016/j.neuroimage.2012.05.066,-1
decline_00009,https://pubmed.ncbi.nlm.nih.gov/24367516/,Age-related changes in the functional network underlying specific and general autobiographical memory retrieval: a pivotal role for the anterior cingulate cortex.,"Martinelli P, Sperduti M, Devauchelle AD, Kalenzaga S, Gallarda T, Lion S, Delhommeau M, Anssens A, Amado I, Meder JF, Krebs MO, Oppenheim C, Piolino P",PloS one,0.262,24367516,10.1371/journal.pone.0082385,-1
decline_00010,https://pubmed.ncbi.nlm.nih.gov/23690582/,Preventing Alzheimer's disease-related gray matter atrophy by B-vitamin treatment.,"Douaud G, Refsum H, de Jager CA, Jacoby R, Nichols TE, Smith SM, Smith AD",Proceedings of the National Academy of Sciences of the United States of America,0.253,23690582,-1,-1
