paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
detection task_00001,https://pubmed.ncbi.nlm.nih.gov/20869449/,The BOLD correlates of the visual P1 and N1 in single-trial analysis of simultaneous EEG-fMRI recordings during a spatial detection task.,"Novitskiy N, Ramautar JR, Vanderperren K, De Vos M, Mennes M, Mijovic B, Vanrumste B, Stiers P, Van den Bergh B, Lagae L, Sunaert S, Van Huffel S, Wagemans J",NeuroImage,0.246,20869449,-1,-1
detection task_00002,https://pubmed.ncbi.nlm.nih.gov/22878845/,An FMRI investigation of the cortical network underlying detection and categorization abilities in hemianopic patients.,"Perez C, Peyrin C, Cavezian C, Coubard O, Caetta F, Raz N, Levin N, Doucet G, Andersson F, Obadia M, Gout O, Heran F, Savatovsky J, Chokron S",Brain topography,0.232,22878845,-1,-1
detection task_00003,https://pubmed.ncbi.nlm.nih.gov/22488985/,Neural correlates of the perception of contrastive prosodic focus in French: a functional magnetic resonance imaging study.,"Perrone-Bertolotti M, Dohen M, Loevenbruck H, Sato M, Pichat C, Baciu M",Human brain mapping,0.197,22488985,-1,-1
detection task_00004,https://pubmed.ncbi.nlm.nih.gov/16168674/,Modulation of language areas with functional MR image-guided magnetic stimulation.,"Andoh J, Artiges E, Pallier C, Riviere D, Mangin JF, Cachia A, Plaze M, Paillere-Martinot ML, Martinot JL",NeuroImage,0.19,16168674,-1,-1
detection task_00005,https://pubmed.ncbi.nlm.nih.gov/17490990/,Priming frequencies of transcranial magnetic stimulation over Wernicke's area modulate word detection.,"Andoh J, Artiges E, Pallier C, Riviere D, Mangin JF, Paillere-Martinot ML, Martinot JL","Cerebral cortex (New York, N.Y. : 1991)",0.177,17490990,-1,-1
detection task_00006,https://pubmed.ncbi.nlm.nih.gov/21157878/,Implicit memory for object locations depends on reactivation of encoding-related  brain regions.,"Manelis A, Hanson C, Hanson SJ",Human brain mapping,0.177,21157878,-1,-1
detection task_00007,https://pubmed.ncbi.nlm.nih.gov/25164675/,Prismatic adaptation changes visuospatial representation in the inferior parietal lobule.,"Crottaz-Herbette S, Fornari E, Clarke S",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.168,25164675,-1,-1
detection task_00008,https://pubmed.ncbi.nlm.nih.gov/22711328/,Right and left perisylvian cortex and left inferior frontal cortex mediate sentence-level rhyme detection in spoken language as revealed by sparse fMRI.,"Hurschler MA, Liem F, Jancke L, Meyer M",Human brain mapping,0.167,22711328,-1,-1
detection task_00009,https://pubmed.ncbi.nlm.nih.gov/26025759/,fMRI reveals lateralized pattern of brain activity modulated by the metrics of stimuli during auditory rhyme processing.,"Hurschler MA, Liem F, Oechslin M, Stampfli P, Meyer M",Brain and language,0.167,26025759,-1,-1
detection task_00010,https://pubmed.ncbi.nlm.nih.gov/22807895/,Repetition enhancement and perceptual processing of visual word form.,"Lebreton K, Villain N, Chetelat G, Landeau B, Seghier ML, Lazeyras F, Eustache F, Ibanez V",Frontiers in human neuroscience,0.166,22807895,-1,-1
