paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
development_00001,https://pubmed.ncbi.nlm.nih.gov/17239623/,"The NIH MRI study of normal brain development (Objective-2): newborns, infants, toddlers, and preschoolers.","Almli CR, Rivkin MJ, McKinstry RC",NeuroImage,0.411,17239623,-1,-1
development_00002,https://pubmed.ncbi.nlm.nih.gov/22228752/,Facing puberty: associations between pubertal development and neural responses to affective facial displays.,"Moore WE 3rd, Pfeifer JH, Masten CL, Mazziotta JC, Iacoboni M, Dapretto M",Social cognitive and affective neuroscience,0.371,22228752,-1,-1
development_00003,https://pubmed.ncbi.nlm.nih.gov/25432771/,White matter maturation profiles through early childhood predict general cognitive ability.,"Deoni SC, O'Muircheartaigh J, Elison JT, Walker L, Doernberg E, Waskiewicz N, Dirks H, Piryatinsky I, Dean DC 3rd, Jumbe NL",Brain structure & function,0.327,25432771,-1,-1
development_00004,https://pubmed.ncbi.nlm.nih.gov/24348363/,Age related changes in striatal resting state functional connectivity in autism.,"Padmanabhan A, Lynn A, Foran W, Luna B, O'Hearn K",Frontiers in human neuroscience,0.315,24348363,-1,-1
development_00005,https://pubmed.ncbi.nlm.nih.gov/25759285/,The development of the intrinsic functional connectivity of default network subsystems from age 3 to 5.,"Xiao Y, Zhai H, Friederici AD, Jia F",Brain imaging and behavior,0.305,25759285,-1,-1
development_00006,https://pubmed.ncbi.nlm.nih.gov/26777479/,Developmental refinement of cortical systems for speech and voice processing.,"Bonte M, Ley A, Scharke W, Formisano E",NeuroImage,0.272,26777479,-1,-1
development_00007,https://pubmed.ncbi.nlm.nih.gov/27587999/,Off to a Good Start: The Early Development of the Neural Substrates Underlying Visual Working Memory.,"Fitch A, Smith H, Guillory SB, Kaldy Z",Frontiers in systems neuroscience,0.271,27587999,-1,-1
development_00008,https://pubmed.ncbi.nlm.nih.gov/22032950/,The impact of serotonin transporter (5-HTTLPR) genotype on the development of resting-state functional connectivity in children and adolescents: a preliminary  report.,"Wiggins JL, Bedoyan JK, Peltier SJ, Ashinoff S, Carrasco M, Weng SJ, Welsh RC, Martin DM, Monk CS",NeuroImage,0.27,22032950,-1,-1
development_00009,https://pubmed.ncbi.nlm.nih.gov/22884992/,Developmental differences in the neural correlates of relational encoding and recall in children: an event-related fMRI study.,"Guler OE, Thomas KM",Developmental cognitive neuroscience,0.265,22884992,-1,-1
development_00010,https://pubmed.ncbi.nlm.nih.gov/24912164/,Impact of puberty on the evolution of cerebral perfusion during adolescence.,"Satterthwaite TD, Shinohara RT, Wolf DH, Hopson RD, Elliott MA, Vandekar SN, Ruparel K, Calkins ME, Roalf DR, Gennatas ED, Jackson C, Erus G, Prabhakaran K, Davatzikos C, Detre JA, Hakonarson H, Gur RC, Gur RE",Proceedings of the National Academy of Sciences of the United States of America,0.261,24912164,-1,-1
development_00011,https://pubmed.ncbi.nlm.nih.gov/28580296/,Cortical gyrification is abnormal in children with prenatal alcohol exposure.,"Hendrickson TJ, Mueller BA, Sowell ER, Mattson SN, Coles CD, Kable JA, Jones KL, Boys CJ, Lim KO, Riley EP, Wozniak JR",NeuroImage. Clinical,0.261,28580296,-1,-1
development_00012,https://pubmed.ncbi.nlm.nih.gov/28549797/,Cortico-amygdalar maturational coupling is associated with depressive symptom trajectories during adolescence.,"Vijayakumar N, Allen NB, Dennison M, Byrne ML, Simmons JG, Whittle S",NeuroImage,0.257,28549797,-1,-1
