paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
discrimination task_00001,https://pubmed.ncbi.nlm.nih.gov/17056279/,Functional activation in parieto-premotor and visual areas dependent on congruency between hand movement and visual stimuli during motor-visual priming.,"Stanley J, Miall RC",NeuroImage,0.397,17056279,-1,-1
discrimination task_00002,https://pubmed.ncbi.nlm.nih.gov/16281285/,Neural bases of categorization of simple speech and nonspeech sounds.,"Husain FT, Fromm SJ, Pursley RH, Hosey LA, Braun AR, Horwitz B",Human brain mapping,0.325,16281285,-1,-1
discrimination task_00003,https://pubmed.ncbi.nlm.nih.gov/17615131/,Contralateral visual hemifield representations in the human pulvinar nucleus.,"Cotton PL, Smith AT",Journal of neurophysiology,0.32,17615131,-1,-1
discrimination task_00004,https://pubmed.ncbi.nlm.nih.gov/12713654/,Cerebral regions processing first- and higher-order motion in an opposed-direction discrimination task.,"Dupont P, Sary G, Peuskens H, Orban GA",The European journal of neuroscience,0.316,12713654,10.1046/j.1460-9568.2003.02571.x,-1
discrimination task_00005,https://pubmed.ncbi.nlm.nih.gov/15275913/,Anatomy and time course of discrimination and categorization processes in vision: an fMRI study.,"Pernet C, Franceries X, Basan S, Cassol E, Demonet JF, Celsis P",NeuroImage,0.29,15275913,10.1016/j.neuroimage.2004.03.044,-1
discrimination task_00006,https://pubmed.ncbi.nlm.nih.gov/27761110/,"Magnitude Processing in the Brain: An fMRI Study of Time, Space, and Numerosity as a Shared Cortical System.","Skagerlund K, Karlsson T, Traff U",Frontiers in human neuroscience,0.271,27761110,-1,-1
discrimination task_00007,https://pubmed.ncbi.nlm.nih.gov/15193603/,Resolving dual-task interference: an fMRI study.,Jiang Y,NeuroImage,0.236,15193603,-1,-1
discrimination task_00008,https://pubmed.ncbi.nlm.nih.gov/23711484/,Frontoparietal mechanisms supporting attention to location and intensity of painful stimuli.,"Lobanov OV, Quevedo AS, Hadsel MS, Kraft RA, Coghill RC",Pain,0.214,23711484,-1,-1
discrimination task_00009,https://pubmed.ncbi.nlm.nih.gov/18234508/,Neural codes for somatosensory two-point discrimination in inferior parietal lobule: an fMRI study.,"Akatsuka K, Noguchi Y, Harada T, Sadato N, Kakigi R",NeuroImage,0.205,18234508,-1,-1
discrimination task_00010,https://pubmed.ncbi.nlm.nih.gov/11860517/,The neural substrate of orientation short-term memory and resistance to distractor items.,"Cornette L, Dupont P, Orban GA",The European journal of neuroscience,0.197,11860517,-1,-1
discrimination task_00011,https://pubmed.ncbi.nlm.nih.gov/20044898/,Cerebro-cerebellar interactions underlying temporal information processing.,"Aso K, Hanakawa T, Aso T, Fukuyama H",Journal of cognitive neuroscience,0.194,20044898,-1,-1
discrimination task_00012,https://pubmed.ncbi.nlm.nih.gov/24657305/,Early visual deprivation from congenital cataracts disrupts activity and functional connectivity in the face network.,"Grady CL, Mondloch CJ, Lewis TL, Maurer D",Neuropsychologia,0.191,24657305,-1,-1
discrimination task_00013,https://pubmed.ncbi.nlm.nih.gov/24269802/,Individual differences in the morphometry and activation of time perception networks are influenced by dopamine genotype.,"Wiener M, Lee YS, Lohoff FW, Coslett HB",NeuroImage,0.188,24269802,-1,-1
discrimination task_00014,https://pubmed.ncbi.nlm.nih.gov/19397900/,Distinguishing the processing of gestures from signs in deaf individuals: an fMRI study.,"Husain FT, Patkin DJ, Thai-Van H, Braun AR, Horwitz B",Brain research,0.176,19397900,-1,-1
