paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
discriminative_00001,https://pubmed.ncbi.nlm.nih.gov/20451625/,Quantitative modeling of the neural representation of objects: how semantic feature norms can account for fMRI activation.,"Chang KM, Mitchell T, Just MA",NeuroImage,0.45,20451625,-1,-1
discriminative_00002,https://pubmed.ncbi.nlm.nih.gov/20674749/,A Monte Carlo method for locally multivariate brain mapping.,"Bjornsdotter M, Rylander K, Wessberg J",NeuroImage,0.409,20674749,-1,-1
discriminative_00003,https://pubmed.ncbi.nlm.nih.gov/16553798/,Secondary somatosensory cortex is important for the sensory-discriminative dimension of pain: a functional MRI study.,"Maihofner C, Herzner B, Otto Handwerker H",The European journal of neuroscience,0.348,16553798,-1,-1
discriminative_00004,https://pubmed.ncbi.nlm.nih.gov/19457392/,Evaluating SVM and MLDA in the extraction of discriminant regions for mental state prediction.,"Sato JR, Fujita A, Thomaz CE, Martin Mda G, Mourao-Miranda J, Brammer MJ, Amaro Junior E",NeuroImage,0.341,19457392,-1,-1
discriminative_00005,https://pubmed.ncbi.nlm.nih.gov/18395979/,Unmyelinated tactile afferents have opposite effects on insular and somatosensory cortical processing.,"Olausson HW, Cole J, Vallbo A, McGlone F, Elam M, Kramer HH, Rylander K, Wessberg J, Bushnell MC",Neuroscience letters,0.305,18395979,-1,-1
discriminative_00006,https://pubmed.ncbi.nlm.nih.gov/25463459/,Sparse network-based models for patient classification using fMRI.,"Rosa MJ, Portugal L, Hahn T, Fallgatter AJ, Garrido MI, Shawe-Taylor J, Mourao-Miranda J",NeuroImage,0.252,25463459,-1,-1
discriminative_00007,https://pubmed.ncbi.nlm.nih.gov/26978777/,Machine Learning Classification of Cirrhotic Patients with and without Minimal Hepatic Encephalopathy Based on Regional Homogeneity of Intrinsic Brain Activity.,"Chen QF, Chen HJ, Liu J, Sun T, Shen QT",PloS one,0.252,26978777,-1,-1
discriminative_00008,https://pubmed.ncbi.nlm.nih.gov/25467302/,Sparse regularization techniques provide novel insights into outcome integration  processes.,"Mohr H, Wolfensteller U, Frimmel S, Ruge H",NeuroImage,0.25,25467302,-1,-1
discriminative_00009,https://pubmed.ncbi.nlm.nih.gov/21440643/,Discriminant analysis of functional connectivity patterns on Grassmann manifold.,"Fan Y, Liu Y, Wu H, Hao Y, Liu H, Liu Z, Jiang T",NeuroImage,0.23,21440643,-1,-1
discriminative_00010,https://pubmed.ncbi.nlm.nih.gov/9256495/,Pattern of neuronal activity associated with conscious and unconscious processing of visual signals.,"Sahraie A, Weiskrantz L, Barbur JL, Simmons A, Williams SC, Brammer MJ",Proceedings of the National Academy of Sciences of the United States of America,0.228,9256495,-1,-1
discriminative_00011,https://pubmed.ncbi.nlm.nih.gov/22119647/,Modulation of CNS pain circuitry by intravenous and sublingual doses of buprenorphine.,"Upadhyay J, Anderson J, Baumgartner R, Coimbra A, Schwarz AJ, Pendse G, Wallin D, Nutile L, Bishop J, George E, Elman I, Sunkaraneni S, Maier G, Iyengar S, Evelhoch JL, Bleakman D, Hargreaves R, Becerra L, Borsook D",NeuroImage,0.226,22119647,-1,-1
discriminative_00012,https://pubmed.ncbi.nlm.nih.gov/20114081/,A CCA+ICA based model for multi-task brain imaging data fusion and its application to schizophrenia.,"Sui J, Adali T, Pearlson G, Yang H, Sponheim SR, White T, Calhoun VD",NeuroImage,0.22,20114081,-1,-1
discriminative_00013,https://pubmed.ncbi.nlm.nih.gov/22590522/,Sparse representation of brain aging: extracting covariance patterns from structural MRI.,"Su L, Wang L, Chen F, Shen H, Li B, Hu D",PloS one,0.209,22590522,-1,-1
discriminative_00014,https://pubmed.ncbi.nlm.nih.gov/26793434/,Classification of autistic individuals and controls using cross-task characterization of fMRI activity.,"Chanel G, Pichon S, Conty L, Berthoz S, Chevallier C, Grezes J",NeuroImage. Clinical,0.205,26793434,-1,-1
discriminative_00015,https://pubmed.ncbi.nlm.nih.gov/18550593/,Determining a role for ventromedial prefrontal cortex in encoding action-based value signals during reward-related decision making.,"Glascher J, Hampton AN, O'Doherty JP","Cerebral cortex (New York, N.Y. : 1991)",0.199,18550593,-1,-1
discriminative_00016,https://pubmed.ncbi.nlm.nih.gov/17512615/,Neural substrates underlying evaluation of pain in actions depicted in words.,"Gu X, Han S",Behavioural brain research,0.195,17512615,-1,-1
discriminative_00017,https://pubmed.ncbi.nlm.nih.gov/29515348/,Multivariate Classification of Major Depressive Disorder Using the Effective Connectivity and Functional Connectivity.,"Geng X, Xu J, Liu B, Shi Y",Frontiers in neuroscience,0.193,29515348,-1,-1
discriminative_00018,https://pubmed.ncbi.nlm.nih.gov/28069542/,Hemispheric asymmetries in the transition from action preparation to execution.,"Sulpizio V, Lucci G, Berchicci M, Galati G, Pitzalis S, Di Russo F",NeuroImage,0.179,28069542,-1,-1
discriminative_00019,https://pubmed.ncbi.nlm.nih.gov/24381294/,Brain-based translation: fMRI decoding of spoken words in bilinguals reveals language-independent semantic representations in anterior temporal lobe.,"Correia J, Formisano E, Valente G, Hausfeld L, Jansma B, Bonte M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.166,24381294,-1,-1
discriminative_00020,https://pubmed.ncbi.nlm.nih.gov/18644242/,Hyperplane navigation: a method to set individual scores in fMRI group datasets.,"Sato JR, Thomaz CE, Cardoso EF, Fujita A, Martin Mda G, Amaro E Jr",NeuroImage,0.165,18644242,-1,-1
discriminative_00021,https://pubmed.ncbi.nlm.nih.gov/26216278/,"A group ICA based framework for evaluating resting fMRI markers when disease categories are unclear: application to schizophrenia, bipolar, and schizoaffective disorders.","Du Y, Pearlson GD, Liu J, Sui J, Yu Q, He H, Castro E, Calhoun VD",NeuroImage,0.161,26216278,10.1016/j.neuroimage.2015.07.054,-1
