paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
dmpfc_00001,https://pubmed.ncbi.nlm.nih.gov/21451040/,A parallel functional topography between medial and lateral prefrontal cortex: evidence and implications for cognitive control.,"Taren AA, Venkatraman V, Huettel SA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.565,21451040,-1,-1
dmpfc_00002,https://pubmed.ncbi.nlm.nih.gov/26302673/,The impact of motivation on race-based impression formation.,"Li T, Cardenas-Iniguez C, Correll J, Cloutier J",NeuroImage,0.523,26302673,-1,-1
dmpfc_00003,https://pubmed.ncbi.nlm.nih.gov/28352220/,The Dorsal Medial Prefrontal Cortex Is Recruited by High Construal of Non-social  Stimuli.,"Baetens KL, Ma N, Van Overwalle F",Frontiers in behavioral neuroscience,0.518,28352220,-1,-1
dmpfc_00004,https://pubmed.ncbi.nlm.nih.gov/22139633/,Remembering first impressions: effects of intentionality and diagnosticity on subsequent memory.,"Gilron R, Gutchess AH","Cognitive, affective & behavioral neuroscience",0.489,22139633,-1,-1
dmpfc_00005,https://pubmed.ncbi.nlm.nih.gov/23552078/,Network structure underlying resolution of conflicting non-verbal and verbal social information.,"Watanabe T, Yahata N, Kawakubo Y, Inoue H, Takano Y, Iwashiro N, Natsubori T, Takao H, Sasaki H, Gonoi W, Murakami M, Katsura M, Kunimatsu A, Abe O, Kasai K, Yamasue H",Social cognitive and affective neuroscience,0.471,23552078,-1,-1
dmpfc_00006,https://pubmed.ncbi.nlm.nih.gov/26199873/,Increases in frontostriatal connectivity are associated with response to dorsomedial repetitive transcranial magnetic stimulation in refractory binge/purge behaviors.,"Dunlop K, Woodside B, Lam E, Olmsted M, Colton P, Giacobbe P, Downar J",NeuroImage. Clinical,0.459,26199873,-1,-1
dmpfc_00007,https://pubmed.ncbi.nlm.nih.gov/21030482/,Amygdala and dorsomedial prefrontal cortex responses to appearance-based and behavior-based person impressions.,"Baron SG, Gobbini MI, Engell AD, Todorov A",Social cognitive and affective neuroscience,0.434,21030482,-1,-1
dmpfc_00008,https://pubmed.ncbi.nlm.nih.gov/27358450/,The Dorsal Medial Prefrontal Cortex Responds Preferentially to Social Interactions during Natural Viewing.,"Wagner DD, Kelley WM, Haxby JV, Heatherton TF",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.421,27358450,10.1523/JNEUROSCI.4220-15.2016,-1
dmpfc_00009,https://pubmed.ncbi.nlm.nih.gov/19726640/,"Adapting to dynamic stimulus-response values: differential contributions of inferior frontal, dorsomedial, and dorsolateral regions of prefrontal cortex to decision making.","Mitchell DG, Luo Q, Avny SB, Kasprzycki T, Gupta K, Chen G, Finger EC, Blair RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.412,19726640,10.1523/JNEUROSCI.0963-09.2009,-1
dmpfc_00010,https://pubmed.ncbi.nlm.nih.gov/27840604/,Neural Correlates of Hostile Jokes: Cognitive and Motivational Processes in Humor Appreciation.,"Chan YC, Liao YJ, Tu CH, Chen HC",Frontiers in human neuroscience,0.407,27840604,10.3389/fnhum.2016.00527,-1
dmpfc_00011,https://pubmed.ncbi.nlm.nih.gov/27672175/,Grit and the brain: spontaneous activity of the dorsomedial prefrontal cortex mediates the relationship between the trait grit and academic performance.,"Wang S, Zhou M, Chen T, Yang X, Chen G, Wang M, Gong Q",Social cognitive and affective neuroscience,0.388,27672175,-1,-1
dmpfc_00012,https://pubmed.ncbi.nlm.nih.gov/24324419/,Dorsomedial prefrontal cortex activity predicts the accuracy in estimating others' preferences.,"Kang P, Lee J, Sul S, Kim H",Frontiers in human neuroscience,0.379,24324419,-1,-1
dmpfc_00013,https://pubmed.ncbi.nlm.nih.gov/24384149/,Creating metaphors: the neural basis of figurative language production.,"Benedek M, Beaty R, Jauk E, Koschutnig K, Fink A, Silvia PJ, Dunst B, Neubauer AC",NeuroImage,0.367,24384149,-1,-1
dmpfc_00014,https://pubmed.ncbi.nlm.nih.gov/23664619/,Social manipulation of preference in the human brain.,"Izuma K, Adolphs R",Neuron,0.365,23664619,-1,-1
dmpfc_00015,https://pubmed.ncbi.nlm.nih.gov/23136406/,Dorsomedial prefrontal cortex mediates rapid evaluations predicting the outcome of romantic interactions.,"Cooper JC, Dunne S, Furey T, O'Doherty JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.364,23136406,-1,-1
dmpfc_00016,https://pubmed.ncbi.nlm.nih.gov/23327932/,Reminders of mortality decrease midcingulate activity in response to others' suffering.,"Luo S, Shi Z, Yang X, Wang X, Han S",Social cognitive and affective neuroscience,0.346,23327932,-1,-1
dmpfc_00017,https://pubmed.ncbi.nlm.nih.gov/23552077/,Involvement of the mentalizing network in social and non-social high construal.,"Baetens K, Ma N, Steen J, Van Overwalle F",Social cognitive and affective neuroscience,0.339,23552077,-1,-1
dmpfc_00018,https://pubmed.ncbi.nlm.nih.gov/24710652/,Neuronal correlates of three attentional strategies during affective picture processing: an fMRI study.,"Schienle A, Wabnegger A, Schoengassner F, Scharmuller W","Cognitive, affective & behavioral neuroscience",0.338,24710652,-1,-1
dmpfc_00019,https://pubmed.ncbi.nlm.nih.gov/20688176/,Anatomical differences and network characteristics underlying smoking cue reactivity.,"Zhang X, Salmeron BJ, Ross TJ, Gu H, Geng X, Yang Y, Stein EA",NeuroImage,0.328,20688176,-1,-1
dmpfc_00020,https://pubmed.ncbi.nlm.nih.gov/21557652/,Mine and me: exploring the neural basis of object ownership.,"Turk DJ, van Bussel K, Waiter GD, Macrae CN",Journal of cognitive neuroscience,0.312,21557652,-1,-1
dmpfc_00021,https://pubmed.ncbi.nlm.nih.gov/20850555/,"Parsing decision making processes in prefrontal cortex: response inhibition, overcoming learned avoidance, and reversal learning.","Greening SG, Finger EC, Mitchell DG",NeuroImage,0.311,20850555,-1,-1
dmpfc_00022,https://pubmed.ncbi.nlm.nih.gov/19620181/,Neural substrates of self-referential processing in Chinese Buddhists.,"Han S, Gu X, Mao L, Ge J, Wang G, Ma Y",Social cognitive and affective neuroscience,0.308,19620181,-1,-1
dmpfc_00023,https://pubmed.ncbi.nlm.nih.gov/17655831/,Making sense of nonsense: an fMRI study of task induced inference processes during discourse comprehension.,"Sieborger FT, Ferstl EC, von Cramon DY",Brain research,0.284,17655831,-1,-1
dmpfc_00024,https://pubmed.ncbi.nlm.nih.gov/22689216/,Mindfulness meditation training alters cortical representations of interoceptive  attention.,"Farb NA, Segal ZV, Anderson AK",Social cognitive and affective neuroscience,0.272,22689216,-1,-1
dmpfc_00025,https://pubmed.ncbi.nlm.nih.gov/25759285/,The development of the intrinsic functional connectivity of default network subsystems from age 3 to 5.,"Xiao Y, Zhai H, Friederici AD, Jia F",Brain imaging and behavior,0.27,25759285,-1,-1
dmpfc_00026,https://pubmed.ncbi.nlm.nih.gov/25037922/,The Neural Representation of Voluntary Task-Set Selection in Dynamic Environments.,"Wisniewski D, Reverberi C, Tusche A, Haynes JD","Cerebral cortex (New York, N.Y. : 1991)",0.269,25037922,-1,-1
dmpfc_00027,https://pubmed.ncbi.nlm.nih.gov/23998674/,Increased functional connectivity with puberty in the mentalising network involved in social emotion processing.,"Klapwijk ET, Goddings AL, Burnett Heyes S, Bird G, Viner RM, Blakemore SJ",Hormones and behavior,0.254,23998674,-1,-1
dmpfc_00028,https://pubmed.ncbi.nlm.nih.gov/29209186/,The Neural Association between Tendency to Forgive and Spontaneous Brain Activity in Healthy Young Adults.,"Li H, Lu J",Frontiers in human neuroscience,0.251,29209186,-1,-1
dmpfc_00029,https://pubmed.ncbi.nlm.nih.gov/24243619/,Neural Correlates of Explicit Social Judgments on Vocal Stimuli.,"Hensel L, Bzdok D, Muller VI, Zilles K, Eickhoff SB","Cerebral cortex (New York, N.Y. : 1991)",0.246,24243619,-1,-1
dmpfc_00030,https://pubmed.ncbi.nlm.nih.gov/16139812/,Neural mechanisms of automatic and direct processing of phobogenic stimuli in specific phobia.,"Straube T, Mentzel HJ, Miltner WH",Biological psychiatry,0.242,16139812,-1,-1
dmpfc_00031,https://pubmed.ncbi.nlm.nih.gov/24872557/,Distributed value representation in the medial prefrontal cortex during intertemporal choices.,"Wang Q, Luo S, Monterosso J, Zhang J, Fang X, Dong Q, Xue G",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.242,24872557,-1,-1
dmpfc_00032,https://pubmed.ncbi.nlm.nih.gov/22745788/,Diminished medial prefrontal activity behind autistic social judgments of incongruent information.,"Watanabe T, Yahata N, Abe O, Kuwabara H, Inoue H, Takano Y, Iwashiro N, Natsubori T, Aoki Y, Takao H, Sasaki H, Gonoi W, Murakami M, Katsura M, Kunimatsu A, Kawakubo Y, Matsuzaki H, Tsuchiya KJ, Kato N, Kano Y, Miyashita Y, Kasai K, Yamasue H",PloS one,0.237,22745788,-1,-1
dmpfc_00033,https://pubmed.ncbi.nlm.nih.gov/21930137/,Neural processing associated with comprehension of an indirect reply during a scenario reading task.,"Shibata M, Abe J, Itoh H, Shimada K, Umeda S",Neuropsychologia,0.235,21930137,-1,-1
dmpfc_00034,https://pubmed.ncbi.nlm.nih.gov/20820793/,Localized gray matter volume abnormalities in generalized anxiety disorder.,"Schienle A, Ebner F, Schafer A",European archives of psychiatry and clinical neuroscience,0.232,20820793,-1,-1
dmpfc_00035,https://pubmed.ncbi.nlm.nih.gov/25820129/,How the brain predicts people's behavior in relation to rules and desires. Evidence of a medio-prefrontal dissociation.,"Corradi-Dell'Acqua C, Turri F, Kaufmann L, Clement F, Schwartz S",Cortex; a journal devoted to the study of the nervous system and behavior,0.229,25820129,-1,-1
dmpfc_00036,https://pubmed.ncbi.nlm.nih.gov/27699680/,Lateral and medial prefrontal contributions to emotion generation by semantic elaboration during episodic encoding.,"Kaneda T, Shigemune Y, Tsukiura T","Cognitive, affective & behavioral neuroscience",0.226,27699680,-1,-1
dmpfc_00037,https://pubmed.ncbi.nlm.nih.gov/19683585/,Neuroticism modulates amygdala-prefrontal connectivity in response to negative emotional facial expressions.,"Cremers HR, Demenescu LR, Aleman A, Renken R, van Tol MJ, van der Wee NJ, Veltman DJ, Roelofs K",NeuroImage,0.214,19683585,-1,-1
dmpfc_00038,https://pubmed.ncbi.nlm.nih.gov/28527316/,Effects of contextual relevance on pragmatic inference during conversation: An fMRI study.,"Feng W, Wu Y, Jan C, Yu H, Jiang X, Zhou X",Brain and language,0.203,28527316,-1,-1
dmpfc_00039,https://pubmed.ncbi.nlm.nih.gov/22505330/,Atypical brain activation patterns during a face-to-face joint attention game in  adults with autism spectrum disorder.,"Redcay E, Dodell-Feder D, Mavros PL, Kleiner M, Pearrow MJ, Triantafyllou C, Gabrieli JD, Saxe R",Human brain mapping,0.202,22505330,-1,-1
dmpfc_00040,https://pubmed.ncbi.nlm.nih.gov/27007121/,Contributions of self-report and performance-based individual differences measures of social cognitive ability to large-scale neural network functioning.,"Smith R, Alkozei A, Killgore WDS",Brain imaging and behavior,0.202,27007121,-1,-1
dmpfc_00041,https://pubmed.ncbi.nlm.nih.gov/22289808/,Social status modulates neural activity in the mentalizing network.,"Muscatell KA, Morelli SA, Falk EB, Way BM, Pfeifer JH, Galinsky AD, Lieberman MD, Dapretto M, Eisenberger NI",NeuroImage,0.195,22289808,-1,-1
dmpfc_00042,https://pubmed.ncbi.nlm.nih.gov/25416726/,Mapping the relationship between subgenual cingulate cortex functional connectivity and depressive symptoms across adolescence.,"Strikwerda-Brown C, Davey CG, Whittle S, Allen NB, Byrne ML, Schwartz OS, Simmons JG, Dwyer D, Harrison BJ",Social cognitive and affective neuroscience,0.195,25416726,-1,-1
dmpfc_00043,https://pubmed.ncbi.nlm.nih.gov/22089142/,Socially excluded individuals fail to recruit medial prefrontal cortex for negative social scenes.,"Powers KE, Wagner DD, Norris CJ, Heatherton TF",Social cognitive and affective neuroscience,0.187,22089142,-1,-1
dmpfc_00044,https://pubmed.ncbi.nlm.nih.gov/25315788/,Social gating of sensory information during ongoing communication.,"Anders S, Heussen Y, Sprenger A, Haynes JD, Ethofer T",NeuroImage,0.185,25315788,-1,-1
dmpfc_00045,https://pubmed.ncbi.nlm.nih.gov/21296864/,Emotional and cognitive stimuli differentially engage the default network during  inductive reasoning.,"Eldaief MC, Deckersbach T, Carlson LE, Beucke JC, Dougherty DD",Social cognitive and affective neuroscience,0.184,21296864,-1,-1
dmpfc_00046,https://pubmed.ncbi.nlm.nih.gov/22666409/,Gender differences of brain activity in the conflicts based on implicit self-esteem.,"Miyamoto R, Kikuchi Y",PloS one,0.184,22666409,-1,-1
dmpfc_00047,https://pubmed.ncbi.nlm.nih.gov/22956676/,Compassion meditation enhances empathic accuracy and related neural activity.,"Mascaro JS, Rilling JK, Tenzin Negi L, Raison CL",Social cognitive and affective neuroscience,0.184,22956676,-1,-1
dmpfc_00048,https://pubmed.ncbi.nlm.nih.gov/23658538/,"The role of automaticity and attention in neural processes underlying empathy for happiness, sadness, and anxiety.","Morelli SA, Lieberman MD",Frontiers in human neuroscience,0.18,23658538,-1,-1
dmpfc_00049,https://pubmed.ncbi.nlm.nih.gov/29117910/,Increased resting-state global functional connectivity density of default mode network in schizophrenia subjects treated with electroconvulsive therapy.,"Huang H, Jiang Y, Xia M, Tang Y, Zhang T, Cui H, Wang J, Li Y, Xu L, Curtin A, Sheng J, Jia Y, Yao D, Li C, Luo C, Wang J",Schizophrenia research,0.18,29117910,-1,-1
dmpfc_00050,https://pubmed.ncbi.nlm.nih.gov/28895092/,Neural response to evaluating depression predicts perceivers' mental health treatment recommendations.,"Krendl AC, Cassidy BS","Cognitive, affective & behavioral neuroscience",0.175,28895092,-1,-1
dmpfc_00051,https://pubmed.ncbi.nlm.nih.gov/21412409/,Are risky choices actually guided by a compensatory process? New insights from FMRI.,"Rao LL, Zhou Y, Xu L, Liang ZY, Jiang T, Li S",PloS one,0.174,21412409,-1,-1
dmpfc_00052,https://pubmed.ncbi.nlm.nih.gov/25950551/,Specific default mode subnetworks support mentalizing as revealed through opposing network recruitment by social and semantic FMRI tasks.,"Hyatt CJ, Calhoun VD, Pearlson GD, Assaf M",Human brain mapping,0.169,25950551,-1,-1
dmpfc_00053,https://pubmed.ncbi.nlm.nih.gov/19462002/,Unstable prefrontal response to emotional conflict and activation of lower limbic structures and brainstem in remitted panic disorder.,"Chechko N, Wehrle R, Erhardt A, Holsboer F, Czisch M, Samann PG",PloS one,0.168,19462002,-1,-1
dmpfc_00054,https://pubmed.ncbi.nlm.nih.gov/26455808/,Altered processing of self-related emotional stimuli in mindfulness meditators.,"Lutz J, Bruhl AB, Doerig N, Scheerer H, Achermann R, Weibel A, Jancke L, Herwig U",NeuroImage,0.166,26455808,-1,-1
dmpfc_00055,https://pubmed.ncbi.nlm.nih.gov/26435254/,Habitual suppression relates to difficulty in regulating emotion with cognitive reappraisal.,"Che X, Luo X, Tong D, Fitzgibbon BM, Yang J",Biological psychology,0.163,26435254,-1,-1
dmpfc_00056,https://pubmed.ncbi.nlm.nih.gov/25111474/,Threat-related learning relies on distinct dorsal prefrontal cortex network connectivity.,"Wheelock MD, Sreenivasan KR, Wood KH, Ver Hoef LW, Deshpande G, Knight DC",NeuroImage,0.159,25111474,-1,-1
dmpfc_00057,https://pubmed.ncbi.nlm.nih.gov/21151779/,The influence of rest period instructions on the default mode network.,"Benjamin C, Lieberman DA, Chang M, Ofen N, Whitfield-Gabrieli S, Gabrieli JD, Gaab N",Frontiers in human neuroscience,0.158,21151779,-1,-1
