paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
dorsolateral_00001,https://pubmed.ncbi.nlm.nih.gov/22580084/,The contribution of the dorsolateral prefrontal cortex to the preparation for deception and truth-telling.,"Ito A, Abe N, Fujii T, Hayashi A, Ueno A, Mugikura S, Takahashi S, Mori E",Brain research,0.374,22580084,-1,-1
dorsolateral_00002,https://pubmed.ncbi.nlm.nih.gov/21074583/,The role of the dorsolateral prefrontal cortex in deception when remembering neutral and emotional events.,"Ito A, Abe N, Fujii T, Ueno A, Koseki Y, Hashimoto R, Mugikura S, Takahashi S, Mori E",Neuroscience research,0.277,21074583,-1,-1
dorsolateral_00003,https://pubmed.ncbi.nlm.nih.gov/16120772/,Conditional associative memory for musical stimuli in nonmusicians: implications  for absolute pitch.,"Bermudez P, Zatorre RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.256,16120772,-1,-1
dorsolateral_00004,https://pubmed.ncbi.nlm.nih.gov/10865107/,Hemispheric asymmetries and individual differences in visual concept learning as  measured by functional MRI.,"Seger CA, Poldrack RA, Prabhakaran V, Zhao M, Glover GH, Gabrieli JD",Neuropsychologia,0.184,10865107,-1,-1
dorsolateral_00005,https://pubmed.ncbi.nlm.nih.gov/24825744/,The impact of age on prefrontal cortex integrity during spatial working memory retrieval.,"Toepper M, Markowitsch HJ, Gebhardt H, Beblo T, Bauer E, Woermann FG, Driessen M, Sammer G",Neuropsychologia,0.181,24825744,10.1016/j.neuropsychologia.2014.04.020,-1
dorsolateral_00006,https://pubmed.ncbi.nlm.nih.gov/25740507/,Characterizing the associative content of brain structures involved in habitual and goal-directed actions in humans: a multivariate FMRI study.,"McNamee D, Liljeholm M, Zika O, O'Doherty JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.176,25740507,10.1523/JNEUROSCI.4677-14.2015,-1
dorsolateral_00007,https://pubmed.ncbi.nlm.nih.gov/17188464/,Brain activation patterns during a selective attention test--a functional MRI study in healthy volunteers and unmedicated patients during an acute episode of schizophrenia.,"Weiss EM, Siedentopf C, Golaszewski S, Mottaghy FM, Hofer A, Kremser C, Felber S, Fleischhacker WW",Psychiatry research,0.174,17188464,-1,-1
dorsolateral_00008,https://pubmed.ncbi.nlm.nih.gov/11169874/,Event-related fMRI study of response inhibition.,"Liddle PF, Kiehl KA, Smith AM",Human brain mapping,0.173,11169874,-1,-1
dorsolateral_00009,https://pubmed.ncbi.nlm.nih.gov/12595179/,Maintenance versus manipulation in verbal working memory revisited: an fMRI study.,"Veltman DJ, Rombouts SA, Dolan RJ",NeuroImage,0.173,12595179,-1,-1
dorsolateral_00010,https://pubmed.ncbi.nlm.nih.gov/10216270/,Frontal cortex and the programming of repetitive tapping movements in man: lesion effects and functional neuroimaging.,"Lepage M, Beaudoin G, Boulet C, O'Brien I, Marcantoni W, Bourgouin P, Richer F",Brain research. Cognitive brain research,0.172,10216270,-1,-1
dorsolateral_00011,https://pubmed.ncbi.nlm.nih.gov/11860517/,The neural substrate of orientation short-term memory and resistance to distractor items.,"Cornette L, Dupont P, Orban GA",The European journal of neuroscience,0.172,11860517,-1,-1
