paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
dorsomedial prefrontal_00001,https://pubmed.ncbi.nlm.nih.gov/15006683/,Watching social interactions produces dorsomedial prefrontal and medial parietal  BOLD fMRI signal increases compared to a resting baseline.,"Iacoboni M, Lieberman MD, Knowlton BJ, Molnar-Szakacs I, Moritz M, Throop CJ, Fiske AP",NeuroImage,0.278,15006683,-1,-1
dorsomedial prefrontal_00002,https://pubmed.ncbi.nlm.nih.gov/17296169/,Brain structures mediating cardiovascular arousal and interoceptive awareness.,"Pollatos O, Schandry R, Auer DP, Kaufmann C",Brain research,0.205,17296169,-1,-1
dorsomedial prefrontal_00003,https://pubmed.ncbi.nlm.nih.gov/20693390/,Forming a negative impression of another person correlates with activation in medial prefrontal cortex and amygdala.,"Iidaka T, Harada T, Sadato N",Social cognitive and affective neuroscience,0.19,20693390,-1,-1
dorsomedial prefrontal_00004,https://pubmed.ncbi.nlm.nih.gov/22649243/,Response of dorsomedial prefrontal cortex predicts altruistic behavior.,"Waytz A, Zaki J, Mitchell JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.183,22649243,-1,-1
dorsomedial prefrontal_00005,https://pubmed.ncbi.nlm.nih.gov/19632301/,Attentional modulation of emotional stimulus processing in patients with major depression--alterations in prefrontal cortical regions.,"Bermpohl F, Walter M, Sajonz B, Lucke C, Hagele C, Sterzer P, Adli M, Heinz A, Northoff G",Neuroscience letters,0.179,19632301,-1,-1
dorsomedial prefrontal_00006,https://pubmed.ncbi.nlm.nih.gov/21893386/,Similar hyporesponsiveness of the dorsomedial prefrontal cortex in problem gamblers and heavy smokers during an inhibitory control task.,"de Ruiter MB, Oosterlaan J, Veltman DJ, van den Brink W, Goudriaan AE",Drug and alcohol dependence,0.176,21893386,-1,-1
dorsomedial prefrontal_00007,https://pubmed.ncbi.nlm.nih.gov/23376475/,Changes in neural mechanisms of cognitive control during the transition from late adolescence to young adulthood.,"Veroude K, Jolles J, Croiset G, Krabbendam L",Developmental cognitive neuroscience,0.167,23376475,-1,-1
dorsomedial prefrontal_00008,https://pubmed.ncbi.nlm.nih.gov/14755839/,Reciprocal modulation and attenuation in the prefrontal cortex: an fMRI study on  emotional-cognitive interaction.,"Northoff G, Heinzel A, Bermpohl F, Niese R, Pfennig A, Pascual-Leone A, Schlaug G",Human brain mapping,0.166,14755839,10.1002/hbm.20002,-1
dorsomedial prefrontal_00009,https://pubmed.ncbi.nlm.nih.gov/24416397/,Complex regional pain syndrome type I affects brain structure in prefrontal and motor cortex.,"Pleger B, Draganski B, Schwenkreis P, Lenz M, Nicolas V, Maier C, Tegenthoff M",PloS one,0.144,24416397,10.1371/journal.pone.0085372,-1
dorsomedial prefrontal_00010,https://pubmed.ncbi.nlm.nih.gov/22490923/,The neural dynamics of updating person impressions.,"Mende-Siedlecki P, Cai Y, Todorov A",Social cognitive and affective neuroscience,0.137,22490923,10.1093/scan/nss040,-1
