paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
dorsomedial_00001,https://pubmed.ncbi.nlm.nih.gov/24388670/,Anhedonia and Reward-Circuit Connectivity Distinguish Nonresponders from Responders to Dorsomedial Prefrontal Repetitive Transcranial Magnetic Stimulation in Major Depression.,"Downar J, Geraci J, Salomons TV, Dunlop K, Wheeler S, McAndrews MP, Bakker N, Blumberger DM, Daskalakis ZJ, Kennedy SH, Flint AJ, Giacobbe P",Biological psychiatry,0.333,24388670,-1,-1
dorsomedial_00002,https://pubmed.ncbi.nlm.nih.gov/18586335/,"Association between a longer duration of illness, age and lower frontal lobe grey matter volume in schizophrenia.","Premkumar P, Fannon D, Kuipers E, Cooke MA, Simmons A, Kumari V",Behavioural brain research,0.28,18586335,-1,-1
dorsomedial_00003,https://pubmed.ncbi.nlm.nih.gov/15006683/,Watching social interactions produces dorsomedial prefrontal and medial parietal  BOLD fMRI signal increases compared to a resting baseline.,"Iacoboni M, Lieberman MD, Knowlton BJ, Molnar-Szakacs I, Moritz M, Throop CJ, Fiske AP",NeuroImage,0.255,15006683,10.1016/j.neuroimage.2003.11.013,-1
dorsomedial_00004,https://pubmed.ncbi.nlm.nih.gov/23859650/,Rejection sensitivity polarizes striatal-medial prefrontal activity when anticipating social feedback.,"Powers KE, Somerville LH, Kelley WM, Heatherton TF",Journal of cognitive neuroscience,0.23,23859650,-1,-1
dorsomedial_00005,https://pubmed.ncbi.nlm.nih.gov/26640766/,Executive attention control and emotional responding in attention-deficit/hyperactivity disorder--A functional MRI study.,"Hwang S, White SF, Nolan ZT, Craig Williams W, Sinclair S, Blair RJ",NeuroImage. Clinical,0.223,26640766,-1,-1
dorsomedial_00006,https://pubmed.ncbi.nlm.nih.gov/21325514/,Neural correlates of instrumental contingency learning: differential effects of action-reward conjunction and disjunction.,"Liljeholm M, Tricomi E, O'Doherty JP, Balleine BW",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.204,21325514,-1,-1
dorsomedial_00007,https://pubmed.ncbi.nlm.nih.gov/22879354/,Lateral prefrontal cortex is organized into parallel dorsal and ventral streams along the rostro-caudal axis.,"Blumenfeld RS, Nomura EM, Gratton C, D'Esposito M","Cerebral cortex (New York, N.Y. : 1991)",0.2,22879354,-1,-1
dorsomedial_00008,https://pubmed.ncbi.nlm.nih.gov/25603027/,The default mode of human brain function primes the intentional stance.,"Spunt RP, Meyer ML, Lieberman MD",Journal of cognitive neuroscience,0.19,25603027,-1,-1
dorsomedial_00009,https://pubmed.ncbi.nlm.nih.gov/17296169/,Brain structures mediating cardiovascular arousal and interoceptive awareness.,"Pollatos O, Schandry R, Auer DP, Kaufmann C",Brain research,0.188,17296169,-1,-1
dorsomedial_00010,https://pubmed.ncbi.nlm.nih.gov/15023577/,Functional magnetic resonance imaging during auditory verbal working memory in nonpsychotic relatives of persons with schizophrenia: a pilot study.,"Thermenos HW, Seidman LJ, Breiter H, Goldstein JM, Goodman JM, Poldrack R, Faraone SV, Tsuang MT",Biological psychiatry,0.186,15023577,-1,-1
