paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
effortful_00001,https://pubmed.ncbi.nlm.nih.gov/26930284/,Fronto-Limbic Brain Dysfunction during the Regulation of Emotion in Schizophrenia.,"Eack SM, Wojtalik JA, Barb SM, Newhill CE, Keshavan MS, Phillips ML",PloS one,0.342,26930284,-1,-1
effortful_00002,https://pubmed.ncbi.nlm.nih.gov/22842815/,Self-regulatory depletion increases emotional reactivity in the amygdala.,"Wagner DD, Heatherton TF",Social cognitive and affective neuroscience,0.331,22842815,-1,-1
effortful_00003,https://pubmed.ncbi.nlm.nih.gov/22564476/,"Effortful control, depression, and anxiety correlate with the influence of emotion on executive attentional control.","Kanske P, Kotz SA",Biological psychology,0.325,22564476,-1,-1
effortful_00004,https://pubmed.ncbi.nlm.nih.gov/23453833/,"Reprint of ""Effortful control, depression, and anxiety correlate with the influence of emotion on executive attentional control"".","Kanske P, Kotz SA",Biological psychology,0.325,23453833,-1,-1
effortful_00005,https://pubmed.ncbi.nlm.nih.gov/20463204/,Choosing to make an effort: the role of striatum in signaling physical effort of  a chosen action.,"Kurniawan IT, Seymour B, Talmi D, Yoshida W, Chater N, Dolan RJ",Journal of neurophysiology,0.287,20463204,-1,-1
effortful_00006,https://pubmed.ncbi.nlm.nih.gov/19398537/,Emotion regulation in spider phobia: role of the medial prefrontal cortex.,"Hermann A, Schafer A, Walter B, Stark R, Vaitl D, Schienle A",Social cognitive and affective neuroscience,0.278,19398537,-1,-1
effortful_00007,https://pubmed.ncbi.nlm.nih.gov/21331518/,Nicotine effects on default mode network during resting state.,"Tanabe J, Nyberg E, Martin LF, Martin J, Cordes D, Kronberg E, Tregellas JR",Psychopharmacology,0.273,21331518,-1,-1
effortful_00008,https://pubmed.ncbi.nlm.nih.gov/25798822/,The neural correlates of emotion regulation by implementation intentions.,"Hallam GP, Webb TL, Sheeran P, Miles E, Wilkinson ID, Hunter MD, Barker AT, Woodruff PW, Totterdell P, Lindquist KA, Farrow TF",PloS one,0.247,25798822,-1,-1
effortful_00009,https://pubmed.ncbi.nlm.nih.gov/28253076/,Major Thought Restructuring: The Roles of Different Prefrontal Cortical Regions.,"Seyed-Allaei S, Avanaki ZN, Bahrami B, Shallice T",Journal of cognitive neuroscience,0.227,28253076,-1,-1
effortful_00010,https://pubmed.ncbi.nlm.nih.gov/15390216/,Prioritizing new over old: an fMRI study of the preview search task.,"Olivers CN, Smith S, Matthews P, Humphreys GW",Human brain mapping,0.224,15390216,10.1002/hbm.20071,-1
effortful_00011,https://pubmed.ncbi.nlm.nih.gov/12821513/,Human cingulate cortex and autonomic control: converging neuroimaging and clinical evidence.,"Critchley HD, Mathias CJ, Josephs O, O'Doherty J, Zanini S, Dewar BK, Cipolotti L, Shallice T, Dolan RJ",Brain : a journal of neurology,0.219,12821513,-1,-1
effortful_00012,https://pubmed.ncbi.nlm.nih.gov/24486655/,Development of temperamental effortful control mediates the relationship between  maturation of the prefrontal cortex and psychopathology during adolescence: a 4-year longitudinal study.,"Vijayakumar N, Whittle S, Dennison M, Yucel M, Simmons J, Allen NB",Developmental cognitive neuroscience,0.219,24486655,-1,-1
effortful_00013,https://pubmed.ncbi.nlm.nih.gov/22936905/,Emotional and cognitive processing of narratives and individual appraisal styles: recruitment of cognitive control networks vs. modulation of deactivations.,"Benelli E, Mergenthaler E, Walter S, Messina I, Sambin M, Buchheim A, Sim EJ, Viviani R",Frontiers in human neuroscience,0.21,22936905,-1,-1
effortful_00014,https://pubmed.ncbi.nlm.nih.gov/25987597/,Social working memory and its distinctive link to social cognitive ability: an fMRI study.,"Meyer ML, Taylor SE, Lieberman MD",Social cognitive and affective neuroscience,0.192,25987597,-1,-1
effortful_00015,https://pubmed.ncbi.nlm.nih.gov/25674057/,Evidence of Conjoint Activation of the Anterior Insular and Cingulate Cortices during Effortful Tasks.,"Engstrom M, Karlsson T, Landtblom AM, Craig AD",Frontiers in human neuroscience,0.184,25674057,-1,-1
effortful_00016,https://pubmed.ncbi.nlm.nih.gov/24454951/,Extrapunitive and intropunitive individuals activate different parts of the prefrontal cortex under an ego-blocking frustration.,"Minamoto T, Osaka M, Yaoi K, Osaka N",PloS one,0.167,24454951,-1,-1
effortful_00017,https://pubmed.ncbi.nlm.nih.gov/26163803/,Separate and overlapping brain areas encode subjective value during delay and effort discounting.,"Massar SA, Libedinsky C, Weiyan C, Huettel SA, Chee MW",NeuroImage,0.16,26163803,-1,-1
effortful_00018,https://pubmed.ncbi.nlm.nih.gov/28039553/,Deficient amygdala-prefrontal intrinsic connectivity after effortful emotion regulation in borderline personality disorder.,"Baczkowski BM, van Zutphen L, Siep N, Jacob GA, Domes G, Maier S, Sprenger A, Senft A, Willenborg B, Tuscher O, Arntz A, van de Ven V",European archives of psychiatry and clinical neuroscience,0.152,28039553,-1,-1
effortful_00019,https://pubmed.ncbi.nlm.nih.gov/17306437/,Diminished medial prefrontal cortex activity in blood-injection-injury phobia.,"Hermann A, Schafer A, Walter B, Stark R, Vaitl D, Schienle A",Biological psychology,0.148,17306437,-1,-1
effortful_00020,https://pubmed.ncbi.nlm.nih.gov/23400116/,'Cost in transliteration': the neurocognitive processing of Romanized writing.,"Rao C, Mathur A, Singh NC",Brain and language,0.145,23400116,-1,-1
effortful_00021,https://pubmed.ncbi.nlm.nih.gov/20673804/,Functioning of neural systems supporting emotion regulation in anxiety-prone individuals.,"Campbell-Sills L, Simmons AN, Lovero KL, Rochlin AA, Paulus MP, Stein MB",NeuroImage,0.143,20673804,-1,-1
effortful_00022,https://pubmed.ncbi.nlm.nih.gov/17046722/,Neural correlates of social cooperation and non-cooperation as a function of psychopathy.,"Rilling JK, Glenn AL, Jairam MR, Pagnoni G, Goldsmith DR, Elfenbein HA, Lilienfeld SO",Biological psychiatry,0.141,17046722,-1,-1
effortful_00023,https://pubmed.ncbi.nlm.nih.gov/20703959/,Decreased prefrontal cortex activity in mild traumatic brain injury during performance of an auditory oddball task.,"Witt ST, Lovejoy DW, Pearlson GD, Stevens MC",Brain imaging and behavior,0.133,20703959,-1,-1
effortful_00024,https://pubmed.ncbi.nlm.nih.gov/24222712/,Existential neuroscience: self-esteem moderates neuronal responses to mortality-related stimuli.,"Klackl J, Jonas E, Kronbichler M",Social cognitive and affective neuroscience,0.13,24222712,-1,-1
effortful_00025,https://pubmed.ncbi.nlm.nih.gov/24478354/,Intrinsic fluctuations in sustained attention and distractor processing.,"Esterman M, Rosenberg MD, Noonan SK",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.127,24478354,-1,-1
effortful_00026,https://pubmed.ncbi.nlm.nih.gov/22580204/,Appetite regulation during food cue exposure: a comparison of normal-weight and obese women.,"Scharmuller W, Ubel S, Ebner F, Schienle A",Neuroscience letters,0.124,22580204,-1,-1
effortful_00027,https://pubmed.ncbi.nlm.nih.gov/28729441/,Switch-Independent Task Representations in Frontal and Parietal Cortex.,"Loose LS, Wisniewski D, Rusconi M, Goschke T, Haynes JD",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.124,28729441,-1,-1
effortful_00028,https://pubmed.ncbi.nlm.nih.gov/25862263/,"Dorsal striatum mediates cognitive control, not cognitive effort per se, in decision-making: An event-related fMRI study.","Robertson BD, Hiebert NM, Seergobin KN, Owen AM, MacDonald PA",NeuroImage,0.117,25862263,-1,-1
effortful_00029,https://pubmed.ncbi.nlm.nih.gov/21255662/,"Associations between cortical thickness and verbal fluency in childhood, adolescence, and young adulthood.","Porter JN, Collins PF, Muetzel RL, Lim KO, Luciana M",NeuroImage,0.114,21255662,-1,-1
effortful_00030,https://pubmed.ncbi.nlm.nih.gov/26324898/,Dynamic reconfiguration of frontal brain networks during executive cognition in humans.,"Braun U, Schafer A, Walter H, Erk S, Romanczuk-Seiferth N, Haddad L, Schweiger JI, Grimm O, Heinz A, Tost H, Meyer-Lindenberg A, Bassett DS",Proceedings of the National Academy of Sciences of the United States of America,0.113,26324898,-1,-1
effortful_00031,https://pubmed.ncbi.nlm.nih.gov/19680553/,Endogenous human brain dynamics recover slowly following cognitive effort.,"Barnes A, Bullmore ET, Suckling J",PloS one,0.112,19680553,-1,-1
effortful_00032,https://pubmed.ncbi.nlm.nih.gov/22941724/,In the zone or zoning out? Tracking behavioral and neural fluctuations during sustained attention.,"Esterman M, Noonan SK, Rosenberg M, Degutis J","Cerebral cortex (New York, N.Y. : 1991)",0.112,22941724,-1,-1
effortful_00033,https://pubmed.ncbi.nlm.nih.gov/25528288/,Visuospatial complexity modulates reading in the brain.,"Rao C, Singh NC",Brain and language,0.111,25528288,-1,-1
effortful_00034,https://pubmed.ncbi.nlm.nih.gov/28456880/,Altered segregation between task-positive and task-negative regions in mild traumatic brain injury.,"Sours C, Kinnison J, Padmala S, Gullapalli RP, Pessoa L",Brain imaging and behavior,0.111,28456880,-1,-1
effortful_00035,https://pubmed.ncbi.nlm.nih.gov/23578576/,Neural correlates of testing effects in vocabulary learning.,"van den Broek GS, Takashima A, Segers E, Fernandez G, Verhoeven L",NeuroImage,0.107,23578576,-1,-1
effortful_00036,https://pubmed.ncbi.nlm.nih.gov/19812330/,The maturation of task set-related activation supports late developmental improvements in inhibitory control.,"Velanova K, Wheeler ME, Luna B",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.105,19812330,-1,-1
effortful_00037,https://pubmed.ncbi.nlm.nih.gov/17699669/,Failure to regulate: counterproductive recruitment of top-down prefrontal-subcortical circuitry in major depression.,"Johnstone T, van Reekum CM, Urry HL, Kalin NH, Davidson RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.104,17699669,-1,-1
effortful_00038,https://pubmed.ncbi.nlm.nih.gov/19414046/,Recording event-related activity under hostile magnetic resonance environment: Is multimodal EEG/ERP-MRI recording possible?,"Karakas HM, Karakas S, Ozkan Ceylan A, Tali ET",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.102,19414046,-1,-1
effortful_00039,https://pubmed.ncbi.nlm.nih.gov/18787235/,The effects of stimulus modality and frequency of stimulus presentation on cross-modal distraction.,"Mayer AR, Franco AR, Canive J, Harrington DL","Cerebral cortex (New York, N.Y. : 1991)",0.101,18787235,-1,-1
effortful_00040,https://pubmed.ncbi.nlm.nih.gov/22024409/,Neurocognitive deficits in male alcoholics: an ERP/sLORETA analysis of the N2 component in an equal probability Go/NoGo task.,"Pandey AK, Kamarajan C, Tang Y, Chorlian DB, Roopesh BN, Manz N, Stimus A, Rangaswamy M, Porjesz B",Biological psychology,0.101,22024409,-1,-1
effortful_00041,https://pubmed.ncbi.nlm.nih.gov/27575389/,The Neural Correlates of Similarity- and Rule-based Generalization.,"Milton F, Bealing P, Carpenter KL, Bennattayallah A, Wills AJ",Journal of cognitive neuroscience,0.1,27575389,-1,-1
effortful_00042,https://pubmed.ncbi.nlm.nih.gov/21232548/,fMRI activation during response inhibition and error processing: the role of the  DAT1 gene in typically developing adolescents and those diagnosed with ADHD.,"Braet W, Johnson KA, Tobin CT, Acheson R, McDonnell C, Hawi Z, Barry E, Mulligan A, Gill M, Bellgrove MA, Robertson IH, Garavan H",Neuropsychologia,0.099,21232548,-1,-1
effortful_00043,https://pubmed.ncbi.nlm.nih.gov/27303279/,"Neural Processing of Familiar and Unfamiliar Children's Faces: Effects of Experienced Love Withdrawal, but No Effects of Neutral and Threatening Priming.","Heckendorf E, Huffmeijer R, Bakermans-Kranenburg MJ, van IJzendoorn MH",Frontiers in human neuroscience,0.099,27303279,-1,-1
effortful_00044,https://pubmed.ncbi.nlm.nih.gov/24683066/,Value-based modulation of memory encoding involves strategic engagement of fronto-temporal semantic processing regions.,"Cohen MS, Rissman J, Suthana NA, Castel AD, Knowlton BJ","Cognitive, affective & behavioral neuroscience",0.096,24683066,-1,-1
effortful_00045,https://pubmed.ncbi.nlm.nih.gov/25037922/,The Neural Representation of Voluntary Task-Set Selection in Dynamic Environments.,"Wisniewski D, Reverberi C, Tusche A, Haynes JD","Cerebral cortex (New York, N.Y. : 1991)",0.095,25037922,-1,-1
effortful_00046,https://pubmed.ncbi.nlm.nih.gov/15930384/,The neural correlates of motor skill automaticity.,"Poldrack RA, Sabb FW, Foerde K, Tom SM, Asarnow RF, Bookheimer SY, Knowlton BJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.094,15930384,-1,-1
effortful_00047,https://pubmed.ncbi.nlm.nih.gov/16481375/,Neural basis of irony comprehension in children with autism: the role of prosody  and context.,"Wang AT, Lee SS, Sigman M, Dapretto M",Brain : a journal of neurology,0.094,16481375,-1,-1
effortful_00048,https://pubmed.ncbi.nlm.nih.gov/16930447/,Cognitive modulation of emotion anticipation.,"Erk S, Abler B, Walter H",The European journal of neuroscience,0.094,16930447,-1,-1
effortful_00049,https://pubmed.ncbi.nlm.nih.gov/20711448/,A common left occipito-temporal dysfunction in developmental dyslexia and acquired letter-by-letter reading?,"Richlan F, Sturm D, Schurz M, Kronbichler M, Ladurner G, Wimmer H",PloS one,0.094,20711448,-1,-1
effortful_00050,https://pubmed.ncbi.nlm.nih.gov/22884936/,Top-down and bottom-up attention-to-memory: mapping functional connectivity in two distinct networks that underlie cued and uncued recognition memory.,"Burianova H, Ciaramelli E, Grady CL, Moscovitch M",NeuroImage,0.094,22884936,-1,-1
effortful_00051,https://pubmed.ncbi.nlm.nih.gov/27242485/,Concentration: The Neural Underpinnings of How Cognitive Load Shields Against Distraction.,"Sorqvist P, Dahlstrom O, Karlsson T, Ronnberg J",Frontiers in human neuroscience,0.094,27242485,10.3389/fnhum.2016.00221,-1
effortful_00052,https://pubmed.ncbi.nlm.nih.gov/24029699/,Functional imaging of implicit marijuana associations during performance on an Implicit Association Test (IAT).,"L Ames S, Grenard JL, W Stacy A, Xiao L, He Q, Wong SW, Xue G, W Wiers R, Bechara A",Behavioural brain research,0.093,24029699,10.1016/j.bbr.2013.09.013,-1
effortful_00053,https://pubmed.ncbi.nlm.nih.gov/20962229/,Separate valuation subsystems for delay and effort decision costs.,"Prevost C, Pessiglione M, Metereau E, Clery-Melin ML, Dreher JC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.092,20962229,-1,-1
effortful_00054,https://pubmed.ncbi.nlm.nih.gov/23035108/,Effortful listening: the processing of degraded speech depends critically on attention.,"Wild CJ, Yusuf A, Wilson DE, Peelle JE, Davis MH, Johnsrude IS",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.091,23035108,-1,-1
effortful_00055,https://pubmed.ncbi.nlm.nih.gov/17196834/,Top-down processes during auditory phoneme categorization in dyslexia: a PET study.,"Dufor O, Serniclaes W, Sprenger-Charolles L, Demonet JF",NeuroImage,0.09,17196834,-1,-1
effortful_00056,https://pubmed.ncbi.nlm.nih.gov/23774397/,Neural substrates of cognitive switching and inhibition in a face processing task.,"Piguet C, Sterpenich V, Desseilles M, Cojan Y, Bertschy G, Vuilleumier P",NeuroImage,0.09,23774397,-1,-1
effortful_00057,https://pubmed.ncbi.nlm.nih.gov/25926268/,Generators and Connectivity of the Early Auditory Evoked Gamma Band Response.,"Polomac N, Leicht G, Nolte G, Andreou C, Schneider TR, Steinmann S, Engel AK, Mulert C",Brain topography,0.09,25926268,-1,-1
effortful_00058,https://pubmed.ncbi.nlm.nih.gov/18495180/,Modifying the brain activation of poor readers during sentence comprehension with extended remedial instruction: a longitudinal study of neuroplasticity.,"Meyler A, Keller TA, Cherkassky VL, Gabrieli JD, Just MA",Neuropsychologia,0.089,18495180,-1,-1
effortful_00059,https://pubmed.ncbi.nlm.nih.gov/11549616/,Human cortical networks for new and familiar sequences of saccades.,"Grosbras MH, Leonards U, Lobel E, Poline JB, LeBihan D, Berthoz A","Cerebral cortex (New York, N.Y. : 1991)",0.087,11549616,-1,-1
effortful_00060,https://pubmed.ncbi.nlm.nih.gov/18514745/,Gender-specific strategy use and neural correlates in a spatial perspective taking task.,"Kaiser S, Walther S, Nennig E, Kronmuller K, Mundt C, Weisbrod M, Stippich C, Vogeley K",Neuropsychologia,0.087,18514745,-1,-1
effortful_00061,https://pubmed.ncbi.nlm.nih.gov/27853428/,Goal Directed Worry Rules Are Associated with Distinct Patterns of Amygdala Functional Connectivity and Vagal Modulation during Perseverative Cognition.,"Meeten F, Davey GC, Makovac E, Watson DR, Garfinkel SN, Critchley HD, Ottaviani C",Frontiers in human neuroscience,0.087,27853428,-1,-1
effortful_00062,https://pubmed.ncbi.nlm.nih.gov/18761138/,An fMRI study of the numerical Stroop task in individuals with and without minimal cognitive impairment.,"Kaufmann L, Ischebeck A, Weiss E, Koppelstaetter F, Siedentopf C, Vogel SE, Gotwald T, Marksteiner J, Wood G",Cortex; a journal devoted to the study of the nervous system and behavior,0.086,18761138,-1,-1
effortful_00063,https://pubmed.ncbi.nlm.nih.gov/19837173/,Brain activation and lexical learning: the impact of learning phase and word type.,"Raboyeau G, Marcotte K, Adrover-Roig D, Ansaldo AI",NeuroImage,0.086,19837173,-1,-1
effortful_00064,https://pubmed.ncbi.nlm.nih.gov/24145409/,Effects of childhood poverty and chronic stress on emotion regulatory brain function in adulthood.,"Kim P, Evans GW, Angstadt M, Ho SS, Sripada CS, Swain JE, Liberzon I, Phan KL",Proceedings of the National Academy of Sciences of the United States of America,0.085,24145409,-1,-1
effortful_00065,https://pubmed.ncbi.nlm.nih.gov/24501355/,The role of the striatum in effort-based decision-making in the absence of reward.,"Schouppe N, Demanet J, Boehler CN, Ridderinkhof KR, Notebaert W",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.084,24501355,-1,-1
effortful_00066,https://pubmed.ncbi.nlm.nih.gov/24723873/,Unilateral deafness in children affects development of multi-modal modulation and default mode networks.,"Schmithorst VJ, Plante E, Holland S",Frontiers in human neuroscience,0.084,24723873,-1,-1
effortful_00067,https://pubmed.ncbi.nlm.nih.gov/19389870/,Decreased connectivity and cerebellar activity in autism during motor task performance.,"Mostofsky SH, Powell SK, Simmonds DJ, Goldberg MC, Caffo B, Pekar JJ",Brain : a journal of neurology,0.083,19389870,-1,-1
effortful_00068,https://pubmed.ncbi.nlm.nih.gov/20851189/,Challenges to attention: a continuous arterial spin labeling (ASL) study of the effects of distraction on sustained attention.,"Demeter E, Hernandez-Garcia L, Sarter M, Lustig C",NeuroImage,0.082,20851189,-1,-1
effortful_00069,https://pubmed.ncbi.nlm.nih.gov/18155880/,Effect of retrieval effort and switching demand on fMRI activation during semantic word generation in schizophrenia.,"Ragland JD, Moelter ST, Bhati MT, Valdez JN, Kohler CG, Siegel SJ, Gur RC, Gur RE",Schizophrenia research,0.079,18155880,-1,-1
effortful_00070,https://pubmed.ncbi.nlm.nih.gov/17368096/,Source localization of the Nogo-N2: a developmental study.,"Jonkman LM, Sniedt FL, Kemner C",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.078,17368096,-1,-1
effortful_00071,https://pubmed.ncbi.nlm.nih.gov/25360101/,The role of the precuneus in metaphor comprehension: evidence from an fMRI study  in people with schizophrenia and healthy participants.,"Mashal N, Vishne T, Laor N",Frontiers in human neuroscience,0.078,25360101,10.3389/fnhum.2014.00818,-1
effortful_00072,https://pubmed.ncbi.nlm.nih.gov/28931014/,Phonological memory in sign language relies on the visuomotor neural system outside the left hemisphere language network.,"Kanazawa Y, Nakamura K, Ishii T, Aso T, Yamazaki H, Omori K",PloS one,0.077,28931014,10.1371/journal.pone.0177599,-1
