paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
empathic_00001,https://pubmed.ncbi.nlm.nih.gov/24683513/,Neural substrates of socioemotional self-awareness in neurodegenerative disease.,"Sollberger M, Rosen HJ, Shany-Ur T, Ullah J, Stanley CM, Laluz V, Weiner MW, Wilson SM, Miller BL, Rankin KP",Brain and behavior,0.592,24683513,-1,-1
empathic_00002,https://pubmed.ncbi.nlm.nih.gov/26812250/,Effects of empathic social responses on the emotions of the recipient.,"Seehausen M, Kazzer P, Bajbouj M, Heekeren HR, Jacobs AM, Klann-Delius G, Menninghaus W, Prehn K",Brain and cognition,0.58,26812250,-1,-1
empathic_00003,https://pubmed.ncbi.nlm.nih.gov/22956676/,Compassion meditation enhances empathic accuracy and related neural activity.,"Mascaro JS, Rilling JK, Tenzin Negi L, Raison CL",Social cognitive and affective neuroscience,0.569,22956676,-1,-1
empathic_00004,https://pubmed.ncbi.nlm.nih.gov/25462694/,Empathic concern drives costly altruism.,"FeldmanHall O, Dalgleish T, Evans D, Mobbs D",NeuroImage,0.481,25462694,-1,-1
empathic_00005,https://pubmed.ncbi.nlm.nih.gov/22349798/,Empathic choice involves vmPFC value signals that are modulated by social processing implemented in IPL.,"Janowski V, Camerer C, Rangel A",Social cognitive and affective neuroscience,0.422,22349798,-1,-1
empathic_00006,https://pubmed.ncbi.nlm.nih.gov/23658538/,"The role of automaticity and attention in neural processes underlying empathy for happiness, sadness, and anxiety.","Morelli SA, Lieberman MD",Frontiers in human neuroscience,0.371,23658538,-1,-1
empathic_00007,https://pubmed.ncbi.nlm.nih.gov/26707083/,Orbitofrontal and limbic signatures of empathic concern and intentional harm in the behavioral variant frontotemporal dementia.,"Baez S, Morales JP, Slachevsky A, Torralva T, Matus C, Manes F, Ibanez A",Cortex; a journal devoted to the study of the nervous system and behavior,0.367,26707083,-1,-1
empathic_00008,https://pubmed.ncbi.nlm.nih.gov/24376780/,Racial bias in neural empathic responses to pain.,"Contreras-Huerta LS, Baker KS, Reynolds KJ, Batalha L, Cunnington R",PloS one,0.344,24376780,-1,-1
empathic_00009,https://pubmed.ncbi.nlm.nih.gov/21998038/,Altered brain activity during emotional empathy in somatoform disorder.,"de Greck M, Scheidt L, Bolter AF, Frommer J, Ulrich C, Stockum E, Enzi B, Tempelmann C, Hoffmann T, Han S, Northoff G",Human brain mapping,0.332,21998038,-1,-1
empathic_00010,https://pubmed.ncbi.nlm.nih.gov/21896497/,The balance between feeling and knowing: affective and cognitive empathy are reflected in the brain's intrinsic functional dynamics.,"Cox CL, Uddin LQ, Di Martino A, Castellanos FX, Milham MP, Kelly C",Social cognitive and affective neuroscience,0.329,21896497,-1,-1
empathic_00011,https://pubmed.ncbi.nlm.nih.gov/21737435/,Empathic neural responses to others' pain depend on monetary reward.,"Guo X, Zheng L, Zhang W, Zhu L, Li J, Wang Q, Dienes Z, Yang Z",Social cognitive and affective neuroscience,0.323,21737435,-1,-1
empathic_00012,https://pubmed.ncbi.nlm.nih.gov/28981837/,Neural correlates of empathic accuracy in adolescence.,"Kral TRA, Solis E, Mumford JA, Schuyler BS, Flook L, Rifken K, Patsenko EG, Davidson RJ",Social cognitive and affective neuroscience,0.317,28981837,-1,-1
empathic_00013,https://pubmed.ncbi.nlm.nih.gov/29354044/,Effects of Acute Alcohol Intoxication on Empathic Neural Responses for Pain.,"Hu Y, Cui Z, Fan M, Pei Y, Wang Z",Frontiers in human neuroscience,0.29,29354044,-1,-1
empathic_00014,https://pubmed.ncbi.nlm.nih.gov/28928643/,How Situational Context Impacts Empathic Responses and Brain Activation Patterns.,"Cheng Y, Chen C, Decety J",Frontiers in behavioral neuroscience,0.287,28928643,-1,-1
empathic_00015,https://pubmed.ncbi.nlm.nih.gov/19244454/,Double dissociation between perspective-taking and empathic-concern as predictors of hemodynamic response to another's mistakes.,"Shane MS, Stevens MC, Harenski CL, Kiehl KA",Social cognitive and affective neuroscience,0.282,19244454,-1,-1
empathic_00016,https://pubmed.ncbi.nlm.nih.gov/21533882/,Hearing others' pain: neural activity related to empathy.,"Lang S, Yu T, Markl A, Muller F, Kotchoubey B","Cognitive, affective & behavioral neuroscience",0.241,21533882,-1,-1
empathic_00017,https://pubmed.ncbi.nlm.nih.gov/23162046/,Relating anatomical and social connectivity: white matter microstructure predicts emotional empathy.,"Parkinson C, Wheatley T","Cerebral cortex (New York, N.Y. : 1991)",0.223,23162046,-1,-1
empathic_00018,https://pubmed.ncbi.nlm.nih.gov/29104537/,Consciously Feeling the Pain of Others Reflects Atypical Functional Connectivity  between the Pain Matrix and Frontal-Parietal Regions.,"Grice-Jackson T, Critchley HD, Banissy MJ, Ward J",Frontiers in human neuroscience,0.207,29104537,-1,-1
empathic_00019,https://pubmed.ncbi.nlm.nih.gov/23673251/,Exposure to violence reduces empathetic responses to other's pain.,"Guo X, Zheng L, Wang H, Zhu L, Li J, Wang Q, Dienes Z, Yang Z",Brain and cognition,0.202,23673251,-1,-1
empathic_00020,https://pubmed.ncbi.nlm.nih.gov/28673832/,Neural functional correlates of empathic face processing.,"Del Casale A, Kotzalidis GD, Rapinesi C, Janiri D, Aragona M, Puzella A, Spinazzola E, Maggiora M, Giuseppin G, Tamorri SM, Vento AE, Ferracuti S, Sani G, Pompili M, Girardi P",Neuroscience letters,0.202,28673832,-1,-1
