paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
encoding_00001,https://pubmed.ncbi.nlm.nih.gov/23142279/,Neural activity related to self-initiating elaborative semantic encoding in associative memory.,"Hawco C, Armony JL, Lepage M",NeuroImage,0.62,23142279,10.1016/j.neuroimage.2012.11.004,-1
encoding_00002,https://pubmed.ncbi.nlm.nih.gov/21315091/,The neural correlates of visual working memory encoding: a time-resolved fMRI study.,"Todd JJ, Han SW, Harrison S, Marois R",Neuropsychologia,0.587,21315091,10.1016/j.neuropsychologia.2011.01.040,-1
encoding_00003,https://pubmed.ncbi.nlm.nih.gov/14689505/,fMRI differences in encoding and retrieval of pictures due to encoding strategy in the elderly.,"Mandzia JL, Black SE, McAndrews MP, Grady C, Graham S",Human brain mapping,0.58,14689505,10.1002/hbm.10140,-1
encoding_00004,https://pubmed.ncbi.nlm.nih.gov/29097595/,Determining the Neural Substrate for Encoding a Memory of Human Pain and the Influence of Anxiety.,"Tseng MT, Kong Y, Eippert F, Tracey I",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.56,29097595,10.1523/JNEUROSCI.0750-17.2017,-1
encoding_00005,https://pubmed.ncbi.nlm.nih.gov/23949205/,fMRI response during figural memory task performance in college drinkers.,"Dager AD, Jamadar S, Stevens MC, Rosen R, Jiantonio-Kelly RE, Sisante JF, Raskin SA, Tennen H, Austad CS, Wood RM, Fallahi CR, Pearlson GD",Psychopharmacology,0.543,23949205,-1,-1
encoding_00006,https://pubmed.ncbi.nlm.nih.gov/15927485/,Material-specific lateralization of memory encoding in the medial temporal lobe:  blocked versus event-related design.,"Powell HW, Koepp MJ, Symms MR, Boulby PA, Salek-Haddadi A, Thompson PJ, Duncan JS, Richardson MP",NeuroImage,0.525,15927485,-1,-1
encoding_00007,https://pubmed.ncbi.nlm.nih.gov/9620697/,Hemispheric specialization in human dorsal frontal cortex and medial temporal lobe for verbal and nonverbal memory encoding.,"Kelley WM, Miezin FM, McDermott KB, Buckner RL, Raichle ME, Cohen NJ, Ollinger JM, Akbudak E, Conturo TE, Snyder AZ, Petersen SE",Neuron,0.511,9620697,-1,-1
encoding_00008,https://pubmed.ncbi.nlm.nih.gov/22042493/,The relationship between level of processing and hippocampal-cortical functional  connectivity during episodic memory formation in humans.,"Schott BH, Wustenberg T, Wimber M, Fenker DB, Zierhut KC, Seidenbecher CI, Heinze HJ, Walter H, Duzel E, Richardson-Klavehn A",Human brain mapping,0.478,22042493,-1,-1
encoding_00009,https://pubmed.ncbi.nlm.nih.gov/17123479/,Levels-of-processing effects in first-degree relatives of individuals with schizophrenia.,"Bonner-Jackson A, Csernansky JG, Barch DM",Biological psychiatry,0.467,17123479,-1,-1
encoding_00010,https://pubmed.ncbi.nlm.nih.gov/24315838/,Dissociable roles of default-mode regions during episodic encoding.,"Maillet D, Rajah MN",NeuroImage,0.466,24315838,-1,-1
encoding_00011,https://pubmed.ncbi.nlm.nih.gov/20162599/,Differential effects of semantic processing on memory encoding.,"Fliessbach K, Buerger C, Trautner P, Elger CE, Weber B",Human brain mapping,0.461,20162599,-1,-1
encoding_00012,https://pubmed.ncbi.nlm.nih.gov/26635557/,Incidental Memory Encoding Assessed with Signal Detection Theory and Functional Magnetic Resonance Imaging (fMRI).,"Clemens B, Regenbogen C, Koch K, Backes V, Romanczuk-Seiferth N, Pauly K, Shah NJ, Schneider F, Habel U, Kellermann T",Frontiers in behavioral neuroscience,0.461,26635557,-1,-1
encoding_00013,https://pubmed.ncbi.nlm.nih.gov/25272154/,A model for visual memory encoding.,"Nenert R, Allendorfer JB, Szaflarski JP",PloS one,0.452,25272154,-1,-1
encoding_00014,https://pubmed.ncbi.nlm.nih.gov/10600999/,The effects of age on the neural correlates of episodic encoding.,"Grady CL, McIntosh AR, Rajah MN, Beig S, Craik FI","Cerebral cortex (New York, N.Y. : 1991)",0.448,10600999,-1,-1
encoding_00015,https://pubmed.ncbi.nlm.nih.gov/10666559/,Functional asymmetry of human prefrontal cortex in verbal and non-verbal episodic memory as revealed by fMRI.,"Iidaka T, Sadato N, Yamada H, Yonekura Y",Brain research. Cognitive brain research,0.445,10666559,-1,-1
encoding_00016,https://pubmed.ncbi.nlm.nih.gov/17572110/,Negative words enhance recognition in nonclinical high dissociators: An fMRI study.,"de Ruiter MB, Veltman DJ, Phaf RH, van Dyck R",NeuroImage,0.442,17572110,-1,-1
encoding_00017,https://pubmed.ncbi.nlm.nih.gov/12417678/,Neural correlates of successful encoding identified using functional magnetic resonance imaging.,"Reber PJ, Siwiec RM, Gitelman DR, Parrish TB, Mesulam MM, Paller KA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.434,12417678,-1,-1
encoding_00018,https://pubmed.ncbi.nlm.nih.gov/18790618/,Episodic memory in schizophrenia: the influence of strategy use on behavior and brain activation.,"Bonner-Jackson A, Yodkovik N, Csernansky JG, Barch DM",Psychiatry research,0.434,18790618,-1,-1
encoding_00019,https://pubmed.ncbi.nlm.nih.gov/11923436/,Neural correlates of encoding space from route and survey perspectives.,"Shelton AL, Gabrieli JD",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.426,11923436,-1,-1
encoding_00020,https://pubmed.ncbi.nlm.nih.gov/18489966/,An fMRI study of verbal episodic memory encoding in amnestic mild cognitive impairment.,"Dannhauser TM, Shergill SS, Stevens T, Lee L, Seal M, Walker RW, Walker Z",Cortex; a journal devoted to the study of the nervous system and behavior,0.423,18489966,-1,-1
encoding_00021,https://pubmed.ncbi.nlm.nih.gov/15537676/,Ketamine disrupts frontal and hippocampal contribution to encoding and retrieval  of episodic memory: an fMRI study.,"Honey GD, Honey RA, O'Loughlin C, Sharar SR, Kumaran D, Suckling J, Menon DK, Sleator C, Bullmore ET, Fletcher PC","Cerebral cortex (New York, N.Y. : 1991)",0.421,15537676,10.1093/cercor/bhh176,-1
encoding_00022,https://pubmed.ncbi.nlm.nih.gov/16051501/,The reliability of fMRI activations in the medial temporal lobes in a verbal episodic memory task.,"Wagner K, Frings L, Quiske A, Unterrainer J, Schwarzwald R, Spreer J, Halsband U, Schulze-Bonhage A",NeuroImage,0.408,16051501,10.1016/j.neuroimage.2005.06.005,-1
encoding_00023,https://pubmed.ncbi.nlm.nih.gov/28139957/,Differential Effects of Encoding Instructions on Brain Activity Patterns of Item  and Associative Memory.,"Becker N, Kalpouzos G, Persson J, Laukka EJ, Brehmer Y",Journal of cognitive neuroscience,0.407,28139957,10.1162/jocn_a_01062,-1
encoding_00024,https://pubmed.ncbi.nlm.nih.gov/19103254/,Differential activation of face memory encoding tasks in alcohol-dependent patients compared to healthy subjects: an fMRI study.,"Yoon HW, Chung JY, Oh JH, Min HK, Kim DJ, Cheon Y, Joe KH, Kim YB, Cho ZH",Neuroscience letters,0.401,19103254,-1,-1
encoding_00025,https://pubmed.ncbi.nlm.nih.gov/28202612/,Transformed Neural Pattern Reinstatement during Episodic Memory Retrieval.,"Xiao X, Dong Q, Gao J, Men W, Poldrack RA, Xue G",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.397,28202612,-1,-1
encoding_00026,https://pubmed.ncbi.nlm.nih.gov/15050572/,Item- and task-level processes in the left inferior prefrontal cortex: positive and negative correlates of encoding.,"Reynolds JR, Donaldson DI, Wagner AD, Braver TS",NeuroImage,0.392,15050572,-1,-1
encoding_00027,https://pubmed.ncbi.nlm.nih.gov/24688464/,"Differential hippocampal and retrosplenial involvement in egocentric-updating, rotation, and allocentric processing during online spatial encoding: an fMRI study.","Gomez A, Cerles M, Rousset S, Remy C, Baciu M",Frontiers in human neuroscience,0.392,24688464,-1,-1
encoding_00028,https://pubmed.ncbi.nlm.nih.gov/17112745/,Performance on an episodic encoding task yields further insight into functional brain development.,"McAuley T, Brahmbhatt S, Barch DM",NeuroImage,0.39,17112745,-1,-1
encoding_00029,https://pubmed.ncbi.nlm.nih.gov/19882649/,Neural correlates of the spacing effect in explicit verbal semantic encoding support the deficient-processing theory.,"Callan DE, Schweighofer N",Human brain mapping,0.379,19882649,-1,-1
encoding_00030,https://pubmed.ncbi.nlm.nih.gov/18675364/,Testosterone biases automatic memory processes in women towards potential mates.,"van Wingen G, Mattern C, Verkes RJ, Buitelaar J, Fernandez G",NeuroImage,0.378,18675364,-1,-1
encoding_00031,https://pubmed.ncbi.nlm.nih.gov/23149036/,Altered brain function underlying verbal memory encoding and retrieval in psychotic major depression.,"Kelley R, Garrett A, Cohen J, Gomez R, Lembke A, Keller J, Reiss AL, Schatzberg A",Psychiatry research,0.378,23149036,-1,-1
encoding_00032,https://pubmed.ncbi.nlm.nih.gov/26845110/,Assessing the Neural Correlates of Task-unrelated Thoughts during Episodic Encoding and Their Association with Subsequent Memory in Young and Older Adults.,"Maillet D, Rajah MN",Journal of cognitive neuroscience,0.378,26845110,-1,-1
encoding_00033,https://pubmed.ncbi.nlm.nih.gov/20702070/,The role of hippocampus dysfunction in deficient memory encoding and positive symptoms in schizophrenia.,"Zierhut K, Bogerts B, Schott B, Fenker D, Walter M, Albrecht D, Steiner J, Schutze H, Northoff G, Duzel E, Schiltz K",Psychiatry research,0.376,20702070,-1,-1
encoding_00034,https://pubmed.ncbi.nlm.nih.gov/11157567/,Depth of processing effects on neural correlates of memory encoding: relationship between findings from across- and within-task comparisons.,"Otten LJ, Henson RN, Rugg MD",Brain : a journal of neurology,0.375,11157567,-1,-1
encoding_00035,https://pubmed.ncbi.nlm.nih.gov/16525800/,Precuneus is involved in allocentric spatial location encoding and recognition.,"Frings L, Wagner K, Quiske A, Schwarzwald R, Spreer J, Halsband U, Schulze-Bonhage A",Experimental brain research,0.375,16525800,-1,-1
encoding_00036,https://pubmed.ncbi.nlm.nih.gov/19647800/,Overlapping brain activity between episodic memory encoding and retrieval: roles  of the task-positive and task-negative networks.,"Kim H, Daselaar SM, Cabeza R",NeuroImage,0.375,19647800,-1,-1
encoding_00037,https://pubmed.ncbi.nlm.nih.gov/20363808/,What goes down must come up: role of the posteromedial cortices in encoding and retrieval.,"Vannini P, O'Brien J, O'Keefe K, Pihlajamaki M, Laviolette P, Sperling RA","Cerebral cortex (New York, N.Y. : 1991)",0.373,20363808,-1,-1
encoding_00038,https://pubmed.ncbi.nlm.nih.gov/17716696/,Effects of aging on true and false memory formation: an fMRI study.,"Dennis NA, Kim H, Cabeza R",Neuropsychologia,0.371,17716696,-1,-1
encoding_00039,https://pubmed.ncbi.nlm.nih.gov/22855822/,Opposing effects of aging on large-scale brain systems for memory encoding and cognitive control.,"Salami A, Eriksson J, Nyberg L",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.37,22855822,-1,-1
encoding_00040,https://pubmed.ncbi.nlm.nih.gov/19181696/,From phonemes to articulatory codes: an fMRI study of the role of Broca's area in speech production.,"Papoutsi M, de Zwart JA, Jansma JM, Pickering MJ, Bednar JA, Horwitz B","Cerebral cortex (New York, N.Y. : 1991)",0.369,19181696,-1,-1
encoding_00041,https://pubmed.ncbi.nlm.nih.gov/17113672/,Motor brain regions are involved in the encoding of delayed intentions: a fMRI study.,"Eschen A, Freeman J, Dietrich T, Martin M, Ellis J, Martin E, Kliegel M",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.368,17113672,10.1016/j.ijpsycho.2006.09.005,-1
encoding_00042,https://pubmed.ncbi.nlm.nih.gov/20832483/,Process-specific prefrontal contributions to episodic encoding and retrieval of tastes: a functional NIRS study.,"Okamoto M, Wada Y, Yamaguchi Y, Kyutoku Y, Clowney L, Singh AK, Dan I",NeuroImage,0.365,20832483,-1,-1
encoding_00043,https://pubmed.ncbi.nlm.nih.gov/24568865/,Unraveling Brain Functional Connectivity of encoding and retrieval in the context of education.,"Panda R, Bharath RD, George L, Kanungo S, Reddy RP, Upadhyay N, Thamodharan A, Rajeshwaran J, Rao SL, Gupta AK",Brain and cognition,0.362,24568865,-1,-1
encoding_00044,https://pubmed.ncbi.nlm.nih.gov/29301874/,Locus Coeruleus Activity Strengthens Prioritized Memories Under Arousal.,"Clewett DV, Huang R, Velasco R, Lee TH, Mather M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.361,29301874,-1,-1
encoding_00045,https://pubmed.ncbi.nlm.nih.gov/17707869/,Inefficient executive cognitive control in schizophrenia is preceded by altered functional activation during information encoding: an fMRI study.,"Schlosser RG, Koch K, Wagner G, Nenadic I, Roebel M, Schachtzabel C, Axer M, Schultz C, Reichenbach JR, Sauer H",Neuropsychologia,0.359,17707869,-1,-1
encoding_00046,https://pubmed.ncbi.nlm.nih.gov/21935483/,The effect of negative and positive emotionality on associative memory: an FMRI study.,"Okada G, Okamoto Y, Kunisato Y, Aoyama S, Nishiyama Y, Yoshimura S, Onoda K, Toki S, Yamashita H, Yamawaki S",PloS one,0.355,21935483,-1,-1
encoding_00047,https://pubmed.ncbi.nlm.nih.gov/17204822/,Recollection and the reinstatement of encoding-related cortical activity.,"Johnson JD, Rugg MD","Cerebral cortex (New York, N.Y. : 1991)",0.353,17204822,-1,-1
encoding_00048,https://pubmed.ncbi.nlm.nih.gov/28282414/,"Cognitive control, attention, and the other race effect in memory.","Brown TI, Uncapher MR, Chow TE, Eberhardt JL, Wagner AD",PloS one,0.35,28282414,-1,-1
encoding_00049,https://pubmed.ncbi.nlm.nih.gov/15953711/,Age-related reorganization of encoding networks directly influences subsequent recognition memory.,"Tisserand DJ, McIntosh AR, van der Veen FM, Backes WH, Jolles J",Brain research. Cognitive brain research,0.349,15953711,-1,-1
encoding_00050,https://pubmed.ncbi.nlm.nih.gov/26441560/,Superior memorizers employ different neural networks for encoding and recall.,"Mallow J, Bernarding J, Luchtmann M, Bethmann A, Brechmann A",Frontiers in systems neuroscience,0.348,26441560,-1,-1
encoding_00051,https://pubmed.ncbi.nlm.nih.gov/17088375/,Fragments of a larger whole: retrieval cues constrain observed neural correlates  of memory encoding.,Otten LJ,"Cerebral cortex (New York, N.Y. : 1991)",0.347,17088375,-1,-1
encoding_00052,https://pubmed.ncbi.nlm.nih.gov/12595197/,Emotional context modulates subsequent memory effect.,"Erk S, Kiefer M, Grothe J, Wunderlich AP, Spitzer M, Walter H",NeuroImage,0.345,12595197,-1,-1
encoding_00053,https://pubmed.ncbi.nlm.nih.gov/19803684/,Dissociable roles of the anterior temporal regions in successful encoding of memory for person identity information.,"Tsukiura T, Mano Y, Sekiguchi A, Yomogida Y, Hoshi K, Kambara T, Takeuchi H, Sugiura M, Kawashima R",Journal of cognitive neuroscience,0.343,19803684,-1,-1
encoding_00054,https://pubmed.ncbi.nlm.nih.gov/20060480/,Neural correlates of episodic retrieval: an fMRI study of the part-list cueing effect.,"Crescentini C, Shallice T, Del Missier F, Macaluso E",NeuroImage,0.343,20060480,-1,-1
encoding_00055,https://pubmed.ncbi.nlm.nih.gov/19720071/,Dissociation of the neural correlates of visual and auditory contextual encoding.,"Gottlieb LJ, Uncapher MR, Rugg MD",Neuropsychologia,0.34,19720071,-1,-1
