paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
error_00001,https://pubmed.ncbi.nlm.nih.gov/17185003/,Neural correlates of error awareness.,"Klein TA, Endrass T, Kathmann N, Neumann J, von Cramon DY, Ullsperger M",NeuroImage,0.699,17185003,-1,-1
error_00002,https://pubmed.ncbi.nlm.nih.gov/29477415/,Strength of resting-state functional connectivity associated with performance-adjustment ability.,"Kim J, Kang E",Behavioural brain research,0.693,29477415,-1,-1
error_00003,https://pubmed.ncbi.nlm.nih.gov/20883800/,Error processing network dynamics in schizophrenia.,"Becerril KE, Repovs G, Barch DM",NeuroImage,0.666,20883800,-1,-1
error_00004,https://pubmed.ncbi.nlm.nih.gov/23349222/,Involvement of human internal globus pallidus in the early modulation of cortical error-related activity.,"Herrojo Ruiz M, Huebl J, Schonecker T, Kupsch A, Yarrow K, Krauss JK, Schneider GH, Kuhn AA","Cerebral cortex (New York, N.Y. : 1991)",0.661,23349222,-1,-1
error_00005,https://pubmed.ncbi.nlm.nih.gov/16024258/,Neural mechanisms involved in error processing: a comparison of errors made with  and without awareness.,"Hester R, Foxe JJ, Molholm S, Shpaner M, Garavan H",NeuroImage,0.658,16024258,-1,-1
error_00006,https://pubmed.ncbi.nlm.nih.gov/20203206/,Error effects in anterior cingulate cortex reverse when error likelihood is high.,"Jessup RK, Busemeyer JR, Brown JW",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.647,20203206,-1,-1
error_00007,https://pubmed.ncbi.nlm.nih.gov/22723775/,Error-related anterior cingulate cortex activity and the prediction of conscious  error awareness.,"Orr C, Hester R",Frontiers in human neuroscience,0.62,22723775,-1,-1
error_00008,https://pubmed.ncbi.nlm.nih.gov/20026225/,The neural basis of agency: an fMRI study.,"Yomogida Y, Sugiura M, Sassa Y, Wakusawa K, Sekiguchi A, Fukushima A, Takeuchi H, Horie K, Sato S, Kawashima R",NeuroImage,0.61,20026225,-1,-1
error_00009,https://pubmed.ncbi.nlm.nih.gov/23162047/,Methylphenidate enhances executive function and optimizes prefrontal function in  both health and cocaine addiction.,"Moeller SJ, Honorio J, Tomasi D, Parvaz MA, Woicik PA, Volkow ND, Goldstein RZ","Cerebral cortex (New York, N.Y. : 1991)",0.557,23162047,-1,-1
error_00010,https://pubmed.ncbi.nlm.nih.gov/20861380/,Post-error behavioral adjustments are facilitated by activation and suppression of task-relevant and task-irrelevant information processing.,"King JA, Korb FM, von Cramon DY, Ullsperger M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.52,20861380,10.1523/JNEUROSCI.3274-10.2010,-1
error_00011,https://pubmed.ncbi.nlm.nih.gov/20851194/,Impaired error-likelihood prediction in medial prefrontal cortex in schizophrenia.,"Krawitz A, Braver TS, Barch DM, Brown JW",NeuroImage,0.51,20851194,-1,-1
error_00012,https://pubmed.ncbi.nlm.nih.gov/15182316/,Neural correlates of error detection and error correction: is there a common neuroanatomical substrate?,"Fiehler K, Ullsperger M, von Cramon DY",The European journal of neuroscience,0.508,15182316,-1,-1
error_00013,https://pubmed.ncbi.nlm.nih.gov/20600968/,Error detection in the stop signal task.,"Chevrier A, Schachar RJ",NeuroImage,0.507,20600968,-1,-1
error_00014,https://pubmed.ncbi.nlm.nih.gov/26739226/,Reward value enhances post-decision error-related activity in the cingulate cortex.,"Taylor JE, Ogawa A, Sakagami M",Neuroscience research,0.489,26739226,-1,-1
error_00015,https://pubmed.ncbi.nlm.nih.gov/18158315/,Reduced error-related activation in two anterior cingulate circuits is related to impaired performance in schizophrenia.,"Polli FE, Barton JJ, Thakkar KN, Greve DN, Goff DC, Rauch SL, Manoach DS",Brain : a journal of neurology,0.487,18158315,-1,-1
error_00016,https://pubmed.ncbi.nlm.nih.gov/18584891/,Error processing during online motor control depends on the response accuracy.,"Gallea C, Graaf JB, Pailhous J, Bonnard M",Behavioural brain research,0.486,18584891,-1,-1
error_00017,https://pubmed.ncbi.nlm.nih.gov/16611823/,Medial frontal cortex activity and loss-related responses to errors.,"Taylor SF, Martis B, Fitzgerald KD, Welsh RC, Abelson JL, Liberzon I, Himle JA, Gehring WJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.482,16611823,-1,-1
