paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
estimation_00001,https://pubmed.ncbi.nlm.nih.gov/15734346/,Tactile estimation of the roughness of gratings yields a graded response in the human brain: an fMRI study.,"Kitada R, Hashimoto T, Kochiyama T, Kito T, Okada T, Matsumura M, Lederman SJ, Sadato N",NeuroImage,0.772,15734346,-1,-1
estimation_00002,https://pubmed.ncbi.nlm.nih.gov/16828717/,Exact and approximate judgements of visual and auditory numerosity: an fMRI study.,"Piazza M, Mechelli A, Price CJ, Butterworth B",Brain research,0.549,16828717,10.1016/j.brainres.2006.05.104,-1
estimation_00003,https://pubmed.ncbi.nlm.nih.gov/16434066/,Bias in magnitude estimation following left hemisphere injury.,"Woods AJ, Mennemeier M, Garcia-Rill E, Meythaler J, Mark VW, Jewel GR, Murphy H",Neuropsychologia,0.484,16434066,10.1016/j.neuropsychologia.2005.12.006,-1
estimation_00004,https://pubmed.ncbi.nlm.nih.gov/21329758/,A data-driven framework for neural field modeling.,"Freestone DR, Aram P, Dewar M, Scerri K, Grayden DB, Kadirkamanathan V",NeuroImage,0.476,21329758,10.1016/j.neuroimage.2011.02.027,-1
estimation_00005,https://pubmed.ncbi.nlm.nih.gov/15852471/,Neural network involved in time perception: an fMRI study comparing long and short interval estimation.,"Pouthas V, George N, Poline JB, Pfeuty M, Vandemoorteele PF, Hugueville L, Ferrandez AM, Lehericy S, Lebihan D, Renault B",Human brain mapping,0.446,15852471,-1,-1
estimation_00006,https://pubmed.ncbi.nlm.nih.gov/23416146/,Overlapping and distinct brain regions involved in estimating the spatial position of numerical and non-numerical magnitudes: an fMRI study.,"Vogel SE, Grabner RH, Schneider M, Siegler RS, Ansari D",Neuropsychologia,0.421,23416146,-1,-1
estimation_00007,https://pubmed.ncbi.nlm.nih.gov/27262239/,How reliable are MEG resting-state connectivity metrics?,"Colclough GL, Woolrich MW, Tewarie PK, Brookes MJ, Quinn AJ, Smith SM",NeuroImage,0.405,27262239,-1,-1
estimation_00008,https://pubmed.ncbi.nlm.nih.gov/19940175/,Three stages and four neural systems in time estimation.,"Morillon B, Kell CA, Giraud AL",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.402,19940175,-1,-1
estimation_00009,https://pubmed.ncbi.nlm.nih.gov/24639374/,Neural substrates of numerosity estimation in autism.,"Meaux E, Taylor MJ, Pang EW, Vara AS, Batty M",Human brain mapping,0.336,24639374,-1,-1
estimation_00010,https://pubmed.ncbi.nlm.nih.gov/25887262/,Dissociating estimation from comparison and response eliminates parietal involvement in sequential numerosity perception.,"Cavdaroglu S, Katz C, Knops A",NeuroImage,0.33,25887262,-1,-1
estimation_00011,https://pubmed.ncbi.nlm.nih.gov/21041067/,Functional neural networks of time perception: challenge and opportunity for schizophrenia research.,"Ortuno F, Guillen-Grima F, Lopez-Garcia P, Gomez J, Pla J",Schizophrenia research,0.291,21041067,-1,-1
estimation_00012,https://pubmed.ncbi.nlm.nih.gov/22750720/,Give it time: neural evidence for distorted time perception and enhanced memory encoding in emotional situations.,"Dirnberger G, Hesselmann G, Roiser JP, Preminger S, Jahanshahi M, Paz R",NeuroImage,0.291,22750720,10.1016/j.neuroimage.2012.06.041,-1
estimation_00013,https://pubmed.ncbi.nlm.nih.gov/28727850/,Hybrid Cubature Kalman filtering for identifying nonlinear models from sampled recording: Estimation of neuronal dynamics.,"Madi MK, Karameh FN",PloS one,0.286,28727850,10.1371/journal.pone.0181513,-1
estimation_00014,https://pubmed.ncbi.nlm.nih.gov/12781723/,Multimodal integration of high-resolution EEG and functional magnetic resonance imaging data: a simulation study.,"Babiloni F, Babiloni C, Carducci F, Romani GL, Rossini PM, Angelone LM, Cincotti F",NeuroImage,0.283,12781723,10.1016/s1053-8119(03)00052-1,-1
