paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
evaluations_00001,https://pubmed.ncbi.nlm.nih.gov/24582805/,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,"Jankowski KF, Moore WE, Merchant JS, Kahn LE, Pfeifer JH",Developmental cognitive neuroscience,0.644,24582805,-1,-1
evaluations_00002,https://pubmed.ncbi.nlm.nih.gov/23616547/,Longitudinal change in the neural bases of adolescent social self-evaluations: effects of age and pubertal development.,"Pfeifer JH, Kahn LE, Merchant JS, Peake SJ, Veroude K, Masten CL, Lieberman MD, Mazziotta JC, Dapretto M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.533,23616547,-1,-1
evaluations_00003,https://pubmed.ncbi.nlm.nih.gov/21382353/,Neural correlates of evaluations of lying and truth-telling in different social contexts.,"Wu D, Loke IC, Xu F, Lee K",Brain research,0.452,21382353,-1,-1
evaluations_00004,https://pubmed.ncbi.nlm.nih.gov/21948955/,Attitudes trigger motor behavior through conditioned associations: neural and behavioral evidence.,"McCall C, Tipper CM, Blascovich J, Grafton ST",Social cognitive and affective neuroscience,0.442,21948955,-1,-1
evaluations_00005,https://pubmed.ncbi.nlm.nih.gov/19925187/,Roles of medial prefrontal cortex and orbitofrontal cortex in self-evaluation.,"Beer JS, Lombardo MV, Bhanji JP",Journal of cognitive neuroscience,0.433,19925187,-1,-1
evaluations_00006,https://pubmed.ncbi.nlm.nih.gov/20051318/,Differential processing of metacognitive evaluation and the neural circuitry of the self and others in schizophrenia: a pilot study.,"Murphy ER, Brent BK, Benton M, Pruitt P, Diwadkar V, Rajarethinam RP, Keshavan MS",Schizophrenia research,0.417,20051318,-1,-1
evaluations_00007,https://pubmed.ncbi.nlm.nih.gov/23136406/,Dorsomedial prefrontal cortex mediates rapid evaluations predicting the outcome of romantic interactions.,"Cooper JC, Dunne S, Furey T, O'Doherty JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.377,23136406,-1,-1
evaluations_00008,https://pubmed.ncbi.nlm.nih.gov/19015101/,Learning affective values for faces is expressed in amygdala and fusiform gyrus.,"Petrovic P, Kalisch R, Pessiglione M, Singer T, Dolan RJ",Social cognitive and affective neuroscience,0.325,19015101,-1,-1
evaluations_00009,https://pubmed.ncbi.nlm.nih.gov/24038968/,Pre-existing brain states predict aesthetic judgments.,"Colas JT, Hsieh PJ",Human brain mapping,0.319,24038968,-1,-1
evaluations_00010,https://pubmed.ncbi.nlm.nih.gov/22391476/,Self-esteem modulates dorsal anterior cingulate cortical response in self-referential processing.,"Yang J, Dedovic K, Chen W, Zhang Q",Neuropsychologia,0.256,22391476,-1,-1
evaluations_00011,https://pubmed.ncbi.nlm.nih.gov/23446840/,Neural mechanisms underlying the integration of situational information into attribution outcomes.,"Brosch T, Schiller D, Mojdehbakhsh R, Uleman JS, Phelps EA",Social cognitive and affective neuroscience,0.232,23446840,-1,-1
evaluations_00012,https://pubmed.ncbi.nlm.nih.gov/25640962/,Feeling addressed! The role of body orientation and co-speech gesture in social communication.,"Nagels A, Kircher T, Steines M, Straube B",Human brain mapping,0.231,25640962,-1,-1
evaluations_00013,https://pubmed.ncbi.nlm.nih.gov/15193625/,"Metacognitive evaluation, self-relevance, and the right prefrontal cortex.","Schmitz TW, Kawahara-Baccus TN, Johnson SC",NeuroImage,0.222,15193625,-1,-1
evaluations_00014,https://pubmed.ncbi.nlm.nih.gov/23719802/,"Dissociable neural modulation underlying lasting first impressions, changing your mind for the better, and changing it for the worse.","Bhanji JP, Beer JS",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.214,23719802,-1,-1
evaluations_00015,https://pubmed.ncbi.nlm.nih.gov/23754994/,"Visual avoidance in phobia: particularities in neural activity, autonomic responding, and cognitive risk evaluations.","Aue T, Hoeppli ME, Piguet C, Sterpenich V, Vuilleumier P",Frontiers in human neuroscience,0.189,23754994,-1,-1
evaluations_00016,https://pubmed.ncbi.nlm.nih.gov/22287265/,Why are you looking like that? How the context influences evaluation and processing of human faces.,"Schwarz KA, Wieser MJ, Gerdes AB, Muhlberger A, Pauli P",Social cognitive and affective neuroscience,0.185,22287265,-1,-1
evaluations_00017,https://pubmed.ncbi.nlm.nih.gov/26995787/,Lies that feel honest: Dissociating between incentive and deviance processing when evaluating dishonesty.,"Lelieveld GJ, Shalvi S, Crone EA",Biological psychology,0.171,26995787,-1,-1
evaluations_00018,https://pubmed.ncbi.nlm.nih.gov/29197726/,The neural signature of self-concept development in adolescence: The role of domain and valence distinctions.,"van der Cruijsen R, Peters S, van der Aar LPE, Crone EA",Developmental cognitive neuroscience,0.17,29197726,-1,-1
evaluations_00019,https://pubmed.ncbi.nlm.nih.gov/24086409/,Medial prefrontal cortex activation is commonly invoked by reputation of self and romantic partners.,"Kawamichi H, Sasaki AT, Matsunaga M, Yoshihara K, Takahashi HK, Tanabe HC, Sadato N",PloS one,0.167,24086409,10.1371/journal.pone.0074958,-1
evaluations_00020,https://pubmed.ncbi.nlm.nih.gov/28759780/,"Neural correlates of evaluating self and close-other in physical, academic and prosocial domains.","van der Cruijsen R, Peters S, Crone EA",Brain and cognition,0.153,28759780,10.1016/j.bandc.2017.07.008,-1
evaluations_00021,https://pubmed.ncbi.nlm.nih.gov/27148024/,A Neural Mechanism of Preference Shifting Under Zero Price Condition.,"Votinov M, Aso T, Fukuyama H, Mima T",Frontiers in human neuroscience,0.151,27148024,-1,-1
evaluations_00022,https://pubmed.ncbi.nlm.nih.gov/16490367/,Affective response to one's own moral violations.,"Berthoz S, Grezes J, Armony JL, Passingham RE, Dolan RJ",NeuroImage,0.15,16490367,-1,-1
evaluations_00023,https://pubmed.ncbi.nlm.nih.gov/17208462/,Neural evidence for Reference-dependence in real-market-transactions.,"Weber B, Aholt A, Neuhaus C, Trautner P, Elger CE, Teichert T",NeuroImage,0.146,17208462,-1,-1
evaluations_00024,https://pubmed.ncbi.nlm.nih.gov/25143614/,Anterior insula activity reflects the effects of intentionality on the anticipation of aversive stimulation.,"Liljeholm M, Dunne S, O'Doherty JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.143,25143614,-1,-1
evaluations_00025,https://pubmed.ncbi.nlm.nih.gov/19184995/,Strength of prefrontal activation predicts intensity of suggestion-induced pain.,"Raij TT, Numminen J, Narvanen S, Hiltunen J, Hari R",Human brain mapping,0.142,19184995,-1,-1
evaluations_00026,https://pubmed.ncbi.nlm.nih.gov/22079451/,Self-face evaluation and self-esteem in young females: an fMRI study using contrast effect.,"Oikawa H, Sugiura M, Sekiguchi A, Tsukiura T, Miyauchi CM, Hashimoto T, Takano-Yamamoto T, Kawashima R",NeuroImage,0.141,22079451,-1,-1
evaluations_00027,https://pubmed.ncbi.nlm.nih.gov/23859650/,Rejection sensitivity polarizes striatal-medial prefrontal activity when anticipating social feedback.,"Powers KE, Somerville LH, Kelley WM, Heatherton TF",Journal of cognitive neuroscience,0.141,23859650,-1,-1
evaluations_00028,https://pubmed.ncbi.nlm.nih.gov/23428568/,Food labels promote healthy choices by a decision bias in the amygdala.,"Grabenhorst F, Schulte FP, Maderwald S, Brand M",NeuroImage,0.139,23428568,-1,-1
evaluations_00029,https://pubmed.ncbi.nlm.nih.gov/16446032/,Racial distinction of the unknown facial identity recognition mechanism by event-related fMRI.,"Kim JS, Yoon HW, Kim BS, Jeun SS, Jung SL, Choe BY",Neuroscience letters,0.135,16446032,-1,-1
evaluations_00030,https://pubmed.ncbi.nlm.nih.gov/19015084/,Gender differences in neural mechanisms underlying moral sensitivity.,"Harenski CL, Antonenko O, Shane MS, Kiehl KA",Social cognitive and affective neuroscience,0.134,19015084,-1,-1
evaluations_00031,https://pubmed.ncbi.nlm.nih.gov/27477020/,Self-Other Mergence in the Frontal Cortex during Cooperation and Competition.,"Wittmann MK, Kolling N, Faber NS, Scholl J, Nelissen N, Rushworth MF",Neuron,0.133,27477020,-1,-1
evaluations_00032,https://pubmed.ncbi.nlm.nih.gov/28659776/,Cholinergic Potentiation and Audiovisual Repetition-Imitation Therapy Improve Speech Production and Communication Deficits in a Person with Crossed Aphasia by  Inducing Structural Plasticity in White,"Berthier ML, De-Torres I, Paredes-Pacheco J, Roe-Vellve N, Thurnhofer-Hemsi K, Torres-Prioris MJ, Alfaro F, Moreno-Torres I, Lopez-Barroso D, Davila G",Frontiers in human neuroscience,0.127,28659776,-1,-1
