paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
events_00001,https://pubmed.ncbi.nlm.nih.gov/19041331/,Constructive episodic simulation of the future and the past: distinct subsystems  of a core brain network mediate imagining and remembering.,"Addis DR, Pan L, Vu MA, Laiser N, Schacter DL",Neuropsychologia,0.645,19041331,-1,-1
events_00002,https://pubmed.ncbi.nlm.nih.gov/18820289/,Event congruency enhances episodic memory encoding through semantic elaboration and relational binding.,"Staresina BP, Gray JC, Davachi L","Cerebral cortex (New York, N.Y. : 1991)",0.601,18820289,-1,-1
events_00003,https://pubmed.ncbi.nlm.nih.gov/26658926/,Neural correlates of event clusters in past and future thoughts: How the brain integrates specific episodes with autobiographical knowledge.,"Demblon J, Bahri MA, D'Argembeau A",NeuroImage,0.574,26658926,-1,-1
events_00004,https://pubmed.ncbi.nlm.nih.gov/23567883/,Dissociable roles of ventromedial prefrontal cortex (vmPFC) and rostral anterior  cingulate cortex (rACC) in value representation and optimistic bias.,"Blair KS, Otero M, Teng C, Jacobs M, Odenheimer S, Pine DS, Blair RJ",NeuroImage,0.511,23567883,-1,-1
events_00005,https://pubmed.ncbi.nlm.nih.gov/29395916/,Reversible Silencing of the Frontopolar Cortex Selectively Impairs Metacognitive  Judgment on Non-experience in Primates.,"Miyamoto K, Setsuie R, Osada T, Miyashita Y",Neuron,0.463,29395916,-1,-1
events_00006,https://pubmed.ncbi.nlm.nih.gov/24960045/,The neural basis of temporal order processing in past and future thought.,"D'Argembeau A, Jeunehomme O, Majerus S, Bastin C, Salmon E",Journal of cognitive neuroscience,0.453,24960045,-1,-1
events_00007,https://pubmed.ncbi.nlm.nih.gov/22819309/,Where the brain appreciates the final state of an event: the neural correlates of telicity.,"Romagno D, Rota G, Ricciardi E, Pietrini P",Brain and language,0.432,22819309,-1,-1
events_00008,https://pubmed.ncbi.nlm.nih.gov/15593271/,A supramodal limbic-paralimbic-neocortical network supports goal-directed stimulus processing.,"Laurens KR, Kiehl KA, Liddle PF",Human brain mapping,0.404,15593271,-1,-1
events_00009,https://pubmed.ncbi.nlm.nih.gov/18973817/,Cortical midline involvement in autobiographical memory.,"Summerfield JJ, Hassabis D, Maguire EA",NeuroImage,0.394,18973817,-1,-1
events_00010,https://pubmed.ncbi.nlm.nih.gov/22030268/,Are historic years understood as numbers or events? An fMRI study of numbers with semantic associations.,"Gullick MM, Temple E",Brain and cognition,0.394,22030268,10.1016/j.bandc.2011.09.004,-1
