paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
externally_00001,https://pubmed.ncbi.nlm.nih.gov/20722715/,Dissociating the role of the caudate nucleus and dorsolateral prefrontal cortex in the monitoring of events within human working memory.,"Provost JS, Petrides M, Monchi O",The European journal of neuroscience,0.465,20722715,-1,-1
externally_00002,https://pubmed.ncbi.nlm.nih.gov/17060367/,Watching your foot move--an fMRI study of visuomotor interactions during foot movement.,"Christensen MS, Lundbye-Jensen J, Petersen N, Geertsen SS, Paulson OB, Nielsen JB","Cerebral cortex (New York, N.Y. : 1991)",0.353,17060367,-1,-1
externally_00003,https://pubmed.ncbi.nlm.nih.gov/19302163/,Basal ganglia and frontal involvement in self-generated and externally-triggered  finger movements in the dominant and non-dominant hand.,"Francois-Brosseau FE, Martinu K, Strafella AP, Petrides M, Simard F, Monchi O",The European journal of neuroscience,0.321,19302163,10.1111/j.1460-9568.2009.06671.x,-1
externally_00004,https://pubmed.ncbi.nlm.nih.gov/27107470/,Similar coding of freely chosen and externally cued intentions in a fronto-parietal network.,"Wisniewski D, Goschke T, Haynes JD",NeuroImage,0.319,27107470,10.1016/j.neuroimage.2016.04.044,-1
externally_00005,https://pubmed.ncbi.nlm.nih.gov/22480693/,Self-paced and externally triggered rhythmical lower limb movements: a functional MRI study.,"Toyomura A, Shibata M, Kuriki S",Neuroscience letters,0.315,22480693,-1,-1
externally_00006,https://pubmed.ncbi.nlm.nih.gov/16990015/,Contribution of the frontal lobe to externally and internally specified verbal responses: fMRI evidence.,"Tremblay P, Gracco VL",NeuroImage,0.314,16990015,-1,-1
externally_00007,https://pubmed.ncbi.nlm.nih.gov/25369523/,Asymmetrical Effect of Levodopa on the Neural Activity of Motor Regions in PD.,"Martinu K, Nagano-Saito A, Fogel S, Monchi O",PloS one,0.281,25369523,-1,-1
externally_00008,https://pubmed.ncbi.nlm.nih.gov/15947065/,Motor reorganization in asymptomatic carriers of a single mutant Parkin allele: a human model for presymptomatic parkinsonism.,"Buhmann C, Binkofski F, Klein C, Buchel C, van Eimeren T, Erdmann C, Hedrich K, Kasten M, Hagenah J, Deuschl G, Pramstaller PP, Siebner HR",Brain : a journal of neurology,0.252,15947065,-1,-1
externally_00009,https://pubmed.ncbi.nlm.nih.gov/22403525/,"Distinction between Externally vs. Internally Guided Decision-Making: Operational Differences, Meta-Analytical Comparisons and Their Theoretical Implications.","Nakao T, Ohira H, Northoff G",Frontiers in neuroscience,0.242,22403525,-1,-1
externally_00010,https://pubmed.ncbi.nlm.nih.gov/17499519/,The relationship within and between the extrinsic and intrinsic systems indicated by resting state correlational patterns of sensory cortices.,"Tian L, Jiang T, Liu Y, Yu C, Wang K, Zhou Y, Song M, Li K",NeuroImage,0.235,17499519,-1,-1
