paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
eyes_00001,https://pubmed.ncbi.nlm.nih.gov/15050602/,Eyes open and eyes closed as rest conditions: impact on brain activation patterns.,"Marx E, Deutschlander A, Stephan T, Dieterich M, Wiesmann M, Brandt T",NeuroImage,0.684,15050602,-1,-1
eyes_00002,https://pubmed.ncbi.nlm.nih.gov/12880821/,Eye closure in darkness animates sensory systems.,"Marx E, Stephan T, Nolte A, Deutschlander A, Seelos KC, Dieterich M, Brandt T",NeuroImage,0.657,12880821,-1,-1
eyes_00003,https://pubmed.ncbi.nlm.nih.gov/20162600/,The volatility of the amygdala response to masked fearful eyes.,"Straube T, Dietrich C, Mothes-Lasch M, Mentzel HJ, Miltner WH",Human brain mapping,0.644,20162600,-1,-1
eyes_00004,https://pubmed.ncbi.nlm.nih.gov/16631383/,Eye closure in darkness animates olfactory and gustatory cortical areas.,"Wiesmann M, Kopietz R, Albrecht J, Linn J, Reime U, Kara E, Pollatos O, Sakar V, Anzinger A, Fesl G, Bruckmann H, Kobal G, Stephan T",NeuroImage,0.632,16631383,-1,-1
eyes_00005,https://pubmed.ncbi.nlm.nih.gov/19603072/,Eyes wide shut: amygdala mediates eyes-closed effect on emotional experience with music.,"Lerner Y, Papo D, Zhdanov A, Belozersky L, Hendler T",PloS one,0.497,19603072,-1,-1
eyes_00006,https://pubmed.ncbi.nlm.nih.gov/28229308/,EEG Signatures of Dynamic Functional Network Connectivity States.,"Allen EA, Damaraju E, Eichele T, Wu L, Calhoun VD",Brain topography,0.47,28229308,-1,-1
eyes_00007,https://pubmed.ncbi.nlm.nih.gov/18183378/,Differences in saccade-evoked brain activation patterns with eyes open or eyes closed in complete darkness.,"Hufner K, Stephan T, Glasauer S, Kalla R, Riedel E, Deutschlander A, Dera T, Wiesmann M, Strupp M, Brandt T",Experimental brain research,0.427,18183378,-1,-1
eyes_00008,https://pubmed.ncbi.nlm.nih.gov/26205825/,The impact of eye closure on somatosensory perception in the elderly.,"Brodoehl S, Klingner C, Stieglitz K, Witte OW",Behavioural brain research,0.427,26205825,-1,-1
eyes_00009,https://pubmed.ncbi.nlm.nih.gov/22875902/,Dissociated mean and functional connectivity BOLD signals in visual cortex during eyes closed and fixation.,"McAvoy M, Larson-Prior L, Ludwikow M, Zhang D, Snyder AZ, Gusnard DL, Raichle ME, d'Avossa G",Journal of neurophysiology,0.395,22875902,10.1152/jn.00900.2011,-1
eyes_00010,https://pubmed.ncbi.nlm.nih.gov/18509068/,Resting states affect spontaneous BOLD oscillations in sensory and paralimbic cortex.,"McAvoy M, Larson-Prior L, Nolan TS, Vaishnavi SN, Raichle ME, d'Avossa G",Journal of neurophysiology,0.394,18509068,10.1152/jn.90426.2008,-1
eyes_00011,https://pubmed.ncbi.nlm.nih.gov/27867352/,Aberrant Functional Connectivity between the Amygdala and the Temporal Pole in Drug-Free Generalized Anxiety Disorder.,"Li W, Cui H, Zhu Z, Kong L, Guo Q, Zhu Y, Hu Q, Zhang L, Li H, Li Q, Jiang J, Meyers J, Li J, Wang J, Yang Z, Li C",Frontiers in human neuroscience,0.392,27867352,-1,-1
eyes_00012,https://pubmed.ncbi.nlm.nih.gov/23228510/,Coupling between visual alpha oscillations and default mode activity.,"Mo J, Liu Y, Huang H, Ding M",NeuroImage,0.39,23228510,-1,-1
