paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
face recognition_00001,https://pubmed.ncbi.nlm.nih.gov/29242103/,The neural network for face recognition: Insights from an fMRI study on developmental prosopagnosia.,"Zhao Y, Zhen Z, Liu X, Song Y, Liu J",NeuroImage,0.485,29242103,-1,-1
face recognition_00002,https://pubmed.ncbi.nlm.nih.gov/11074084/,Neural substrates for the recognition of newly learned faces: a functional MRI study.,"Katanoda K, Yoshikawa K, Sugishita M",Neuropsychologia,0.466,11074084,-1,-1
face recognition_00003,https://pubmed.ncbi.nlm.nih.gov/25913061/,Recognition of personally familiar faces and functional connectivity in Alzheimer's disease.,"Kurth S, Moyse E, Bahri MA, Salmon E, Bastin C",Cortex; a journal devoted to the study of the nervous system and behavior,0.375,25913061,-1,-1
face recognition_00004,https://pubmed.ncbi.nlm.nih.gov/23527282/,The hierarchical brain network for face recognition.,"Zhen Z, Fang H, Liu J",PloS one,0.374,23527282,-1,-1
face recognition_00005,https://pubmed.ncbi.nlm.nih.gov/25714434/,Successful decoding of famous faces in the fusiform face area.,"Axelrod V, Yovel G",PloS one,0.328,25714434,-1,-1
face recognition_00006,https://pubmed.ncbi.nlm.nih.gov/14741644/,Dissociation between overt and unconscious face processing in fusiform face area.,"Lehmann C, Mueller T, Federspiel A, Hubl D, Schroth G, Huber O, Strik W, Dierks T",NeuroImage,0.298,14741644,-1,-1
face recognition_00007,https://pubmed.ncbi.nlm.nih.gov/23684864/,The challenge of localizing the anterior temporal face area: a possible solution.,"Axelrod V, Yovel G",NeuroImage,0.298,23684864,-1,-1
face recognition_00008,https://pubmed.ncbi.nlm.nih.gov/19224116/,Hippocampal underactivation in an fMRI study of word and face memory recognition  in schizophrenia.,"Rametti G, Junque C, Vendrell P, Catalan R, Penades R, Bargallo N, Bernardo M",European archives of psychiatry and clinical neuroscience,0.291,19224116,-1,-1
face recognition_00009,https://pubmed.ncbi.nlm.nih.gov/23448870/,Neural Correlates of Covert Face Processing: fMRI Evidence from a Prosopagnosic Patient.,"Liu J, Wang M, Shi X, Feng L, Li L, Thacker JM, Tian J, Shi D, Lee K","Cerebral cortex (New York, N.Y. : 1991)",0.279,23448870,-1,-1
face recognition_00010,https://pubmed.ncbi.nlm.nih.gov/18501639/,Face-specific and domain-general characteristics of cortical responses during self-recognition.,"Sugiura M, Sassa Y, Jeong H, Horie K, Sato S, Kawashima R",NeuroImage,0.27,18501639,-1,-1
face recognition_00011,https://pubmed.ncbi.nlm.nih.gov/17306235/,Here I am: the cortical correlates of visual self-recognition.,"Devue C, Collette F, Balteau E, Degueldre C, Luxen A, Maquet P, Bredart S",Brain research,0.256,17306235,-1,-1
face recognition_00012,https://pubmed.ncbi.nlm.nih.gov/25071513/,Individual differences in cortical face selectivity predict behavioral performance in face recognition.,"Huang L, Song Y, Li J, Zhen Z, Yang Z, Liu J",Frontiers in human neuroscience,0.254,25071513,-1,-1
face recognition_00013,https://pubmed.ncbi.nlm.nih.gov/29420750/,Self-Face Recognition Begins to Share Active Region in Right Inferior Parietal Lobule with Proprioceptive Illusion During Adolescence.,"Morita T, Saito DN, Ban M, Shimada K, Okamoto Y, Kosaka H, Okazawa H, Asada M, Naito E","Cerebral cortex (New York, N.Y. : 1991)",0.242,29420750,-1,-1
face recognition_00014,https://pubmed.ncbi.nlm.nih.gov/26143305/,Beyond the core face-processing network: Intracerebral stimulation of a face-selective area in the right anterior fusiform gyrus elicits transient prosopagnosia.,"Jonas J, Rossion B, Brissart H, Frismand S, Jacques C, Hossu G, Colnat-Coulbois S, Vespignani H, Vignal JP, Maillard L",Cortex; a journal devoted to the study of the nervous system and behavior,0.231,26143305,10.1016/j.cortex.2015.05.026,-1
face recognition_00015,https://pubmed.ncbi.nlm.nih.gov/26553580/,The reliability of individual differences in face-selective responses in the fusiform gyrus and their relation to face recognition ability.,"McGugin RW, Gauthier I",Brain imaging and behavior,0.228,26553580,10.1007/s11682-015-9467-4,-1
face recognition_00016,https://pubmed.ncbi.nlm.nih.gov/26908317/,Dissociable roles of internal feelings and face recognition ability in facial expression decoding.,"Zhang L, Song Y, Liu L, Liu J",NeuroImage,0.228,26908317,10.1016/j.neuroimage.2016.02.049,-1
face recognition_00017,https://pubmed.ncbi.nlm.nih.gov/25797589/,Do I know you? Examining face and object memory in frontotemporal dementia.,"Kumfor F, Hutchings R, Irish M, Hodges JR, Rhodes G, Palermo R, Piguet O",Neuropsychologia,0.212,25797589,10.1016/j.neuropsychologia.2015.03.020,-1
face recognition_00018,https://pubmed.ncbi.nlm.nih.gov/29244638/,Memory Contextualization: The Role of Prefrontal Cortex in Functional Integration across Item and Context Representational Regions.,"Zhang W, van Ast VA, Klumpers F, Roelofs K, Hermans EJ",Journal of cognitive neuroscience,0.209,29244638,10.1162/jocn_a_01218,-1
face recognition_00019,https://pubmed.ncbi.nlm.nih.gov/16035037/,Neural substrates for functionally discriminating self-face from personally familiar faces.,"Platek SM, Loughead JW, Gur RC, Busch S, Ruparel K, Phend N, Panyavin IS, Langleben DD",Human brain mapping,0.205,16035037,-1,-1
face recognition_00020,https://pubmed.ncbi.nlm.nih.gov/20627130/,Processing of disgusted faces is facilitated by odor primes: a functional MRI study.,"Seubert J, Kellermann T, Loughead J, Boers F, Brensinger C, Schneider F, Habel U",NeuroImage,0.205,20627130,-1,-1
face recognition_00021,https://pubmed.ncbi.nlm.nih.gov/19939884/,Top-down activation of fusiform cortex without seeing faces in prosopagnosia.,"Righart R, Andersson F, Schwartz S, Mayer E, Vuilleumier P","Cerebral cortex (New York, N.Y. : 1991)",0.2,19939884,-1,-1
face recognition_00022,https://pubmed.ncbi.nlm.nih.gov/21567659/,Self-face recognition in social context.,"Sugiura M, Sassa Y, Jeong H, Wakusawa K, Horie K, Sato S, Kawashima R",Human brain mapping,0.196,21567659,-1,-1
face recognition_00023,https://pubmed.ncbi.nlm.nih.gov/25762673/,Dissociable cortical pathways for qualitative and quantitative mechanisms in the  face inversion effect.,"Matsuyoshi D, Morita T, Kochiyama T, Tanabe HC, Sadato N, Kakigi R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.19,25762673,-1,-1
face recognition_00024,https://pubmed.ncbi.nlm.nih.gov/24910070/,Single-trial EEG-informed fMRI reveals spatial dependency of BOLD signal on early and late IC-ERP amplitudes during face recognition.,"Wirsich J, Benar C, Ranjeva JP, Descoins M, Soulier E, Le Troter A, Confort-Gouny S, Liegeois-Chauvel C, Guye M",NeuroImage,0.189,24910070,-1,-1
face recognition_00025,https://pubmed.ncbi.nlm.nih.gov/25610767/,Individual differences in symptom severity and behavior predict neural activation during face processing in adolescents with autism.,"Scherf KS, Elbich D, Minshew N, Behrmann M",NeuroImage. Clinical,0.187,25610767,-1,-1
face recognition_00026,https://pubmed.ncbi.nlm.nih.gov/29304386/,The neurobiology of self face recognition among depressed adolescents.,"Quevedo K, Harms M, Sauder M, Scott H, Mohamed S, Thomas KM, Schallmo MP, Smyda G",Journal of affective disorders,0.186,29304386,-1,-1
