paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
fasciculus_00001,https://pubmed.ncbi.nlm.nih.gov/23959199/,Age-related changes in the structure and function of prefrontal cortex-amygdala circuitry in children and adolescents: a multi-modal imaging approach.,"Swartz JR, Carrasco M, Wiggins JL, Thomason ME, Monk CS",NeuroImage,0.496,23959199,-1,-1
fasciculus_00002,https://pubmed.ncbi.nlm.nih.gov/25701795/,A multimodal mapping study of conduction aphasia with impaired repetition and spared reading aloud.,"Tomasino B, Marin D, Maieron M, D'Agostini S, Medeossi I, Fabbro F, Skrap M, Luzzatti C",Neuropsychologia,0.46,25701795,-1,-1
fasciculus_00003,https://pubmed.ncbi.nlm.nih.gov/23921095/,Structural white matter asymmetries in relation to functional asymmetries during  speech perception and production.,"Ocklenburg S, Hugdahl K, Westerhausen R",NeuroImage,0.443,23921095,-1,-1
fasciculus_00004,https://pubmed.ncbi.nlm.nih.gov/25844324/,Diffuse alterations in grey and white matter associated with cognitive impairment in Shwachman-Diamond syndrome: evidence from a multimodal approach.,"Perobelli S, Alessandrini F, Zoccatelli G, Nicolis E, Beltramello A, Assael BM, Cipolli M",NeuroImage. Clinical,0.397,25844324,-1,-1
fasciculus_00005,https://pubmed.ncbi.nlm.nih.gov/25281309/,Neuronal substrates of Corsi Block span: Lesion symptom mapping analyses in relation to attentional competition and spatial bias.,"Chechlacz M, Rotshtein P, Humphreys GW",Neuropsychologia,0.386,25281309,-1,-1
fasciculus_00006,https://pubmed.ncbi.nlm.nih.gov/25017826/,Altered structural connectivity and trait anhedonia in patients with schizophrenia.,"Lee JS, Han K, Lee SK, Seok JH, Kim JJ",Neuroscience letters,0.312,25017826,-1,-1
fasciculus_00007,https://pubmed.ncbi.nlm.nih.gov/24786632/,Clinical correlations of microstructural changes in progressive supranuclear palsy.,"Tessitore A, Giordano A, Caiazzo G, Corbo D, De Micco R, Russo A, Liguori S, Cirillo M, Esposito F, Tedeschi G",Neurobiology of aging,0.31,24786632,-1,-1
fasciculus_00008,https://pubmed.ncbi.nlm.nih.gov/18410362/,Language lateralization in temporal lobe epilepsy using functional MRI and probabilistic tractography.,"Rodrigo S, Oppenheim C, Chassoux F, Hodel J, de Vanssay A, Baudoin-Chial S, Devaux B, Meder JF",Epilepsia,0.268,18410362,-1,-1
fasciculus_00009,https://pubmed.ncbi.nlm.nih.gov/15325368/,White matter hemisphere asymmetries in healthy subjects and in schizophrenia: a diffusion tensor MRI study.,"Park HJ, Westin CF, Kubicki M, Maier SE, Niznikiewicz M, Baer A, Frumin M, Kikinis R, Jolesz FA, McCarley RW, Shenton ME",NeuroImage,0.242,15325368,-1,-1
fasciculus_00010,https://pubmed.ncbi.nlm.nih.gov/22066584/,The neural underpinings of simultanagnosia: disconnecting the visuospatial attention network.,"Chechlacz M, Rotshtein P, Hansen PC, Riddoch JM, Deb S, Humphreys GW",Journal of cognitive neuroscience,0.236,22066584,-1,-1
fasciculus_00011,https://pubmed.ncbi.nlm.nih.gov/17258911/,White matter development during late adolescence in healthy males: a cross-sectional diffusion tensor imaging study.,"Ashtari M, Cervellione KL, Hasan KM, Wu J, McIlree C, Kester H, Ardekani BA, Roofeh D, Szeszko PR, Kumra S",NeuroImage,0.23,17258911,-1,-1
fasciculus_00012,https://pubmed.ncbi.nlm.nih.gov/19915989/,Disrupted white matter integrity of corticopontine-cerebellar circuitry in schizophrenia.,"Koch K, Wagner G, Dahnke R, Schachtzabel C, Schultz C, Roebel M, Gullmar D, Reichenbach JR, Sauer H, Schlosser RG",European archives of psychiatry and clinical neuroscience,0.222,19915989,-1,-1
fasciculus_00013,https://pubmed.ncbi.nlm.nih.gov/18261930/,Voxel-based diffusion tensor imaging in patients with mesial temporal lobe epilepsy and hippocampal sclerosis.,"Focke NK, Yogarajah M, Bonelli SB, Bartlett PA, Symms MR, Duncan JS",NeuroImage,0.215,18261930,-1,-1
fasciculus_00014,https://pubmed.ncbi.nlm.nih.gov/18767918/,White matter integrity predicts delay discounting behavior in 9- to 23-year-olds: a diffusion tensor imaging study.,"Olson EA, Collins PF, Hooper CJ, Muetzel R, Lim KO, Luciana M",Journal of cognitive neuroscience,0.207,18767918,-1,-1
fasciculus_00015,https://pubmed.ncbi.nlm.nih.gov/24349280/,Disconnection mechanism and regional cortical atrophy contribute to impaired processing of facial expressions and theory of mind in multiple sclerosis: a structural MRI study.,"Mike A, Strammer E, Aradi M, Orsi G, Perlaki G, Hajnal A, Sandor J, Banati M, Illes E, Zaitsev A, Herold R, Guttmann CR, Illes Z",PloS one,0.194,24349280,-1,-1
