paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
fluency_00001,https://pubmed.ncbi.nlm.nih.gov/25619848/,Distinct functional connectivity of the hippocampus during semantic and phonemic  fluency.,"Glikmann-Johnston Y, Oren N, Hendler T, Shapira-Lichter I",Neuropsychologia,0.736,25619848,10.1016/j.neuropsychologia.2015.01.031,-1
fluency_00002,https://pubmed.ncbi.nlm.nih.gov/18296070/,"Specialisation in Broca's region for semantic, phonological, and syntactic fluency?","Heim S, Eickhoff SB, Amunts K",NeuroImage,0.61,18296070,10.1016/j.neuroimage.2008.01.009,-1
fluency_00003,https://pubmed.ncbi.nlm.nih.gov/19632335/,Neural systems supporting lexical search guided by letter and semantic category cues: a self-paced overt response fMRI study of verbal fluency.,"Birn RM, Kenworthy L, Case L, Caravella R, Jones TB, Bandettini PA, Martin A",NeuroImage,0.537,19632335,-1,-1
fluency_00004,https://pubmed.ncbi.nlm.nih.gov/26765947/,On Known Unknowns: Fluency and the Neural Mechanisms of Illusory Truth.,"Wang WC, Brashier NM, Wing EA, Marsh EJ, Cabeza R",Journal of cognitive neuroscience,0.522,26765947,-1,-1
fluency_00005,https://pubmed.ncbi.nlm.nih.gov/19293396/,Structural correlates of semantic and phonemic fluency ability in first and second languages.,"Grogan A, Green DW, Ali N, Crinion JT, Price CJ","Cerebral cortex (New York, N.Y. : 1991)",0.519,19293396,-1,-1
fluency_00006,https://pubmed.ncbi.nlm.nih.gov/18555209/,Atypical functional lateralization of language in autism spectrum disorders.,"Kleinhans NM, Muller RA, Cohen DN, Courchesne E",Brain research,0.507,18555209,-1,-1
fluency_00007,https://pubmed.ncbi.nlm.nih.gov/19350564/,Genetic variation in the schizophrenia-risk gene neuregulin 1 correlates with brain activation and impaired speech production in a verbal fluency task in healthy individuals.,"Kircher T, Krug A, Markov V, Whitney C, Krach S, Zerres K, Eggermann T, Stocker T, Shah NJ, Treutlein J, Nothen MM, Becker T, Rietschel M",Human brain mapping,0.489,19350564,-1,-1
fluency_00008,https://pubmed.ncbi.nlm.nih.gov/26759784/,Cortical thinning in the anterior cingulate cortex predicts multiple sclerosis patients' fluency performance in a lateralised manner.,"Geisseler O, Pflugshaupt T, Bezzola L, Reuter K, Weller D, Schuknecht B, Brugger P, Linnebank M",NeuroImage. Clinical,0.455,26759784,-1,-1
fluency_00009,https://pubmed.ncbi.nlm.nih.gov/15109996/,Analysis of neural mechanisms underlying verbal fluency in cytoarchitectonically  defined stereotaxic space--the roles of Brodmann areas 44 and 45.,"Amunts K, Weiss PH, Mohlberg H, Pieperhoff P, Eickhoff S, Gurd JM, Marshall JC, Shah NJ, Fink GR, Zilles K",NeuroImage,0.454,15109996,-1,-1
fluency_00010,https://pubmed.ncbi.nlm.nih.gov/19781653/,Effect of CACNA1C rs1006737 on neural correlates of verbal fluency in healthy individuals.,"Krug A, Nieratschker V, Markov V, Krach S, Jansen A, Zerres K, Eggermann T, Stocker T, Shah NJ, Treutlein J, Muhleisen TW, Kircher T",NeuroImage,0.43,19781653,-1,-1
fluency_00011,https://pubmed.ncbi.nlm.nih.gov/27662589/,An individual differences analysis of the neurocognitive architecture of the semantic system at rest.,"Mollo G, Karapanagiotidis T, Bernhardt BC, Murphy CE, Smallwood J, Jefferies E",Brain and cognition,0.415,27662589,-1,-1
fluency_00012,https://pubmed.ncbi.nlm.nih.gov/24005298/,A broader view of perirhinal function: from recognition memory to fluency-based decisions.,"Dew IT, Cabeza R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.404,24005298,-1,-1
fluency_00013,https://pubmed.ncbi.nlm.nih.gov/25305568/,Age-related differences in medial temporal lobe involvement during conceptual fluency.,"Wang WC, Dew IT, Cabeza R",Brain research,0.402,25305568,-1,-1
fluency_00014,https://pubmed.ncbi.nlm.nih.gov/15163610/,Word retrieval in amyotrophic lateral sclerosis: a functional magnetic resonance  imaging study.,"Abrahams S, Goldstein LH, Simmons A, Brammer M, Williams SC, Giampietro V, Leigh PN",Brain : a journal of neurology,0.399,15163610,-1,-1
fluency_00015,https://pubmed.ncbi.nlm.nih.gov/21831606/,Semantic fluency deficits and reduced grey matter before transition to psychosis: a voxelwise correlational analysis.,"Meijer JH, Schmitz N, Nieman DH, Becker HE, van Amelsvoort TA, Dingemans PM, Linszen DH, de Haan L",Psychiatry research,0.383,21831606,-1,-1
fluency_00016,https://pubmed.ncbi.nlm.nih.gov/28202336/,Functional connectivity in resting state as a phonemic fluency ability measure.,"Miro-Padilla A, Bueicheku E, Ventura-Campos N, Palomar-Garcia MA, Avila C",Neuropsychologia,0.383,28202336,-1,-1
fluency_00017,https://pubmed.ncbi.nlm.nih.gov/24056237/,Aberrant neural mediation of verbal fluency in autism spectrum disorders.,"Kenworthy L, Wallace GL, Birn R, Milleville SC, Case LK, Bandettini PA, Martin A",Brain and cognition,0.374,24056237,-1,-1
