paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
frontal eye_00001,https://pubmed.ncbi.nlm.nih.gov/16525051/,Local morphology predicts functional organization of the dorsal premotor region in the human brain.,"Amiez C, Kostopoulos P, Champod AS, Petrides M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.315,16525051,-1,-1
frontal eye_00002,https://pubmed.ncbi.nlm.nih.gov/15926933/,Cortical and subcortical contributions to saccade latency in the human brain.,"Neggers SF, Raemaekers MA, Lampmann EE, Postma A, Ramsey NF",The European journal of neuroscience,0.284,15926933,-1,-1
frontal eye_00003,https://pubmed.ncbi.nlm.nih.gov/22155041/,Functional organization of the left inferior precentral sulcus: dissociating the  inferior frontal eye field and the inferior frontal junction.,"Derrfuss J, Vogt VL, Fiebach CJ, von Cramon DY, Tittgemeyer M",NeuroImage,0.188,22155041,-1,-1
frontal eye_00004,https://pubmed.ncbi.nlm.nih.gov/17915262/,Frontal eye fields involved in shifting frame of reference within working memory  for scenes.,"Wallentin M, Roepstorff A, Burgess N",Neuropsychologia,0.168,17915262,-1,-1
frontal eye_00005,https://pubmed.ncbi.nlm.nih.gov/23166800/,An FMRI study of the neural systems involved in visually cued auditory top-down spatial and temporal attention.,"Li C, Chen K, Han H, Chui D, Wu J",PloS one,0.165,23166800,-1,-1
frontal eye_00006,https://pubmed.ncbi.nlm.nih.gov/10998123/,Involvement of the human frontal eye field and multiple parietal areas in covert  visual selection during conjunction search.,"Donner T, Kettermann A, Diesch E, Ostendorf F, Villringer A, Brandt SA",The European journal of neuroscience,0.159,10998123,-1,-1
frontal eye_00007,https://pubmed.ncbi.nlm.nih.gov/17596416/,Frontoparietal activation with preparation for antisaccades.,"Brown MR, Vilis T, Everling S",Journal of neurophysiology,0.153,17596416,-1,-1
frontal eye_00008,https://pubmed.ncbi.nlm.nih.gov/26262561/,The attracting power of the gaze of politicians is modulated by the personality and ideological attitude of their voters: a functional magnetic resonance imaging study.,"Cazzato V, Liuzza MT, Caprara GV, Macaluso E, Aglioti SM",The European journal of neuroscience,0.148,26262561,-1,-1
frontal eye_00009,https://pubmed.ncbi.nlm.nih.gov/12948687/,Human precentral cortical activation patterns during saccade tasks: an fMRI comparison with activation during intentional eyeblink tasks.,"Kato M, Miyauchi S",NeuroImage,0.142,12948687,-1,-1
frontal eye_00010,https://pubmed.ncbi.nlm.nih.gov/20600987/,Electrical source dynamics in three functional localizer paradigms.,"Plomp G, Michel CM, Herzog MH",NeuroImage,0.131,20600987,-1,-1
frontal eye_00011,https://pubmed.ncbi.nlm.nih.gov/18296073/,Proprioceptive head posture-related processing in human polysensory cortical areas.,"Fasold O, Heinau J, Trenner MU, Villringer A, Wenzel R",NeuroImage,0.13,18296073,10.1016/j.neuroimage.2007.12.060,-1
frontal eye_00012,https://pubmed.ncbi.nlm.nih.gov/18072280/,"Neural activations at the junction of the inferior frontal sulcus and the inferior precentral sulcus: interindividual variability, reliability, and association with sulcal morphology.","Derrfuss J, Brass M, von Cramon DY, Lohmann G, Amunts K",Human brain mapping,0.126,18072280,10.1002/hbm.20501,-1
frontal eye_00013,https://pubmed.ncbi.nlm.nih.gov/20300627/,The neural correlates of visuospatial perceptual and oculomotor extrapolation.,"Tibber M, Saygin AP, Grant S, Melmoth D, Rees G, Morgan M",PloS one,0.126,20300627,-1,-1
frontal eye_00014,https://pubmed.ncbi.nlm.nih.gov/12805308/,"Functional organization of human intraparietal and frontal cortex for attending,  looking, and pointing.","Astafiev SV, Shulman GL, Stanley CM, Snyder AZ, Van Essen DC, Corbetta M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.125,12805308,-1,-1
frontal eye_00015,https://pubmed.ncbi.nlm.nih.gov/22974974/,The cortical dynamics underlying effective switching of auditory spatial attention.,"Larson E, Lee AK",NeuroImage,0.125,22974974,-1,-1
frontal eye_00016,https://pubmed.ncbi.nlm.nih.gov/18752405/,Anterior intraparietal sulcus is sensitive to bottom-up attention driven by stimulus salience.,"Geng JJ, Mangun GR",Journal of cognitive neuroscience,0.124,18752405,-1,-1
frontal eye_00017,https://pubmed.ncbi.nlm.nih.gov/14642468/,Reliability of functional localization using fMRI.,"Swallow KM, Braver TS, Snyder AZ, Speer NK, Zacks JM",NeuroImage,0.123,14642468,-1,-1
frontal eye_00018,https://pubmed.ncbi.nlm.nih.gov/24431433/,Mental action simulation synchronizes action-observation circuits across individuals.,"Nummenmaa L, Smirnov D, Lahnakoski JM, Glerean E, Jaaskelainen IP, Sams M, Hari R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.118,24431433,-1,-1
frontal eye_00019,https://pubmed.ncbi.nlm.nih.gov/22819950/,Direct recordings in human cortex reveal the dynamics of gamma-band [50-150 Hz] activity during pursuit eye movement control.,"Bastin J, Lebranchu P, Jerbi K, Kahane P, Orban G, Lachaux JP, Berthoz A",NeuroImage,0.117,22819950,-1,-1
frontal eye_00020,https://pubmed.ncbi.nlm.nih.gov/27688202/,Cerebral neural correlates of differential melanopic photic stimulation in humans.,"Hung SM, Milea D, Rukmini AV, Najjar RP, Tan JH, Vienot F, Dubail M, Tow SLC, Aung T, Gooley JJ, Hsieh PJ",NeuroImage,0.117,27688202,-1,-1
frontal eye_00021,https://pubmed.ncbi.nlm.nih.gov/29501792/,Neural basis of the crossmodal correspondence between auditory pitch and visuospatial elevation.,"McCormick K, Lacey S, Stilla R, Nygaard LC, Sathian K",Neuropsychologia,0.117,29501792,10.1016/j.neuropsychologia.2018.02.029,-1
frontal eye_00022,https://pubmed.ncbi.nlm.nih.gov/24675647/,The functional oculomotor network and saccadic cognitive control in healthy elders.,"Pa J, Dutt S, Mirsky JB, Heuer HW, Keselman P, Kong E, Trujillo A, Gazzaley A, Kramer JH, Seeley WW, Miller BL, Boxer AL",NeuroImage,0.115,24675647,10.1016/j.neuroimage.2014.03.051,-1
frontal eye_00023,https://pubmed.ncbi.nlm.nih.gov/27402599/,Neural effects of methylphenidate and nicotine during smooth pursuit eye movements.,"Kasparbauer AM, Meyhofer I, Steffens M, Weber B, Aydin M, Kumari V, Hurlemann R, Ettinger U",NeuroImage,0.113,27402599,10.1016/j.neuroimage.2016.07.012,-1
frontal eye_00024,https://pubmed.ncbi.nlm.nih.gov/19631255/,Cortical areas related to performance of WAIS Digit Symbol Test: a functional imaging study.,"Usui N, Haji T, Maruyama M, Katsuyama N, Uchida S, Hozawa A, Omori K, Tsuji I, Kawashima R, Taira M",Neuroscience letters,0.111,19631255,10.1016/j.neulet.2009.07.048,-1
frontal eye_00025,https://pubmed.ncbi.nlm.nih.gov/19687293/,Noradrenergic modulation of cortical networks engaged in visuomotor processing.,"Grefkes C, Wang LE, Eickhoff SB, Fink GR","Cerebral cortex (New York, N.Y. : 1991)",0.111,19687293,10.1093/cercor/bhp144,-1
frontal eye_00026,https://pubmed.ncbi.nlm.nih.gov/16406637/,Prototype-distortion category learning: a two-phase learning process across a distributed network.,"Little DM, Thulborn KR",Brain and cognition,0.109,16406637,10.1016/j.bandc.2005.06.004,-1
frontal eye_00027,https://pubmed.ncbi.nlm.nih.gov/10680764/,Human brain areas involved in the analysis of auditory movement.,"Griffiths TD, Green GG, Rees A, Rees G",Human brain mapping,0.107,10680764,-1,-1
frontal eye_00028,https://pubmed.ncbi.nlm.nih.gov/12379604/,The role of rostral Brodmann area 6 in mental-operation tasks: an integrative neuroimaging approach.,"Hanakawa T, Honda M, Sawamoto N, Okada T, Yonekura Y, Fukuyama H, Shibasaki H","Cerebral cortex (New York, N.Y. : 1991)",0.107,12379604,-1,-1
frontal eye_00029,https://pubmed.ncbi.nlm.nih.gov/15852384/,Tactile discrimination of grating orientation: fMRI activation patterns.,"Zhang M, Mariola E, Stilla R, Stoesz M, Mao H, Hu X, Sathian K",Human brain mapping,0.107,15852384,-1,-1
frontal eye_00030,https://pubmed.ncbi.nlm.nih.gov/15862217/,Coherence between fMRI time-series distinguishes two spatial working memory networks.,"Curtis CE, Sun FT, Miller LM, D'Esposito M",NeuroImage,0.107,15862217,-1,-1
frontal eye_00031,https://pubmed.ncbi.nlm.nih.gov/17728263/,Decomposing the neural correlates of antisaccade eye movements using event-related FMRI.,"Ettinger U, Ffytche DH, Kumari V, Kathmann N, Reuter B, Zelaya F, Williams SC","Cerebral cortex (New York, N.Y. : 1991)",0.107,17728263,-1,-1
frontal eye_00032,https://pubmed.ncbi.nlm.nih.gov/19539711/,Gaze-related mimic word activates the frontal eye field and related network in the human brain: an fMRI study.,"Osaka N, Osaka M",Neuroscience letters,0.107,19539711,-1,-1
frontal eye_00033,https://pubmed.ncbi.nlm.nih.gov/17301186/,Neural activity is modulated by trial history: a functional magnetic resonance imaging study of the effects of a previous antisaccade.,"Manoach DS, Thakkar KN, Cain MS, Polli FE, Edelman JA, Fischl B, Barton JJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.105,17301186,-1,-1
frontal eye_00034,https://pubmed.ncbi.nlm.nih.gov/17942734/,Activations in visual and attention-related areas predict and correlate with the  degree of perceptual learning.,"Mukai I, Kim D, Fukunaga M, Japee S, Marrett S, Ungerleider LG",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.105,17942734,-1,-1
frontal eye_00035,https://pubmed.ncbi.nlm.nih.gov/19442869/,Age-related differences of saccade induced cortical activation.,"Nelles G, de Greiff A, Pscherer A, Esser J",Neuroscience letters,0.105,19442869,-1,-1
frontal eye_00036,https://pubmed.ncbi.nlm.nih.gov/24363971/,Prediction processes during multiple object tracking (MOT): involvement of dorsal and ventral premotor cortices.,"Atmaca S, Stadler W, Keitel A, Ott DV, Lepsien J, Prinz W",Brain and behavior,0.105,24363971,-1,-1
frontal eye_00037,https://pubmed.ncbi.nlm.nih.gov/18023824/,Neural substrates of processing path and manner information of a moving event.,"Wu DH, Morganti A, Chatterjee A",Neuropsychologia,0.104,18023824,-1,-1
frontal eye_00038,https://pubmed.ncbi.nlm.nih.gov/18692173/,Common neural circuitry supporting volitional saccades and its disruption in schizophrenia patients and relatives.,"Camchong J, Dyckman KA, Austin BP, Clementz BA, McDowell JE",Biological psychiatry,0.104,18692173,-1,-1
frontal eye_00039,https://pubmed.ncbi.nlm.nih.gov/16919481/,Differential correlation of frontal and parietal activity with the number of alternatives for cued choice saccades.,"Lee KM, Wade AR, Lee BT",NeuroImage,0.101,16919481,-1,-1
frontal eye_00040,https://pubmed.ncbi.nlm.nih.gov/16413797/,Distraction-spanning sustained activity during delayed recognition of locations.,Postle BR,NeuroImage,0.1,16413797,-1,-1
frontal eye_00041,https://pubmed.ncbi.nlm.nih.gov/15183391/,The where and how of attention-based rehearsal in spatial working memory.,"Postle BR, Awh E, Jonides J, Smith EE, D'Esposito M",Brain research. Cognitive brain research,0.099,15183391,10.1016/j.cogbrainres.2004.02.008,-1
frontal eye_00042,https://pubmed.ncbi.nlm.nih.gov/23711484/,Frontoparietal mechanisms supporting attention to location and intensity of painful stimuli.,"Lobanov OV, Quevedo AS, Hadsel MS, Kraft RA, Coghill RC",Pain,0.099,23711484,10.1016/j.pain.2013.05.030,-1
frontal eye_00043,https://pubmed.ncbi.nlm.nih.gov/15488401/,Visual search and memory search engage extensive overlapping cerebral cortices: an fMRI study.,"Makino Y, Yokosawa K, Takeda Y, Kumada T",NeuroImage,0.098,15488401,-1,-1
frontal eye_00044,https://pubmed.ncbi.nlm.nih.gov/15907304/,The activation of attentional networks.,"Fan J, McCandliss BD, Fossella J, Flombaum JI, Posner MI",NeuroImage,0.097,15907304,-1,-1
frontal eye_00045,https://pubmed.ncbi.nlm.nih.gov/25339740/,Cognitive Deterioration and Functional Compensation in ALS Measured with fMRI Using an Inhibitory Task.,"Witiuk K, Fernandez-Ruiz J, McKee R, Alahyane N, Coe BC, Melanson M, Munoz DP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.097,25339740,-1,-1
frontal eye_00046,https://pubmed.ncbi.nlm.nih.gov/19166947/,Neural basis of interaction between target presence and display homogeneity in visual search: an fMRI study.,"Wei P, Muller HJ, Pollmann S, Zhou X",NeuroImage,0.096,19166947,-1,-1
frontal eye_00047,https://pubmed.ncbi.nlm.nih.gov/21538702/,Attention-related networks in Alzheimer's disease: a resting functional MRI study.,"Li R, Wu X, Fleisher AS, Reiman EM, Chen K, Yao L",Human brain mapping,0.096,21538702,-1,-1
frontal eye_00048,https://pubmed.ncbi.nlm.nih.gov/23044088/,Working memory of somatosensory stimuli: an fMRI study.,"Savini N, Brunetti M, Babiloni C, Ferretti A",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.096,23044088,-1,-1
frontal eye_00049,https://pubmed.ncbi.nlm.nih.gov/25068106/,fMRI evidence of improved visual function in patients with progressive retinitis  pigmentosa by eye-movement training.,"Yoshida M, Origuchi M, Urayama S, Takatsuki A, Kan S, Aso T, Shiose T, Sawamoto N, Miyauchi S, Fukuyama H, Seiyama A",NeuroImage. Clinical,0.096,25068106,-1,-1
frontal eye_00050,https://pubmed.ncbi.nlm.nih.gov/26794640/,The activation of interactive attentional networks.,"Xuan B, Mackie MA, Spagna A, Wu T, Tian Y, Hof PR, Fan J",NeuroImage,0.096,26794640,-1,-1
frontal eye_00051,https://pubmed.ncbi.nlm.nih.gov/17928451/,Posteromedial parietal cortical activity and inputs predict tactile spatial acuity.,"Stilla R, Deshpande G, LaConte S, Hu X, Sathian K",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.095,17928451,10.1523/JNEUROSCI.1808-07.2007,-1
frontal eye_00052,https://pubmed.ncbi.nlm.nih.gov/19554558/,Auditory orienting and inhibition of return in mild traumatic brain injury: a FMRI study.,"Mayer AR, Mannell MV, Ling J, Elgie R, Gasparovic C, Phillips JP, Doezema D, Yeo RA",Human brain mapping,0.095,19554558,-1,-1
frontal eye_00053,https://pubmed.ncbi.nlm.nih.gov/17662530/,Saccular stimulation of the human cortex: a functional magnetic resonance imaging study.,"Miyamoto T, Fukushima K, Takada T, de Waele C, Vidal PP",Neuroscience letters,0.094,17662530,-1,-1
frontal eye_00054,https://pubmed.ncbi.nlm.nih.gov/25824980/,Processing of bilateral versus unilateral conditions: evidence for the functional contribution of the ventral attention network.,"Beume LA, Kaller CP, Hoeren M, Kloppel S, Kuemmerer D, Glauche V, Kostering L, Mader I, Rijntjes M, Weiller C, Umarova R",Cortex; a journal devoted to the study of the nervous system and behavior,0.094,25824980,-1,-1
frontal eye_00055,https://pubmed.ncbi.nlm.nih.gov/20601397/,Cortical temporal dynamics of visually guided behavior.,"Hinkley LB, Nagarajan SS, Dalal SS, Guggisberg AG, Disbrow EA","Cerebral cortex (New York, N.Y. : 1991)",0.093,20601397,-1,-1
frontal eye_00056,https://pubmed.ncbi.nlm.nih.gov/23051897/,Unseen fearful faces promote amygdala guidance of attention.,"Troiani V, Price ET, Schultz RT",Social cognitive and affective neuroscience,0.092,23051897,-1,-1
