paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
fusiform gyrus_00001,https://pubmed.ncbi.nlm.nih.gov/25313655/,Normal body perception despite the loss of right fusiform gyrus.,"Susilo T, Yang H, Potter Z, Robbins R, Duchaine B",Journal of cognitive neuroscience,0.29,25313655,10.1162/jocn_a_00743,-1
fusiform gyrus_00002,https://pubmed.ncbi.nlm.nih.gov/17942736/,How progesterone impairs memory for biologically salient stimuli in healthy young women.,"van Wingen G, van Broekhoven F, Verkes RJ, Petersson KM, Backstrom T, Buitelaar J, Fernandez G",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.267,17942736,10.1523/JNEUROSCI.1715-07.2007,-1
fusiform gyrus_00003,https://pubmed.ncbi.nlm.nih.gov/20817279/,"Task effects in the mid-fusiform gyrus: a comparison of orthographic, phonological, and semantic processing of Chinese characters.","Guo Y, Burgund ED",Brain and language,0.249,20817279,10.1016/j.bandl.2010.08.001,-1
fusiform gyrus_00004,https://pubmed.ncbi.nlm.nih.gov/15295012/,Selectivity for the human body in the fusiform gyrus.,"Peelen MV, Downing PE",Journal of neurophysiology,0.248,15295012,-1,-1
fusiform gyrus_00005,https://pubmed.ncbi.nlm.nih.gov/22015854/,FMRI-adaptation to highly-rendered color photographs of animals and manipulable artifacts during a classification task.,"Chouinard PA, Goodale MA",NeuroImage,0.233,22015854,-1,-1
fusiform gyrus_00006,https://pubmed.ncbi.nlm.nih.gov/24621866/,Brain activity of adolescents with high functioning autism in response to emotional words and facial emoticons.,"Han DH, Yoo HJ, Kim BN, McMahon W, Renshaw PF",PloS one,0.229,24621866,-1,-1
fusiform gyrus_00007,https://pubmed.ncbi.nlm.nih.gov/25177286/,Discriminable spatial patterns of activation for faces and bodies in the fusiform gyrus.,"Kim NY, Lee SM, Erlendsdottir MC, McCarthy G",Frontiers in human neuroscience,0.219,25177286,-1,-1
fusiform gyrus_00008,https://pubmed.ncbi.nlm.nih.gov/17204295/,Neural correlates of processing facial identity based on features versus their spacing.,"Maurer D, O'Craven KM, Le Grand R, Mondloch CJ, Springer MV, Lewis TL, Grady CL",Neuropsychologia,0.211,17204295,-1,-1
fusiform gyrus_00009,https://pubmed.ncbi.nlm.nih.gov/25899791/,beta-Adrenoceptor blockade modulates fusiform gyrus activity to black versus white faces.,"Terbeck S, Kahane G, McTavish S, McCutcheon R, Hewstone M, Savulescu J, Chesterman LP, Cowen PJ, Norbury R",Psychopharmacology,0.208,25899791,-1,-1
fusiform gyrus_00010,https://pubmed.ncbi.nlm.nih.gov/15670692/,Seeing John Malkovich: the neural substrates of person categorization.,"Turk DJ, Rosenblum AC, Gazzaniga MS, Macrae CN",NeuroImage,0.198,15670692,-1,-1
fusiform gyrus_00011,https://pubmed.ncbi.nlm.nih.gov/17566054/,Morphological substrate of face matching in healthy ageing and mild cognitive impairment: a combined MRI-fMRI study.,"Teipel SJ, Bokde AL, Born C, Meindl T, Reiser M, Moller HJ, Hampel H",Brain : a journal of neurology,0.184,17566054,-1,-1
fusiform gyrus_00012,https://pubmed.ncbi.nlm.nih.gov/20025980/,Evaluating functional localizers: the case of the FFA.,"Berman MG, Park J, Gonzalez R, Polk TA, Gehrke A, Knaffla S, Jonides J",NeuroImage,0.183,20025980,-1,-1
fusiform gyrus_00013,https://pubmed.ncbi.nlm.nih.gov/28391034/,The structural and functional correlates of the efficiency in fearful face detection.,"Wang Y, Guo N, Zhao L, Huang H, Yao X, Sang N, Hou X, Mao Y, Bi T, Qiu J",Neuropsychologia,0.181,28391034,-1,-1
fusiform gyrus_00014,https://pubmed.ncbi.nlm.nih.gov/15268916/,Regional brain response to faces of humans and dogs.,"Blonder LX, Smith CD, Davis CE, Kesler-West ML, Garrity TF, Avison MJ, Andersen AH",Brain research. Cognitive brain research,0.175,15268916,-1,-1
fusiform gyrus_00015,https://pubmed.ncbi.nlm.nih.gov/16750396/,fMRI correlates of cortical specialization and generalization for letter processing.,"Joseph JE, Cerullo MA, Farley AB, Steinmetz NA, Mier CR",NeuroImage,0.175,16750396,-1,-1
fusiform gyrus_00016,https://pubmed.ncbi.nlm.nih.gov/16387401/,Hemodynamic and electrophysiological relationship involved in human face processing: evidence from a combined fMRI-ERP study.,"Iidaka T, Matsumoto A, Haneda K, Okada T, Sadato N",Brain and cognition,0.174,16387401,-1,-1
fusiform gyrus_00017,https://pubmed.ncbi.nlm.nih.gov/12876150/,A network of occipito-temporal face-sensitive areas besides the right middle fusiform gyrus is necessary for normal face processing.,"Rossion B, Caldara R, Seghier M, Schuller AM, Lazeyras F, Mayer E",Brain : a journal of neurology,0.171,12876150,-1,-1
fusiform gyrus_00018,https://pubmed.ncbi.nlm.nih.gov/14736578/,Spatial frequency of visual image modulates neural responses in the temporo-occipital lobe. An investigation with event-related fMRI.,"Iidaka T, Yamashita K, Kashikura K, Yonekura Y",Brain research. Cognitive brain research,0.169,14736578,-1,-1
fusiform gyrus_00019,https://pubmed.ncbi.nlm.nih.gov/26046623/,Investigating the brain basis of facial expression perception using multi-voxel pattern analysis.,"Wegrzyn M, Riehle M, Labudda K, Woermann F, Baumgartner F, Pollmann S, Bien CG, Kissler J",Cortex; a journal devoted to the study of the nervous system and behavior,0.159,26046623,-1,-1
fusiform gyrus_00020,https://pubmed.ncbi.nlm.nih.gov/26143305/,Beyond the core face-processing network: Intracerebral stimulation of a face-selective area in the right anterior fusiform gyrus elicits transient prosopagnosia.,"Jonas J, Rossion B, Brissart H, Frismand S, Jacques C, Hossu G, Colnat-Coulbois S, Vespignani H, Vignal JP, Maillard L",Cortex; a journal devoted to the study of the nervous system and behavior,0.157,26143305,-1,-1
fusiform gyrus_00021,https://pubmed.ncbi.nlm.nih.gov/21391269/,Nonlinear estimation of neural processing time from BOLD signal with application  to decision-making.,"Biazoli CE Jr, Sato JR, Cardoso EF, Brammer MJ, Amaro E Jr",Human brain mapping,0.156,21391269,10.1002/hbm.21214,-1
fusiform gyrus_00022,https://pubmed.ncbi.nlm.nih.gov/15371295/,Priming effects in the fusiform gyrus: changes in neural activity beyond the second presentation.,"Reber PJ, Gitelman DR, Parrish TB, Mesulam MM","Cerebral cortex (New York, N.Y. : 1991)",0.153,15371295,-1,-1
fusiform gyrus_00023,https://pubmed.ncbi.nlm.nih.gov/19015101/,Learning affective values for faces is expressed in amygdala and fusiform gyrus.,"Petrovic P, Kalisch R, Pessiglione M, Singer T, Dolan RJ",Social cognitive and affective neuroscience,0.15,19015101,-1,-1
fusiform gyrus_00024,https://pubmed.ncbi.nlm.nih.gov/20298792/,Increased functional brain response during word retrieval in cognitively intact older adults at genetic risk for Alzheimer's disease.,"Wierenga CE, Stricker NH, McCauley A, Simmons A, Jak AJ, Chang YL, Delano-Wood L, Bangen KJ, Salmon DP, Bondi MW",NeuroImage,0.15,20298792,-1,-1
fusiform gyrus_00025,https://pubmed.ncbi.nlm.nih.gov/23051901/,Neurobiological underpinnings of shame and guilt: a pilot fMRI study.,"Michl P, Meindl T, Meister F, Born C, Engel RR, Reiser M, Hennig-Fast K",Social cognitive and affective neuroscience,0.15,23051901,-1,-1
fusiform gyrus_00026,https://pubmed.ncbi.nlm.nih.gov/14741678/,Emotional valence of words modulates the subliminal repetition priming effect in  the left fusiform gyrus: an event-related fMRI study.,"Luo Q, Peng D, Jin Z, Xu D, Xiao L, Ding G",NeuroImage,0.147,14741678,-1,-1
fusiform gyrus_00027,https://pubmed.ncbi.nlm.nih.gov/15850750/,Sex differences in the neural correlates of child facial resemblance: an event-related fMRI study.,"Platek SM, Keenan JP, Mohamed FB",NeuroImage,0.147,15850750,-1,-1
fusiform gyrus_00028,https://pubmed.ncbi.nlm.nih.gov/16343950/,Semantic relevance explains category effects in medial fusiform gyri.,"Mechelli A, Sartori G, Orlandi P, Price CJ",NeuroImage,0.147,16343950,-1,-1
fusiform gyrus_00029,https://pubmed.ncbi.nlm.nih.gov/22266262/,Speech comprehension aided by multiple modalities: behavioural and neural interactions.,"McGettigan C, Faulkner A, Altarelli I, Obleser J, Baverstock H, Scott SK",Neuropsychologia,0.147,22266262,-1,-1
fusiform gyrus_00030,https://pubmed.ncbi.nlm.nih.gov/23019245/,Social perception in autism spectrum disorders: impaired category selectivity for dynamic but not static images in ventral temporal cortex.,"Weisberg J, Milleville SC, Kenworthy L, Wallace GL, Gotts SJ, Beauchamp MS, Martin A","Cerebral cortex (New York, N.Y. : 1991)",0.145,23019245,-1,-1
fusiform gyrus_00031,https://pubmed.ncbi.nlm.nih.gov/29306709/,A face identity hallucination (palinopsia) generated by intracerebral stimulation of the face-selective right lateral fusiform cortex.,"Jonas J, Brissart H, Hossu G, Colnat-Coulbois S, Vignal JP, Rossion B, Maillard L",Cortex; a journal devoted to the study of the nervous system and behavior,0.144,29306709,10.1016/j.cortex.2017.11.022,-1
fusiform gyrus_00032,https://pubmed.ncbi.nlm.nih.gov/17188904/,Developmental differences in the neural bases of the face inversion effect show progressive tuning of face-selective regions to the upright orientation.,"Passarotti AM, Smith J, DeLano M, Huang J",NeuroImage,0.143,17188904,10.1016/j.neuroimage.2006.07.045,-1
fusiform gyrus_00033,https://pubmed.ncbi.nlm.nih.gov/24393393/,Effects of Cognitive-Behavioral Therapy on Brain Responses to Subliminal and Supraliminal Threat and Their Functional Significance in Specific Phobia.,"Lipka J, Hoffmann M, Miltner WH, Straube T",Biological psychiatry,0.141,24393393,10.1016/j.biopsych.2013.11.008,-1
fusiform gyrus_00034,https://pubmed.ncbi.nlm.nih.gov/18413290/,Developmental changes in brain regions involved in phonological and orthographic  processing during spoken language processing.,"Cone NE, Burman DD, Bitan T, Bolger DJ, Booth JR",NeuroImage,0.14,18413290,10.1016/j.neuroimage.2008.02.055,-1
fusiform gyrus_00035,https://pubmed.ncbi.nlm.nih.gov/22461323/,(Still) longing for food: insulin reactivity modulates response to food pictures.,"Kroemer NB, Krebs L, Kobiella A, Grimm O, Vollstadt-Klein S, Wolfensteller U, Kling R, Bidlingmaier M, Zimmermann US, Smolka MN",Human brain mapping,0.139,22461323,10.1002/hbm.22071,-1
fusiform gyrus_00036,https://pubmed.ncbi.nlm.nih.gov/14527570/,Cholinergic enhancement modulates neural correlates of selective attention and emotional processing.,"Bentley P, Vuilleumier P, Thiel CM, Driver J, Dolan RJ",NeuroImage,0.138,14527570,-1,-1
fusiform gyrus_00037,https://pubmed.ncbi.nlm.nih.gov/19302164/,The neuroanatomy of grapheme-color synesthesia.,"Jancke L, Beeli G, Eulig C, Hanggi J",The European journal of neuroscience,0.137,19302164,-1,-1
