paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
gyri_00001,https://pubmed.ncbi.nlm.nih.gov/11931928/,Brain activity related to integrative processes in visual object recognition: bottom-up integration and the modulatory influence of stored knowledge.,"Gerlach C, Aaside CT, Humphreys GW, Gade A, Paulson OB, Law I",Neuropsychologia,0.333,11931928,10.1016/s0028-3932(01)00222-6,-1
gyri_00002,https://pubmed.ncbi.nlm.nih.gov/21546094/,Demonstration of decreased gray matter concentration in the midbrain encompassing the dorsal raphe nucleus and the limbic subcortical regions in major depressive disorder: an optimized voxel-based mor,"Lee HY, Tae WS, Yoon HK, Lee BT, Paik JW, Son KR, Oh YW, Lee MS, Ham BJ",Journal of affective disorders,0.329,21546094,-1,-1
gyri_00003,https://pubmed.ncbi.nlm.nih.gov/24156926/,Modulation of fronto-limbic activity by the psychoeducation in euthymic bipolar patients. A functional MRI study.,"Favre P, Baciu M, Pichat C, De Pourtales MA, Fredembach B, Garcon S, Bougerol T, Polosan M",Psychiatry research,0.323,24156926,-1,-1
gyri_00004,https://pubmed.ncbi.nlm.nih.gov/26714574/,Amygdala and dorsomedial hyperactivity to emotional faces in youth with remitted  Major Depression.,"Jenkins LM, Kassel MT, Gabriel LB, Gowins JR, Hymen EA, Verges A, Calamia M, Crane NA, Jacobs RH, Ajilore O, Welsh RC, Drevets WC, Phillips ML, Zubieta JK, Langenecker SA",Social cognitive and affective neuroscience,0.282,26714574,-1,-1
gyri_00005,https://pubmed.ncbi.nlm.nih.gov/17292628/,Dissociated brain organization for single-digit addition and multiplication.,"Zhou X, Chen C, Zang Y, Dong Q, Chen C, Qiao S, Gong Q",NeuroImage,0.26,17292628,-1,-1
gyri_00006,https://pubmed.ncbi.nlm.nih.gov/22661619/,Is race erased? Decoding race from patterns of neural activity when skin color is not diagnostic of group boundaries.,"Ratner KG, Kaul C, Van Bavel JJ",Social cognitive and affective neuroscience,0.251,22661619,-1,-1
gyri_00007,https://pubmed.ncbi.nlm.nih.gov/23734120/,Cortical oxygen consumption in mental arithmetic as a function of task difficulty: a near-infrared spectroscopy approach.,"Verner M, Herrmann MJ, Troche SJ, Roebers CM, Rammsayer TH",Frontiers in human neuroscience,0.249,23734120,-1,-1
gyri_00008,https://pubmed.ncbi.nlm.nih.gov/21998078/,Altered brain activation during response inhibition in children with primary nocturnal enuresis: an fMRI study.,"Lei D, Ma J, Du X, Shen G, Tian M, Li G",Human brain mapping,0.239,21998078,-1,-1
gyri_00009,https://pubmed.ncbi.nlm.nih.gov/22761307/,Neural correlates of tactile temporal-order judgment in humans: an fMRI study.,"Takahashi T, Kansaku K, Wada M, Shibuya S, Kitazawa S","Cerebral cortex (New York, N.Y. : 1991)",0.235,22761307,-1,-1
gyri_00010,https://pubmed.ncbi.nlm.nih.gov/16757180/,Neuroanatomical dissociation between bottom-up and top-down processes of visuospatial selective attention.,"Hahn B, Ross TJ, Stein EA",NeuroImage,0.231,16757180,-1,-1
gyri_00011,https://pubmed.ncbi.nlm.nih.gov/20550945/,Menstrual cycle and hormonal contraceptive use modulate human brain structure.,"Pletzer B, Kronbichler M, Aichhorn M, Bergmann J, Ladurner G, Kerschbaum HH",Brain research,0.23,20550945,-1,-1
gyri_00012,https://pubmed.ncbi.nlm.nih.gov/16427324/,Continuous ASL perfusion fMRI investigation of higher cognition: quantification of tonic CBF changes during sustained attention and working memory tasks.,"Kim J, Whyte J, Wang J, Rao H, Tang KZ, Detre JA",NeuroImage,0.228,16427324,-1,-1
gyri_00013,https://pubmed.ncbi.nlm.nih.gov/15210952/,Repetition suppression of faces is modulated by emotion.,"Ishai A, Pessoa L, Bikle PC, Ungerleider LG",Proceedings of the National Academy of Sciences of the United States of America,0.227,15210952,-1,-1
gyri_00014,https://pubmed.ncbi.nlm.nih.gov/10678698/,The calculating brain: an fMRI study.,"Rickard TC, Romero SG, Basso G, Wharton C, Flitman S, Grafman J",Neuropsychologia,0.226,10678698,-1,-1
gyri_00015,https://pubmed.ncbi.nlm.nih.gov/22078639/,The question shapes the answer: the neural correlates of task differences reveal  dynamic semantic processing.,"Hargreaves IS, White M, Pexman PM, Pittman D, Goodyear BG",Brain and language,0.226,22078639,-1,-1
gyri_00016,https://pubmed.ncbi.nlm.nih.gov/22326384/,Regional brain responses to pleasant and unpleasant IAPS pictures: different networks.,"Aldhafeeri FM, Mackenzie I, Kay T, Alghamdi J, Sluming V",Neuroscience letters,0.215,22326384,-1,-1
gyri_00017,https://pubmed.ncbi.nlm.nih.gov/23625146/,Sex-specific gray matter volume differences in females with developmental dyslexia.,"Evans TM, Flowers DL, Napoliello EM, Eden GF",Brain structure & function,0.215,23625146,-1,-1
gyri_00018,https://pubmed.ncbi.nlm.nih.gov/24680867/,Spatial variability of functional brain networks in early-blind and sighted subjects.,"Boldt R, Seppa M, Malinen S, Tikka P, Hari R, Carlson S",NeuroImage,0.212,24680867,-1,-1
gyri_00019,https://pubmed.ncbi.nlm.nih.gov/16168731/,Decrease and increase in brain activity during visual perceptual priming: an fMRI study on similar but perceptually different complex visual scenes.,"Blondin F, Lepage M",Neuropsychologia,0.209,16168731,-1,-1
gyri_00020,https://pubmed.ncbi.nlm.nih.gov/17525980/,Altered functional connectivity of primary visual cortex in early blindness.,"Yu C, Liu Y, Li J, Zhou Y, Wang K, Tian L, Qin W, Jiang T, Li K",Human brain mapping,0.205,17525980,-1,-1
gyri_00021,https://pubmed.ncbi.nlm.nih.gov/12112764/,Modulation of activity in temporal cortex during generation of inner speech.,"Shergill SS, Brammer MJ, Fukuda R, Bullmore E, Amaro E Jr, Murray RM, McGuire PK",Human brain mapping,0.203,12112764,10.1002/hbm.10046,-1
gyri_00022,https://pubmed.ncbi.nlm.nih.gov/28971228/,Cortical thickness and trait empathy in patients and people at high risk for alcohol use disorders.,"Schmidt T, Roser P, Ze O, Juckel G, Suchan B, Thoma P",Psychopharmacology,0.201,28971228,10.1007/s00213-017-4741-3,-1
gyri_00023,https://pubmed.ncbi.nlm.nih.gov/16098571/,Differential prefrontal-temporal neural correlates of semantic processing in children.,"Blumenfeld HK, Booth JR, Burman DD",Brain and language,0.198,16098571,-1,-1
gyri_00024,https://pubmed.ncbi.nlm.nih.gov/22472220/,Segregating the comprehension and elaboration processing of verbal jokes: an fMRI study.,"Chan YC, Chou TL, Chen HC, Liang KC",NeuroImage,0.197,22472220,-1,-1
gyri_00025,https://pubmed.ncbi.nlm.nih.gov/21767555/,The signer and the sign: cortical correlates of person identity and language processing from point-light displays.,"Campbell R, Capek CM, Gazarian K, MacSweeney M, Woll B, David AS, McGuire PK, Brammer MJ",Neuropsychologia,0.195,21767555,-1,-1
gyri_00026,https://pubmed.ncbi.nlm.nih.gov/24732956/,Expert athletes activate somatosensory and motor planning regions of the brain when passively listening to familiar sports sounds.,"Woods EA, Hernandez AE, Wagner VE, Beilock SL",Brain and cognition,0.193,24732956,-1,-1
gyri_00027,https://pubmed.ncbi.nlm.nih.gov/24907249/,Convergent and Divergent fMRI Responses in Children and Adults to Increasing Language Production Demands.,"Krishnan S, Leech R, Mercure E, Lloyd-Fox S, Dick F","Cerebral cortex (New York, N.Y. : 1991)",0.193,24907249,-1,-1
gyri_00028,https://pubmed.ncbi.nlm.nih.gov/16987673/,Traces of vocabulary acquisition in the brain: Evidence from covert object naming.,"Ellis AW, Burani C, Izura C, Bromiley A, Venneri A",NeuroImage,0.192,16987673,-1,-1
gyri_00029,https://pubmed.ncbi.nlm.nih.gov/24575000/,Voluntary Out-of-Body Experience: An fMRI Study.,"Smith AM, Messier C",Frontiers in human neuroscience,0.191,24575000,-1,-1
gyri_00030,https://pubmed.ncbi.nlm.nih.gov/10734010/,Essential role of the right superior parietal cortex in Japanese kana mirror reading: An fMRI study.,"Dong Y, Fukuyama H, Honda M, Okada T, Hanakawa T, Nakamura K, Nagahama Y, Nagamine T, Konishi J, Shibasaki H",Brain : a journal of neurology,0.19,10734010,-1,-1
