paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
gyrus anterior_00001,https://pubmed.ncbi.nlm.nih.gov/23319628/,Using model-based functional MRI to locate working memory updates and declarative memory retrievals in the fronto-parietal network.,"Borst JP, Anderson JR",Proceedings of the National Academy of Sciences of the United States of America,0.248,23319628,-1,-1
gyrus anterior_00002,https://pubmed.ncbi.nlm.nih.gov/24974396/,Neural correlates of informational cascades: brain mechanisms of social influence on belief updating.,"Huber RE, Klucharev V, Rieskamp J",Social cognitive and affective neuroscience,0.241,24974396,-1,-1
gyrus anterior_00003,https://pubmed.ncbi.nlm.nih.gov/20190005/,"The ventral and inferolateral aspects of the anterior temporal lobe are crucial in semantic memory: evidence from a novel direct comparison of distortion-corrected fMRI, rTMS, and semantic dementia.","Binney RJ, Embleton KV, Jefferies E, Parker GJ, Ralph MA","Cerebral cortex (New York, N.Y. : 1991)",0.24,20190005,-1,-1
gyrus anterior_00004,https://pubmed.ncbi.nlm.nih.gov/15275904/,The functional anatomy of inspection time: an event-related fMRI study.,"Deary IJ, Simonotto E, Meyer M, Marshall A, Marshall I, Goddard N, Wardlaw JM",NeuroImage,0.187,15275904,-1,-1
gyrus anterior_00005,https://pubmed.ncbi.nlm.nih.gov/11322979/,Functional organisation of the saccadic reference system processing extraretinal  signals in humans.,"Tobler PN, Felblinger J, Burki M, Nirkko AC, Ozdoba C, Muri RM",Vision research,0.185,11322979,-1,-1
gyrus anterior_00006,https://pubmed.ncbi.nlm.nih.gov/17655834/,Thinking on luxury or pragmatic brand products: Brain responses to different categories of culturally based brands.,"Schaefer M, Rotte M",Brain research,0.145,17655834,-1,-1
gyrus anterior_00007,https://pubmed.ncbi.nlm.nih.gov/23728081/,Dissociating frontal regions that co-lateralize with different ventral occipitotemporal regions during word processing.,"Seghier ML, Price CJ",Brain and language,0.141,23728081,-1,-1
gyrus anterior_00008,https://pubmed.ncbi.nlm.nih.gov/22541365/,Abnormal baseline brain activity in low-grade hepatic encephalopathy: a resting-state fMRI study.,"Chen HJ, Zhu XQ, Jiao Y, Li PC, Wang Y, Teng GJ",Journal of the neurological sciences,0.14,22541365,-1,-1
gyrus anterior_00009,https://pubmed.ncbi.nlm.nih.gov/16698125/,Long-term measures of free testosterone predict regional cerebral blood flow patterns in elderly men.,"Moffat SD, Resnick SM",Neurobiology of aging,0.136,16698125,-1,-1
gyrus anterior_00010,https://pubmed.ncbi.nlm.nih.gov/24904366/,Notational usage modulates attention networks in binumerates.,"Koul A, Tyagi V, Singh NC",Frontiers in human neuroscience,0.131,24904366,-1,-1
