paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
gyrus cerebellum_00001,https://pubmed.ncbi.nlm.nih.gov/22348891/,Abnormal default-mode network in angiotensin converting enzyme D allele carriers  with remitted geriatric depression.,"Wang Z, Yuan Y, Bai F, You J, Li L, Zhang Z",Behavioural brain research,0.202,22348891,-1,-1
gyrus cerebellum_00002,https://pubmed.ncbi.nlm.nih.gov/11897168/,Mental navigation in humans is processed in the anterior bank of the parieto-occipital sulcus.,"Ino T, Inoue Y, Kage M, Hirose S, Kimura T, Fukuyama H",Neuroscience letters,0.187,11897168,-1,-1
gyrus cerebellum_00003,https://pubmed.ncbi.nlm.nih.gov/12507726/,Parieto-frontal networks for clock drawing revealed with fMRI.,"Ino T, Asada T, Ito J, Kimura T, Fukuyama H",Neuroscience research,0.163,12507726,-1,-1
gyrus cerebellum_00004,https://pubmed.ncbi.nlm.nih.gov/19656506/,"Neural correlates of the ""Aha"" experiences: evidence from an fMRI study of insight problem solving.","Qiu J, Li H, Jou J, Liu J, Luo Y, Feng T, Wu Z, Zhang Q",Cortex; a journal devoted to the study of the nervous system and behavior,0.141,19656506,-1,-1
gyrus cerebellum_00005,https://pubmed.ncbi.nlm.nih.gov/26000753/,"The BDNF Val66Met polymorphism, resting-state hippocampal functional connectivity and cognitive deficits in acute late-onset depression.","Yin Y, Hou Z, Wang X, Sui Y, Yuan Y",Journal of affective disorders,0.141,26000753,-1,-1
gyrus cerebellum_00006,https://pubmed.ncbi.nlm.nih.gov/23946002/,Detection of deception based on fMRI activation patterns underlying the production of a deceptive response and receiving feedback about the success of the deception after a mock murder crime.,"Cui Q, Vanman EJ, Wei D, Yang W, Jia L, Zhang Q",Social cognitive and affective neuroscience,0.136,23946002,-1,-1
gyrus cerebellum_00007,https://pubmed.ncbi.nlm.nih.gov/12880828/,Cognitive effects of nicotine in humans: an fMRI study.,"Kumari V, Gray JA, ffytche DH, Mitterschiffthaler MT, Das M, Zachariah E, Vythelingum GN, Williams SC, Simmons A, Sharma T",NeuroImage,0.134,12880828,-1,-1
gyrus cerebellum_00008,https://pubmed.ncbi.nlm.nih.gov/24598769/,Changes in low-frequency fluctuations in patients with antisocial personality disorder revealed by resting-state functional MRI.,"Liu H, Liao J, Jiang W, Wang W",PloS one,0.133,24598769,-1,-1
gyrus cerebellum_00009,https://pubmed.ncbi.nlm.nih.gov/21368084/,Sensorimotor functional connectivity changes in amyotrophic lateral sclerosis.,"Agosta F, Valsasina P, Absinta M, Riva N, Sala S, Prelle A, Copetti M, Comola M, Comi G, Filippi M","Cerebral cortex (New York, N.Y. : 1991)",0.129,21368084,-1,-1
gyrus cerebellum_00010,https://pubmed.ncbi.nlm.nih.gov/24906677/,The effects of aging on the brain activation pattern during a speech perception task: an fMRI study.,"Manan HA, Franz EA, Yusoff AN, Mukari SZ",Aging clinical and experimental research,0.129,24906677,-1,-1
gyrus cerebellum_00011,https://pubmed.ncbi.nlm.nih.gov/15528081/,Mapping IQ and gray matter density in healthy young people.,"Frangou S, Chitins X, Williams SC",NeuroImage,0.128,15528081,10.1016/j.neuroimage.2004.05.027,-1
gyrus cerebellum_00012,https://pubmed.ncbi.nlm.nih.gov/24743801/,Altered hypothalamic functional connectivity with autonomic circuits and the locus coeruleus in migraine.,"Moulton EA, Becerra L, Johnson A, Burstein R, Borsook D",PloS one,0.128,24743801,10.1371/journal.pone.0095508,-1
gyrus cerebellum_00013,https://pubmed.ncbi.nlm.nih.gov/23246778/,Multivariate classification of structural MRI data detects chronic low back pain.,"Ung H, Brown JE, Johnson KA, Younger J, Hush J, Mackey S","Cerebral cortex (New York, N.Y. : 1991)",0.126,23246778,10.1093/cercor/bhs378,-1
gyrus cerebellum_00014,https://pubmed.ncbi.nlm.nih.gov/23775490/,Cognitive subtypes of dyslexia are characterized by distinct patterns of grey matter volume.,"Jednorog K, Gawron N, Marchewka A, Heim S, Grabowska A",Brain structure & function,0.126,23775490,10.1007/s00429-013-0595-6,-1
gyrus cerebellum_00015,https://pubmed.ncbi.nlm.nih.gov/22406357/,The neural correlates of subjective pleasantness.,"Kuhn S, Gallinat J",NeuroImage,0.122,22406357,10.1016/j.neuroimage.2012.02.065,-1
gyrus cerebellum_00016,https://pubmed.ncbi.nlm.nih.gov/16632202/,Cerebral activation during thermal stimulation of patients who have burning mouth disorder: an fMRI study.,"Albuquerque RJ, de Leeuw R, Carlson CR, Okeson JP, Miller CS, Andersen AH",Pain,0.12,16632202,-1,-1
gyrus cerebellum_00017,https://pubmed.ncbi.nlm.nih.gov/20219248/,Fronto-striatal correlates of impaired implicit sequence learning in major depression: an fMRI study.,"Naismith SL, Lagopoulos J, Ward PB, Davey CG, Little C, Hickie IB",Journal of affective disorders,0.118,20219248,-1,-1
gyrus cerebellum_00018,https://pubmed.ncbi.nlm.nih.gov/22073183/,Visualization of painful experiences believed to trigger the activation of affective and emotional brain regions in subjects with low back pain.,"Shimo K, Ueno T, Younger J, Nishihara M, Inoue S, Ikemoto T, Taniguchi S, Ushida T",PloS one,0.118,22073183,-1,-1
