paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
gyrus inferior_00001,https://pubmed.ncbi.nlm.nih.gov/19853585/,Neural substrates of irony comprehension: A functional MRI study.,"Shibata M, Toyomura A, Itoh H, Abe J",Brain research,0.273,19853585,-1,-1
gyrus inferior_00002,https://pubmed.ncbi.nlm.nih.gov/25356830/,Identifying the Core Components of Emotional Intelligence: Evidence from Amplitude of Low-Frequency Fluctuations during Resting State.,"Pan W, Wang T, Wang X, Hitchman G, Wang L, Chen A",PloS one,0.238,25356830,10.1371/journal.pone.0111435,-1
gyrus inferior_00003,https://pubmed.ncbi.nlm.nih.gov/18226833/,Effective brain connectivity in children with reading difficulties during phonological processing.,"Cao F, Bitan T, Booth JR",Brain and language,0.237,18226833,10.1016/j.bandl.2007.12.009,-1
gyrus inferior_00004,https://pubmed.ncbi.nlm.nih.gov/19229326/,Altered resting state in diabetic neuropathic pain.,"Cauda F, Sacco K, Duca S, Cocito D, D'Agata F, Geminiani GC, Canavero S",PloS one,0.223,19229326,10.1371/journal.pone.0004542,-1
gyrus inferior_00005,https://pubmed.ncbi.nlm.nih.gov/27074031/,Decreased Functional Connectivity of Homotopic Brain Regions in Chronic Stroke Patients: A Resting State fMRI Study.,"Tang C, Zhao Z, Chen C, Zheng X, Sun F, Zhang X, Tian J, Fan M, Wu Y, Jia J",PloS one,0.196,27074031,10.1371/journal.pone.0152875,-1
gyrus inferior_00006,https://pubmed.ncbi.nlm.nih.gov/21618663/,Coupling electrophysiological and hemodynamic responses to errors.,"Donamayor N, Heilbronner U, Munte TF",Human brain mapping,0.187,21618663,-1,-1
gyrus inferior_00007,https://pubmed.ncbi.nlm.nih.gov/25903464/,Prediction During Natural Language Comprehension.,"Willems RM, Frank SL, Nijhof AD, Hagoort P, van den Bosch A","Cerebral cortex (New York, N.Y. : 1991)",0.183,25903464,-1,-1
gyrus inferior_00008,https://pubmed.ncbi.nlm.nih.gov/24795593/,Brain activation during phonological and semantic processing of Chinese characters in deaf signers.,"Li Y, Peng D, Liu L, Booth JR, Ding G",Frontiers in human neuroscience,0.175,24795593,-1,-1
gyrus inferior_00009,https://pubmed.ncbi.nlm.nih.gov/27766586/,Brain structure and function in patients with ovarian cancer treated with first-line chemotherapy: a pilot study.,"Correa DD, Root JC, Kryza-Lacombe M, Mehta M, Karimi S, Hensley ML, Relkin N",Brain imaging and behavior,0.169,27766586,-1,-1
gyrus inferior_00010,https://pubmed.ncbi.nlm.nih.gov/16996279/,"Cortical trapping of alpha-[(11)C]methyl-l-tryptophan, an index of serotonin synthesis, is lower in females than males.","Sakai Y, Nishikawa M, Leyton M, Benkelfat C, Young SN, Diksic M",NeuroImage,0.159,16996279,-1,-1
gyrus inferior_00011,https://pubmed.ncbi.nlm.nih.gov/17010394/,Children with reading disorder show modality independent brain abnormalities during semantic tasks.,"Booth JR, Bebko G, Burman DD, Bitan T",Neuropsychologia,0.157,17010394,-1,-1
gyrus inferior_00012,https://pubmed.ncbi.nlm.nih.gov/21195191/,fMRI investigation of unexpected somatosensory feedback perturbation during speech.,"Golfinopoulos E, Tourville JA, Bohland JW, Ghosh SS, Nieto-Castanon A, Guenther FH",NeuroImage,0.157,21195191,-1,-1
