paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
gyrus insula_00001,https://pubmed.ncbi.nlm.nih.gov/28202336/,Functional connectivity in resting state as a phonemic fluency ability measure.,"Miro-Padilla A, Bueicheku E, Ventura-Campos N, Palomar-Garcia MA, Avila C",Neuropsychologia,0.207,28202336,10.1016/j.neuropsychologia.2017.02.009,-1
gyrus insula_00002,https://pubmed.ncbi.nlm.nih.gov/21922599/,Different duration of at-risk mental state associated with neurofunctional abnormalities. A multimodal imaging study.,"Smieskova R, Allen P, Simon A, Aston J, Bendfeldt K, Drewe J, Gruber K, Gschwandtner U, Klarhoefer M, Lenz C, Scheffler K, Stieglitz RD, Radue EW, McGuire P, Riecher-Rossler A, Borgwardt SJ",Human brain mapping,0.187,21922599,10.1002/hbm.21360,-1
gyrus insula_00003,https://pubmed.ncbi.nlm.nih.gov/23666554/,Differential responses to anticipation of reward after an acute dose of the designer drugs benzylpiperazine (BZP) and trifluoromethylphenylpiperazine (TFMPP) alone and in combination using functional,"Curley LE, Kydd RR, Kirk IJ, Russell BR",Psychopharmacology,0.184,23666554,-1,-1
gyrus insula_00004,https://pubmed.ncbi.nlm.nih.gov/14980552/,Learning new sounds of speech: reallocation of neural substrates.,"Golestani N, Zatorre RJ",NeuroImage,0.157,14980552,-1,-1
gyrus insula_00005,https://pubmed.ncbi.nlm.nih.gov/19505583/,Single-trial P3 amplitude and latency informed event-related fMRI models yield different BOLD response patterns to a target detection task.,"Warbrick T, Mobascher A, Brinkmeyer J, Musso F, Richter N, Stoecker T, Fink GR, Shah NJ, Winterer G",NeuroImage,0.157,19505583,-1,-1
gyrus insula_00006,https://pubmed.ncbi.nlm.nih.gov/21799807/,Differential neural responses to food images in women with bulimia versus anorexia nervosa.,"Brooks SJ, O'Daly OG, Uher R, Friederich HC, Giampietro V, Brammer M, Williams SC, Schioth HB, Treasure J, Campbell IC",PloS one,0.152,21799807,-1,-1
gyrus insula_00007,https://pubmed.ncbi.nlm.nih.gov/19781597/,Negative BOLD during tongue movement: a functional magnetic resonance imaging study.,"Sakamoto K, Nakata H, Perrucci MG, Del Gratta C, Kakigi R, Romani GL",Neuroscience letters,0.144,19781597,-1,-1
gyrus insula_00008,https://pubmed.ncbi.nlm.nih.gov/18824236/,Event-related functional MRI investigation of vocal pitch variation.,"Peck KK, Galgano JF, Branski RC, Bogomolny D, Ho M, Holodny AI, Kraus DH",NeuroImage,0.143,18824236,-1,-1
gyrus insula_00009,https://pubmed.ncbi.nlm.nih.gov/16330505/,Orbitofrontal cortex involvement in chronic analgesic-overuse headache evolving from episodic migraine.,"Fumal A, Laureys S, Di Clemente L, Boly M, Bohotin V, Vandenheede M, Coppola G, Salmon E, Kupers R, Schoenen J",Brain : a journal of neurology,0.142,16330505,-1,-1
gyrus insula_00010,https://pubmed.ncbi.nlm.nih.gov/22113155/,Facial emotion processing in patients with schizophrenia and their non-psychotic  siblings: a functional magnetic resonance imaging study.,"Li HJ, Chan RC, Gong QY, Liu Y, Liu SM, Shum D, Ma ZL",Schizophrenia research,0.14,22113155,-1,-1
gyrus insula_00011,https://pubmed.ncbi.nlm.nih.gov/27838547/,Neural substrates of sublexical processing for spelling.,"DeMarco AT, Wilson SM, Rising K, Rapcsak SZ, Beeson PM",Brain and language,0.14,27838547,-1,-1
gyrus insula_00012,https://pubmed.ncbi.nlm.nih.gov/18177843/,The influence of response conflict on error processing: evidence from event-related fMRI.,"Wittfoth M, Kustermann E, Fahle M, Herrmann M",Brain research,0.135,18177843,-1,-1
gyrus insula_00013,https://pubmed.ncbi.nlm.nih.gov/26510176/,Evidence Accumulation and Choice Maintenance Are Dissociated in Human Perceptual  Decision Making.,"Pedersen ML, Endestad T, Biele G",PloS one,0.127,26510176,-1,-1
gyrus insula_00014,https://pubmed.ncbi.nlm.nih.gov/23201307/,Lack of insula reactivity to aversive stimuli in schizophrenia.,"Linnman C, Coombs G 3rd, Goff DC, Holt DJ",Schizophrenia research,0.125,23201307,-1,-1
gyrus insula_00015,https://pubmed.ncbi.nlm.nih.gov/28715717/,"Reading network in dyslexia: Similar, yet different.","Waldie KE, Wilson AJ, Roberts RP, Moreau D",Brain and language,0.125,28715717,-1,-1
