paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
gyrus middle_00001,https://pubmed.ncbi.nlm.nih.gov/25864196/,A pilot fMRI study of the effect of stressful factors on the onset of depression  in female patients.,"Li G, Ma X, Bian H, Sun X, Zhai N, Yao M, Qu H, Ji S, Tian H, Zhuo C",Brain imaging and behavior,0.255,25864196,-1,-1
gyrus middle_00002,https://pubmed.ncbi.nlm.nih.gov/24205327/,Decreased thalamocortical functional connectivity after 36 hours of total sleep deprivation: evidence from resting state FMRI.,"Shao Y, Wang L, Ye E, Jin X, Ni W, Yang Y, Wen B, Hu D, Yang Z",PloS one,0.179,24205327,-1,-1
gyrus middle_00003,https://pubmed.ncbi.nlm.nih.gov/28491026/,Neural Efficiency of Athletes' Brain during Visuo-Spatial Task: An fMRI Study on Table Tennis Players.,"Guo Z, Li A, Yu L",Frontiers in behavioral neuroscience,0.179,28491026,-1,-1
gyrus middle_00004,https://pubmed.ncbi.nlm.nih.gov/22348891/,Abnormal default-mode network in angiotensin converting enzyme D allele carriers  with remitted geriatric depression.,"Wang Z, Yuan Y, Bai F, You J, Li L, Zhang Z",Behavioural brain research,0.176,22348891,-1,-1
gyrus middle_00005,https://pubmed.ncbi.nlm.nih.gov/28257930/,"Regional homogeneity, resting-state functional connectivity and amplitude of low  frequency fluctuation associated with creativity measured by divergent thinking in a sex-specific manner.","Takeuchi H, Taki Y, Nouchi R, Yokoyama R, Kotozaki Y, Nakagawa S, Sekiguchi A, Iizuka K, Yamamoto Y, Hanawa S, Araki T, Makoto Miyauchi C, Shinada T, Sakaki K, Nozawa T, Ikeda S, Yokota S, Daniele M, Sassa Y, Kawashima R",NeuroImage,0.172,28257930,-1,-1
gyrus middle_00006,https://pubmed.ncbi.nlm.nih.gov/23376475/,Changes in neural mechanisms of cognitive control during the transition from late adolescence to young adulthood.,"Veroude K, Jolles J, Croiset G, Krabbendam L",Developmental cognitive neuroscience,0.161,23376475,-1,-1
gyrus middle_00007,https://pubmed.ncbi.nlm.nih.gov/18752409/,Exploring the neural correlates of social stereotyping.,"Quadflieg S, Turk DJ, Waiter GD, Mitchell JP, Jenkins AC, Macrae CN",Journal of cognitive neuroscience,0.154,18752409,-1,-1
gyrus middle_00008,https://pubmed.ncbi.nlm.nih.gov/19853585/,Neural substrates of irony comprehension: A functional MRI study.,"Shibata M, Toyomura A, Itoh H, Abe J",Brain research,0.145,19853585,-1,-1
gyrus middle_00009,https://pubmed.ncbi.nlm.nih.gov/17133392/,Taxing working memory with syntax: bihemispheric modulations.,"Santi A, Grodzinsky Y",Human brain mapping,0.142,17133392,-1,-1
gyrus middle_00010,https://pubmed.ncbi.nlm.nih.gov/23251361/,Brain networks supporting execution of mathematical skills versus acquisition of  new mathematical competence.,"Wintermute S, Betts S, Ferris JL, Fincham JM, Anderson JR",PloS one,0.141,23251361,10.1371/journal.pone.0050154,-1
gyrus middle_00011,https://pubmed.ncbi.nlm.nih.gov/27313520/,Holding Biological Motion in Working Memory: An fMRI Study.,"Lu X, Huang J, Yi Y, Shen M, Weng X, Gao Z",Frontiers in human neuroscience,0.141,27313520,-1,-1
gyrus middle_00012,https://pubmed.ncbi.nlm.nih.gov/22571931/,The neural substrates associated with attentional resources and difficulty of concurrent processing of the two verbal tasks.,"Mizuno K, Tanaka M, Tanabe HC, Sadato N, Watanabe Y",Neuropsychologia,0.136,22571931,-1,-1
