paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
gyrus precuneus_00001,https://pubmed.ncbi.nlm.nih.gov/18055028/,Factors affecting the hippocampal BOLD response during spatial memory.,"Shipman SL, Astur RS",Behavioural brain research,0.184,18055028,-1,-1
gyrus precuneus_00002,https://pubmed.ncbi.nlm.nih.gov/18723260/,Self-referential processing of negative stimuli within the ventral anterior cingulate gyrus and right amygdala.,"Yoshimura S, Ueda K, Suzuki S, Onoda K, Okamoto Y, Yamawaki S",Brain and cognition,0.164,18723260,-1,-1
gyrus precuneus_00003,https://pubmed.ncbi.nlm.nih.gov/23880958/,Neural correlates of semantic associations in patients with schizophrenia.,"Sass K, Heim S, Sachs O, Straube B, Schneider F, Habel U, Kircher T",European archives of psychiatry and clinical neuroscience,0.16,23880958,-1,-1
gyrus precuneus_00004,https://pubmed.ncbi.nlm.nih.gov/22039428/,Abnormal parietal function in conversion paresis.,"van Beilen M, de Jong BM, Gieteling EW, Renken R, Leenders KL",PloS one,0.152,22039428,-1,-1
gyrus precuneus_00005,https://pubmed.ncbi.nlm.nih.gov/23522878/,Egocentric virtual maze learning in adult survivors of childhood abuse with dissociative disorders: evidence from functional magnetic resonance imaging.,"Weniger G, Siemerkus J, Barke A, Lange C, Ruhleder M, Sachsse U, Schmidt-Samoa C, Dechent P, Irle E",Psychiatry research,0.136,23522878,-1,-1
gyrus precuneus_00006,https://pubmed.ncbi.nlm.nih.gov/17123710/,Neural correlates of transmeatal cochlear laser (TCL) stimulation in healthy human subjects.,"Siedentopf CM, Ischebeck A, Haala IA, Mottaghy FM, Schikora D, Verius M, Koppelstaetter F, Buchberger W, Schlager A, Felber SR, Golaszewski SM",Neuroscience letters,0.134,17123710,-1,-1
gyrus precuneus_00007,https://pubmed.ncbi.nlm.nih.gov/24368143/,Increased neural reactivity to socio-emotional stimuli links social exclusion and aggression.,"Beyer F, Munte TF, Kramer UM",Biological psychology,0.133,24368143,-1,-1
gyrus precuneus_00008,https://pubmed.ncbi.nlm.nih.gov/25847861/,Effects of active music therapy on the normal brain: fMRI based evidence.,"Raglio A, Galandra C, Sibilla L, Esposito F, Gaeta F, Di Salle F, Moro L, Carne I, Bastianello S, Baldi M, Imbriani M",Brain imaging and behavior,0.132,25847861,10.1007/s11682-015-9380-x,-1
gyrus precuneus_00009,https://pubmed.ncbi.nlm.nih.gov/22121344/,Specificity of esthetic experience for artworks: an FMRI study.,"Di Dio C, Canessa N, Cappa SF, Rizzolatti G",Frontiers in human neuroscience,0.13,22121344,10.3389/fnhum.2011.00139,-1
gyrus precuneus_00010,https://pubmed.ncbi.nlm.nih.gov/17321554/,Increased cortical recruitment in Huntington's disease using a Simon task.,"Georgiou-Karistianis N, Sritharan A, Farrow M, Cunnington R, Stout J, Bradshaw J, Churchyard A, Brawn TL, Chua P, Chiu E, Thiruvady D, Egan G",Neuropsychologia,0.124,17321554,10.1016/j.neuropsychologia.2006.12.023,-1
gyrus precuneus_00011,https://pubmed.ncbi.nlm.nih.gov/20123114/,Impairments in cognition and resting-state connectivity of the hippocampus in elderly subjects with type 2 diabetes.,"Zhou H, Lu W, Shi Y, Bai F, Chang J, Yuan Y, Teng G, Zhang Z",Neuroscience letters,0.124,20123114,-1,-1
gyrus precuneus_00012,https://pubmed.ncbi.nlm.nih.gov/17905600/,Memory of music: roles of right hippocampus and left inferior frontal gyrus.,"Watanabe T, Yagishita S, Kikyo H",NeuroImage,0.118,17905600,-1,-1
gyrus precuneus_00013,https://pubmed.ncbi.nlm.nih.gov/23147501/,The functional neuroanatomy of odor evoked autobiographical memories cued by odors and words.,"Arshamian A, Iannilli E, Gerber JC, Willander J, Persson J, Seo HS, Hummel T, Larsson M",Neuropsychologia,0.118,23147501,-1,-1
gyrus precuneus_00014,https://pubmed.ncbi.nlm.nih.gov/22695256/,Alterations of theory of mind network activation in chronic cannabis users.,"Roser P, Lissek S, Tegenthoff M, Nicolas V, Juckel G, Brune M",Schizophrenia research,0.117,22695256,-1,-1
gyrus precuneus_00015,https://pubmed.ncbi.nlm.nih.gov/21291958/,Personality traits and the amplitude of spontaneous low-frequency oscillations during resting state.,"Kunisato Y, Okamoto Y, Okada G, Aoyama S, Nishiyama Y, Onoda K, Yamawaki S",Neuroscience letters,0.116,21291958,-1,-1
gyrus precuneus_00016,https://pubmed.ncbi.nlm.nih.gov/23552077/,Involvement of the mentalizing network in social and non-social high construal.,"Baetens K, Ma N, Steen J, Van Overwalle F",Social cognitive and affective neuroscience,0.114,23552077,-1,-1
gyrus precuneus_00017,https://pubmed.ncbi.nlm.nih.gov/24266006/,Neuroanatomical correlates of Klinefelter syndrome studied in relation to the neuropsychological profile.,"Skakkebaek A, Gravholt CH, Rasmussen PM, Bojesen A, Jensen JS, Fedder J, Laurberg P, Hertz JM, Ostergaard JR, Pedersen AD, Wallentin M",NeuroImage. Clinical,0.114,24266006,-1,-1
gyrus precuneus_00018,https://pubmed.ncbi.nlm.nih.gov/12165380/,Procedural learning in schizophrenia: a functional magnetic resonance imaging investigation.,"Kumari V, Gray JA, Honey GD, Soni W, Bullmore ET, Williams SC, Ng VW, Vythelingum GN, Simmons A, Suckling J, Corr PJ, Sharma T",Schizophrenia research,0.112,12165380,-1,-1
gyrus precuneus_00019,https://pubmed.ncbi.nlm.nih.gov/19920057/,Neural systems for reading aloud: a multiparametric approach.,"Graves WW, Desai R, Humphries C, Seidenberg MS, Binder JR","Cerebral cortex (New York, N.Y. : 1991)",0.112,19920057,-1,-1
gyrus precuneus_00020,https://pubmed.ncbi.nlm.nih.gov/23207576/,An fMRI investigation of posttraumatic flashbacks.,"Whalley MG, Kroes MC, Huntley Z, Rugg MD, Davis SW, Brewin CR",Brain and cognition,0.112,23207576,-1,-1
gyrus precuneus_00021,https://pubmed.ncbi.nlm.nih.gov/25238959/,Decreased connectivity of the default mode network in pathological gambling: A resting state functional MRI study.,"Jung MH, Kim JH, Shin YC, Jung WH, Jang JH, Choi JS, Kang DH, Yi JS, Choi CH, Kwon JS",Neuroscience letters,0.111,25238959,-1,-1
gyrus precuneus_00022,https://pubmed.ncbi.nlm.nih.gov/20542548/,The neural correlates of highly iconic structures and topographic discourse in French Sign Language as observed in six hearing native signers.,"Courtin C, Herve PY, Petit L, Zago L, Vigneau M, Beaucousin V, Jobard G, Mazoyer B, Mellet E, Tzourio-Mazoyer N",Brain and language,0.108,20542548,-1,-1
gyrus precuneus_00023,https://pubmed.ncbi.nlm.nih.gov/21898674/,Functional adaptive changes within the hippocampal memory system of patients with multiple sclerosis.,"Hulst HE, Schoonheim MM, Roosendaal SD, Popescu V, Schweren LJ, van der Werf YD, Visser LH, Polman CH, Barkhof F, Geurts JJ",Human brain mapping,0.108,21898674,-1,-1
gyrus precuneus_00024,https://pubmed.ncbi.nlm.nih.gov/22189657/,Effects of ketamine-induced psychopathological symptoms on continuous overt rhyme fluency.,"Nagels A, Kirner-Veselinovic A, Wiese R, Paulus FM, Kircher T, Krach S",European archives of psychiatry and clinical neuroscience,0.107,22189657,-1,-1
gyrus precuneus_00025,https://pubmed.ncbi.nlm.nih.gov/27699148/,Effects of craving behavioral intervention on neural substrates of cue-induced craving in Internet gaming disorder.,"Zhang JT, Yao YW, Potenza MN, Xia CC, Lan J, Liu L, Wang LJ, Liu B, Ma SS, Fang XY",NeuroImage. Clinical,0.107,27699148,-1,-1
gyrus precuneus_00026,https://pubmed.ncbi.nlm.nih.gov/26004037/,Alteration of spontaneous neuronal activity in young adults with non-clinical depressive symptoms.,"Wei X, Shen H, Ren J, Liu W, Yang R, Liu J, Wu H, Xu X, Lai L, Hu J, Pan X, Jiang X",Psychiatry research,0.105,26004037,-1,-1
