paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
hand movements_00001,https://pubmed.ncbi.nlm.nih.gov/21291959/,The enhanced cortical activation induced by transcranial direct current stimulation during hand movements.,"Kwon YH, Jang SH",Neuroscience letters,0.556,21291959,-1,-1
hand movements_00002,https://pubmed.ncbi.nlm.nih.gov/18985130/,Communicative hand gestures and object-directed hand movements activated the mirror neuron system.,"Montgomery KJ, Isenberg N, Haxby JV",Social cognitive and affective neuroscience,0.514,18985130,-1,-1
hand movements_00003,https://pubmed.ncbi.nlm.nih.gov/18486490/,Dynamic intra- and interhemispheric interactions during unilateral and bilateral  hand movements assessed with fMRI and DCM.,"Grefkes C, Eickhoff SB, Nowak DA, Dafotakis M, Fink GR",NeuroImage,0.317,18486490,-1,-1
hand movements_00004,https://pubmed.ncbi.nlm.nih.gov/12653987/,Functional properties and interaction of the anterior and posterior intraparietal areas in humans.,"Shikata E, Hamzei F, Glauche V, Koch M, Weiller C, Binkofski F, Buchel C",The European journal of neuroscience,0.304,12653987,-1,-1
hand movements_00005,https://pubmed.ncbi.nlm.nih.gov/18053745/,Hemispheric asymmetries in eye-hand coordination.,"Lavrysen A, Heremans E, Peeters R, Wenderoth N, Helsen WF, Feys P, Swinnen SP",NeuroImage,0.276,18053745,-1,-1
hand movements_00006,https://pubmed.ncbi.nlm.nih.gov/19453637/,The dorsal premotor cortex orchestrates concurrent speech and fingertapping movements.,"Meister IG, Buelte D, Staedtgen M, Boroojerdi B, Sparing R",The European journal of neuroscience,0.275,19453637,-1,-1
hand movements_00007,https://pubmed.ncbi.nlm.nih.gov/24188808/,Drawing lines while imagining circles: Neural basis of the bimanual coupling effect during motor execution and motor imagery.,"Garbarini F, D'Agata F, Piedimonte A, Sacco K, Rabuffetti M, Tam F, Cauda F, Pia L, Geminiani G, Duca S, Graham SJ, Berti A",NeuroImage,0.274,24188808,-1,-1
hand movements_00008,https://pubmed.ncbi.nlm.nih.gov/24122137/,Neural Coupling of Cooperative Hand Movements: A Reflex and fMRI Study.,"Dietz V, Macauda G, Schrafl-Altermatt M, Wirz M, Kloter E, Michels L","Cerebral cortex (New York, N.Y. : 1991)",0.241,24122137,-1,-1
hand movements_00009,https://pubmed.ncbi.nlm.nih.gov/19139856/,The embodied nature of motor imagery: the influence of posture and perspective.,"Lorey B, Bischoff M, Pilgramm S, Stark R, Munzert J, Zentgraf K",Experimental brain research,0.235,19139856,-1,-1
hand movements_00010,https://pubmed.ncbi.nlm.nih.gov/15728741/,Neural systems underlying observation of humanly impossible movements: an FMRI study.,"Costantini M, Galati G, Ferretti A, Caulo M, Tartaro A, Romani GL, Aglioti SM","Cerebral cortex (New York, N.Y. : 1991)",0.212,15728741,-1,-1
